math_l3_l4_1,black,math_level_2,ell_urdu_1,ell_haitian_creole_1,district,asian,grade_10,ela_level_4_1,ell_other_1
s,178,7,,,16,s,50,s,
s,361,19,,,5,9,210,s,
s,529,45,,,17,17,185,4.9%,
s,354,66,,,3,46,357,6.3%,
9.4%,3490,586,,,11,497,2369,5.6%,
s,s,23,1.2%,2.6%,15,80,181,s,2.5%
s,3428,220,,,29,295,1135,3.9%,
s,90,17,2.5%,7.9%,13,83,117,s,8.5%
31.3%,486,104,,,1,656,655,19.4%,
7.8%,1624,369,,,8,385,1607,5.5%,
28.6%,7558,2048,,,2,6248,9609,22.3%,
s,327,15,,,18,7,121,s,
13.3%,2252,532,,,9,176,2208,6.1%,
10.0%,2757,521,,,27,2332,2632,11.8%,
53.7%,4454,429,,,13,3889,3152,39.8%,
s,585,102,,,10,36,720,1.3%,
s,103,43,,,6,s,277,s,
s,194,s,,,23,s,64,s,
26.5%,3444,822,,,28,4485,3884,18.4%,
s,2496,164,,,29,233,842,4.2%,
s,395,8,,,16,8,104,s,
s,67,15,,,1,106,96,s,
s,512,83,,,27,200,434,1.5%,
10.8%,332,72,,,9,22,357,5.6%,
25.8%,3374,852,,,21,2566,3281,10.4%,
18.4%,2491,426,,,15,367,1746,13.3%,
15.6%,4795,377,,,17,206,1565,11.2%,
s,126,10,,,32,s,141,s,
7.6%,2055,453,,,8,443,1946,5.4%,
33.3%,308,30,,,13,124,159,24.1%,
21.3%,1886,636,,,31,1291,2810,15.0%,
s,182,34,,,14,19,169,s,
s,265,36,,,7,15,269,3.5%,
16.7%,1892,401,,,14,478,1654,10.6%,
33.1%,67,48,,,20,444,330,10.4%,
s,101,16,,,22,s,159,15.0%,
34.7%,205,49,,,22,176,151,20.5%,
s,92,30,,,25,148,165,7.1%,
s,126,35,,,1,50,123,s,
s,410,9,,,23,s,161,s,
