grade_11,grade_9,ell_spanish_1,ela_l3_l4,white_1,ell_urdu,ell_french,math_level_3_1,female,math_level_4,male_1,math_level_1_1,ell_french_1,asian_1,ela_level_1,ell_korean_1
54,69,,s,3.0%,,,s,104,s,0.552,71.0%,,s,14,
96,224,,s,3.9%,,,s,207,s,0.676,79.5%,,1.4%,81,
149,210,,48,2.3%,,,s,383,s,0.442,55.0%,,2.5%,47,
296,342,,72,15.1%,,,s,449,s,0.626,55.7%,,3.8%,73,
1931,2725,,527,5.7%,,,8.3%,3963,19,0.559,56.4%,,5.5%,492,
126,196,0.609,s,16.1%,7,7,s,223,s,0.609,78.0%,1.2%,14.0%,74,s
1076,1073,,241,1.8%,,,s,2061,s,0.538,53.6%,,6.6%,189,
113,130,0.457,s,s,11,22,s,185,s,0.573,72.2%,5.1%,19.2%,50,s
620,476,,201,4.9%,,,18.1%,1128,40,0.5,34.5%,,29.1%,44,
265,329,,s,1.5%,,,s,373,s,0.679,81.3%,,1.8%,133,
140,313,,s,2.6%,,,s,373,s,0.524,64.7%,,s,21,
176,263,,s,s,,,s,283,s,0.688,81.9%,,s,80,
137,72,,s,3.5%,,,s,277,s,0.511,s,,21.9%,s,
237,352,,43,3.7%,,,s,384,s,0.657,71.1%,,3.7%,127,
197,225,,s,10.2%,,,14.4%,409,7,0.542,34.0%,,59.1%,29,
379,723,,68,12.0%,,,s,590,s,0.697,68.2%,,6.4%,237,
377,678,,65,21.6%,,,s,756,s,0.632,63.9%,,13.4%,210,
232,273,,s,2.9%,,,s,471,s,0.515,63.3%,,7.8%,40,
147,197,,s,2.2%,,,s,205,s,0.699,82.2%,,2.6%,77,
1928,2069,,1178,6.4%,,,17.4%,3804,449,0.534,28.4%,,35.9%,217,
265,326,,49,35.9%,,,13.3%,604,8,0.505,50.8%,,9.4%,35,
119,124,0.912,s,3.0%,s,s,s,210,s,0.581,86.9%,s,3.6%,61,s
199,267,,35,1.5%,,,s,441,s,0.493,75.0%,,2.3%,67,
87,114,,s,s,,,s,144,s,0.686,82.9%,,s,30,
280,487,,s,4.3%,,,s,697,s,0.517,55.7%,,2.6%,s,
118,229,,63,7.0%,,,9.6%,299,9,0.51,43.0%,,28.9%,39,
1821,1960,,661,2.1%,,,13.7%,3951,47,0.487,46.0%,,3.1%,294,
160,255,,38,6.3%,,,15.4%,342,10,0.55,44.8%,,19.6%,54,
393,689,,58,11.8%,,,s,757,s,0.631,73.3%,,13.4%,248,
143,165,,48,s,,,s,302,s,0.459,45.4%,,3.9%,22,
1864,2607,,742,19.4%,,,17.6%,4226,129,0.529,36.1%,,24.8%,365,
5800,6664,,2331,5.4%,,,15.7%,13649,361,0.449,38.5%,,17.1%,809,
1553,2341,,544,6.1%,,,7.8%,3500,17,0.529,56.2%,,23.6%,356,
1305,1466,,283,1.9%,,,7.2%,2439,12,0.562,55.9%,,5.2%,316,
253,516,,49,12.3%,,,s,500,s,0.634,64.7%,,8.9%,145,
1508,1508,,266,1.6%,,,4.3%,2933,8,0.524,65.3%,,2.1%,324,
94,115,0.702,s,s,s,34,s,143,s,0.627,66.2%,8.9%,7.0%,43,s
200,297,,43,2.1%,,,s,481,s,0.485,63.9%,,7.6%,73,
91,126,,s,s,,,s,188,s,0.541,74.5%,,2.7%,18,
