queens_condominiums_comparable_properties_address,queens_condominiums_comparable_properties_estimated_gross_income,comparable_rental_3_full_market_value,comparable_rental_2_year_built,queens_condominiums_comparable_properties_estimated_expense,comparable_rental_2_estimated_expense,queens_condominiums_comparable_properties_gross_income_per_sqft,queens_condominiums_comparable_properties_full_market_value,comparable_rental_3_boro_block_lot,postcode,census_tract,comparable_rental_3_year_built,comparable_rental_2_neighborhood,comparable_rental_2_boro_block_lot,comparable_rental_1_distance_from_condo_in_miles,queens_condominiums_comparable_properties_net_operating_income
134 MAPLE AVENUE,385132,"5,225,000",1968.0,179633,302949.0,16.08,1360000,4-05134-0030,,,1964,FLUSHING-NORTH,4-05121-0050,0.0,205499
35 89 STREET,1127500, ,1957.0,498560,359472.0,13.75,4247004,,,, ,JACKSON HEIGHTS,4-01459-0040,0.05,628940
13 DAHLIA AVENUE,564900,"1,493,000",1931.0,265126,176860.0,15.0,1944989,4-05186-0019,,,1931,FLUSHING-NORTH,4-05186-0024,0.28,299774
5 48 AVENUE,2892975, ,2007.0,933694,5463240.0,25.5,14100000,,,, ,LONG ISLAND CITY,4-00021-0060,0.91,1959281
2 BEACH 80 STREET,2332875, ,1985.0,1076855,1426942.0,25.0,9062006,,,, ,FAR ROCKAWAY,4-15810-0030,1.25,1256020
44 PURVIS STREET,1623275, ,,535895,,24.99,7898003,,,, , ,,0.34,1087380
25 23 STREET,124324, ,2004.0,26227,101293.0,17.16,710000,,,, ,ASTORIA,4-00589-0054,0.13,98097
102 QUEENS BOULEVARD,2477189,"4,500,000",1996.0,1120564,99229.0,17.0,8129000,4-09669-0012,,,2003,KEW GARDENS,4-03359-0011,0.96,1356625
55 MAIN STREET,322122, ,1931.0,140941,176860.0,16.09,1206998,,,, ,FLUSHING-NORTH,4-05186-0024,0.43,181181
139 35 AVENUE,307116,"1,243,000",1969.0,124624,402706.0,19.0,1224004,4-05193-0039,11363.0,1483.0,2006,FLUSHING-NORTH,4-05024-0019,0.0,182492
25 37 STREET,354750, ,2001.0,114649,111321.0,22.0,1694410,,,, ,ASTORIA,4-00570-0016,0.51,240101
59 MAIN STREET,1195233, ,2003.0,390280,494525.0,24.5,5625998,,,, ,JAMAICA,4-09760-0022,0.26,804953
170 CROCHERON AVENUE,245708,"876,000",1950.0,112710,118353.0,14.17,922006,4-05210-0007,,,1931,FLUSHING-NORTH,4-05964-0001,0.59,132998
83 TALBOT STREET,1567380,"1,181,000",2003.0,803543,13134.0,15.0,4989003,4-02265-0114,,,1998,BRIARWOOD,4-09714-0015,0.15,763837
76 46 AVENUE,305529, ,1962.0,142649,213101.0,20.69,1187997,,,, ,ELMHURST,4-01505-0079,0.42,162880
19 79 STREET,931315, ,1925.0,448294,302970.0,14.75,2915005,,,, ,JACKSON HEIGHTS,4-01444-0032,1.67,483021
37 61 STREET,466693, ,2001.0,172474,168204.0,23.0,1962784,,,, ,REGO PARK,4-03169-0021,1.21,294219
140 CHERRY AVENUE,508974, ,2004.0,127847,292600.0,21.1,2797000,,,, ,FLUSHING-NORTH,4-04995-0050,0.06,381127
31 UNION STREET,950640, ,1999.0,306000,37124.0,23.3,4455000,,,, ,FLUSHING-NORTH,4-05019-0100,0.13,644640
133 41 ROAD,1252959, ,1960.0,469950,483566.0,17.33,5323004,,,, ,FLUSHING-NORTH,4-05140-0006,0.15,783009
25 SHORE BOULEVARD,7267650, ,2007.0,3085956,1799168.0,19.5,27860991,,,, ,ASTORIA,4-00839-0001,0.12,4181694
81 41 AVENUE,320106, ,1963.0,144564,272964.0,15.5,1132003,,,, ,ELMHURST,4-01492-0032,0.13,175542
40 LITTLE NECK PARKWAY,965941, ,1950.0,371040,270582.0,15.62,4072000,,,, ,BAYSIDE,4-06258-0016,1.69,594901
72 METROPOLITAN AVENUE,138669, ,1963.0,59814,358765.0,13.91,519000,,,, ,ELMHURST,4-02474-0010,1.33,78855
2 51 AVENUE,1368968, ,,416059,,25.5,6180002,,,, , ,,0.24,952909
