date,avg_cpa_amount,avg_cpa_currency,avg_cpt_amount,avg_cpt_currency,conversion_rate,conversions,impressions,lat_off_installs,lat_on_installs,local_spend_amount,local_spend_currency,new_downloads,redownloads,taps,tap_installs,tap_new_downloads,tap_redownloads,id-tap_through_rate
2021-12-19,0.4967,USD,0.298,USD,0.6,3,56,0,0,1.49,USD,3,0,5,3,3,0,976093311-0.0892999991774559
2021-12-15,0.42,USD,0.28,USD,0.6667,2,33,0,0,0.84,USD,2,0,3,2,2,0,983951494-0.0908999964594841
2021-12-18,0.25,USD,0.125,USD,0.5,2,49,0,0,0.5,USD,2,0,4,2,2,0,976093305-0.0816000029444694
2021-12-10,0.43,USD,0.43,USD,1.0,2,139,0,0,0.86,USD,2,0,2,2,2,0,976093310-0.0143999997526407
2021-12-11,1.39,USD,1.39,USD,1.0,1,35,0,0,1.39,USD,1,0,1,1,1,0,976093307-0.0285999998450279
2021-12-10,2.53,USD,0.6325,USD,0.25,1,188,0,0,2.53,USD,1,0,4,1,1,0,976093312-0.0212999992072582
2021-12-14,0.12,USD,0.12,USD,1.0,1,15,0,0,0.12,USD,1,0,1,1,1,0,983951490-0.0666999965906143
2021-12-12,0.12,USD,0.12,USD,1.0,1,16,0,0,0.12,USD,1,0,1,1,1,0,983951492-0.0625
2021-12-10,1.7,USD,0.85,USD,0.5,1,86,0,0,1.7,USD,1,0,2,1,1,0,976093304-0.0232999995350837
2021-12-14,0.38,USD,0.38,USD,1.0,1,29,0,0,0.38,USD,1,0,1,1,1,0,983951491-0.0344999991357326
2021-12-18,0.0,USD,0.0,USD,0.0,0,35,0,0,0.0,USD,0,0,0,0,0,0,976093304-0.0
2021-12-14,0.0,USD,0.0,USD,0.0,0,6,0,0,0.0,USD,0,0,0,0,0,0,976093304-0.0
2021-12-17,0.0,USD,0.0,USD,0.0,0,12,0,0,0.0,USD,0,0,0,0,0,0,976093304-0.0
2021-12-11,0.0,USD,0.0,USD,0.0,0,3,0,0,0.0,USD,0,0,0,0,0,0,976093304-0.0
2021-12-19,0.0,USD,0.0,USD,0.0,0,33,0,0,0.0,USD,0,0,0,0,0,0,976093304-0.0
2021-12-12,0.0,USD,0.0,USD,0.0,0,18,0,0,0.0,USD,0,0,0,0,0,0,976093304-0.0
2021-12-16,0.0,USD,0.0,USD,0.0,0,42,0,0,0.0,USD,0,0,0,0,0,0,976093304-0.0
2021-12-13,0.0,USD,0.16,USD,0.0,0,45,0,0,0.16,USD,0,0,1,0,0,0,976093304-0.0221999995410442
2021-12-09,0.0,USD,0.606,USD,0.0,0,101,0,0,3.03,USD,0,0,5,0,0,0,976093304-0.0494999997317791
