date,avg_cpa_amount,avg_cpt_amount,avg_cpt_currency,conversion_rate,conversions,impressions,lat_off_installs,lat_on_installs,local_spend_amount,local_spend_currency,new_downloads,redownloads,tap_through_rate,taps,tap_installs,tap_new_downloads,tap_redownloads,ad_group_id-avg_cpa_currency
2021-12-20,0.0,0.1067,USD,0.0,0,63,0,0,0.32,USD,0,0,0.0476000010967254,3,0,0,0,1088985837-USD
2021-12-17,0.0,1.018,USD,0.0,0,100,0,0,5.09,USD,0,0,0.050000000745058,5,0,0,0,1088985837-USD
2021-12-19,0.0,0.0,USD,0.0,0,2,0,0,0.0,USD,0,0,0.0,0,0,0,0,1088985837-USD
2021-12-12,2.78,0.7943,USD,0.2857,2,249,0,0,5.56,USD,2,0,0.0281000006943941,7,2,2,0,1088985837-USD
2021-12-09,25.08,0.809,USD,0.0323,1,1605,0,0,25.08,USD,1,0,0.0193000007420778,31,1,1,0,1088985837-USD
2021-12-13,5.26,0.7514,USD,0.1429,1,492,0,0,5.26,USD,1,0,0.0142000000923872,7,1,1,0,976005125-USD
2021-12-11,5.71,1.142,USD,0.2,1,290,0,0,5.71,USD,1,0,0.0172000005841255,5,1,1,0,976005125-USD
2021-12-16,5.07,1.014,USD,0.2,1,318,0,0,5.07,USD,1,0,0.0156999994069337,5,1,1,0,976005125-USD
2021-12-14,1.2575,0.4573,USD,0.3636,4,350,0,0,5.03,USD,4,0,0.0313999988138675,11,4,4,0,976005125-USD
2021-12-19,1.4875,0.6611,USD,0.4444,4,424,0,0,5.95,USD,4,0,0.0211999993771314,9,4,4,0,976005125-USD
2021-12-18,2.5,0.5556,USD,0.2222,2,403,0,0,5.0,USD,2,0,0.0222999993711709,9,2,2,0,976005125-USD
2021-12-10,4.3133,0.9585,USD,0.2222,6,1494,1,0,25.88,USD,6,0,0.0181000009179115,27,6,6,0,976005125-USD
2021-12-15,2.0167,0.605,USD,0.3,3,546,0,1,6.05,USD,3,0,0.018300000578165,10,3,3,0,976005125-USD
