ad_id,updated_at,advertiser_id,adgroup_id,campaign_id,create_time,ad_name,call_to_action,secondary_status,operation_status,ad_text,video_id,app_name,deeplink,landing_page_url,display_name,profile_image_url,impression_tracking_url,click_tracking_url,playable_url,is_aco,creative_authorized,is_new_structure,image_ids,_fivetran_synced
1,2021-09-15 04:26:28.000,1,1,1,2021-08-27 14:13:57.000,ad name one,SIGN_UP,AD_STATUS_DELIVERY_OK,DISABLE,subscribe,v10033g50000c4kf54jc77ucvou6fv0g,,,landing_page,health,,,,,t,f,t,[ 124938917 ],2021-09-15 15:53:16.797
2,2021-09-15 03:19:25.000,2,2,2,2021-09-13 18:54:11.000,ad name two,SIGN_UP,AD_STATUS_DELIVERY_OK,ENABLE,join us,v10033g50000c4vnvmbc77u58bhlklvg,,,landing_page,stocks,,,,,t,f,t,[ 124938917 ],2021-09-15 15:53:16.641
3,2021-09-15 03:54:51.000,3,3,3,2021-07-26 16:28:39.000,ad name three,INTERESTED,AD_STATUS_DELIVERY_OK,ENABLE,like and share,v10033g50000c3qbo6jc77uaacd9hvv0,,,landing_page,more stocks,,,,,t,f,t,[ 124938917 ],2021-09-15 15:53:18.918
4,2021-09-15 04:26:26.000,4,4,4,2021-08-05 21:02:33.000,ad name four,SUBSCRIBE,AD_STATUS_DELIVERY_OK,DISABLE,get stuck in,v10033g50000c3qbo6jc77ucp113o3qg,,,landing_page,linkedin,,,,,t,f,t,[ 124938917 ],2021-09-15 15:53:18.897
61,2021-10-01 09:55:51,93,53,50,2021-08-11 20:44:39,ad name one,SUBSCRIBE,AD_STATUS_DELIVERY_OK,ENABLE,get stuck in,v10033g50000c4vnvmbc77u58bhlklvg,,,landing_page,more stocks,,,,,false,false,false,[ 124938917 ],2021-08-21 08:02:18
42,2021-10-07 13:00:26,51,63,5,2021-08-25 17:34:33,ad name four,SIGN_UP,AD_STATUS_DELIVERY_OK,ENABLE,join us,v10033g50000c3qbo6jc77uaacd9hvv0,,,landing_page,linkedin,,,,,true,false,true,[ 124938917 ],2021-09-06 05:34:18
19,2021-08-22 20:36:51,13,10,21,2021-07-07 17:40:39,ad name one,SUBSCRIBE,AD_STATUS_DELIVERY_OK,DISABLE,subscribe,v10033g50000c3qbo6jc77ucp113o3qg,,,landing_page,more stocks,,,,,true,false,true,[ 124938917 ],2021-08-16 22:34:18
15,2021-09-15 00:29:26,51,76,100,2021-09-05 10:54:33,ad name three,SIGN_UP,AD_STATUS_DELIVERY_OK,DISABLE,subscribe,v10033g50000c3qbo6jc77uaacd9hvv0,,,landing_page,stocks,,,,,true,true,true,[ 124938917 ],2021-08-28 22:26:18
77,2021-09-25 08:54:25,100,76,58,2021-09-30 22:43:11,ad name three,SUBSCRIBE,AD_STATUS_DELIVERY_OK,DISABLE,join us,v10033g50000c4vnvmbc77u58bhlklvg,,,landing_page,more stocks,,,,,true,false,false,[ 124938917 ],2021-09-21 02:47:16
57,2021-10-04 00:21:51,97,46,82,2021-07-12 11:02:39,ad name two,SUBSCRIBE,AD_STATUS_DELIVERY_OK,ENABLE,get stuck in,v10033g50000c3qbo6jc77ucp113o3qg,,,landing_page,health,,,,,true,false,true,[ 124938917 ],2021-10-12 00:53:18
33,2021-08-29 13:55:51,103,93,40,2021-08-24 10:00:39,ad name two,SIGN_UP,AD_STATUS_DELIVERY_OK,DISABLE,like and share,v10033g50000c4vnvmbc77u58bhlklvg,,,landing_page,more stocks,,,,,false,true,true,[ 124938917 ],2021-10-07 00:58:18
77,2021-10-13 11:12:26,14,97,46,2021-08-26 12:13:33,ad name four,SIGN_UP,AD_STATUS_DELIVERY_OK,DISABLE,get stuck in,v10033g50000c4kf54jc77ucvou6fv0g,,,landing_page,more stocks,,,,,false,false,false,[ 124938917 ],2021-10-10 23:40:18
