date,campaign_id,ad_group_id,ad_id,keyword_id,search_query,device_os,device_type,network,bid_match_type,delivered_match_type,top_vs_other,clicks,impressions,spend,conversions_qualified,conversions,revenue,all_conversions_qualified,all_conversions,all_revenue,account_id-language
2019-05-01,359751135,1.338105911256039E+15,83631648270349,8.3631766916614E+13,fivetran makes my life easier,Windows,Computer,Bing and Yahoo! search,Broad,Broad,Bing and Yahoo! search - Top,1,4,6.57,1.0,2.0,0.01,3.0,4.0,0.02,150175881-English
2019-04-15,359751135,1.338105911256039E+15,83631648270349,8.3631766916614E+13,fivetran dbt package team is awesome,Windows,Computer,Bing and Yahoo! search,Broad,Broad,Bing and Yahoo! search - Top,1,4,6.17,,,,,,,150175881-English
2019-05-14,359751135,1.343603469570972E+15,83975245622721,8.3975364112905E+13,how can I get a job at fivetran,Android,Smartphone,Syndicated search partners,Broad,Broad,Syndicated search partners - Top,2,11,11.66,0.0,0.0,0.0,0.0,0.0,0.0,150175881-English
2019-04-20,359751135,1.343603469570972E+15,83975245622721,8.3975364112905E+13,how to contribute to fivetran packages,Android,Smartphone,Syndicated search partners,Broad,Broad,Syndicated search partners - Top,5,13,16.69,0.0,0.0,0.0,0.0,0.0,0.0,150175881-English
2019-04-26,359751135,1.343603469570972E+15,83975245622721,8.3975364112905E+13,how to improve fivetran packages,Android,Smartphone,Syndicated search partners,Broad,Broad,Syndicated search partners - Top,5,143,10.37,0.0,0.0,0.0,0.0,0.0,0.0,150175881-English
2019-05-07,359751135,1.343603469570972E+15,83975245622721,8.3975364112905E+13,using fivetran packages in transformation,Android,Smartphone,Syndicated search partners,Broad,Broad,Syndicated search partners - Top,2,9,1.62,0.0,0.0,0.0,0.0,0.0,0.0,150175881-English
2019-05-11,359751135,1.343603469570972E+15,83975245622721,8.3975364112905E+13,transforming data with fivetran packages,iOS,Smartphone,Syndicated search partners,Broad,Broad,Syndicated search partners - Top,1,7,5.03,0.0,0.0,0.0,0.0,0.0,0.0,150175881-English
2019-05-13,359751135,1.343603469570972E+15,83975245622721,8.3975364112905E+13,fivetran dbt packages making life simpler,Android,Smartphone,Syndicated search partners,Broad,Broad,Syndicated search partners - Top,1,10,1.71,0.0,0.0,0.0,0.0,0.0,0.0,150175881-English
2019-04-26,359751135,1.343603469570972E+15,83975245622721,8.3975364112905E+13,fivetran packages changed my life,Android,Smartphone,Syndicated search partners,Broad,Broad,Syndicated search partners - Top,6,60,4.81,0.0,0.0,0.0,0.0,0.0,0.0,150175881-English
2019-04-30,359751135,1.343603469570972E+15,83975245622721,8.3975364112905E+13,contributing to fivetran packages,iOS,Smartphone,Syndicated search partners,Broad,Broad,Syndicated search partners - Top,1,9,1.48,0.0,0.0,0.0,0.0,0.0,0.0,150175881-English
