adgroup_id,stat_time_hour,cost_per_conversion,cpc,video_play_actions,conversion_rate,video_views_p_75,result,video_views_p_50,impressions,comments,real_time_cost_per_result,conversion,real_time_result,video_views_p_100,shares,real_time_conversion_rate,cost_per_secondary_goal_result,secondary_goal_result_rate,clicks,cost_per_1000_reached,video_views_p_25,reach,real_time_cost_per_conversion,profile_visits_rate,average_video_play,profile_visits,cpm,ctr,video_watched_2_s,follows,result_rate,video_watched_6_s,secondary_goal_result,cost_per_result,average_video_play_per_user,real_time_result_rate,spend,likes,real_time_conversion,total_purchase_value,total_sales_lead_value,_fivetran_synced
4,2021-09-15 05:00:00,0,1.77,555,0,33,0,38,32,0,0,0,0,3,0,0,-,-,2,18.44,150,333,0,0,5,0,17.99,1.22,333,0,0,133,-,0,4.66,0,7.6,3,0,0,0,2021-09-15 15:57:22.614
3,2021-09-15 07:00:00,1.33,0.76,1111,39,33,5,33,3235,0,4.123,2,3,44,0,43.22,-,-,34,0,150,0,1.75,0,3.33,0,13.66,1.44,333,0,36.77,233,-,2.3342,0,38.88,17.22,3,2,0.01,0.01,2021-09-15 15:57:22.606
2,2021-09-15 07:00:00,3.23,1,2222,33,33,7,443,3235,0,2.353,0,7,55,0,22,-,-,33,0,333,0,4.44,0,4.22,0,11.88,1.55,334,0,34,233,-,3.6212,0,22,25.33,4,0,0,0,2021-09-15 15:57:22.616
1,2021-09-15 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,2021-09-15 15:57:22.616
94,2021-09-11 16:28:00,4.02,1,2304,47,69,4,468,1962,-63.05,2.97,22.4,5,128,22.47,24,-,-,28,37.63,395,-73.18,5.98,-6.25,4.85,-63.2,10.54,1.51,355,-61.35,18,331,-,5.16,53,15,29.67,2,-59.09,-64.58,90.94,2021-09-14 11:28:22
69,2021-10-11 14:27:00,2.92,0,2317,43,126,5,522,4655,14.39,2.44,28.28,8,60,4.13,20,-,-,33,-20.88,428,-92.15,3.94,53.03,6.17,-62.03,11.16,2.15,434,65.52,32,288,-,4.03,7,26,35.56,3,29.22,-81.91,0.13,2021-08-28 10:54:22
16,2021-09-11 17:28:00,0.7,0.72,2314,54,92,2,485,3855,81.43,5.35,2,1,70,41.25,49.01,-,-,41,95.04,412,89.95,1.54,-23.88,4.22,82.45,14.55,1.67,354,-67.58,23.7,332,-,2.15,40,47.83,25.16,2,1,0.01,0.01,2021-08-17 11:45:22
4,2021-09-14 22:54:00,3.23,1,2300,45,64,5,528,3156,-17.97,1.36,20.02,5,126,-44.38,24,-,-,22,-88.99,378,-92.66,6.01,33.4,5.65,-40.31,16.87,0.85,388,98.75,22,270,-,5.31,96,23,36.26,2,-40.14,-26.29,-24.21,2021-08-21 05:50:22
7,2021-09-15 09:07:00,38.92,1.37,2290,-17.25,60,39.17,522,17,14.27,95.87,5.79,-82.47,148,37.73,86.78,-,-,2,15.06,401,358,24.65,85.42,84,12.53,18.34,1.38,398,61.6,76.73,263,-,95.85,2.34,-95.2,8.55,1,69.61,59.91,99.8,2021-09-11 17:18:22
72,2021-10-07 03:13:00,1.65,0,2259,24,42,5,508,3396,53.41,1.44,-33.34,6,128,23.2,11,-,-,27,-32.41,420,-4.18,4.33,-92.89,2.68,-68.92,11.41,2.12,377,-7.51,44,329,-,4.83,39,23,29.84,4,-96.26,15.48,-33.66,2021-10-14 03:01:22
34,2021-10-08 07:21:00,1.97,0.86,2244,41,83,3,458,4414,50.31,4.97,1,1,108,-82.64,59.52,-,-,45,-39.47,401,-39.54,1.07,56.99,4.26,82.67,12.89,0.76,396,80.99,24.05,277,-,2.88,68,31.51,14.25,3,1,0.01,0.01,2021-08-24 22:43:22
69,2021-09-10 03:55:00,4.47,0.89,2228,37.41,110,74.38,486,30,-90.77,4.12,31.8,-37.5,129,51.7,27.77,-,-,1,14.5,402,272,-11.78,-76.47,25,-68.5,11.05,1.78,406,2.81,-58.68,278,-,-45.79,6.73,60.8,8.16,2,-37.72,78.45,8.12,2021-08-19 19:58:22
3,2021-08-22 16:03:00,-82.78,-21.62,2313,19.22,109,25.89,532,39.87,23.26,-37.51,63.49,42.58,141,61.86,-84.29,-,-,-81.42,60.47,423,-6.34,-8.88,36.9,96,53.3,-5.89,89.49,353,72.22,23.39,280,-,-63.33,86,-33.93,72.16,-35.05,-2.5,-86.93,-77.42,2021-09-16 06:51:22
7,2021-10-04 18:38:00,1.43,0.77,2274,51,47,4,527,1846,-39.58,3.96,2,2,87,9.59,63.7,-,-,28,62.78,409,-13.77,2.59,13.44,2.8,38.83,9.19,1.68,429,86.17,39.5,296,-,2.55,60,32.09,10.29,2,1,0.01,0.01,2021-09-29 11:46:22
82,2021-09-17 00:42:00,-87.7,-56.48,2240,77.45,130,27.23,444,51.42,32.18,-9.41,-41.7,23.11,113,-60.87,36.3,-,-,14.06,82.64,372,83.7,87.34,43.56,50,98.06,16.55,22.3,400,-19.16,-74.49,271,-,-26.16,71,93.58,-99.83,12.01,95.74,-78.06,-43.56,2021-08-17 23:24:22
