id,name,address,company,contacter,country,currency,description,email,industry,license_no,license_url,promotion_area,rejected_reason,role,status,telephone_number,timezone,balance,create_time,language,cellphone_number,_fivetran_synced
1,US,222 address,Comany X,,US,USD,hello,fake-email,123,,,111,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,32.12,2021-08-27 18:13:41.000,en,001-002-0003,2021-09-15 15:53:18.938
2,Canada,111 address,Company Y,,CAN,CAN,world,fake-email,321,,,0,,ROLE_ADVERTISER,STATUS_ENABLE,222-333-4444,Etc/GMT+5,321.22,2021-03-09 20:55:37.000,en,001-003-0004,2021-09-15 15:53:07.621
3,US,222 address,Company Y,,CAN,CAN,hello,fake-email,230,,,-78.64,,ROLE_ADVERTISER,STATUS_ENABLE,222-333-4444,Etc/GMT+5,242.3,2021-03-16 22:26:37,en,001-002-0003,2021-09-06 09:20:07
51,Canada,222 address,Company Y,,CAN,CAN,world,fake-email,367,,,81.05,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,338.16,2021-02-27 17:39:37,en,001-002-0003,2021-09-19 23:47:07
11,US,111 address,Company Y,,CAN,USD,hello,fake-email,228,,,78.05,,ROLE_ADVERTISER,STATUS_ENABLE,222-333-4444,Etc/GMT+5,248.64,2021-02-13 12:25:37,en,001-003-0004,2021-10-01 05:49:07
51,Canada,222 address,Company Y,,CAN,CAN,world,fake-email,155,,,126,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,28.93,2021-09-07 03:33:41,en,001-002-0003,2021-08-26 23:26:18
22,Canada,111 address,Company Y,,CAN,USD,world,fake-email,146,,,147,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,27.87,2021-08-23 07:06:41,en,001-002-0003,2021-10-15 16:52:18
3,Canada,222 address,Company Y,,US,USD,world,fake-email,135,,,72,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,39.14,2021-08-25 09:05:41,en,001-002-0003,2021-08-31 14:06:18
100,Canada,111 address,Company Y,,US,CAN,hello,fake-email,183,,,86,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,41.51,2021-07-30 03:29:41,en,001-003-0004,2021-10-13 23:16:18
3,US,111 address,Comany X,,CAN,CAN,hello,fake-email,387,,,47.22,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,177.35,2021-04-08 04:25:37,en,001-002-0003,2021-08-17 00:25:07
97,Canada,111 address,Comany X,,US,USD,world,fake-email,322,,,86.07,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,388.76,2021-03-07 01:11:37,en,001-003-0004,2021-08-18 20:24:07
14,Canada,111 address,Company Y,,CAN,CAN,world,fake-email,261,,,98.91,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,208.35,2021-02-22 01:57:37,en,001-003-0004,2021-08-27 14:22:07
4,Canada,222 address,Company Y,,CAN,CAN,world,fake-email,196,,,43.95,,ROLE_ADVERTISER,STATUS_ENABLE,222-333-4444,Etc/GMT+5,226.05,2021-02-26 02:48:37,en,001-003-0004,2021-09-22 13:30:07
54,US,222 address,Company Y,,US,USD,world,fake-email,170,,,58,,ROLE_ADVERTISER,STATUS_ENABLE,222-333-4444,Etc/GMT+5,42.94,2021-08-06 18:18:41,en,001-003-0004,2021-09-15 12:10:18
103,US,111 address,Company Y,,US,USD,hello,fake-email,101,,,61,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,24.26,2021-08-13 06:18:41,en,001-002-0003,2021-08-27 04:42:18
97,US,222 address,Company Y,,CAN,CAN,world,fake-email,275,,,-80.78,,ROLE_ADVERTISER,STATUS_ENABLE,222-333-4444,Etc/GMT+5,445.02,2021-03-10 05:31:37,en,001-002-0003,2021-10-04 05:44:07
22,US,111 address,Company Y,,US,USD,world,fake-email,377,,,29.52,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,311.01,2021-02-13 12:14:37,en,001-002-0003,2021-09-29 01:46:07
10,Canada,111 address,Comany X,,US,USD,hello,fake-email,112,,,107,,ROLE_ADVERTISER,STATUS_ENABLE,222-333-4444,Etc/GMT+5,40.75,2021-07-29 22:00:41,en,001-002-0003,2021-10-05 21:46:18
2,US,111 address,Company Y,,CAN,CAN,world,fake-email,270,,,83.62,,ROLE_ADVERTISER,STATUS_ENABLE,111-222-3333,Etc/GMT+5,400.57,2021-03-18 05:50:37,en,001-003-0004,2021-09-19 15:53:07
4,US,222 address,Company Y,,CAN,CAN,world,fake-email,359,,,94.78,,ROLE_ADVERTISER,STATUS_ENABLE,222-333-4444,Etc/GMT+5,200.79,2021-02-08 03:02:37,en,001-002-0003,2021-10-09 16:06:07
