attachment_quartile_1,attachment_quartile_2,attachment_quartile_3,attachment_total_view_time_millis,attachment_view_completion,campaign_id,date,country,impressions,quartile_1,quartile_2,quartile_3,saves,screen_time_millis,shares,spend,swipes,video_views,view_completion,view_time_millis,conversion_purchases_value
0,0,0,100000,t,dba43b9d-2d94-4ee3-be02-ca13e5b433a1,2021-03-01,US,1000,100,80,60,10,56000,5,200000,300,800,t,90000,500
0,0,0,101000,f,c53c83e6-92dd-44f9-8bc5-3f906473d756,2021-03-01,CA,990,99,79,59,9,55000,6,202500,310,790,f,91000,489.5
0,0,0,102000,t,59c76945-0351-401f-ab25-868ded7549c8,2021-03-01,GB,980,98,78,58,8,54000,7,20500,320,780,t,92000,479
0,0,0,103000,f,9c37ba4e-b6d8-45a7-b133-692d37416424,2021-03-01,AU,970,97,77,57,7,53000,8,207000,330,770,f,93000,468.5
0,0,0,104000,t,f276341a-07d9-42ce-8edb-bd00f0fb8b46,2021-03-01,DE,960,96,76,56,6,52000,9,210000,340,760,t,94000,458
0,0,0,105000,f,0429badd-ab47-42dc-ba91-474128b5dcba,2021-03-01,FR,950,95,75,55,5,51000,10,21200,350,750,f,95000,447.5
0,0,0,106000,t,cd859715-855e-408c-bb98-4bad4b88cf3e,2021-03-01,IN,940,94,74,54,4,50000,11,215000,360,740,t,96000,437
0,0,0,107000,f,0369fe44-a5b0-49b4-a710-1c8d6f45587b,2021-03-01,JP,930,93,73,53,3,49000,12,217000,370,730,f,97000,426.5
0,0,0,108000,t,0430d9a5-0ae8-4701-9cca-32c2446f2341,2021-03-01,MX,920,92,72,52,2,48000,13,220000,380,720,t,98000,416
0,0,0,109000,f,cd807749-2326-4d92-9418-27e5dd6b1046,2021-03-01,BR,910,91,71,51,1,47000,14,222000,390,710,f,99000,405.5
