dbn,grade_1,grade_3,total_enrollment,white_1,black_2,students_with_disabilities_2,grade_k,black_1,grade_10
18K135,107,116,665,15.0,87.5,9.8,96,582.0,0.0
07X030,89,99,584,12.0,20.5,20.9,73,120.0,0.0
04M072,65,54,638,21.0,12.5,22.3,80,80.0,0.0
06M462,0,0,477,,11.1,20.8,0,53.0,122.0
17K398,60,53,381,,73.0,24.9,67,278.0,0.0
10X085,147,170,1014,,29.2,23.4,116,296.0,0.0
08X301,0,0,202,,40.6,27.7,0,82.0,0.0
03M084,109,75,552,209.0,13.2,15.9,85,73.0,0.0
12X479,0,0,323,,42.1,28.5,0,136.0,117.0
09X327,0,0,737,,21.8,22.5,0,161.0,118.0
01M188,48,43,489,21.0,29.7,28.6,47,145.0,0.0
14K084,96,102,749,203.0,3.2,16.8,88,24.0,0.0
11X275,0,0,544,,34.4,23.9,0,187.0,154.0
13K307,52,49,380,29.0,57.1,34.5,69,217.0,0.0
05M157,0,0,206,,47.6,27.2,0,98.0,86.0
10X228,0,0,264,,18.2,21.6,0,48.0,0.0
12X531,86,85,521,,26.5,22.5,83,138.0,0.0
06M132,47,96,441,,,20.9,50,,0.0
18K588,0,0,218,,88.1,23.9,0,192.0,0.0
05M123,77,46,554,24.0,52.2,21.8,55,289.0,0.0
02M438,0,0,356,36.0,15.2,3.7,0,54.0,91.0
06M128,99,81,631,,3.2,15.4,103,20.0,0.0
09X199,128,138,806,12.0,30.0,20.2,125,242.0,0.0
07X520,0,0,105,,24.8,26.7,0,26.0,25.0
07X548,0,0,592,13.0,28.7,24.3,0,170.0,150.0
16K498,0,0,650,,70.6,20.8,0,459.0,170.0
16K308,28,34,361,,77.6,28.0,25,280.0,0.0
03M291,0,0,136,86.0,9.6,23.5,0,13.0,0.0
02M298,0,0,478,,31.8,15.7,0,152.0,114.0
09X260,0,0,460,,25.7,19.3,0,118.0,114.0
03M075,118,92,569,91.0,23.4,28.5,102,133.0,0.0
03M421,0,0,190,,52.1,31.6,0,99.0,0.0
03M307,0,0,403,,37.5,20.1,0,151.0,119.0
01M134,33,40,263,,20.2,31.2,39,53.0,0.0
14K561,0,0,680,66.0,15.0,16.8,0,102.0,165.0
10X344,63,80,400,80.0,12.7,14.7,63,51.0,0.0
17K489,0,0,113,,87.6,15.0,0,99.0,53.0
16K669,0,0,262,,86.3,29.4,0,226.0,82.0
12X388,0,0,441,0.0,0.0,,0,0.0,129.0
11X272,0,0,197,,65.5,32.0,0,129.0,0.0
13K093,49,51,305,11.0,70.2,15.4,47,214.0,0.0
17K705,64,44,356,51.0,49.2,24.4,70,175.0,0.0
03M403,0,0,452,21.0,23.2,21.7,0,105.0,124.0
17K221,51,58,401,,86.3,18.2,50,346.0,0.0
08X562,0,0,301,,18.3,21.6,0,55.0,0.0
18K366,0,0,498,,92.2,17.9,0,459.0,0.0
07X277,78,74,444,,23.4,18.0,73,104.0,0.0
11X370,0,0,232,,50.0,30.6,0,116.0,0.0
08X424,0,0,316,,20.6,30.7,0,65.0,0.0
03M149,25,27,285,,64.2,29.1,24,183.0,0.0
01M378,0,0,264,,22.3,33.0,0,59.0,0.0
19K325,38,45,256,,73.8,19.5,53,189.0,0.0
04M409,0,0,232,,40.9,31.9,0,95.0,63.0
18K581,0,0,129,,89.1,26.4,0,115.0,0.0
10X159,50,25,201,,8.5,15.9,40,17.0,0.0
19K158,95,104,613,,55.3,17.8,100,339.0,0.0
06M366,67,59,511,,,13.7,46,,0.0
12X006,78,80,596,,25.3,19.5,110,151.0,0.0
08X293,0,0,452,29.0,28.8,27.2,0,130.0,131.0
08X075,102,99,673,,26.2,19.3,95,176.0,0.0
12X692,0,0,416,,16.3,27.2,0,68.0,125.0
19K159,127,170,841,,39.2,13.1,144,330.0,0.0
18K617,0,0,296,,86.1,19.6,0,255.0,102.0
19K654,0,0,302,,67.5,28.1,0,204.0,0.0
04M206,0,105,484,29.0,26.0,39.3,0,126.0,0.0
04M096,43,46,458,14.0,26.0,30.8,31,119.0,0.0
09X303,0,0,319,,23.2,31.7,0,74.0,0.0
16K534,0,0,87,,70.1,32.2,0,61.0,0.0
02M131,0,0,420,,8.1,27.4,0,34.0,0.0
02M158,139,120,763,544.0,3.8,16.3,125,29.0,0.0
16K335,39,50,301,,79.7,18.6,37,240.0,0.0
02M534,0,0,456,81.0,23.2,25.2,0,106.0,113.0
02M570,0,0,266,,33.1,20.7,0,88.0,
18K235,197,155,1274,21.0,92.9,7.4,139,1184.0,0.0
12X214,113,99,1090,13.0,25.1,16.8,96,274.0,0.0
08X366,0,0,98,,13.3,27.6,0,13.0,0.0
17K484,0,0,141,,83.7,23.4,0,118.0,0.0
02M308,0,0,353,,26.3,30.6,0,93.0,100.0
15K124,63,40,341,60.0,5.9,15.5,69,20.0,0.0
02M475,0,0,3327,634.0,0.6,0.5,0,20.0,842.0
17K547,0,0,427,,80.8,18.5,0,345.0,99.0
19K452,0,0,308,0.0,72.1,14.3,0,222.0,0.0
06M349,0,0,137,0.0,0.0,0.0,0,0.0,0.0
14K297,41,42,256,,43.8,22.3,29,112.0,0.0
14K586,0,0,535,,40.4,22.6,0,216.0,99.0
06M328,0,0,148,,12.2,33.1,0,18.0,0.0
09X204,86,131,620,,28.5,19.5,78,177.0,0.0
02M104,0,0,1113,312.0,8.1,17.3,0,90.0,0.0
09X339,0,0,514,,27.6,26.8,0,142.0,0.0
11X299,0,0,465,45.0,34.8,23.2,0,162.0,127.0
11X534,0,0,129,20.0,20.9,0.0,0,27.0,0.0
02M281,31,0,152,66.0,9.2,15.1,62,14.0,0.0
09X229,0,0,266,,35.3,37.2,0,94.0,0.0
09X350,0,0,233,,30.5,33.0,0,71.0,12.0
06M311,50,49,431,23.0,,13.5,50,,0.0
17K002,0,0,475,11.0,80.6,19.4,0,383.0,0.0
03M166,114,107,614,360.0,6.2,13.0,131,38.0,0.0
08X537,0,0,215,,36.7,9.3,0,79.0,77.0
11X169,67,61,416,,71.9,21.4,53,299.0,0.0
05M161,82,80,888,,18.2,22.0,81,162.0,0.0
06M278,56,53,533,89.0,2.8,16.9,48,15.0,0.0
12X057,93,77,581,,24.1,22.0,87,140.0,0.0
13K691,0,0,241,,64.7,24.1,0,156.0,0.0
12X061,34,47,300,,22.3,19.0,36,67.0,0.0
08X376,0,0,415,,22.4,26.3,0,93.0,76.0
02M418,0,0,641,198.0,6.6,10.0,0,42.0,186.0
18K563,0,0,608,,89.3,12.7,0,543.0,169.0
18K589,0,0,236,,81.4,17.8,0,192.0,64.0
06M004,82,119,655,,7.8,19.4,96,51.0,0.0
20K069,136,156,845,37.0,,10.1,100,,0.0
16K040,40,46,296,,75.7,23.6,49,224.0,0.0
04M964,47,47,346,88.0,28.6,22.8,45,99.0,0.0
19K174,0,0,42,0.0,69.0,33.3,0,29.0,0.0
02M399,0,0,443,21.0,18.5,16.9,0,82.0,127.0
06M048,92,114,599,12.0,,20.4,86,,0.0
02M260,0,0,376,246.0,5.9,17.3,0,22.0,0.0
15K146,103,107,652,287.0,19.9,28.7,100,130.0,0.0
02M234,133,120,704,491.0,,17.2,130,,0.0
12X458,45,0,125,,21.6,9.6,50,27.0,0.0
03M860,0,0,390,,68.2,23.3,0,266.0,96.0
10X243,0,0,586,14.0,20.0,26.5,0,117.0,92.0
02M041,91,115,721,498.0,1.8,15.8,121,13.0,0.0
02M296,0,0,402,,24.1,18.9,0,97.0,103.0
12X251,0,0,363,,26.4,26.2,0,96.0,107.0
19K364,0,0,313,,68.7,24.0,0,215.0,0.0
01M292,0,0,185,,26.5,34.1,0,49.0,49.0
19K089,41,44,458,0.0,2.8,22.1,44,13.0,0.0
02M439,0,0,441,37.0,12.0,13.6,0,53.0,130.0
11X513,0,0,372,28.0,12.6,5.4,0,47.0,93.0
10X045,0,0,730,32.0,16.2,21.8,0,118.0,0.0
11X326,0,0,387,34.0,25.6,22.0,0,99.0,0.0
02M600,0,0,1798,64.0,37.4,16.0,0,673.0,468.0
14K582,0,0,246,,22.8,36.6,0,56.0,0.0
09X252,0,0,403,,20.3,24.1,0,82.0,98.0
10X442,0,0,425,,24.0,17.6,0,102.0,110.0
18K276,84,114,688,,90.8,16.6,97,625.0,0.0
10X279,117,140,1083,,17.1,20.3,112,185.0,0.0
12X511,0,0,396,,33.3,22.5,0,132.0,118.0
11X068,124,120,773,,76.7,19.9,125,593.0,0.0
02M432,0,0,290,16.0,32.8,22.1,0,95.0,82.0
02M422,0,0,662,193.0,19.2,31.6,0,127.0,95.0
10X524,0,0,338,,7.4,4.7,0,25.0,119.0
06M052,0,0,411,,4.4,18.2,0,18.0,0.0
17K546,0,0,467,,74.9,11.3,0,350.0,131.0
09X323,0,0,464,,30.0,19.2,0,139.0,0.0
09X064,0,0,138,0.0,15.9,21.0,0,22.0,0.0
15K154,117,83,534,344.0,2.6,17.0,86,14.0,0.0
12X248,0,0,341,,19.1,26.4,0,65.0,82.0
05M046,98,79,773,,49.5,25.0,68,383.0,0.0
19K662,0,0,431,,23.7,17.9,0,102.0,0.0
10X284,0,0,399,,31.8,24.3,0,127.0,102.0
04M007,39,33,372,14.0,30.1,26.1,27,112.0,0.0
02M419,0,0,370,,30.5,24.6,0,113.0,87.0
10X033,169,171,1018,17.0,10.4,19.0,160,106.0,0.0
04M224,0,0,166,12.0,36.1,19.3,0,60.0,0.0
02M543,0,0,431,12.0,32.0,23.9,0,138.0,119.0
08X332,0,0,193,,44.0,28.5,0,85.0,54.0
11X508,0,0,434,31.0,31.1,20.0,0,135.0,109.0
01M450,0,0,677,81.0,20.5,26.6,0,139.0,96.0
02M312,0,0,551,189.0,2.4,15.2,0,13.0,0.0
13K011,139,145,831,96.0,67.6,9.4,121,562.0,0.0
18K673,0,0,181,,80.7,22.7,0,146.0,53.0
09X276,0,0,180,,37.2,28.3,0,67.0,63.0
03M333,103,95,742,460.0,10.6,18.5,99,79.0,0.0
06M293,0,0,609,12.0,4.8,15.9,0,29.0,97.0
18K629,0,0,354,,87.3,24.3,0,309.0,109.0
03M859,15,16,277,120.0,13.4,13.4,13,37.0,49.0
10X331,0,0,402,,23.6,22.9,0,95.0,0.0
19K677,87,104,566,,59.5,18.2,73,337.0,0.0
08X130,69,85,521,11.0,23.4,24.4,84,122.0,0.0
07X065,76,68,436,,31.7,21.3,74,138.0,0.0
19K663,0,0,157,,63.7,30.6,0,100.0,0.0
02M545,0,0,420,,4.0,,0,17.0,104.0
09X457,102,111,597,,30.5,20.4,98,182.0,0.0
08X371,0,0,288,61.0,14.9,21.2,0,43.0,0.0
15K448,0,0,679,68.0,39.6,33.0,0,269.0,101.0
19K214,140,160,961,22.0,12.8,14.3,149,123.0,0.0
09X088,46,42,188,0.0,30.9,14.4,50,58.0,0.0
02M217,99,75,587,213.0,15.7,11.6,87,92.0,0.0
09X215,0,0,269,,45.0,16.0,0,121.0,0.0
31R078,160,124,845,39.0,42.5,27.3,139,359.0,0.0
05M285,0,0,254,,46.5,20.1,0,118.0,62.0
03M243,0,0,236,145.0,14.8,9.7,0,35.0,0.0
07X223,0,0,595,,19.8,22.0,0,118.0,118.0
17K189,110,117,1044,,71.9,12.4,83,751.0,0.0
05M092,42,44,297,,60.9,26.3,50,181.0,0.0
02M411,0,0,445,134.0,5.8,13.7,0,26.0,118.0
11X097,117,118,694,110.0,28.2,17.1,107,196.0,0.0
08X348,0,0,280,22.0,23.9,23.2,0,67.0,93.0
19K678,0,0,260,0.0,59.2,23.5,0,154.0,0.0
16K021,95,102,615,,89.4,17.2,84,550.0,0.0
02M413,0,0,747,274.0,11.1,17.1,0,83.0,110.0
03M242,28,31,214,,65.4,29.9,30,140.0,0.0
02M580,0,0,532,12.0,31.2,21.4,0,166.0,166.0
13K575,0,0,152,,82.9,,0,126.0,60.0
15K015,74,64,457,61.0,30.2,29.1,74,138.0,0.0
01M020,90,92,581,24.0,7.9,21.0,82,46.0,0.0
14K614,0,0,375,,58.1,16.0,0,218.0,69.0
02M546,0,0,451,43.0,26.2,23.3,0,118.0,122.0
08X071,191,200,1697,438.0,3.9,19.6,131,67.0,0.0
11X253,0,0,371,,45.3,26.1,0,168.0,115.0
01M458,0,0,215,,36.7,21.4,0,79.0,85.0
06M528,0,0,206,,,22.3,0,,0.0
05M369,0,0,350,,53.4,21.1,0,187.0,75.0
17K590,0,0,1247,,88.0,4.9,0,1097.0,231.0
06M218,0,0,229,,,19.7,0,,0.0
13K419,0,0,549,13.0,71.8,15.5,0,394.0,159.0
13K499,0,0,373,,83.1,28.2,0,310.0,100.0
10X437,0,0,379,,33.5,19.5,0,127.0,107.0
12X316,0,0,359,,29.8,22.3,0,107.0,0.0
04M057,88,93,851,19.0,25.6,26.6,63,218.0,0.0
11X418,0,0,500,45.0,27.6,27.0,0,138.0,140.0
05M175,50,55,362,13.0,63.5,21.3,50,230.0,0.0
10X094,208,193,1230,32.0,16.2,22.1,219,199.0,0.0
11X483,0,0,43,,51.2,,43,22.0,0.0
03M415,0,0,377,,52.5,24.4,0,198.0,86.0
07X151,0,0,255,,28.2,26.3,0,72.0,0.0
15K032,74,103,497,205.0,22.1,22.7,77,110.0,0.0
02M126,73,76,759,58.0,11.1,16.9,58,84.0,0.0
11X096,154,154,971,88.0,24.7,17.2,142,240.0,0.0
08X519,0,0,275,,25.1,33.8,0,69.0,79.0
07X296,0,0,336,,33.6,28.9,0,113.0,0.0
15K684,0,0,620,190.0,24.4,11.1,0,151.0,171.0
10X237,0,0,570,18.0,34.0,20.4,0,194.0,155.0
17K246,0,0,476,,74.6,25.2,0,355.0,0.0
07X427,0,0,326,,27.9,26.1,0,91.0,93.0
19K013,78,89,519,16.0,67.2,16.6,87,349.0,0.0
11X127,0,0,751,30.0,23.3,12.9,0,175.0,0.0
09X055,109,110,726,,47.0,17.5,100,341.0,0.0
02M416,0,0,554,344.0,4.0,8.1,0,22.0,144.0
02M135,0,0,257,,29.6,21.4,0,76.0,100.0
08X558,0,0,540,53.0,24.8,21.7,0,134.0,156.0
15K667,0,0,1314,85.0,9.0,21.3,0,118.0,334.0
07X049,118,93,688,,29.4,22.8,114,202.0,0.0
05M148,0,0,195,,74.4,23.6,0,145.0,0.0
14K478,0,0,913,16.0,35.3,19.8,0,322.0,267.0
14K474,0,0,949,,36.0,18.1,0,342.0,291.0
08X062,137,115,788,21.0,19.8,26.8,130,156.0,0.0
11X289,0,0,288,,69.8,26.4,0,201.0,0.0
15K088,0,0,1267,133.0,11.3,27.0,0,143.0,0.0
11X544,0,0,494,,39.5,29.4,0,195.0,189.0
15K230,183,209,1210,219.0,1.5,16.4,195,18.0,0.0
05M200,76,72,482,11.0,53.7,24.1,79,259.0,0.0
09X170,97,0,297,,20.2,14.1,102,60.0,0.0
18K569,0,0,357,,91.3,20.7,0,326.0,118.0
09X227,0,0,395,,24.6,24.6,0,97.0,114.0
07X670,0,0,554,,33.9,20.6,0,188.0,160.0
02M560,0,0,612,98.0,33.5,19.4,0,205.0,14.0
02M519,0,0,509,95.0,34.4,10.8,0,175.0,131.0
11X111,130,97,753,,60.8,24.6,108,458.0,0.0
09X555,67,66,358,,21.5,13.7,54,77.0,0.0
13K282,81,93,892,84.0,59.3,14.1,69,529.0,0.0
02M077,61,62,345,202.0,,10.7,49,,0.0
14K330,0,0,82,0.0,52.4,43.9,0,43.0,0.0
09X114,135,132,790,15.0,22.2,18.0,119,175.0,0.0
13K020,66,53,401,65.0,53.9,14.2,80,216.0,0.0
09X564,0,0,351,,25.6,,0,90.0,98.0
10X225,0,0,630,11.0,27.0,24.4,0,170.0,132.0
11X078,138,133,812,34.0,72.0,16.3,118,585.0,0.0
15K172,84,98,587,75.0,3.7,26.2,98,22.0,0.0
10X009,127,138,879,,15.9,20.5,130,140.0,0.0
15K592,0,0,232,80.0,39.7,15.5,0,92.0,86.0
05M304,0,0,409,,35.0,23.0,0,143.0,106.0
19K171,0,0,547,,14.3,15.4,0,78.0,0.0
04M146,53,54,379,,26.1,42.0,77,99.0,0.0
02M459,0,0,342,41.0,15.8,3.2,0,54.0,91.0
10X440,0,0,1694,60.0,31.1,17.8,0,527.0,427.0
02M374,0,0,523,30.0,41.1,18.0,0,215.0,188.0
11X153,115,130,738,38.0,58.4,11.9,92,431.0,0.0
13K265,0,0,427,,72.8,20.8,0,311.0,62.0
