objectid,globalid,location,zipcode,srpriority,geometry,bin,srsource,congressional,complainttype
3146764,036D2435-C0C0-4842-9D57-ED1D36AABB2F,"{'type': 'Point', 'coordinates': [-74.20278499187832, 40.516624155289655]}",10309.0,Routine,POINT(-74.20278499187832 40.516624155289655),,Department of Parks and Recreation - Public Web Site,11.0,Damaged Tree
5456358,C9E6E491-836A-46C5-8B51-919145836143,"{'type': 'Point', 'coordinates': [-73.96988142369881, 40.58697338274896]}",,Routine,POINT(-73.96988142369881 40.58697338274896),,Park Inspection Program,,
20878461,DA2D3B71-D9D2-4A38-8E52-3A4AC3EDBA5F,"{'type': 'Point', 'coordinates': [-73.87987804752281, 40.65905425061942]}",,Routine,POINT(-73.87987804752281 40.65905425061942),,AMPS,,
17585906,E7BB1D21-4F74-4E18-903E-1AB3984C5C1F,"{'type': 'Point', 'coordinates': [-73.99012957660737, 40.699243783066805]}",,Routine,POINT(-73.99012957660737 40.699243783066805),,AMPS,,
20679359,FDAE0251-F556-464B-92A4-26008383111E,"{'type': 'Point', 'coordinates': [-73.94889178020641, 40.69703888521064]}",,Routine,POINT(-73.94889178020641 40.69703888521064),,AMPS,,
5474360,02B73482-970C-4E65-9417-348949BA96B2,"{'type': 'Point', 'coordinates': [-73.94493111972885, 40.773708506863535]}",,Routine,POINT(-73.94493111972885 40.773708506863535),,Park Inspection Program,,
19352450,3E6DB200-C529-49F9-B2B6-212681E948AD,"{'type': 'Point', 'coordinates': [-74.19123021764885, 40.5181322225533]}",,Routine,POINT(-74.19123021764885 40.5181322225533),,AMPS,,
23637126,09466809-5C22-4110-9C78-7CAF6327AFC6,"{'type': 'Point', 'coordinates': [-73.81047451127802, 40.74743384615023]}",,Routine,POINT(-73.81047451127802 40.74743384615023),,AMPS,,
25389262,4A04C6DF-5F3C-42FE-8519-0EE528AD1588,"{'type': 'Point', 'coordinates': [-73.91992709965855, 40.87860608612707]}",,Routine,POINT(-73.91992709965855 40.87860608612707),,AMPS,,
19581103,6B8EB9BE-88C7-4ABB-807E-2F280A5EE781,"{'type': 'Point', 'coordinates': [-73.81340340566004, 40.82220825063683]}",,Routine,POINT(-73.81340340566004 40.82220825063683),,AMPS,,
22879409,49C43B69-CF1F-44D2-B7A2-24429FB4F153,"{'type': 'Point', 'coordinates': [-73.92250295046934, 40.844258945171056]}",,Routine,POINT(-73.92250295046934 40.844258945171056),,AMPS,,
680383,D1B38EE3-F8A7-47E7-99B8-EAAFD2780365,"{'type': 'Point', 'coordinates': [-73.96671835185404, 40.64300837990676]}",11218.0,Routine,POINT(-73.96671835185404 40.64300837990676),3118289.0,DPR,9.0,
23355471,D3F793BA-5613-4D66-868A-17C6A73D1A6D,"{'type': 'Point', 'coordinates': [-73.88116660951998, 40.82454979884783]}",,Routine,POINT(-73.88116660951998 40.82454979884783),,AMPS,,
8928362,66B621A9-91D1-4887-A9C8-20AD1E85682D,"{'type': 'Point', 'coordinates': [-73.91746908943614, 40.8861644077805]}",,Routine,POINT(-73.91746908943614 40.8861644077805),,Park Inspection Program,,
5390776,270FB590-0FB4-4B6C-84DC-FA98C56D2A15,"{'type': 'Point', 'coordinates': [-73.83137350569953, 40.83797292670932]}",,Routine,POINT(-73.83137350569953 40.83797292670932),,Park Inspection Program,,
15627645,65CC74AB-68A6-4F93-BD16-3502945EA4E6,"{'type': 'Point', 'coordinates': [-73.97349973145174, 40.69068363269943]}",,Routine,POINT(-73.97349973145174 40.69068363269943),,AMPS,,
8153163,270AFDAA-3D3B-480C-BDDF-5083DC78E635,"{'type': 'Point', 'coordinates': [-73.89547712925972, 40.83675056785543]}",,Routine,POINT(-73.89547712925972 40.83675056785543),,DPR,,
8296373,F3208B5F-F0BD-4C13-9478-3938D2E3F939,"{'type': 'Point', 'coordinates': [-73.93956927965522, 40.59892326589899]}",11229.0,Routine,POINT(-73.93956927965522 40.59892326589899),3200408.0,Correspondence,9.0,
23275432,24436A5C-6C77-4399-8B7B-F70824738AB4,"{'type': 'Point', 'coordinates': [-73.90824431114687, 40.83758388370249]}",,Routine,POINT(-73.90824431114687 40.83758388370249),,AMPS,,
21851282,D0110A05-B58D-498B-90F1-5E3D3F8A8A8E,"{'type': 'Point', 'coordinates': [-74.00461949117445, 40.64834700516814]}",,Routine,POINT(-74.00461949117445 40.64834700516814),,AMPS,,
26480449,94ADE29E-A8A2-4BE6-B1AC-17959F0FC150,"{'type': 'Point', 'coordinates': [-73.91010588099364, 40.71313609415118]}",11385.0,Routine,POINT(-73.91010588099364 40.71313609415118),4433898.0,3-1-1 Call Center,7.0,New Tree Request
26001908,E7629612-8F6F-49B3-A8A3-3F4B5946776D,"{'type': 'Point', 'coordinates': [-73.79164752268385, 40.71863023951714]}",,Routine,POINT(-73.79164752268385 40.71863023951714),,AMPS,,
12295571,C245C452-EEFC-4C8E-8E1E-E3939CC4C9DF,"{'type': 'Point', 'coordinates': [-73.99485260742725, 40.700736749455565]}",,ASAP,POINT(-73.99485260742725 40.700736749455565),,Correspondence,,
10593167,65FF3934-541B-4F18-B1C6-880D995C7345,"{'type': 'Point', 'coordinates': [-74.13501671342623, 40.62290147956504]}",,Routine,POINT(-74.13501671342623 40.62290147956504),,AMPS,,
26199225,77C91FE8-A5C7-4CB0-B147-EE0E4BBF7E81,"{'type': 'Point', 'coordinates': [-73.96310375572297, 40.76921035516955]}",10021.0,Routine,POINT(-73.96310375572297 40.76921035516955),1042509.0,3-1-1 Call Center,12.0,New Tree Request
21742984,A59B9F71-5DF6-494D-9DA3-08BC315AD257,"{'type': 'Point', 'coordinates': [-74.075893395024, 40.626806333452976]}",,Routine,POINT(-74.075893395024 40.626806333452976),,AMPS,,
23442437,6E99B4B2-15AB-415E-98E1-F3B3C061C7F2,"{'type': 'Point', 'coordinates': [-73.77258804470729, 40.69878086931062]}",,Routine,POINT(-73.77258804470729 40.69878086931062),,AMPS,,
5483959,31D360D4-B5C2-4881-BD04-D4B2F12B10DA,"{'type': 'Point', 'coordinates': [-73.9822254343175, 40.7868954660533]}",,Routine,POINT(-73.9822254343175 40.7868954660533),,Park Inspection Program,,
16158855,C5073937-0D91-492D-831E-2F46697D37FD,"{'type': 'Point', 'coordinates': [-73.83585962337854, 40.72802777073654]}",,Routine,POINT(-73.83585962337854 40.72802777073654),,Department of Parks and Recreation - Public Web Site,,New Tree Request
18384259,1B7B5890-7316-4A30-99FF-F2D5313441D1,"{'type': 'Point', 'coordinates': [-73.83579278680978, 40.71063769421342]}",,ASAP,POINT(-73.83579278680978 40.71063769421342),4442874.0,DPR,,
20180164,A1EDEF8C-75C8-4A9D-894F-7AC2B3ACA348,"{'type': 'Point', 'coordinates': [-73.98158824617232, 40.779160630497856]}",,Routine,POINT(-73.98158824617232 40.779160630497856),,AMPS,,
25853614,9A743135-AA24-4303-97A9-22CF35FC6E14,"{'type': 'Point', 'coordinates': [-73.98243910941108, 40.771710264430055]}",,Routine,POINT(-73.98243910941108 40.771710264430055),1000000.0,AMPS,,
16257223,43D1AD92-47E5-4149-B899-FFC6F32E35EC,"{'type': 'Point', 'coordinates': [-74.12351573536932, 40.560478649754515]}",,Routine,POINT(-74.12351573536932 40.560478649754515),,DPR,,
3901164,FC3960E1-3D9C-4219-8A51-63FBB8DFFC83,"{'type': 'Point', 'coordinates': [-73.8989299513025, 40.6982924937343]}",11385.0,Routine,POINT(-73.8989299513025 40.6982924937343),,Correspondence,7.0,
25418508,64D46772-D4FE-4602-802F-EB959C4213C7,"{'type': 'Point', 'coordinates': [-73.92248854925839, 40.74730137541725]}",,Routine,POINT(-73.92248854925839 40.74730137541725),,AMPS,,
8439580,C2188F1D-20E3-4B20-B7F1-0CC10A2378CF,"{'type': 'Point', 'coordinates': [-73.91596833833657, 40.70640061148583]}",11385.0,Routine,POINT(-73.91596833833657 40.70640061148583),4081759.0,Correspondence,7.0,
18590459,A187752C-6D4B-44B0-9F6D-EA198D73F07D,"{'type': 'Point', 'coordinates': [-73.7623616481607, 40.663759734978214]}",,Routine,POINT(-73.7623616481607 40.663759734978214),,AMPS,,
17799384,FDFFDE8D-B765-496B-84BB-1B88CDAE7A68,"{'type': 'Point', 'coordinates': [-73.99506666917884, 40.767841647317006]}",,Routine,POINT(-73.99506666917884 40.767841647317006),1000000.0,AMPS,,
21930418,FF9E3537-5811-4060-877A-5FF8808449F5,"{'type': 'Point', 'coordinates': [-73.95539981407079, 40.71041283113885]}",,Routine,POINT(-73.95539981407079 40.71041283113885),,AMPS,,
21730369,27F10CD7-3379-4419-89D6-F0D870709E0F,"{'type': 'Point', 'coordinates': [-73.91859349183646, 40.65410835299531]}",,Routine,POINT(-73.91859349183646 40.65410835299531),,AMPS,,
23961585,C175AE45-C105-4985-8BC1-16236037B698,"{'type': 'Point', 'coordinates': [-74.01112882251348, 40.640509387383666]}",,Routine,POINT(-74.01112882251348 40.640509387383666),,AMPS,,
18289932,9B74140D-8BAE-40F8-9E69-F135A8EDF1AB,"{'type': 'Point', 'coordinates': [-73.75794857336864, 40.70036584214096]}",,Routine,POINT(-73.75794857336864 40.70036584214096),,AMPS,,
17677888,2843B226-04DB-495D-9C90-E4E524C1C728,"{'type': 'Point', 'coordinates': [-73.97612014166558, 40.68980286412051]}",,Routine,POINT(-73.97612014166558 40.68980286412051),,AMPS,,
16480580,642D8BB0-6ADD-49FE-BC2B-13908E9304A0,"{'type': 'Point', 'coordinates': [-73.77373520544043, 40.73009032312241]}",,ASAP,POINT(-73.77373520544043 40.73009032312241),,Park Inspection Program,,
25700604,CCDC0B17-76D0-410A-9C67-5AABCC539FBB,"{'type': 'Point', 'coordinates': [-73.92089352215483, 40.84639744075361]}",,Routine,POINT(-73.92089352215483 40.84639744075361),,AMPS,,
15682896,0E756D29-A2A7-4B57-8E10-1A3E7968D976,"{'type': 'Point', 'coordinates': [-73.88836332583459, 40.682808845048285]}",,Routine,POINT(-73.88836332583459 40.682808845048285),,Park Inspection Program,,
17997060,F8F5D330-739C-4592-8C93-1FB542A70A7C,"{'type': 'Point', 'coordinates': [-73.93668444689041, 40.71616166651789]}",,Routine,POINT(-73.93668444689041 40.71616166651789),,AMPS,,
15854051,DEA1EBA4-0434-4164-A000-6FEA87A1186D,"{'type': 'Point', 'coordinates': [-74.08501840037185, 40.61780131496192]}",,Routine,POINT(-74.08501840037185 40.61780131496192),,AMPS,,
25158471,7EDEC47A-2C0B-4482-BCB5-06D1A58E5D84,"{'type': 'Point', 'coordinates': [-74.01443722019556, 40.619141741829665]}",,Routine,POINT(-74.01443722019556 40.619141741829665),,AMPS,,
23148908,E7E2CAC3-C8DB-4716-A8B8-0F26C5A75254,"{'type': 'Point', 'coordinates': [-73.96942268643527, 40.65208331858798]}",,Routine,POINT(-73.96942268643527 40.65208331858798),,AMPS,,
21012271,FCDB41E9-0233-4E6C-A080-E0422F793855,"{'type': 'Point', 'coordinates': [-73.89662889960037, 40.69693592082011]}",,Routine,POINT(-73.89662889960037 40.69693592082011),,AMPS,,
23989074,911B9217-A196-45B4-BFD5-EE5220C0A1CB,"{'type': 'Point', 'coordinates': [-73.99937703867879, 40.59781080179829]}",11214.0,Routine,POINT(-73.99937703867879 40.59781080179829),,Department of Parks and Recreation - Public Web Site,11.0,New Tree Request
26312983,C08BA6B1-0FC2-4DE8-899C-90D956BCD0AE,"{'type': 'Point', 'coordinates': [-74.09244350030193, 40.59285768482115]}",10304.0,Routine,POINT(-74.09244350030193 40.59285768482115),,3-1-1 Call Center,11.0,New Tree Request
8039172,88285E6F-4C48-41D6-9978-50C3C6F0DC70,"{'type': 'Point', 'coordinates': [-73.99535390918366, 40.62050076331366]}",11204.0,Routine,POINT(-73.99535390918366 40.62050076331366),3134264.0,Correspondence,10.0,
25874715,03F8B73E-E326-42BB-8AE8-D22EB1039CD6,"{'type': 'Point', 'coordinates': [-73.89587803601782, 40.881394564319976]}",,Routine,POINT(-73.89587803601782 40.881394564319976),,AMPS,,
17656283,D9C47A7C-DED3-4B23-A11D-F586BC69178F,"{'type': 'Point', 'coordinates': [-73.92420698963049, 40.8342262917006]}",,Routine,POINT(-73.92420698963049 40.8342262917006),,AMPS,,
5391969,24E86B9C-9E7F-461E-AF79-F6D6CF7958CD,"{'type': 'Point', 'coordinates': [-73.8908488040025, 40.84338567291591]}",,Routine,POINT(-73.8908488040025 40.84338567291591),,Park Inspection Program,,
23585436,F094BA24-31F6-4017-B18E-3B50FCDA4E1A,"{'type': 'Point', 'coordinates': [-73.82491946428433, 40.75803535361877]}",,Routine,POINT(-73.82491946428433 40.75803535361877),,AMPS,,
24623750,831014DE-6BFC-4E86-93D3-0D4766FB07B1,"{'type': 'Point', 'coordinates': [-73.92376125086416, 40.834212780976735]}",,Routine,POINT(-73.92376125086416 40.834212780976735),,AMPS,,
17857711,356CAB14-9E7F-4E27-8E93-F72EE73AA296,"{'type': 'Point', 'coordinates': [-73.89875970705411, 40.826251070122126]}",,Routine,POINT(-73.89875970705411 40.826251070122126),,AMPS,,
21244011,9B60F6E0-76CF-414F-9727-E69288A4A8E4,"{'type': 'Point', 'coordinates': [-73.81522734029888, 40.69073261655945]}",11419.0,Routine,POINT(-73.81522734029888 40.69073261655945),,3-1-1 Call Center,5.0,Damaged Tree
2278761,0ADCFF1B-A28F-454A-82AA-10097C2EA08D,"{'type': 'Point', 'coordinates': [-73.86007032179518, 40.72052426738543]}",,Routine,POINT(-73.86007032179518 40.72052426738543),,Department of Parks and Recreation - Public Web Site,,New Tree Request
17677886,49B7F6E7-41B0-4785-B420-342F461BEDBE,"{'type': 'Point', 'coordinates': [-73.92207852455557, 40.84432659590861]}",,Routine,POINT(-73.92207852455557 40.84432659590861),,AMPS,,
26174122,C7ADA88B-AF1C-43A1-A597-0A20D0EFEA73,"{'type': 'Point', 'coordinates': [-74.16064499035404, 40.539481103411795]}",10312.0,Routine,POINT(-74.16064499035404 40.539481103411795),5068936.0,Department of Parks and Recreation - Public Web Site,11.0,New Tree Request
21237310,1ECCD9AC-1633-454C-9398-FCD1BC3D40CD,"{'type': 'Point', 'coordinates': [-74.02012782034173, 40.60699611301147]}",,ASAP,POINT(-74.02012782034173 40.60699611301147),,Correspondence,,
26240505,2650B3A3-2DEC-486F-8FF3-0AC08632E0D2,"{'type': 'Point', 'coordinates': [-73.88947212802454, 40.76215656422526]}",,Routine,POINT(-73.88947212802454 40.76215656422526),,AMPS,,
14561180,A6ED7D08-A39D-467E-9B6A-4210326401AB,"{'type': 'Point', 'coordinates': [-73.77193038128593, 40.73169025789944]}",11366.0,Routine,POINT(-73.77193038128593 40.73169025789944),4155399.0,DPR,6.0,
21742983,D5B00D18-8FB3-4090-8A7D-F103E7730FEB,"{'type': 'Point', 'coordinates': [-73.81332671078287, 40.88637207713397]}",,Routine,POINT(-73.81332671078287 40.88637207713397),,AMPS,,
23897985,CA428C82-41D0-4807-B994-4DE29BE32F63,"{'type': 'Point', 'coordinates': [-73.95756634756644, 40.728986271993364]}",,Routine,POINT(-73.95756634756644 40.728986271993364),,AMPS,,
26228794,CAD36636-D201-432E-8E39-2113F0B76F5C,"{'type': 'Point', 'coordinates': [-73.91653090580736, 40.70108317914824]}",11237.0,Routine,POINT(-73.91653090580736 40.70108317914824),,3-1-1 Call Center,7.0,Overgrown Tree/Branches
