dbn,phone_number,method9,interest7,seats109,grade9swdfilledflag3,offer_rate2,common_audition2,seats1010,seats104,offer_rate7,method10,zip,method2,requirement4_3,seats9ge5,grade9swdfilledflag10,admissionspriority24,grade9swdapplicants9,interest10,admissionspriority11,method3,requirement5_6,admissionspriority32,grade9swdapplicants5,grade9geapplicants2,academicopportunities2,seats9swd1,grade9swdapplicants3,interest1,grade9gefilledflag4,school_accessibility_description,appperseat6specialized,grade9gefilledflag6,requirement5_3,admissionspriority53,seats106,admissionspriority29,extracurricular_activities,directions3,directions7,code2,seats4specialized,grade9geapplicantsperseat3,requirement6_2,requirement3_5,location,grade9geapplicants8,grade9swdapplicantsperseat8,applicants6specialized,auditioninformation2,eligibility4,requirement2_1,code3
12X248,718-991-4634,,,,,,,,,,,10459,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,Collins Writing,16.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"National Honor Society, Dance, Digital Photography, Talent Show, Yearbook and Prom Committees, Soccer Club, Open Space - GirlsÂ’ Group, Brothers Breaking Bread Â– BoysÂ’ Group, College Now, Newspaper, LINCT CUNY College Program, Partnership with Phipps Neighborhood",,,,,,,,"1180 Rev. J.A. Polite Ave., Bronx NY 10459 (40.827539, -73.896925)",,,,,,,
24Q560,7 18-472-5671,,,,,,,,,,,11101,For Continuing 8th Graders,,,,,,,"Priority to Districts 24, 30 and 32 students or residents",,,,,,We offer Advanced Placement courses in United States History and English.,19.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Art, Chess, Robotics, Yoga, Student Government, Music Club, Gardening, Chinese Calligraphy, Anime Club, National Honor Society/Arista, Tutoring in Academic Subjects, Running Club, Computer/Video Game Club, Makers Club, Ping Pong Club, Photography Club, Yearbook Club, Key Club, Dance/Cheer Club, Yu-Gi-Oh Club, School Leadership Team, Student Talent Showcases; Theater program with professional-level productions; and United Student Organization (USO).",,,Q31K,,,,,"47-07 30th Place, Long Island City NY 11101 (40.742217, -73.936442)",,,,,,Group Interview,
08X405,718-904-4200,,,,,,,,,,,10461,Screened,,,,,,,,Zoned Priority,,,,172.0,"A+ Certification, 2-year Cisco Program, Robotics, Microsoft Office and Specialist Certification",18.0,,Computer Science & Technology,,1.0,,,,,,,"Community Service, Speech & Debate, Arista, Band, Ceramics, Chamber Choir, Chess, Dance, Debate Team, Digital Media, Forensic Program, Law Team, Leadership Program, Mock Trial, Moot Court, MOUSE Squad, Musical Theater Productions, Newspaper, Painting, Robotics, Student Council, Tech Bridge, Cooking, Zumba, Martial Arts, Opening Act Theatrical Program",,,X16B,,,,,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",,,,,,,X16Z
09X260,718-992-7089,,,,,,,,,,,10456,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,"PSAT and SAT Preparation, Evening School and Summer Institute for Credit Recovery",22.0,,Science & Math,,,,,,,,,"buildOn, Costume Design, Drama, Dance, Set Design, Technology, Homework Help, Peer Tutoring, National Honor Society/Arista, School Leadership and School Spirit Teams, Science Tutoring, Soccer, Softball, Student Government, Yearbook, Yoga",,,,,,,,"1363 Fulton Avenue, Bronx NY 10456 (40.833884, -73.902794)",,,,,,,
10X268,718-329-8580,,,,,,,,,,,10468,,,,,,,,,,,,,,School Health Program,22.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"After-School classes in- English, Art, Math, Music, Paint Club, School Store, Science, Social Studies, Student Council, Video",,,,,,,,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061, -73.897066)",,,,,,,
11X270,718-696-3840,,,,,,,,,,,10466,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,Additional STEM Courses in Computer Science and Science Research,16.0,,Business,,1.0,,,,,,,"Dance, National Honor Society, Student Government, Yearbook, Physical Fitness, Theatre Arts, Cheerleading, and Tennis",,,,,,,,"921 East 228th Street, Bronx NY 10466 (40.888242, -73.852714)",,,,,,,
02M374,212-253-7076,,,,,,1.0,,,,,10003,Audition,,,,,,,Open to New York City residents,,,,,148.0,Lunch and Learn: Students can eat and study during lunch time.,11.0,,Visual Art & Design,,1.0,,,,,,,"Mock Trial, Model UN, National Honor Society, Vineyard Theater, Arts Shows, Anime club, Poetry club, Chess club, Year book, Student Government.",,,M66B,,,,,"40 Irving Place, Manhattan NY 10003 (40.735361, -73.987064)",,,,Perform two contrasting monologues (one minute each). Perform an on-demand dramatic or movement activity (e.g. impromptu reading from provided script or improvisation). Wear attire that allows free movement.,,,
18K589,718-773-3908,,,,,,,,,,,11203,,,,,,,,Priority to New York City residents who attend an information session,,,,,,"Advisories, Group and Independent Projects, Online Access to Curriculum and Progress Reports, Service Learning, Advanced Art",13.0,,Humanities & Interdisciplinary,,,,,,,,,"Book Clubs, After-School Tutoring, Model UN, Media, College Prep, Community Service, Visual Arts, Art Portfolio, Drama, Dance, Track, Student Government",,,,,,,,"905 Winthrop Street, Brooklyn NY 11203 (40.659088, -73.928744)",,,,,,,
25Q241,718-888-7530,,,,,,,,,,,11354,,,,,,,,Priority to Queens students or residents,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,16.0,,Humanities & Interdisciplinary,,,,,,,,,"Music, Anime, Chess, Community Arts, Drama, Math Team, Computer Programming, Engineering, Green Club, Hip Hop, SAT prep, Rainbow Club, and Student Government; students are encouraged to form additional clubs. Tutoring is offered daily; Saturday Regents Prep is offered in January, May, and June.",,,,,,,,"35-01 Union Street, Flushing NY 11354 (40.764892, -73.826811)",,,,,,,
02M580,646-826-8174,,,,,,,,,,,10004,Ed. Opt.,,,,,,,Open to New York City residents,,,,,194.0,"Teaching Internships & Seminar; The Liberal Arts Program offers mentoring, internships, after-school workshops & a career fair",13.0,,Teaching,,1.0,,,,,,,"Mural Club, Book Club, College for Every Student (CFES), College Mentoring for Access and Persistence (MAP), The Future Project Coffeehouse, New York Cares, Peer Tutoring, Peer Mediation Center, Senior Activities, Student Government Organization, The Dream Team, Yearbook, Anti-Defamation League Peer Leaders (ADL), Photography, Dance, Chorus, Cheerleading, Educators Rising",,,M23B,,,,,"7 Beaver Street, Manhattan NY 10004 (40.705688, -74.013303)",,,,,,,
