school_name,requirement6_1,interest4,auditioninformation7,eligibility7,borough,psal_sports_girls,seats9ge8,code4,seats103,seats9ge9,advancedplacement_courses,requirement1_1,offer_rate5,total_students,grade9swdapplicantsperseat7,appperseat4specialized,applicants2specialized,offer_rate8,requirement2_7,grade9swdapplicants6,auditioninformation3,requirement4_1,common_audition6,code5,grade9gefilledflag5,admissionspriority31,grade9swdfilledflag8,admissionspriority41,pct_stu_enough_variety,requirement6_7,requirement1_2,requirement1_7,grade9swdfilledflag9,requirement4_5,grade9geapplicants7,requirement1_3,grade9swdapplicantsperseat10,grade9swdapplicants10,seats101,academicopportunities4,requirement5_2,seats9swd5,prgdesc1,grade9gefilledflag2,admissionspriority27,boys,auditioninformation6,admissionspriority71,transfer
"Mathematics, Science Research and Technology Magnet High School",,,,,QUEENS   ,"Badminton, Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,"AP Biology, AP English, AP US History",,,437,,,,,,,,,,,,,,,0.680000007,,,,,,,,,,Yes-25,,,,"Focuses on academic excellence, meeting all standards via the integration of scientific and technological instruction",,,,,,
High School for Service & Learning at Erasmus,,,,,BROOKLYN ,"Basketball, Flag Football, Indoor Track, Outdoor Track, Softball, Swimming, Table Tennis, Tennis, Volleyball",,,,,"AP Biology, AP English",,,412,,,,,,,,,,,,Then to Brooklyn students or residents,,Then to New York City residents,0.730000019,,,,,,,,,,Yes-10,,,,,,,,,,
Wings Academy,,,,,BRONX    ,"Basketball, Softball",,,,,"AP English, AP Spanish, AP Statistics, AP US Government and Politics, AP US History",Writing Exercise,,500,,,,,,,,,,,,,,,0.560000002,,,,,,,,,,No,,,,An accelerated Regents testing program that enables students to earn Advanced Regents Diplomas and become eligible to take AP tests and college level courses.,,,,,,
FDNY Â– Captain Vernon A. Richards High School for Fire and Life Safety,,,,,BROOKLYN ,"Basketball, Flag Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,,,,,,,334,,,,,,,,,,,,Then to New York City residents who attend an information session,,Then to students who reside in the geographical catchment area,0.870000005,,,,,,,,,,No,"Biology, life-saving skills, human anatomy, fire science, extinguishing agents and their chemical make-up",,,,,,,,,
The Urban Assembly School for Global Commerce,,,,,MANHATTAN,Basketball,,,,,"AP Human Geography, AP Psychology",,,206,,,,,,,,,,,,Then to Manhattan students or residents,,Then to New York City residents,0.680000007,,,,,,,,,,YesÂ–30,Regents diploma,,,,,,,,,
Frederick Douglass Academy II Secondary School,,,,,MANHATTAN,"Basketball, Flag Football, Golf, Outdoor Track, Soccer, Softball, Volleyball",,,,,"AP English, AP Environmental Science, AP Statistics, AP US History",Group interview,,390,,,,,,,,,,,,,,,0.800000012,,,,,,,,,,No,"FDA II Expanded Learning Opportunities: Tribeca Film Institute, Music Production, Peer Tutoring, Digital Media",,,"The Douglass STEM Institute prepares Scholars for success in colleges and careers focused on Science, Technology, Engineering and Mathematics (STEM) through a performance task based curriculum. In addition, to our core Science and Math sequence, Scholars have access to Advanced Placement courses as well as electives focused on Robotics and Engineering. Scholars will be equipped with a foundation of essential knowledge and skills to critically explore and solve real world problems.",,,,,,
New Directions Secondary School,,,,,BRONX    ,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball, Wrestling",,,,,,,,233,,,,,,,,,,,,Then to New York City residents who attend an information session,,Then to Bronx students or residents,0.99000001,,,,,,,,,,No,Visual and Performing arts classes are offered on each grade level and after school.,,,New Directions has a rolling admissions policy and operates as a transfer high school. There are 54 seats per grade. For 2016-2017 we will have all grades 6 through 12.,,,,,,1.0
Alfred E. Smith Career and Technical Education High School,,,,,BRONX    ,"Basketball, Volleyball",,,No,,"AP English, AP Environmental Science",Demonstrated Interest: School Visit,,415,,,,,,,,,,,,,,,0.790000021,,,,,,,"Course Grades: English (65-100), Math (61-100), Science (63-100)",,,No,All programs end with state-approved certifications.,,,Follows the National Automotive Technicians Education Foundation program of instruction and leads to national certification in the automotive industry.,N,,,,,
Robert H. Goddard High School of Communication Arts and Technology,,,,,QUEENS   ,"Soccer, Softball",,,,,"AP English, AP Environmental Science, AP Psychology, AP Spanish, AP US History, AP World History",,,606,,,,,,,,,,,,,,,0.790000021,,,,,,,,,,Yes-5,,,,,,,,,,
Renaissance High School for Musical Theater & Technology,,,,,BRONX    ,"Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,"AP US Government and Politics, AP World History",,,452,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.850000024,,,,,,,,,,Yes-10,,,,,,,,,,
New Utrecht High School,,Visual Art & Design,,,BROOKLYN ,"Badminton, Basketball, Bowling, Flag Football, Handball, Soccer, Softball, Swimming, Tennis, Volleyball",,K28D,No,,"AP Biology, AP Calculus, AP Chemistry, AP Economics, AP English, AP Physics, AP Psychology, AP Statistics, AP US Government and Politics, AP US History, AP World History",,,3553,,,,,,146.0,,,,K28H,Y,,,,0.850000024,,,,,,,,,,No,,,7.0,Combines academics and hands-on experience to develop candidates interested in health career professions.,Y,,,,,
Monroe Academy for Visual Arts & Design,,,,,BRONX    ,"Basketball, Softball",,,,,,,,416,,,,,,,,,,,,,,,0.660000026,,,,,,,,,,Yes-10,,,,Four years of art in addition to high school graduation requirements,,,,,,
Young Women's Leadership School of Brooklyn (TYWLS),,,,,BROOKLYN ,"Basketball, Fencing, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,"AP Biology, AP Computer Science, AP English, AP Psychology","Course Grades: English (55-100), Math (55-100), Social Studies (60-100), Science (60-100)",,375,,,,,,,,Group Interview,,,,Then to New York City residents,,,0.620000005,,,,,,,,,,No,Early college awareness,,,,,,,,,
Martin Van Buren High School,,Zoned,,,QUEENS   ,"Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,Q38Z,Yes-10,,"AP Biology, AP Calculus, AP English, AP Spanish, AP Studio Art, AP US History, AP World History","Course Grades: English (55-100), Math (56-100), Social Studies (55-100), Science (65-100)",,1544,,,,,,,,,,,,,,,0.75999999,,,,,,,,,,Yes-10,,,,"Exploring careers in the field of medicine, Pre-Med, nursing, physical therapy, Emergency Medical Technician (EMT). Internships at Long Island Jewish Medical Center with medical hands-on-training. College-credit courses offered through CUNY Queensborough Community College, and York College.",Y,,,,,
Bronx Envision Academy,,,,,BRONX    ,"Softball, Volleyball",,,,,"AP Biology, AP English",,,396,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.75,,,,,,,,,,Yes-5,"Career and College Counseling, Partnerships with Arts Institutions, PENCIL Partnership Business class",,,,,,,,,
