bk_sunset_park_west,qn_murray_hill,bk_clinton_hill,si_grasmere_arrochar_ft,qn_park_cemetery_etc_queens,state,qn_jamaica_estates_holliswood,bx_west_farms_bronx_river,bk_crown_heights_north,bx_claremont_bathgate,mn_upper_west_side,qn_forest_hills,si_oakwood_oakwood_beach,bk_bensonhurst_east,mn_chinatown,bk_prospect_lefferts_gardens,bbl,bx_kingsbridge_heights,bk_borough_park,bx_mount_hope,mn_washington_heights_north,qn_fresh_meadows_utopia,mn_central_harlem_south,bk_dyker_heights,bk_bushwick_south,qn_kew_gardens_hills,bk_georgetown_marine_park,qn_lindenwood_howard_beach,si_westerleigh,organization_type,si_annadale_huguenot_prince,bx_van_cortlandt_village,qn_laurelton,qn_jackson_heights,council_district,qn_bayside_bayside_hills,bx_pelham_bay_country_club,mn_park_cemetery_etc_manhattan,qn_far_rockaway_bayswater,bk_brooklyn_heights_cobble,qn_hollis,bk_stuyvesant_heights,bx_bronxdale,bk_sheepshead_bay_gerritsen,bk_bensonhurst_west
,,,,,NY,,,,,,,,,,,1008970016.0,,,,,,,,,,,,,Faith-based institution,,,,,2.0,,,,,,,,,,
,,,Grasmere-Arrochar-Ft. Wadsworth,,NY,,West Farms-Bronx River,,Claremont-Bathgate,Upper West Side,,Oakwood-Oakwood Beach,,Chinatown,,5009550100.0,Kingsbridge Heights,,Mount Hope,Washington Heights North,,Central Harlem South,,,,,,Westerleigh,Nursing Home,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,,,50.0,,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,,,,,Bronxdale,,
,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,,,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,,Bronxdale,,Bensonhurst West
,,,Grasmere-Arrochar-Ft. Wadsworth,,NY,,,,,,,Oakwood-Oakwood Beach,,,,3056310038.0,,,,,,,,,,,,Westerleigh,Hospital,Annadale-Huguenot-Prince's Bay-Eltingville,,,,38.0,,,,,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,2024610094.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,16.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,4058630250.0,,,,,,,,,,,,,Community-based organization,,,,,19.0,,,,,,,,,,
,,,,,NY,,,Crown Heights North,,,,,,,,4085700018.0,,,,,,,,,,,,,Community-based organization,,,,,23.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3081520201.0,,,,,,,,,,,,,Community-based organization,,,,,42.0,,,,,,,,,,
Sunset Park West,,Clinton Hill,,,NY,,,Crown Heights North,,,,,Bensonhurst East,,Prospect Lefferts Gardens-Wingate,4066160036.0,,Borough Park,,,,,Dyker Heights,Bushwick South,,Georgetown-Marine Park-Bergen Beach-Mill Basin,,,Community-based organization,,,,,24.0,,,,,Brooklyn Heights-Cobble Hill,,Stuyvesant Heights,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,1007880011.0,,,,,,,,,,,,,Charity,,,,,3.0,,,,,,,,,,
,,,,,NY,,,Crown Heights North,,,,,,,,1018430005.0,,,,,,,,Bushwick South,,,,,"Community-based organization, Volunteer-led group, Community Garden",,,,,7.0,,,,,,,,,,
,,,,,NY,,,,,,,,Bensonhurst East,,,3019310024.0,,,,,,,,,,,,,Volunteer-led group,,,,,35.0,,,,,,,,,,Bensonhurst West
Sunset Park West,,Clinton Hill,,,NY,,,Crown Heights North,,,,,,,,4016100055.0,,,,,,,,,,,,,"Faith-based institution, Volunteer-led group",,,,,21.0,,,,,Brooklyn Heights-Cobble Hill,,,,,
Sunset Park West,,Clinton Hill,,,NY,,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,,,Bensonhurst East,,,1001270018.0,Kingsbridge Heights,Borough Park,,Washington Heights North,,,,,,,,,City agency,,Van Cortlandt Village,,,1.0,,Pelham Bay-Country Club-City Island,,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,,Stuyvesant Heights,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,4014717501.0,,,,,,,,,,,,,Community-based organization,,,,,21.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1017870080.0,,,,,,,,,,,,,Community-based organization,,,,,8.0,,,,Far Rockaway-Bayswater,,,,,,
,,,,,NY,,,,,,,,,,,1001210001.0,,,,,,,,,,,,,City agency,,,,,1.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,4038970001.0,,,,,,,,,,,,,Community-based organization,,,,,29.0,,,,,,,,,,
,,,,,NY,,,,,,,Oakwood-Oakwood Beach,,,,1001240024.0,,,,,,,,,,,,,City agency,,,,,1.0,,,,,,,,,,
,,,,,NY,,,Crown Heights North,,Upper West Side,,,,,,4113210006.0,,Borough Park,,,,,,Bushwick South,,,,,Community-based organization,,,,,27.0,,,,,,,Stuyvesant Heights,,,
Sunset Park West,,Clinton Hill,,,NY,,,Crown Heights North,,,,,Bensonhurst East,,,2032780084.0,,Borough Park,,,,,,,,,,,Community-based organization,,,,,15.0,,,,,Brooklyn Heights-Cobble Hill,,Stuyvesant Heights,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,
,,,,,NY,,,,,Upper West Side,,,,,,2028227501.0,,,,,,Central Harlem South,,,,,,,Foster care Agency,,,,,14.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1012580042.0,,,,,,,,,,,,,Faith-based institution,,,,,4.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1000557501.0,,,,,,,,,,,,,Community-based organization,,,,,1.0,,,,,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,1000490002.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,1.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
Sunset Park West,,,,,NY,,,,,,,,,,,3051050086.0,,,,,,,,,,,,,Community-based organization,,,,Jackson Heights,40.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3058580040.0,,,,,,,,,,,,,"Community-based organization, Volunteer-led group",,,,,43.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3058730089.0,,,,,,,,,,,,,Community-based organization,,,,,43.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,2046940073.0,,,,,,,,,,,,,Community-based organization,,,,,12.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3076200025.0,,,,Washington Heights North,,,,,,,,,Senior Center,,,,,45.0,,,,,,,,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,
,,,,,NY,,,,,,Forest Hills,,,,,1000200004.0,,,,,,Central Harlem South,,,,,,,Community-based organization,,,,Jackson Heights,1.0,,,,,,,,Bronxdale,,
,,,,,NY,,,,,,,,,,,3003510048.0,,,,,,,,,,,,,Arts Organization,,,,,39.0,,,,,,,,,,
Sunset Park West,,,,,NY,,,,,Upper West Side,Forest Hills,,Bensonhurst East,Chinatown,,1000477501.0,Kingsbridge Heights,Borough Park,,,,,Dyker Heights,,,,,,Community-based organization,,,,Jackson Heights,1.0,,,,,,,,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,West Farms-Bronx River,,,,,,,,,4004207501.0,,,,,,,,,,,,,City agency,,,,,26.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1006187501.0,,,,,,,Dyker Heights,,,,,,Community-based organization,,,,,3.0,,,,,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,,Crown Heights North,,,Forest Hills,,Bensonhurst East,,Prospect Lefferts Gardens-Wingate,1017880001.0,,Borough Park,,,Fresh Meadows-Utopia,,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,,"Community-based organization, Federally Qualified Health Center",,,Laurelton,Jackson Heights,8.0,Bayside-Bayside Hills,,,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,3062720007.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,43.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,1012347502.0,,,,,,,,,,,,,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,,,,6.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,2054200002.0,,,,,,,,,,,,,Senior Center,,,,,13.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1008030021.0,,,,,,,,,,,,,Non-Profit Organization,,,,Jackson Heights,3.0,,,,,,Hollis,,,,
,,Clinton Hill,,,NY,,,Crown Heights North,Claremont-Bathgate,Upper West Side,,,,,,1015580003.0,,,,,,Central Harlem South,,Bushwick South,,,,,Community-based organization,,,,,5.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3033900050.0,,,,,,,,,,,,,Community-based organization,,,,,37.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,4007740001.0,,,,,,,,,,,,,Community-based organization,,,,,22.0,,,,,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,3000640025.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,33.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,1001220001.0,,,,,,,,,,,,,City agency,,,,,1.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1017330001.0,,,,,,,,,,,,,Hospital,,,,,9.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,,,,,,,,,,,,,,Community-based organization,,,,,,,,,,,,,,,
,,,,,NY,Jamaica Estates-Holliswood,,,,,Forest Hills,,,,,,,,,,Fresh Meadows-Utopia,,,,Kew Gardens Hills,,,,Hospital,,,,,,,,,Far Rockaway-Bayswater,,,,,,
Sunset Park West,,,,,NY,,,,,,,,Bensonhurst East,,,4129800001.0,,,,,,,,,,,,,"Community-based organization, NON-PROFIT",,,,,31.0,,,,,,,,,,Bensonhurst West
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,3048290001.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,40.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,1000130027.0,,,,,,,,,,,,,Non-profit organization,,,,,1.0,,,,,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,1012160003.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,6.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,2026780001.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Senior Center,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,17.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,3001520006.0,,,,,,,,,,,,,Community-based organization,,,,,33.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3046240052.0,,,,,,,,,,,,,"Community-based organization, Faith-based institution, Hospital, Volunteer-led group",,,,,41.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3012540042.0,,,,,,,,,,,,,Community-based organization,,,,,35.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1000350001.0,,,,Washington Heights North,,Central Harlem South,,Bushwick South,,,,,Community-based organization,,,,Jackson Heights,1.0,,,,,,,,,,
Sunset Park West,,,,,NY,,,,,,,,,Chinatown,,4004207501.0,,,,Washington Heights North,,Central Harlem South,,,,,,,City agency,,,,Jackson Heights,26.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,,,,,,,,,,,,,,Senior Center,,,,,,,,,,,,,,,
,,,,,NY,,West Farms-Bronx River,,,,,,,,,3025720010.0,Kingsbridge Heights,,,,,,,,,,,,Community-based organization,,,,,33.0,,,,,,,,,,
,,,,,NY,,,,,,,,,Chinatown,,1008610072.0,,,,,,,,,,,,,Community-based organization,,,,,4.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1002480015.0,,Borough Park,,,,,,,,,,,Community-based organization,,,,,1.0,Bayside-Bayside Hills,,,,,,,,,
,,Clinton Hill,,,NY,,,,,,,,,,,3034440022.0,,,,,,,,,,,,,Community-based organization,,,,,37.0,,,,,Brooklyn Heights-Cobble Hill,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,3072390001.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Hospital,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,48.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,Crown Heights North,,Upper West Side,Forest Hills,,,Chinatown,,5009550100.0,,,,,,,,Bushwick South,Kew Gardens Hills,,,,Community-based organization,,,,Jackson Heights,50.0,Bayside-Bayside Hills,,,Far Rockaway-Bayswater,,Hollis,,,,
,,,,,NY,,,,,,,,,,,4068580001.0,,,,,,,,,,,,,Hospital,,,,,24.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,4010270050.0,,,,,,,,Bushwick South,,,,,City agency,,,,,22.0,,,,,,,,,,
,,,,,NY,,,,,Upper West Side,,,,,,4060300040.0,,,,,,,,,,,,,Community-based organization,,,,,19.0,,,,,,,,,,
