bk_sunset_park_west,qn_murray_hill,bk_clinton_hill,si_grasmere_arrochar_ft,qn_park_cemetery_etc_queens,state,qn_jamaica_estates_holliswood,bx_west_farms_bronx_river,bk_crown_heights_north,bx_claremont_bathgate,mn_upper_west_side,qn_forest_hills,si_oakwood_oakwood_beach,bk_bensonhurst_east,mn_chinatown,bk_prospect_lefferts_gardens,bbl,bx_kingsbridge_heights,bk_borough_park,bx_mount_hope,mn_washington_heights_north,qn_fresh_meadows_utopia,mn_central_harlem_south,bk_dyker_heights,bk_bushwick_south,qn_kew_gardens_hills,bk_georgetown_marine_park,qn_lindenwood_howard_beach,si_westerleigh,organization_type,si_annadale_huguenot_prince,bx_van_cortlandt_village,qn_laurelton,qn_jackson_heights,council_district,qn_bayside_bayside_hills,bx_pelham_bay_country_club,mn_park_cemetery_etc_manhattan,qn_far_rockaway_bayswater,bk_brooklyn_heights_cobble,qn_hollis,bk_stuyvesant_heights,bx_bronxdale,bk_sheepshead_bay_gerritsen,bk_bensonhurst_west
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,3066580048.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,44.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,1000890012.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,1.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,1016000021.0,,,,,,,,,,,,,Senior Center,,,,,9.0,,,,,,,,,,
,,,,,NY,,West Farms-Bronx River,,,,,,,,,2028490033.0,,,,,,,,,,,,,Community-based organization,,,,,14.0,,,,,,,,,,
,,,,,NY,,,,Claremont-Bathgate,Upper West Side,Forest Hills,,,Chinatown,Prospect Lefferts Gardens-Wingate,1016840001.0,,,,,,,,,,,,,Community-based organization,,,,,8.0,,,,Far Rockaway-Bayswater,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,1011130047.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,College and/or university,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,3.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,3001840025.0,,,,Washington Heights North,,Central Harlem South,,,,,,,Community-based organization,,,Laurelton,,33.0,,,,Far Rockaway-Bayswater,,Hollis,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,4000380008.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Volunteer-led group,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,26.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,4160020001.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Coalition of CBOs /FBO,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,31.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,Chinatown,,1000430002.0,,,,,,,,Bushwick South,,,,,Community-based organization,,,,,1.0,,,,,,,,,,
Sunset Park West,,,,,NY,,,Crown Heights North,,,,,Bensonhurst East,,,,,Borough Park,,,,,Dyker Heights,,,Georgetown-Marine Park-Bergen Beach-Mill Basin,,,Community-based organization,,,,,,,,,,,,,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,4051070200.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Museum/Botanical Garden,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,20.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,1001540023.0,Kingsbridge Heights,,,,,,,,,,,,City agency,,Van Cortlandt Village,,,1.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,,,,,,,,,,,,,,Community-based organization,,,,,7.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1001347501.0,,,,,,,,,,,,,"City agency, NYC Mayor's Office",,,,,1.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,5005210053.0,,,,,,,,,,,,,Community-based organization,,,,,49.0,,,,,,,,,,Bensonhurst West
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,1000690032.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,1.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,1011500010.0,,,,,,,,,,,,,"Volunteer-led group, non-profit",,,,,6.0,,,,,,,,,,
Sunset Park West,,,,,NY,,,,,Upper West Side,Forest Hills,,,,,1000220013.0,,Borough Park,,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,,Bushwick South,,,,,"Community-based organization, Volunteer-led group",,,,Jackson Heights,1.0,Bayside-Bayside Hills,,,,,,,,,
,,,,,NY,,,,,,,,,,,1012580034.0,,,,,,,,,,,,,"Community-based organization, Nonprofit/ Community-based organization",,,,,4.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1007240010.0,,,,,,,,,,,,,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,,,,3.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3001407502.0,,,,,,,,,,,,,Human Services,,,,,33.0,,,,,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,3011170001.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Cultural Institution,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,39.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,Chinatown,,4066280084.0,Kingsbridge Heights,,,Washington Heights North,,Central Harlem South,,Bushwick South,,,,,Community-based organization,,Van Cortlandt Village,,,24.0,,,,,,,,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,
,,,,,NY,,,,,,,,Bensonhurst East,Chinatown,,4074430001.0,,Borough Park,,,,Central Harlem South,,,,,,,Community-based organization,,,,,23.0,Bayside-Bayside Hills,,,,,,,,,Bensonhurst West
,,,,,NY,,,,,,,,,,,,,,,,,,,,,,,,Community-based organization,,,,,,,,,,,,,,,
,,,,,NY,,,,,,,,,,,4109480075.0,,,,,,,,,,,,,"Community-based organization, Volunteer-led group",Annadale-Huguenot-Prince's Bay-Eltingville,,,,27.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3013440175.0,,,,,,,,,,,,,Community-based organization,,,,,41.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,3011830001.0,,,,,,,,,,,,,Cultural Institution,,,,,35.0,,,,,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,4050410005.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,20.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,1018720029.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,7.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
Sunset Park West,,,,,NY,,,,,,,,,,,2032610102.0,,Borough Park,,,,,,,,,,,Community-based organization,,,,,14.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,2033310080.0,,,,,,,,,,,,,"Community-based organization, Faith-based institution",,,,,11.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1008050039.0,,,,,,,,,,,,,Community-based organization,,,,,3.0,,,,,,,,,,
