bk_greenpoint,bk_canarsie,bk_homecrest,qn_old_astoria,qn_south_jamaica,si_new_springville_bloomfield,qn_queens_village,qn_kew_gardens,bk_windsor_terrace,qn_east_elmhurst,qn_bellerose,bx_east_concourse_concourse,si_new_dorp_midland_beach,mn_upper_east_side_carnegie,bk_flatlands,mn_east_harlem_south,youth_volunteers,bx_west_concourse,bk_bedford,bx_melrose_south_mott_haven,mn_hudson_yards_chelsea_flat,mn_lower_east_side,bx_park_cemetery_etc_bronx,bk_dumbo_vinegar_hill_downtown,si_park_cemetery_etc_staten,si_west_new_brighton_new,bk_bath_beach,adult_volunteers,qn_whitestone,census_tract,total_vounteers,qn_flushing,qn_auburndale,qn_ridgewood,si_great_kills,bx_norwood,mn_soho_tribeca_civic_center,special_populations_served,bk_erasmus,bx_bedford_park_fordham_north,bk_bushwick_north,bk_midwood,qn_springfield_gardens_south,qn_college_point,zip_code,si_arden_heights
,,,,,New Springville-Bloomfield-Travis,,,,,,,New Dorp-Midland Beach,,,,0,,,,,,,,,West New Brighton-New Brighton-St. George,,382,,1501.0,427,,,,Great Kills,,,"LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, UG, Graduate - age Youth",,,,,,,10007,Arden Heights
,,,,,,,,,,,,,,,,0,,,,,,,,,,,5,,9601.0,20,,,,,,,"Low-income populations, aspiring entrepreneurs",,,,,,,10305,
,,,,,,,,,,,,,,,,0,,,,Hudson Yards-Chelsea-Flat Iron-Union Square,,,,,,,0,,207.0,6000,,,,,,,"Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities",,,,,,,10302,
,,,,,,,,,,,,,,,,0,,,,,,,,,,Bath Beach,250,,,250,,,,,,,"Low-income populations, Youth (17 or under)",,,,,,,7102,
,,,,,,,,,,,,,,,East Harlem South,0,,,,,,,,,,,0,,196.0,24,,,,,,,Older adults (60 or older),,,,,,,11435,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,42,,159.0,210,,,,,,,"Low-income populations, Older adults (60 or older), Youth (17 or under)",,,,,,,10023,
,,,,,,,,,,,,,,,,82,,,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,,293,,179.0,460,,,,,,,"Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), Caregivers",,,,,,,11104,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,9,Whitestone,455.0,9,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,We serve the entire NYC,Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11373,Arden Heights
,,,,,,,,,,,,,,,,700,,,,,,,,,,,1300,,1501.0,2200,,,,,,,"Low-income populations, Older adults (60 or older), Women, Youth (17 or under)",,,,,,,10038,
,,,,,,,,,,,,,,,,119,,,Melrose South-Mott Haven North,,,,,,,,11,,58.0,130,,,,,,,"Immigrants and/or refugees, Low-income populations, Youth (17 or under)",,,,,,,11209,
,,,,,,,,,,,East Concourse-Concourse Village,,Upper East Side-Carnegie Hill,,East Harlem South,0,West Concourse,,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,,,,,20,,40.0,50,,,,,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,,,Bedford Park-Fordham North,,,,,10003,
,,,,,,,,,,,,,,,East Harlem South,0,,,Melrose South-Mott Haven North,,Lower East Side,,,,,,0,,63.0,313,,,,,,,"Immigrants and/or refugees, Low-income populations, Youth (17 or under)",,,,,,,10451,
,,,,,,,,,,,,,,,,12,,,,Hudson Yards-Chelsea-Flat Iron-Union Square,,,,,,,6,,122.0,18,,,,,,,"Immigrants and/or refugees, Low-income populations, People with disabilities, Women, Youth (17 or under)",,,,,,,11220,
,Canarsie,,,South Jamaica,,,,,,,East Concourse-Concourse Village,New Dorp-Midland Beach,,,East Harlem South,0,,,Melrose South-Mott Haven North,,Lower East Side,,,,,,0,,109.0,491,,,,,Norwood,,"Older adults (60 or older), Holocaust survivors",,,Bushwick North,,Springfield Gardens South-Brookville,,10018,Arden Heights
,,,,,,,,,,,,,,,,1,,,,,,,,,,,124,,151.0,397,,,,,Norwood,,People with disabilities,,Bedford Park-Fordham North,,,,,10023,
,,,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,,East Harlem South,21,West Concourse,,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,72,Whitestone,41.0,118,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Low-income populations, Youth (17 or under)",,Bedford Park-Fordham North,,,Springfield Gardens South-Brookville,College Point,11217,Arden Heights
