brooklyn_condominiums_comparable_properties_address,comparable_rental_3_neighborhood,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,comparable_rental_3_gross_sqft,comparable_rental_1_address,comparable_rental_1_boro_block_lot,comparable_rental_3_year_built,comparable_rental_2_expense_per_sqft,comparable_rental_1_estimated_gross_income,brooklyn_condominiums_comparable_properties_neighborhood,brooklyn_condominiums_comparable_properties_expense_per_sqft,comparable_rental_3_estimated_expense,brooklyn_condominiums_comparable_properties_estimated_gross_income,brooklyn_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_2_gross_income_per_sqft,brooklyn_condominiums_comparable_properties_full_market_value,comparable_rental_3_market_value_per_sqft,brooklyn_condominiums_comparable_properties_gross_sqft,comparable_rental_1_total_units
6501 BAY PARKWAY, ,2838 STILLWELL AVENUE,19.53, ,2160 78 STREET,3-06264-0029, ,8.92,1004184,GRAVESEND,7.51, ,274544,18.32,17.83,1165999, ,14986,52
1765 71 STREET, ,7705 14 AVENUE,17.21, ,2062 73 STREET,3-06207-0031, ,9.72,165240,BENSONHURST,7.22, ,82920,19.23,21.26,372998, ,4312,13
302 2 STREET,PARK SLOPE,78 PROSPECT PARK WEST,19.96,"35,700",862 UNION STREET,3-01065-0027,1920,7.73,704826,PARK SLOPE,7.51,"475,004",1161458,21.46,21.97,5536000,65.32,54122,49
441 7 AVENUE, ,549 6 AVENUE,30.04, ,353 12 STREET,3-01024-0082, ,10.03,201901,PARK SLOPE SOUTH,11.59, ,200078,25.75,24.31,793001, ,7770,14
63 TIFFANY PLACE,FORT GREENE,337 STATE STREET,19.44,"27,144",54 LIVINGSTON STREET,3-00268-0039,1900,6.57,409047,COBBLE HILL-WEST,8.75,"226,573",1632960,19.44,22.01,6439004,78.91,84000,32
1 NORTH PIER,WILLIAMSBURG-SOUTH,330 UNION AVENUE,26.36,"59,983",205 STATE STREET,3-00271-0001,2005,12.04,6397996,WILLIAMSBURG-NORTH,9.97,"822,367",4698562,22.74,22.68,19278006,61.52,206621,364
72 STEUBEN STREET, ,47 CLIFTON PLACE,26.25, ,262 ST JAMES PLACE,3-02013-0141, ,10.42,264071,CLINTON HILL,8.49, ,247055,20.7,27.38,974600, ,11935,20
"82 ,84,86,88 GREEN STREET", ,940 LORIMER STREET,25.24, ,233 FRANKLIN STREET,3-02494-0026, ,11.4,689279,GREENPOINT,9.88, ,422400,21.96,26.98,1670003, ,19238,20
414 HICKS STREET,PARK SLOPE SOUTH,299 ADELPHI STREET,19.35,"21,056",25 LAFAYETTE AVENUE,3-02108-0021,2002,9.31,525261,COBBLE HILL-WEST,5.6,"178,463",991236,15.99,18.79,4361043,43.46,61991,35
234 SKILLMAN AVENUE,WILLIAMSBURG-SOUTH,355 SOUTH 2 STREET,21.08,"23,467",367 SOUTH 2 STREET,3-02412-0027,1915,11.95,607117,WILLIAMSBURG-EAST,8.79,"275,528",1135048,21.45,22.58,4910999,45.13,52916,25
908 DRIGGS AVENUE,WILLIAMSBURG-SOUTH,190 SOUTH 8 STREET,17.94,"7,934",77 DIVISION AVENUE,3-02157-0037,1910,10.81,457470,WILLIAMSBURG-SOUTH,8.07,"71,694",390123,17.94,23.41,1546000,127.80,21746,35
93 WYCKOFF AVENUE,BRIGHTON BEACH,2160 78 STREET,23.5,"120,000",243 KINGSTON AVENUE,3-01251-0001,1983,10.8,1281173,BRIGHTON BEACH,6.84,"1,054,800",233344,19.53,19.53,1088998,58.75,11948,80
268 WALLABOUT STREET,WILLIAMSBURG-SOUTH,370 SOUTH 2 STREET,20.7,"28,800",354 SOUTH 2 STREET,3-02424-0006,1920,9.97,499299,WILLIAMSBURG-CENTRAL,8.49,"388,575",673226,20.7,18.75,2918002,44.31,32523,29
