source_relation,ad_group_id,campaign_bidding_strategy,clicks,cost,date_day,impressions,purchases_30_d,sales_30_d
"",421,autoForSales,15,30.5,2022-07-12,5200,,
"",421,autoForSales,12,24.8,2022-07-15,4500,,
"",421,autoForSales,10,20,2022-07-20,3800,,
"",421,autoForSales,18,36.5,2022-07-25,6000,,
"",422,autoForSales,8,16,2022-07-12,3200,,
"",422,autoForSales,11,22.5,2022-07-18,4100,,
"",422,autoForSales,14,28.2,2022-07-22,4800,,
"",423,autoForSales,9,18.5,2022-07-13,3500,,
"",423,autoForSales,13,26.4,2022-07-19,4600,,
"",423,autoForSales,16,32.5,2022-07-26,5300,,
"",501,legacy,8,12.8,2022-11-18,3400,,
"",501,legacy,10,16,2022-11-19,3800,,
"",501,legacy,12,19.2,2022-11-24,4200,,
"",501,legacy,9,14.4,2022-11-25,3600,,
"",501,legacy,11,17.6,2022-12-01,4000,,
"",501,legacy,7,11.2,2022-12-02,3200,,
"",501,legacy,13,20.8,2022-12-03,4500,,
"",501,legacy,15,24,2022-12-04,5000,,
"",501,legacy,14,22.4,2022-12-07,4800,,
"",501,legacy,16,25.6,2022-12-11,5200,,
"",502,legacy,10,16.5,2022-11-20,3700,,
"",502,legacy,12,19.8,2022-11-25,4100,,
"",502,legacy,14,23.1,2022-12-01,4600,,
"",502,legacy,16,26.4,2022-12-05,5100,,
"",503,autoForSales,11,18.7,2022-07-20,3900,,
"",503,autoForSales,13,22.1,2022-07-25,4400,,
"",503,autoForSales,15,25.5,2022-08-01,4900,,
"",504,autoForSales,9,15.3,2022-07-21,3500,,
"",504,autoForSales,12,20.4,2022-07-26,4200,,
"",504,autoForSales,14,23.8,2022-08-02,4700,,
"",505,autoForSales,10,17,2022-07-25,3700,,
"",505,autoForSales,13,22.1,2022-08-02,4300,,
"",506,autoForSales,11,18.7,2022-07-26,3900,,
"",506,autoForSales,14,23.8,2022-08-03,4500,,
"",507,legacyForSales,15,25.5,2022-08-05,5200,,
"",507,legacyForSales,17,28.9,2022-08-10,5700,,
"",508,legacyForSales,13,22.1,2022-08-06,4800,,
"",508,legacyForSales,16,27.2,2022-08-11,5300,,
"",509,autoForSales,18,30.6,2022-08-10,6000,,
"",509,autoForSales,20,34,2022-08-15,6500,,
"",510,autoForSales,16,27.2,2022-08-11,5500,,
"",510,autoForSales,19,32.3,2022-08-16,6200,,
"",511,autoForSales,12,20.4,2022-08-15,4300,,
"",511,autoForSales,14,23.8,2022-08-20,4800,,
"",512,autoForSales,11,18.7,2022-08-16,4000,,
"",512,autoForSales,13,22.1,2022-08-21,4500,,
