db_entity_name,candfirst,intzip,refunddate,schedule,date,empstrname,filing,occupation,matchamnt,intempstnm,candmi,canclass,empstate,pay_method
EMPIRE OFFICE INC,Paul,10021.0,,ABC,2017-05-09T00:00:00.000,Madison Avenue,8,CEO,0.0,Avenue of the Americas,J,NP,NY,4.0
METROPOLITAN WATERFRONT ALLIANCE,Bill,,,ABC,2017-02-03T00:00:00.000,Water Street,7,CEO,0.0,,,P,NY,4.0
PARTNERS VII/ 98 AVENUE A OWNER LLC,Bill,,,ABC,2017-10-18T00:00:00.000,Broadway Suite 1010,14,Real Estate,0.0,,,P,NY,4.0
RICHMOND COUNTY YOUTH COMPLEX,Nicole,,,ABC,2017-10-02T00:00:00.000,Merrill Ave,13,BASEBALL COACH/ PE,0.0,,,P,NY,4.0
,Paul,,2017-01-09T00:00:00.000,M,,,6,,0.0,,J,NP,,
BUSHWICK ECONOMIC DEVELOPMENT CORP,Bill,,,ABC,2017-10-09T00:00:00.000,Cooper Street,14,Executive Director,0.0,,,P,NY,4.0
THE COALITION FOR ASIAN AMERICAN CHILDREN AND FAMILIES,Bill,,,ABC,2016-10-31T00:00:00.000,Greenwich Steet,6,Analyst,0.0,,,P,NY,4.0
CONSOLIDATED EDISON CO. OF NEW YORK INC.,Bill,11201.0,,ABC,2016-07-06T00:00:00.000,Irving Place,5,VP,0.0,Irving Pl,,P,NY,2.0
VORNADO REALTY LP,Nicole,,,ABC,2017-08-30T00:00:00.000,West 57th Street,12,Real Estate Exec,0.0,,,P,NY,4.0
"PITTA, BISHOP, DEL GIORNO & GIBLIN LLC",Bill,,,ABC,2015-10-27T00:00:00.000,Park Ave,4,Attorney,0.0,,,P,NY,2.0
NEW YORK COMMUNITIES FOR CHANGE,Bill,,,ABC,2017-01-24T00:00:00.000,W 33rd Street,7,Political and Community Organi,0.0,,,P,NY,1.0
SUPERIOR PEST ELIMINATION INC,Paul,7059.0,,ABC,2017-03-10T00:00:00.000,Ellis STreet,7,pest control,0.0,West 31st Street,J,NP,NY,4.0
NEW YORK CITY COALITION AGAINST HUNGER,Bill,,,ABC,2017-08-20T00:00:00.000,broad street,11,Finance,0.0,,,P,NY,4.0
FOREST CITY RATNER COMPANIES LLC,Bill,,,ABC,2016-01-08T00:00:00.000,MetroTech Center North,4,"EVP, Construction",0.0,,,P,NY,4.0
CARE FOR THE HOMELESS,Bill,,,ABC,2017-10-07T00:00:00.000,Columbia Heights,14,Not Employed,0.0,,,P,NY,4.0
"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",Bill,,,ABC,2017-07-09T00:00:00.000,Broad St.,9,Management and Attorney,0.0,,,P,NY,4.0
"FRIENDS OF THE HIGH LINE, INC",Bill,,,ABC,2017-02-10T00:00:00.000,Wooster Street,7,Arts Administrator,0.0,,,P,NY,4.0
"ANDREW VELEZ CONSTRUCTION, INC.",Bill,,,ABC,2017-10-25T00:00:00.000,Fifth Avenue,15,President,0.0,,,P,NY,4.0
PRIMARY CARE DEVELOPMENT CORPORATION (PCDC),Bill,,,ABC,2016-09-24T00:00:00.000,Cortlandt Street,6,CEO,0.0,,,P,NY,4.0
BATTALION CHRISTIAN ACADEMY,Bill,,,ABC,2017-06-12T00:00:00.000,Linden Blvd,9,Executive Director,0.0,,,P,NY,4.0
NEW HERITAGE THEATRE GROUP,Bill,,,ABC,2017-10-20T00:00:00.000,west 145th street,14,Not Employed,0.0,,,P,NY,4.0
,Bill,,2017-02-13T00:00:00.000,M,,,7,,0.0,,,P,,
"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",Bill,,,ABC,2017-05-10T00:00:00.000,Broad St.,8,Management and Attorney,0.0,,,P,NY,4.0
"SVAM INTERNATIONAL, INC",Bill,,,ABC,2017-11-04T00:00:00.000,East Shore Rd,15,President and CEO,0.0,,,P,NY,2.0
CONSOLIDATED EDISON CO. OF NEW YORK INC.,Bill,,,ABC,2016-07-06T00:00:00.000,Irving Place,5,Corp Officer,0.0,,,P,NY,2.0
FOREST CITY RATNER COMPANIES LLC,Bill,,,ABC,2015-12-10T00:00:00.000,MetroTech Center,4,External Affairs,0.0,,,P,NY,4.0
DALYGONZALEZ LLC,Bill,,,ABC,2016-12-31T00:00:00.000,Court Street,6,Project Advisor,0.0,,,P,NY,4.0
INNER FORCE TOTS INC,Bill,,,ABC,2016-05-12T00:00:00.000,E New York Ave.,5,Inner Force,0.0,,,P,NY,2.0
UNITED CLAIMS SERVICES INC,Sal,,,ABC,2017-09-05T00:00:00.000,,12,Retired,25.0,,F,P,,4.0
AL-MAMOOR SCHOOL,Bill,,,ABC,2017-10-02T00:00:00.000,169th Street,13,Not employed,10.0,,,P,NY,4.0
COASTAL PLUMBING SUPPLY CO INC,Nicole,,,ABC,2017-07-12T00:00:00.000,Bay Street,10,MANAGER,0.0,,,P,NY,2.0
ST. ROSALIA-REGINA PACIS NEIGHBORHOOD IMPROVEMENT ASSOCIATION INC (NIA),Bill,,,ABC,2017-10-19T00:00:00.000,Cliff St,14,Secretary/Treasurer,0.0,,,P,NY,2.0
