refno,empname,int_c_code,adjtypecd,c_code,db_entity_start
R0006847,Self,IND,,IND,"2/11/2016""  ""12\:00\:00 AM"
R0057857,Waterfront Alliance,,,IND,"5/1/2013""  ""12\:00\:00 AM"
R0085443,Magnum Real Estate Group,,,IND,"1/29/2015""  ""12\:00\:00 AM"
R0017257,MOORE CATHOLIC,,,IND,"7/22/2009""  ""12\:00\:00 AM"
R0002326,,,2.0,IND,
R0084799,Bushwick Economic Development,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0049470,NYC OMB,,,IND,"7/1/2014""  ""12\:00\:00 AM"
R0048014,Con Edision,IND,,IND,"10/1/2015""  ""12\:00\:00 AM"
R0011338,Self,,,IND,"11/30/2014""  ""12\:00\:00 AM"
R0043295,Pryor Cashman Sherman,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0055793,NYSNA,,,IND,"5/25/2011""  ""12\:00\:00 AM"
R0005036,Superior Pest Elimination,IND,,IND,"4/7/2016""  ""12\:00\:00 AM"
R0078708,Hunger Free America,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0043841,Forest City Ratner Companies,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0084028,Not Employed,,,IND,"3/31/2016""  ""12\:00\:00 AM"
R0074269,FPWA,,,IND,"8/31/2010""  ""12\:00\:00 AM"
R0061608,Leslie-Lohman Museum for Gay a,,,IND,"1/29/2013""  ""12\:00\:00 AM"
R0088789,Velez Organization,,,IND,"12/1/2015""  ""12\:00\:00 AM"
R0048790,Primary Care Development Corp,,,IND,"8/3/2015""  ""12\:00\:00 AM"
R0071546,Battalion Christian Academy,,,IND,"10/1/2014""  ""12\:00\:00 AM"
R0085814,Not Employed,,,IND,"8/1/2016""  ""12\:00\:00 AM"
R0057742,,,2.0,IND,
R0068617,FPWA,,,IND,"8/31/2010""  ""12\:00\:00 AM"
R0088485,Svam International,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0047614,Con Edison,,,IND,"8/31/2014""  ""12\:00\:00 AM"
R0043519,Forest City Ratner Companies,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0052454,DBI,,,IND,"1/1/2016""  ""12\:00\:00 AM"
R0044747,Physician,,,IND,"5/1/2011""  ""12\:00\:00 AM"
R0003705,,,,IND,"1/30/2012""  ""12\:00\:00 AM"
R0083242,Not employed,,,IND,"12/1/2014""  ""12\:00\:00 AM"
R0007453,Coastal Supply Group,,,IND,"5/31/2014""  ""12\:00\:00 AM"
R0084332,Uniformed Sanitationmen's Asso,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0052874,MedReview,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0085905,National Black Leadership Comm,,,IND,"8/31/2012""  ""12\:00\:00 AM"
R0044991,Unemployed,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0001552,Savills Studley,,,IND,"3/31/2016""  ""12\:00\:00 AM"
R0048416,,,2.0,IND,
R0081990,Not Employed,,,IND,"7/1/2012""  ""12\:00\:00 AM"
R0050970,Broadridge,,,IND,"8/1/2016""  ""12\:00\:00 AM"
R0003509,,,2.0,IND,
R0055373,self-employed,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0067062,The Doe Fund,,,IND,"12/3/2008""  ""12\:00\:00 AM"
R0013166,CIEN +,IND,,IND,
R0071319,Techno Consult Engineering PC,,,IND,"10/1/2013""  ""12\:00\:00 AM"
R0007363,Student,,,IND,"1/30/2016""  ""12\:00\:00 AM"
R0061037,Not employed,,,IND,"8/31/2009""  ""12\:00\:00 AM"
R0045693,The Legal Aid Society,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0005068,Lilker Associates,IND,,IND,"5/7/2012""  ""12\:00\:00 AM"
R0059416,self,,,IND,"8/4/2008""  ""12\:00\:00 AM"
R0073805,Madelaine chocolate,,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0048492,Con Edison,IND,,IND,"10/1/2015""  ""12\:00\:00 AM"
R0043225,Carlo Scissura PC,IND,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0004140,Church at the Gateway,,,IND,"8/31/2014""  ""12\:00\:00 AM"
R0061760,Pioneer Lock Corporation,,,IND,"7/1/2015""  ""12\:00\:00 AM"
R0048421,,,2.0,IND,
R0002659,,,2.0,IND,
R0079855,The New School,,,IND,"8/1/2016""  ""12\:00\:00 AM"
R0065863,Morningside Center for Teachin,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0000398,The Writing Revolution,,,IND,"3/31/2015""  ""12\:00\:00 AM"
R0008853,MOORE CATHOLIC,,,IND,"7/22/2009""  ""12\:00\:00 AM"
R0066140,NYCHA,,,IND,"3/31/2009""  ""12\:00\:00 AM"
R0007044,Walter & Samuels Inc.,,,IND,"3/6/2009""  ""12\:00\:00 AM"
R0009667,Retired,,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0086477,self,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0000214,Xaverian High School,,,IND,"5/31/2016""  ""12\:00\:00 AM"
R0084227,Prestige Management,,,IND,"3/1/2013""  ""12\:00\:00 AM"
R0084035,CUNY,,,IND,"8/31/2016""  ""12\:00\:00 AM"
R0053877,Beyer Blinder Belle,,,IND,"10/31/2014""  ""12\:00\:00 AM"
R0007343,,,2.0,IND,
R0044512,Retired,,,IND,"1/21/2016""  ""12\:00\:00 AM"
R0053136,CUNY,,,IND,"8/31/2016""  ""12\:00\:00 AM"
R0067464,God's Battalion of Prayer,,,IND,"10/1/2014""  ""12\:00\:00 AM"
R0044869,Manhattan Youth,,,IND,"5/5/2010""  ""12\:00\:00 AM"
R0084179,,,2.0,IND,
R0047946,Con Edison,IND,,IND,"10/1/2015""  ""12\:00\:00 AM"
R0003428,,,2.0,IND,
R0000148,self-employed,,,IND,"10/31/2013""  ""12\:00\:00 AM"
R0086305,Chairman,,,IND,"1/29/2015""  ""12\:00\:00 AM"
R0050395,Forest City Ratner,,,IND,"7/1/2014""  ""12\:00\:00 AM"
R0044863,The friends of crown heights,,,IND,"9/4/2014""  ""12\:00\:00 AM"
R0047823,NYC Council,,,IND,"7/1/2012""  ""12\:00\:00 AM"
R0001445,Pryor Cashman LLP,IND,,IND,"8/1/2016""  ""12\:00\:00 AM"
R0082126,Venable LLP,,,IND,"5/1/2012""  ""12\:00\:00 AM"
R0086009,The D & F Development Group,,,IND,"1/29/2011""  ""12\:00\:00 AM"
R0085740,Omni New York,,,IND,
R0002417,"A Boima Curtis & Associates, L",,,IND,"6/8/2008""  ""12\:00\:00 AM"
R0073889,Bradford Construction,,,IND,"5/1/2012""  ""12\:00\:00 AM"
R0053532,MedReview,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0044090,Red Apple Group,,,IND,"1/29/2015""  ""12\:00\:00 AM"
R0000313,"Brite Adventure Center, Inc.",,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0086798,Jacobi Medical Center,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0047401,First Madison Park,,,IND,"10/1/2015""  ""12\:00\:00 AM"
R0052179,Kehilat Sephardim,,,IND,"2/4/2008""  ""12\:00\:00 AM"
R0049059,NYC Council,,,IND,"7/1/2012""  ""12\:00\:00 AM"
R0020448,F.J. SCIAME CONSTRUCTION CO IN,,,IND,
R0054213,NYC Transit Museum,,,IND,"8/3/2016""  ""12\:00\:00 AM"
R0066904,God's Battalion of Prayer,,,IND,"10/1/2014""  ""12\:00\:00 AM"
R0088479,Svam International,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0023095,ARROWSMITH LLC,,,IND,"9/1/2009""  ""12\:00\:00 AM"
R0000460,Tenement Museum,,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0064382,,,2.0,IND,
R0078799,A Better Jamaica Inc.,,,IND,"8/3/2016""  ""12\:00\:00 AM"
R0045888,Con Edision,,,IND,"10/1/2015""  ""12\:00\:00 AM"
R0049420,Riders Alliance,,,IND,"1/1/2013""  ""12\:00\:00 AM"
R0088917,Federated National Land LLC,,,IND,
R0047955,Con Edison,IND,,IND,"10/1/2015""  ""12\:00\:00 AM"
R0043597,JDS Development,IND,,IND,"8/1/2014""  ""12\:00\:00 AM"
R0045703,NYU,,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0020112,SELF,,,IND,"10/31/2009""  ""12\:00\:00 AM"
R0019264,LEMLE & WOLFF INC,,,IND,"3/31/2016""  ""12\:00\:00 AM"
R0072706,NYCAASA,,,IND,"6/8/2008""  ""12\:00\:00 AM"
R0049495,ExpandED Schools,,,IND,"7/1/2014""  ""12\:00\:00 AM"
R0004877,Nucor Construction,,,IND,"5/1/2012""  ""12\:00\:00 AM"
R0045220,Bradford Construction,,,IND,"5/1/2012""  ""12\:00\:00 AM"
R0008567,,,2.0,IND,
R0000385,Meringoff Properties,,,IND,"3/31/2013""  ""12\:00\:00 AM"
R0044856,Columbia University,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0048488,,,2.0,IND,
R0090179,,,2.0,IND,
R0061845,Hunger Free America,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0051448,Global Futures Group LLC,,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0073200,Encore Community Services,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0025048,S&P Global,,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0078626,Bushwick Economic Development,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0044120,,,2.0,IND,
R0056483,VJ Associates,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0083751,"Brown & Weinraub, PLLC",,,IND,"1/1/2010""  ""12\:00\:00 AM"
R0084359,Stroock & Stroock,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0057743,,,2.0,IND,
R0066709,IFP,,,IND,"8/1/2012""  ""12\:00\:00 AM"
R0044108,,,2.0,IND,
R0057753,,,2.0,IND,
R0080755,,,2.0,IND,
R0043998,Ickes Enright Group,,,IND,"11/30/2014""  ""12\:00\:00 AM"
R0085323,Curtis and Ginsberg,,,IND,"8/31/2014""  ""12\:00\:00 AM"
R0068154,Park Strategies,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0072421,Green Taurig,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0055044,"TLM Associates, LLC",,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0066916,Venable LLP,,,IND,"5/1/2012""  ""12\:00\:00 AM"
R0006090,,,2.0,IND,
R0085590,Real Estate of B NY,,,IND,"1/1/2010""  ""12\:00\:00 AM"
R0090178,,,2.0,IND,
R0082755,Asian American Federation,,,IND,"10/31/2015""  ""12\:00\:00 AM"
