requestid,ownerstreetaddress,ownercity,bbl,iscardoor,parkingexceptiondateofentry,implementdate,planpostdate,tenantborough,community_board
2112,7 Times Square,New York,1000130005,,,,,Manhattan,101.0
1276,370 7th Avenue,New York,1007540078,,,2012-07-31T00:00:00.000,2012-08-05T00:00:00.000,Manhattan,104.0
2619,9 West 57th Street,New York,1010650012,,,,,Manhattan,104.0
2480,130 West 42nd Street,New York,1009940045,,,,,Manhattan,105.0
2029,156 Fifth avenue,New York,1008220031,,,,,Manhattan,105.0
5,1211 Avenue of the Americas,new york,1010000029,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1218,767 Fifth Avenue,New York,1012940001,,,2012-07-11T00:00:00.000,2012-07-16T00:00:00.000,Manhattan,105.0
1322,888 Seventh Avenuen,New York,1010280029,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
786,600 Third Avenue,New York,1008950045,,,2011-05-14T00:00:00.000,2011-05-19T00:00:00.000,Manhattan,106.0
1876,845 Third Avenue,New York,1013250001,,,,,Manhattan,106.0
509,350 Park Avenue,New York,1012870033,,,2010-07-25T00:00:00.000,2010-07-30T00:00:00.000,Manhattan,105.0
2051,420 Lexington Avenue,New York,1012800060,,,,,Manhattan,105.0
191,122 E 42 Street,New York,1012960014,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2009,1325 Avenue of the Americas,New York,1010060013,,,,,Manhattan,105.0
1429,750 Lexington Avenue,New York,1013940013,,,2013-01-14T00:00:00.000,2013-01-19T00:00:00.000,Manhattan,108.0
2071,200 Fifth Avenue,New York,1008250031,,,,,Manhattan,105.0
2102,One Bryant Park,New York,1013167501,,,,,Manhattan,106.0
482,1 rockefeller plaza,new york,1012640005,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
731,The Trump Building at  40 Wall Street,New York,1000430002,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,101.0
