indexnumber,plansubmitdate,latitude,selfserviceoroperator,planddatereceived,elevatorexceptiondateofentry,ownername
BIB15000085,,40.705131,,,,Boston Properties
BIB12000214,2012-08-10T00:00:00.000,40.750978,,2012-09-04T00:00:00.000,,Feil Organization
BIB17000147,,40.766993,,,,Winter Group
BIB17000008,,40.755278,,,,130W42 OpCo LLC
BIB15000005,,40.739905,,,,HRC Corporation
BIB09000005,1999-02-10T00:00:00.000,40.758393,,2010-06-15T00:00:00.000,,"1211 6th Avenue Property Owner, LLC c/o Cushman"
BIB12000156,2012-07-21T00:00:00.000,40.76402,,2013-03-05T00:00:00.000,,Boston Properties
BIB12000260,1999-02-10T00:00:00.000,40.765015,,,,Vornado Office Management
BIB11000059,2011-05-24T00:00:00.000,40.74898,,,,L&L Holding Company
BIB14000125,,40.756688,,2014-07-10T15:04:37.000,,845 Third LP
BIB10000432,2010-08-04T00:00:00.000,40.758224,,2010-07-23T00:00:00.000,,350 Park EAT LLC
BIB15000024,,40.752262,,,,SL Green Realty Corp
BIB10000114,1999-02-10T00:00:00.000,40.751601,,,,"LLC, c/o Colliers"
BIB14000258,,40.761999,,,,Paramount
BIB12000367,2013-01-24T00:00:00.000,40.762515,,2013-06-18T00:00:00.000,,"International Plaza Associates, L.P."
BIB15000044,,40.741865,,,,"L&L Holding Company, LLC"
BIB15000075,,40.750643,,,,DOLP 205 LEASEHOLD LLC
BIB10000405,1999-02-10T00:00:00.000,40.757904,,,,Tishman Speyer
BIB11000004,1999-02-10T00:00:00.000,40.706784,,2011-09-23T00:00:00.000,,"Trump Tower Commercial, LLC"
BIB10000428,1999-02-10T00:00:00.000,40.757586,,2010-06-10T00:00:00.000,,SL Green Realty Corp.
BIB10000264,2011-05-25T00:00:00.000,40.739507,,2012-05-23T19:04:20.000,,"L&L Holding Company, LLC"
BIB09000030,1999-02-10T00:00:00.000,,,2009-12-20T00:00:00.000,,"Jones Lang LaSalle Americas, Inc."
BIB12000137,2012-06-29T00:00:00.000,40.753722,,2012-07-02T18:13:25.000,,daren rrowe
BIB10000098,1999-02-10T00:00:00.000,40.752328,OPERATOR,,2011-01-11T00:00:00.000,CB Richard Ellis | Asset Services
BIB16000088,,40.751601,,,,Chanin Building
BIB12000080,2012-06-10T00:00:00.000,40.76402,,2012-05-23T00:00:00.000,,Boston Properties
BIB15000110,,40.738774,,,,Glen Hedges
BIB10000505,2011-06-07T00:00:00.000,40.723247,,2011-04-29T00:00:00.000,,Grubb and Ellis
BIB12000090,1999-02-10T00:00:00.000,40.744541,,2012-05-15T00:00:00.000,,Winter Organization
