latitude,longitude,state,primary_architect_last,primary_architect_first,secondary_artist_middle,secondary_artist_last,date_created,date_dedicated_approximation,secondary_architect_middle,primary_artist_middle,inscription,date_dedicated
40.637658,-74.074720,NY,Embury II,Aymar,,,1938,N,,,"ERECTED / IN MEMORY OF / JOSEPH H. LYONS / BORN NOV. 13, 1891 --- DIED DEC. 12, 1934 / --- / A GALLANT SOLDIER / IN THE WORLD WAR / 1917-1918 / --- / A CIVIC MINDED CITIZEN / BELOVED BY ALL WHO KNEW HIM / PRO PATRIA /
DEDICATED BY / JAMES S. SLOSSON POST / AMERICAN LEGION / MAY 28, 1938 /",1938
40.680646,-73.946152,NY,,,,,2013,N,,,,2013
40.894001,-73.896050,NY,Puma,Al,,,1986,N,,,FINISH LINE / PETE MCARDLE,1986
40.773333,-73.971972,NY,Langman,Otto,,,1926,N,,John,IN / COMMEMORATION / OF THE HEROISM / AND SACRIFICES / OF THE / CITY EMPLOYEES / WHO FOUGHT / IN THE / VARIOUS WARS / OF THE / UNITED STATES / PRESENTED BY / MRS. CHARLES / AUGUSTINE ROBINSON / NATIONAL FLAG-LADY / OF THE VETERANS OF / FOREIGN WARS OF / THE UNITED STATES,1926
40.767517,-73.993930,NY,Corbett,Harvey,,,1927,N,,William,"Front of pedestal: FROM 'FLANDERS FIELDS' / IF YE BREAK FAITH / WITH THOSE WHO DIED / WE SHALL NOT SLEEP / THOUGH POPPIES GROW / ON FLANDERS FIELDS Rear of pedestal: DEDICATED / NOVEMBER 11, 1929 / BY COMRADES AND FRIENDS / UNDER THE AUSPICES OF / CLINTON DISTRICT MONUMENT / ASSOCIATION AS A MEMORIAL / TO THE YOUNG FOLK OF THIS NEIGHBORHOOD / WHO GAVE THEIR ALL IN THE WORLD WAR",1929
40.688284,-74.001045,NY,,,,,2012,N,,,"[The name of tree, date and time of shadow tracing, are inscribed alongside the shadows].",2012
40.772435,-73.972532,NY,,,,,1850,N,,,PRESENTED BY / G. W. BURNHAM / MDCCCLXIII,1863
40.792722,-73.935583,NY,,,,,1990,N,,,,1995
40.681050,-73.995350,NY,Pike,Gordon,,,1920,N,,H.,"Side 1: THEY FACED THE PERILS / OF THE SEA AND THE / HIDDEN FOE / BENEATH THE / WAVES.

Side 2: THEY SOUGHT NO / GLORY BUT THEIR / COUNTRY'S GOOD / 

2 Honor Rolls entitled: DIED / IN THE / SERVICE OF / THEIR COUNTRY",1921
40.585708,-73.816852,NY,van Alen,William,,,1927,N,,Pasquale,"Medallion (front): American Legion

Plaque 1 (front): MAINTAINED BY / DANIEL M. O'CONNELL POST 272 / AMERICAN LEGION

Honor roll (front): / IF YE BREAK FAITH / WITH US / WE SHALL NOT SLEEP / HONOR ROLL / 1917 --- WORLD / WAR --- 1919 / WALTER BATES / IRVING FRIEDMAN / FRANK GEORGE / CHARLES HARRIS / JEROME O. HEINE / NELSON HEWLETT / CHARLES JACOB / ALBERT MAHER / PETER MOONEY / JOSEPH MCVAY / CHARLES W. MURRAY / DANIEL M. O'CONNELL / LOUIS E. REYNOLDS / ROBER F. RINCK / NICHOLAS SCHETTING / JULIUS STRAUSS / ARTHUR THOMPSON / 1917 --- WORLD WAR --- 1919

Honor roll (west): 1941 --- 1945 / DEDICATED TO / THOSE WHO MADE / THE SUPREME SACRIFICE / DURING WORLD WAR II / FRANCIS T. ACTON, JR. --- JOHN M. LEWIS, JR. / PHILIP AGLIATA --- HAROLD LORMAN / GODFREY R. AMES --- THOMAS MCARDLE / ARTHUR A. AMRON --- MYLES J. MCPARTLAND / JOSEPH N. ANGELONE --- BERNARD MEEHAN / JOSEPH ARCARIO, JR. --- FRED J. MEEHAN / JAMES M. BARRAVECHIA --- DONALD F. MURDOCK / IRVING BELDNER --- EDWARD MUROFCHICK / SAUL W. BERSON --- JAMES F. O'BRIEN / HAROLD J. BLANTHORN --- FRANCIS X. O'CONNELL / JOHN B. BRADY --- VINCENT W. O'KEEFE / LEONARD BUSCHEL --- OWEN P. O'REILLY / CORNELIUS M. CALPIN --- ALEXANDER G. OLSEN / SAMUEL P. CARCANIS --- GIRTSOL OPPENHEIMER / SAM CASALINO --- ALFRED ORLANDO / MARTIN F. COOGAN --- ISIDORE REIMER / JOHN E. CORRIGAN --- ALDO J. RIVARA / RICHARD H. DAVIS --- HAROLD W. ROBERTS / HENRY J. DEHNERT --- GEORGE P. ROLLY / THOMAS J. DENAPOLI --- STANLEY D. ROSE / PATRICK J. DONAHUE --- MICHAEL F. ROTONDO / JOHN G. DUNN --- OTTO SCHAFFNER / ALAN EVANS --- HERBERT SCHIMEK / VINCENT J. FAY --- JULES D. SCHLICHTER / OSCAR FINKELSTEIN --- SAMUEL J. SCHLOSSER
ARNOLD P. FOX --- DONALD R. SCHNEIDER / EDWARD GLEASON --- JACK P. SCHWARTZ / WILLIAM H. GUTERDING --- LLOYD SEASONWEIN / WALTER F. HAWTHORNE --- LOUIS SEIDMAN / PATRICK F. HESLIN --- MURRAY SEIFF / MELVILLE T. HESS --- DONALD W. SELZ / HERBERT HOPFENBERG --- DAVID DANIEL SHAPIRO / GEORGE P. HUMMEL --- FRANK SORENSEN / CHARLES JAMIESON --- HERBERT SPRINGER / JAMES KEHOE --- JOSEPH L. THIER / AUSTIN E. KELLY --- JOSEPH S. VELARDI / JAMES P. KENNY --- PAUL VERDONE / PHILIP J. KIELEY --- WILBERT A. WANKEL / SAMUEL KITOGRAD --- ALVIN S. WEISS / LEONARD KRAM --- BERNARD H. WIENER / SOL. IRVING LANDAU --- GEORGE A. WILLIAM / JOHN LEWIS --- JOHN P. ZIMMER

Honor roll (east): 1950 --- KOREA --- 1955 / IN MEMORY OF THOSE WHO SERVED THEIR COUNTRY / THOMAS W. AUGUST --- GEORGE MAMMES --- RALPH R. MITOLA / JOSEPH DIPIETRO --- GEORGE V. MCCORMICK --- / EDWARD P. O'DONNELL / JAMES F. FARRELL --- EDMUND J. MCGRATH --- DANIEL P. ROGERS / WALTER F. GROSS --- MORTIMER DOMROE --- WILLIAM VOGEL /

1961 --- VIETNAM --- 1975 / IN OUR HEARTS AND MINDS / THEY SHALL LIVE FOREVER / STEDMAN ADAMS --- / WILLIAM HAYES --- WILLIAM MORRIS / GERALD BREEN --- CHARLES R. HEMPEL --- DAVID C. NELSON / MCKINLEY CAUGHMAN --- THOMAS HOARE --- COSMO PACETTA / JOSE CRESPO --- ELBERT R. HUBSCHMITT --- JOSEPH A. SILON / WILLIAM H. DORAN --- TERRANCE P. JORDAN --- DANIEL J. SULLIVAN / MICHAEL ELFLEIN --- JAMES F. LUCAS --- PHILIP A. TINGLEY / HAROLD B. ELSERT --- JOHN MCGONIGAL --- / WILLIE J. WASHINGTON / FRANK FLORIO --- PETER T. MELAHAN --- WALTER WETZEL / HOWARD M. / GERSTEL --- GARY K. MORRIS --- FREDERICK F. WOODWARD / STEVEN V. GOLDSTEIN --- EDWARD J. ZEWERT",1927
