dbn,school_name,fax_number,phone_number,advancedplacement_courses,grade_span_min,priority05,addtl_info2,partner_corporate,boro,priority06,grade_span_max,state_code,subway,nta,psal_sports_boys,primary_address_line_1,community_board,city,zip
17K528,The High School for Global Citizenship,718-230-6301,718-230-6300,"English, Environmental Science",9.0,,"Business Casual Dress Code Required: Black collared top, khaki bottoms; Internship Opportunities",,Brooklyn,,12,NY,"2, 3, 4, 5, F, S to Botanic Garden ; B, Q to Prospect Park",Crown Heights South                                                        ,"Baseball, Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Swimming",883 CLASSON AVENUE,9.0, BROOKLYN,11225
19K659,Cypress Hills Collegiate Preparatory School,718-647-6719,718-647-1672,"English, Psychology, Spanish, Statistics, United States Government and Politics, United States History, World History",9.0,,Summer Orientation: Bridge Program; Community Service Opportunities,,Brooklyn,,12,NY,"J, Z to Elderts Lane-75th St",park-cemetery-etc-Brooklyn                                                 ,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Swimming, Volleyball, Wrestling",999 JAMAICA AVENUE,5.0, BROOKLYN,11208
15K462,Secondary School for Law,718-499-3947,718-832-4250,"English, Environmental Science, Spanish",9.0,,Dress Code Required,"Paul Hastings LLP, Deloitte",Brooklyn,,12,NY,"D, R to 4th Ave - 9th St ; F, G to 7th Ave",Park Slope-Gowanus                                                         ,Basketball,237 7 AVENUE,6.0, BROOKLYN,11215
02M047,47 The American Sign Language and English Secondary School,917-326-6688,917-326-6668,English,9.0,,"Our student body is composed of deaf, hard-of-hearing and hearing students; Our students graduate with bilingual language proficiency (American Sign Language and English); ASL classes offered to parents and the community; Internship Opportunities",PENCIL,Manhattan,,12,NY,"4, 5, Q to 14th St-Union Square ; 6, N, R to 23rd St ; L to 3rd Ave",Gramercy                                                                   ,,223 EAST 23 STREET,6.0, MANHATTAN,10010
02M655,Life Sciences Secondary School,212-348-4293,212-348-1694,"Biology, Calculus, English, United States Government and Politics, World History",6.0,,"Uniform Required: Shirt/blouse with school logo, solid blue, black or tan pants/skirt; Community Service required","Macy's, Estee Lauder, Sense of Smell Institute, PENCIL",Manhattan,,12,NY,6 to 96th St,Yorkville                                                                  ,"Baseball, Basketball, Soccer",320 EAST 96 STREET,8.0, MANHATTAN,10128
27Q324,Rockaway Park High School for Environmental Sustainability,718-734-3286,4-3280,"English, Environmental Science, Psychology, United States History",9.0,,"Dress Code Required: Boys - solid gray, pink or hunter green polo shirt/sweater vest and a white button-down shirt, khaki or gray dress pants, solid black sneakers. Girls - solid gray, pink or hunter green polo shirt, sweater vest, or sweater and a white button-down blouse, khaki or gray dress pants/knee-length skirt, solid black sneakers. Uniforms can be purchased at Ideal Department Store in Brooklyn or Elmont; Community Service Required; Internship Opportunities; Summer Bridges Program",,Queens,,12,NY,"A, S to Beach 98th St-Playland",Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,"Baseball, Basketball, Football, Indoor Track, Soccer, Tennis, Volleyball",100-00 BEACH CHANNEL DRIVE,14.0, QUEENS,11694
0Q4,William Cullen Bryant High School,718-728-3478,718-721-5404,"Biology, Calculus, Chemistry, English, French Language and Culture, Physics, Spanish, Statistics, United States Government and Politics, United States History, World History",9.0,,Internship Opportunities; Saturday Academy offered,"Estée Lauder, Chadbourne & Park Law Offices, Xincon Career Development, Inc.",Queens,,12,NY,"M, R to 46th St",Astoria                                                                    ,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",48-10 31 AVENUE,1.0, QUEENS,11103
27Q308,Robert H. Goddard High School of Communication Arts and Technology,718-848-8579,718-848-8357,"Chemistry, English, Environmental Science, Psychology, Spanish, United States History, World History",9.0,,Community Service offered; Student/Parent Summer Orientation,Classlink,Queens,,12,NY,,Ozone Park                                                                 ,"Baseball, Basketball",138-30 LAFAYETTE STREET,10.0, QUEENS,11417
08X558,Westchester Square Academy,718-904-5055,718-904-5050,"Spanish, United States History",9.0,,"Dress Code Required: Maroon or white polo or white dress shirt, black pants/skirt; Extended Day and Office Hours Available; International Travel Opportunities",,Bronx,,12,NY,6 to Westchester Sq - East Tremont Ave,Schuylerville-Throgs Neck-Edgewater Park                                   ,"Baseball, Basketball, Cross Country, Football, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Tennis, Wrestling",3000 EAST TREMONT AVENUE,10.0, BRONX,10461
25Q670,Robert F. Kennedy Community High School,718-969-5524,718-969-5510,"Biology, Calculus, English, Spanish",9.0,,Community Service Requirement,,Queens,,12,NY,,Kew Gardens Hills                                                          ,"Baseball, Basketball, Bowling, Fencing, Soccer, Wrestling",75-40 PARSONS BOULEVARD,8.0, QUEENS,11366
05M362,Columbia Secondary School,212-666-3805,212-666-1278,"Biology, English, Environmental Science, Physics, Spanish, United States History",6.0,,Uniform Required: dark blue shirt with CSS logo and blue jeans; Extended Day Program,,Manhattan,,12,NY,"1, A, B, C, D to 125th St",Morningside Heights                                                        ,"Basketball, Rugby, Soccer",425 WEST 123 STREET,9.0, MANHATTAN,10027
02M300,"Urban Assembly School of Design and Construction, The",212-586-1731,212-586-0981,"Calculus, English, United States Government and Politics, United States History",9.0,,"Dress Code Required: Boys - button-down dress shirt, dress pants, belt, dress shoes, full-length sweater. Girls - button-down shirt, dress slacks/skirt (one inch below the knee), black stockings, flat dress shoes, full-length sweater; Our program emphasizes design and architecture, not construction trades; Internship Opportunities","Turner Construction Co.; NYC Department of Design and Construction; Thornton Tomasetti, Inc.; Robert Silman Associates; Parsons Brinckerhoff; Hardesty and Hanover; F.J. Sciame Construction Co., Inc.; Gensler; ACE Mentoring; Sam Schwartz; Structure Tone; Skidmore, Owings, & Merill (SOM); OMNI Architects, STV Inc., Wachtell, Lipton, Rosen, & Katz;",Manhattan,,12,NY,"C, E to 50th St",Clinton                                                                    ,"Baseball, Basketball, Bowling, Cross Country, Soccer, Tennis, Volleyball",525 WEST 50TH STREET,4.0, MANHATTAN,10019
01M509,Marta Valle High School,212-475-7588,212-473-8152,,9.0,,Students Dress for Success; Summer Bridge to Success Program for incoming students in July offers HS credits; Saturday Success Academy Regents Prep; On-site Placement and Referral Office for Summer Youth Employment Program; Parent Resource Room; College Trips & Tours and Free Application for Federal Student Aid (FAFSA) Application Workshops,Estée Lauder,Manhattan,,12,NY,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St",Chinatown                                                                  ,Basketball,145 STANTON STREET,3.0, MANHATTAN,10002
29Q248,Queens Preparatory Academy,718-712-3273,718-712-2304,"Biology, Calculus, English, United States History, World History",9.0,,"July Summer Bridge Program for entering ninth graders; Extended Day: For ninth graders, 1 day per week Leadership Training, 2 days per week mathematics enrichment; College Tours; Community Service Required: Ninth grade project; Internship Opportunities",,Queens,,12,NY,,Springfield Gardens North                                                  ,"Baseball, Basketball, Football, Indoor Track, Outdoor Track, Soccer, Wrestling",143-10 SPRINGFIELD BOULEVARD,12.0, QUEENS,11413
14K586,Lyons Community School,718-782-5283,718-782-0918,,6.0,,Daily Advisory class to discuss life issues and receive academic support; Before-school and after-school academic support,,Brooklyn,,12,NY,"L to Grand St ; G to Metropolitan Ave-Lorimer St ; J, M to Lorimer St",East Williamsburg                                                          ,Wrestling,223 GRAHAM AVENUE,1.0, BROOKLYN,11206
