dbn,language_classes,psal_sports_girls,program_highlights,building_code,start_time,school_accessibility_description,partner_nonprofit
11X270,Spanish,"Basketball, Outdoor Track, Volleyball","Individualized College Advisement, Academic and Career Planning, A.V.I.D. Program Internships, Advisory, Business and Entrepreneurship Curriculum, Technology Classes, S.T.E.M. Program",X362,7:55 AM,Functionally Accessible,"National Foundation for Teaching Entrepreneurship, Inc., Virtual Enterprises International"
06M463,Spanish,"Basketball, Outdoor Track, Soccer, Softball, Swimming, Volleyball","AVID Elective Program for College Success, Visual Arts Programs (Including Photoshop), Creative Writing, Theater Arts, Honors Programs in English and History, Writing for College, Introduction to Film, Introduction to Media Literacy Classes, Leadership Classes, The Reserve Officers’ Training Corps (ROTC), and After School Academic Programs. We use state of the art technology to enrich our academic programs (iMacs, Macbook Pros, iPads, and SMART boards).",M465,8:00 AM,Functionally Accessible,"Double Discovery Center at Columbia University, Minds Matter of New York City, College Board AP Program and AVID: Decades of College Dreams."
10X342,Spanish,"Basketball, Bowling, Softball, Tennis, Volleyball","Honors Mathematics, Accelerated Track",X430,8:00 AM,Functionally Accessible,
11X508,Spanish,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Advisory, Pre-College and Career Planning, Read 180, College Board’s Springboard, Great Books, Technology in every classroom, Arts, Culinary Arts, College Visits, Artist-in-Residence for Drama, Inquiry-Based Learning, Partnerships with the Institute for Student Achievement, CUNY College Now, Vital Theater, Lincoln Center, Lehman College Art Gallery, Prep for Success, Jewish Guild for Family & Children Services, Center for Court Innovation, Tribeca Youth Screening Series",X415,8:25 AM,Functionally Accessible,"Center for Court Innovation, NIDC's Prep for Success, Jewish Guild for Family and Children Services, Center for Court Innovation"
11X249,Spanish,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Stunt, Tennis, Volleyball","Health-related Research, Literacy, Externships; Problem-based and Project-based Interdisciplinary Learning and Research, Hospital Volunteer, Health Occupations Students of America (HOSA), Advisory",X455,7:15 AM,Functionally Accessible,
11X544,Spanish,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Volleyball","Visual, Audio, Media, and Performing Arts; Internships with colleges, museums, arts companies, and individual artists; Creative Writing",X425,8:00 AM,Functionally Accessible,
16K393,French,,"CUNY College Now with Medgar Evers College, Fresh Prep Core, Science, Technology, Engineering & Mathematics (STEM) Dance4Peace, Acceleration Via Individual Determination (AVID), Technology Education and Literacy in Schools (TEALS), National Academy Foundation (NAF)",K026,8:00 AM,Not Functionally Accessible,"Hip-Hop 4 Life, Urban Arts, and St. Nicks Alliance"
30Q445,"French, Greek, Italian, Spanish","Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Accounting, Entrepreneurship and Marketing Program, Art Exhibitions, Astronomy, Career Exploration, Chorus, CUNY College Now, Drama, EMT, Environmental Science, Executive Internship, Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP), Honors Classes, Intel Math/Science Research, Jazz Band, Law & Enforcement, Law & Forensics, Orchestra, Performing Arts, Piano, Robotics,Theatre Company, Upward Bound, Vocational Training Center",Q445,8:50 AM,Not Functionally Accessible,"National Association of Latino Elected and Appointed Officials (NALEO), South Asian Council for Social Services"
24Q455,"Chinese (Mandarin), French, Spanish","Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball","New York State-approved Career and Technical Education programs in New Media/E-Commerce and Architecture; Pre-Engineering; A+ Certification; Computer Repair; Microsoft Office Specialist (Access, Excel, PowerPoint and Word); Adobe Web Certification, Flash and Dreamweaver; IT Technology; Network Cabling; Robotics; Journalism; Guitar Classes; Piano Keyboard; Spanish Drama; Spanish Heritage; Chinese Heritage; City Year corp members provide both inclass and after-school academic support; they also provide extracurricular activities such as break-dancing, journalism, and more.",Q455,8:00 AM,Not Functionally Accessible,
28Q687,"Chinese (Mandarin), French, Spanish","Bowling, Swimming","We have a strong curriculum, including many Advanced Placement (AP) courses and electives, especially in math and science; Students have the opportunity to enter science, mathematics, and technology competitions at the city, state, and national levels; CUNY College Now; Course offerings vary each year based on student interest.",Q774,8:00 AM,Functionally Accessible,
