manhattan_condominium_property_condo_section,latitude,longitude,bin,comparable_rental_1_building_classification,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,manhattan_condominium_property_gross_sqft,comparable_rental_2_building_classification,manhattan_condominium_property_year_built,manhattan_condominium_property_gross_income_per_sqft,manhattan_condominium_property_neighborhood,comparable_rental_2_full_market_value
594-R1,40.716745,-74.010862,1075706.0,D6-ELEVATOR,193.0,TRIBECA,66551,D9-ELEVATOR,1988,40.0,TRIBECA,25200000.0
1815-R1,40.737368,-73.979782,1020579.0,D9-ELEVATOR,209.0,KIPS BAY,233744,D9-ELEVATOR,2007,45.0,KIPS BAY,31500000.0
380-R1,40.769705,-73.956399,,D6-ELEVATOR,102.0,UPPER EAST SIDE (59-79),148594,D3-ELEVATOR,1987,38.7,UPPER EAST SIDE (59-79),15900000.0
660-R1,40.762673,-73.989553,1026606.0,D9-ELEVATOR,168.0,CLINTON,7812,D9-ELEVATOR,1901,28.0,CLINTON,3680000.0
2011-R1,40.761262,-73.987572,1087980.0,D6-ELEVATOR,189.0,MIDTOWN WEST,125813,D6-ELEVATOR,2007,43.0,MIDTOWN WEST,36000000.0
1623-R1,40.706146,-74.016873,1087238.0,D8-ELEVATOR,207.0,TRIBECA,431824,D8-ELEVATOR,2006,43.0,TRIBECA,73800000.0
1077-R1,40.772899,-73.960033,1043173.0,D6-ELEVATOR,209.0,UPPER EAST SIDE (59-79),68979,D7-ELEVATOR,1999,46.4,UPPER EAST SIDE (59-79),10500000.0
1845-R1,40.742628,-73.994197,1087724.0,D1-ELEVATOR,240.0,CHELSEA,66937,D7-ELEVATOR,2006,43.3,CHELSEA,16400000.0
1559-R1,40.752654,-73.985707,1015272.0,D6-ELEVATOR,,,97349,,2004,46.2,FASHION,
687-R1,40.768187,-73.955707,1045862.0,D9-ELEVATOR,103.0,MIDTOWN EAST,19747,D9-ELEVATOR,1910,35.4,UPPER EAST SIDE (59-79),1050000.0
1590-R1,40.70536,-74.008602,1000835.0,D9-ELEVATOR,176.0,FINANCIAL,96902,D8-ELEVATOR,1987,40.0,FINANCIAL,18900000.0
1847-R1,40.715987,-74.010248,1001505.0,D8-ELEVATOR,176.0,FINANCIAL,87334,D8-ELEVATOR,1931,36.0,TRIBECA,18900000.0
2021-R1,40.722278,-73.994336,1084914.0,D7-ELEVATOR,246.0,SOHO,28258,D7-ELEVATOR,2007,0.0,LITTLE ITALY,5090000.0
198-R1,40.718038,-74.008932,1002045.0,C7-WALK-UP,154.0,TRIBECA,20750,D7-ELEVATOR,1915,29.5,TRIBECA,4110000.0
16-R1,40.761275,-73.969938,1036926.0,D6-ELEVATOR,249.0,MIDTOWN EAST,364872,D7-ELEVATOR,1975,44.0,MIDTOWN CBD,103000000.0
515-R1,40.734748,-73.996727,1076074.0,D9-ELEVATOR,143.0,GREENWICH VILLAGE-WEST,9380,D7-ELEVATOR,1900,27.0,GREENWICH VILLAGE-CENTRAL,3110000.0
620-R1,40.753551,-73.971226,1037604.0,D6-ELEVATOR,241.0,MIDTOWN CBD,164753,D8-ELEVATOR,1988,46.0,MIDTOWN EAST,38100000.0
580-R2,40.737612,-73.980319,1084795.0,D9-ELEVATOR,195.0,KIPS BAY,49157,D9-ELEVATOR,1905,36.0,KIPS BAY,15900000.0
1291-R1,40.712411,-73.992991,1084603.0,D3-ELEVATOR,234.0,LOWER EAST SIDE,43850,D5-ELEVATOR,2002,45.2,LOWER EAST SIDE,6380000.0
1537-R1,40.734525,-73.985971,1019536.0,D9-ELEVATOR,205.0,GRAMERCY,51136,D9-ELEVATOR,1915,36.0,GRAMERCY,11600000.0
344-R1,40.780449,-73.981462,1030741.0,D6-ELEVATOR,168.0,UPPER WEST SIDE (59-79),54975,D7-ELEVATOR,1922,32.0,UPPER WEST SIDE (59-79),8150000.0
498-R1,40.708809,-74.016116,1065475.0,D8-ELEVATOR,323.0,TRIBECA,586224,D8-ELEVATOR,1987,40.0,TRIBECA,77200000.0
1438-R1,40.713339,-73.990546,1087057.0,C7-WALK-UP,149.0,CHINATOWN,19597,C7-WALK-UP,1912,26.0,LOWER EAST SIDE,2810000.0
513-R1,40.765342,-73.977542,1084293.0,D6-ELEVATOR,196.0,MIDTOWN WEST,32796,D6-ELEVATOR,1923,30.0,MIDTOWN WEST,7780000.0
77-R1,40.740426,-73.988976,1016304.0,D6-ELEVATOR,190.0,FLATIRON,380448,D6-ELEVATOR,1985,42.0,FLATIRON,12000000.0
805-R1,40.769465,-73.967894,1041237.0,D6-ELEVATOR,365.0,UPPER EAST SIDE (79-96),96152,D6-ELEVATOR,1955,35.9,UPPER EAST SIDE (59-79),37300000.0
229-R1,40.719246,-74.006313,1002154.0,D8-ELEVATOR,117.0,TRIBECA,52735,D8-ELEVATOR,1915,27.0,TRIBECA,27900000.0
410-R1,40.777464,-73.986171,1070696.0,D6-ELEVATOR,202.0,UPPER WEST SIDE (59-79),493268,D6-ELEVATOR,1965,28.0,UPPER WEST SIDE (59-79),45500000.0
228-R1,40.746836,-74.002162,1012691.0,D1-ELEVATOR,210.0,CHELSEA,37431,D9-ELEVATOR,1985,38.0,CHELSEA,10200000.0
1463-R1,40.776674,-73.98923,1086247.0,D6-ELEVATOR,215.0,UPPER WEST SIDE (59-79),263003,D8-ELEVATOR,2004,45.0,UPPER WEST SIDE (59-79),79200000.0
1828-R1,40.753118,-73.972085,1037599.0,D6-ELEVATOR,221.0,MIDTOWN EAST,207246,D6-ELEVATOR,1979,40.8,MIDTOWN EAST,55900000.0
1165-R1,40.751983,-73.967538,1038909.0,D9-ELEVATOR,365.0,UPPER EAST SIDE (59-79),825532,D8-ELEVATOR,2000,62.0,MIDTOWN EAST,129000000.0
1616-R1,40.726039,-74.009658,1087495.0,D1-ELEVATOR,309.0,GREENWICH VILLAGE-CENTRAL,68865,D6-ELEVATOR,2005,44.0,SOHO,25000000.0
1632-R1,40.758819,-73.964156,1087647.0,D7-ELEVATOR,209.0,UPPER EAST SIDE (59-79),41406,D7-ELEVATOR,2005,56.0,MIDTOWN EAST,10500000.0
1895-R1,40.734537,-73.996218,1087759.0,D9-ELEVATOR,114.0,GREENWICH VILLAGE-CENTRAL,34118,D5-ELEVATOR,1912,25.0,GREENWICH VILLAGE-CENTRAL,3940000.0
242-R1,40.788594,-73.971197,1032320.0,D6-ELEVATOR,255.0,UPPER WEST SIDE (79-96),145070,D6-ELEVATOR,1985,42.0,UPPER WEST SIDE (79-96),44800000.0
61-R1,40.75405,-73.968483,1039489.0,D8-ELEVATOR,146.0,MIDTOWN EAST,119419,D9-ELEVATOR,1982,44.0,MIDTOWN EAST,45700000.0
966-R1,40.773997,-73.982233,1028839.0,D8-ELEVATOR,,,320750,,1997,44.0,UPPER WEST SIDE (59-79),
323-R1,40.757083,-73.966013,1039848.0,D6-ELEVATOR,139.0,UPPER EAST SIDE (59-79),65000,D1-ELEVATOR,1959,30.5,MIDTOWN EAST,8440000.0
191-R1,40.74696,-73.97705,1020214.0,D6-ELEVATOR,162.0,MURRAY HILL,123404,D6-ELEVATOR,1963,35.0,MURRAY HILL,24900000.0
1551-R1,40.709639,-74.008325,1001215.0,D7-ELEVATOR,175.0,FINANCIAL,66575,D5-ELEVATOR,1906,37.6,FINANCIAL,10200000.0
405-R1,40.782381,-73.976522,1070591.0,D9-ELEVATOR,233.0,UPPER WEST SIDE (59-79),68225,D9-ELEVATOR,1987,38.0,UPPER WEST SIDE (59-79),12200000.0
766-R1,40.747086,-73.993457,1015096.0,D5-ELEVATOR,176.0,CHELSEA,94649,D9-ELEVATOR,1926,42.9,CHELSEA,11000000.0
563-R1,40.759926,-73.966737,1076272.0,D3-ELEVATOR,103.0,UPPER EAST SIDE (59-79),305093,D3-ELEVATOR,1964,31.0,MIDTOWN EAST,54800000.0
1311-R2,40.768406,-73.982076,1026318.0,D3-ELEVATOR,291.0,UPPER WEST SIDE (59-79),217897,D7-ELEVATOR,1955,61.0,MIDTOWN WEST,134000000.0
