property_id,community_board,fuel_oil_5_6_use_kbtu,green_power_onsite_kwh,hospital_general_medical_12,multifamily_housing_number_2,performing_arts_gross_floor,electricity_use_generated_1,property_gfa_calculated_1,energy_star_score,estimated_data_flag,district_hot_water_use_kbtu,national_median_source_eui,library_gross_floor_area,water_use_intensity_all_water,data_center_it_energy,other_number_of_computers,data_center_it_equipment,occupancy,district_steam_use_kbtu,office_percent_that_can_be_1,census_tract,percent_of_electricity_that,year_built,food_sales_gross_floor_area,hospital_general_medical,site_eui_kbtu_ft,hospital_general_medical_8,hospital_general_medical_14,hospital_general_medical_5,electricity_use_grid_purchase_1,municipally_supplied_potable_2,difference_from_national_3,source_energy_use_kbtu,alert_gross_floor_area_is,percent_of_total_electricity,outdoor_water_use_all_water,egrid_output_emissions_rate,medical_office_weekly,multifamily_housing_total_1,fuel_oil_1_use_kbtu,financial_office_weekly,hospital_general_medical_1,national_median_source_energy,multifamily_housing_government,estimated_values_energy,data_quality_checker_date,hotel_worker_density_number,medical_office_gross_floor,senior_care_community_gross,hospital_general_medical_7,self_storage_facility_gross,pre_school_daycare_gross,convenience_store_with_gas_2,municipally_supplied_potable_1,diesel_2_use_kbtu,kerosene_use_kbtu,hotel_gross_floor_area_ft,parent_property_name,college_university_gross,estimated_data_flag_fuel,electricity_use_grid_purchase,source_eui_kbtu_ft,national_median_site_eui,multifamily_housing_total
4473965,203.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,2114950,19,No,Not Available,153,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,14701.0,0,1963,Not Available,Not Available,132.3,Not Available,Not Available,Not Available,50279812,Not Available,Not Available,398833445,Ok,Not Available,Not Available,92.8,Not Available,0.98868,Not Available,Not Available,Not Available,323531693.2,No,No,2017-04-27,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MORRIS I/MORRIS II/MORRISANIA CAMPUS,Not Available,No,50279827.1,188.6,107.3,2091
5990152,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,263000,27,No,Not Available,89.8,Not Available,7.54,Not Available,Not Available,Not Available,100,Not Available,Not Available,117.0,0,1930,Not Available,Not Available,109.3,Not Available,Not Available,Not Available,1298288.9,Not Available,Not Available,32900282.8,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,23627900.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1984.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1298289,125.1,78.5,Not Available
5932277,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63277,69,No,Not Available,106.9,Not Available,50.36,Not Available,Not Available,Not Available,100,Not Available,Not Available,66.0,0,2006,Not Available,Not Available,62,Not Available,Not Available,Not Available,869961.4,Not Available,Not Available,5936032.4,Ok,Not Available,Not Available,92.8,Not Available,0.77437,Not Available,Not Available,Not Available,6763706.3,100% Yes,No,2017-06-23,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,869961.5,93.8,70.6,49
4919368,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,71100,100,No,Not Available,118.3,Not Available,92.11,Not Available,Not Available,Not Available,100,Not Available,Not Available,,0,1930,Not Available,Not Available,44.1,Not Available,Not Available,Not Available,138063.1,Not Available,Not Available,3582336.7,Ok,Not Available,Not Available,92.8,Not Available,1.23376,Not Available,Not Available,Not Available,8412286.5,No,Yes,2017-03-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6549.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,138063.1,50.4,103.6,87.72
5936256,402.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86937,Not Available,No,Not Available,60,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.0,0,1931,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,296361.8,Not Available,Not Available,930576,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,5213048,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,296361.8,10.7,19.1,Not Available
6011145,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,88963,90,No,Not Available,216.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,100,74.0,0,1917,Not Available,Not Available,39.9,Not Available,Not Available,Not Available,3256687.5,Not Available,Not Available,10537132.4,Ok,Not Available,Not Available,88.7,Not Available,Not Available,Not Available,Not Available,Not Available,19293028.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,3256687.5,118.4,73.1,Not Available
4399380,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96000,37,No,Not Available,225.8,Not Available,59.89,Not Available,Not Available,Not Available,100,Not Available,Not Available,92.0,0,1929,Not Available,Not Available,109,Not Available,Not Available,Not Available,6335633.6,Not Available,Not Available,24233701,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,21677287.5,Not Available,No,Not Available,0.375,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5749.7,Not Available,Not Available,96000,Not Applicable: Standalone Property,Not Available,Not Available,6335632.4,252.4,97.5,Not Available
4917102,108.0,Not Available,Not Available,Not Available,4,Not Available,Not Available,79494,98,No,Not Available,122.6,Not Available,79.11,Not Available,Not Available,Not Available,100,3429863,Not Available,132.0,0,1976,Not Available,Not Available,52,Not Available,Not Available,Not Available,434241.8,Not Available,Not Available,5775353.5,Ok,Not Available,Not Available,92.8,Not Available,1.07578,Not Available,Not Available,Not Available,9745488.8,No,No,2017-06-14,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,434241.7,72.7,87.8,81
6038982,412.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,83100,81,No,Not Available,112,Not Available,495.1,Not Available,Not Available,Not Available,100,Not Available,Not Available,44602.0,0,2006,Not Available,Not Available,73.1,Not Available,Not Available,Not Available,494358.9,Not Available,Not Available,7415907.7,Ok,Not Available,Not Available,88.7,Not Available,0.9627,Not Available,Not Available,Not Available,9309695.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41142.8,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,494359,89.2,91.8,80
5934876,207.0,Not Available,Not Available,Not Available,3,Not Available,Not Available,60850,100,No,Not Available,117.6,Not Available,491.18,Not Available,Not Available,Not Available,100,Not Available,Not Available,42902.0,0,1928,Not Available,Not Available,19.2,Not Available,Not Available,Not Available,860353.5,Not Available,Not Available,3023945,Ok,Not Available,Not Available,92.8,Not Available,0.98603,Not Available,Not Available,Not Available,7154013.8,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29888.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,860353.6,49.7,45.4,60
4473906,107.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,2221782,35,No,Not Available,143.7,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,189.0,0,1965,Not Available,Not Available,109.1,Not Available,Not Available,Not Available,46158047.8,Not Available,Not Available,351073850,Ok,Not Available,Not Available,92.8,Not Available,0.92538,Not Available,Not Available,Not Available,319190684.8,No,No,2017-04-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DOUGLASS I/DOUGLASS II CAMPUS,Not Available,No,46158054.9,158,99.2,2056
4836183,112.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,58150,27,No,Not Available,141.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,277.0,0,1924,Not Available,Not Available,126.5,Not Available,Not Available,Not Available,1006410.3,Not Available,Not Available,9586291.2,Ok,Not Available,Not Available,92.8,Not Available,1.1178,Not Available,Not Available,Not Available,8250091,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1006410.3,164.9,108.9,65
6147837,302.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,57000,Not Available,Yes,Not Available,127.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,502.0,0,1900,Not Available,Not Available,16.9,Not Available,Not Available,Not Available,964886.3,Not Available,Not Available,3029742.8,Ok,Not Available,Not Available,88.7,Not Available,0.46154,Not Available,Not Available,Not Available,7292020.7,No,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,964886.2,53.2,40.7,24
4530840,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,54980,1,No,Not Available,183.2,Not Available,3.57,Not Available,Not Available,Not Available,100,Not Available,Not Available,14801.0,0,1915,Not Available,Not Available,256.8,Not Available,Not Available,Not Available,6143623.3,Not Available,Not Available,27662689.4,Ok,Not Available,Not Available,88.7,Not Available,Not Available,Not Available,Not Available,Not Available,10071930.5,Not Available,No,2017-10-31,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,196.5,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,6143624.7,503.1,93.5,Not Available
4940492,412.0,Not Available,Not Available,Not Available,3,Not Available,Not Available,51282,19,No,Not Available,124,Not Available,90.54,Not Available,Not Available,Not Available,95,Not Available,Not Available,240.0,0,1941,Not Available,Not Available,120.7,Not Available,Not Available,Not Available,662292.4,Not Available,Not Available,7881748.4,Ok,Not Available,Not Available,92.8,Not Available,0.9165,Not Available,Not Available,Not Available,6358506,No,No,2017-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4643.3,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,662292.2,153.7,97.3,47
6075359,111.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,55406,9,No,Not Available,129.4,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,166.0,0,2013,Not Available,Not Available,71.5,Not Available,Not Available,Not Available,2710079.9,Not Available,Not Available,9824146,Ok,Not Available,Not Available,88.7,Not Available,1.11901,Not Available,Not Available,Not Available,7172147.7,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,2710080,177.3,52.2,62
4369079,106.0,Not Available,Not Available,Not Available,5,Not Available,Not Available,63000,36,No,Not Available,156,Not Available,44.61,Not Available,Not Available,Not Available,95,Not Available,Not Available,90.0,0,1960,Not Available,Not Available,128.2,Not Available,Not Available,Not Available,1063257.7,Not Available,Not Available,10705775.2,Ok,Not Available,Not Available,92.8,Not Available,1.74603,Not Available,Not Available,Not Available,9826621,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2810.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1063257.6,169.9,117.7,110
4473955,316.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,991000,6,No,Not Available,140.3,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,908.0,0,1967,Not Available,Not Available,139.8,Not Available,Not Available,Not Available,26141317.8,Not Available,Not Available,199701076.9,Ok,Not Available,Not Available,92.8,Not Available,0.98285,Not Available,Not Available,Not Available,139083397.2,Not Available,No,2017-04-19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,LOW HOUSES/GLENMORE PLAZA CAMPUS,Not Available,No,26141316.7,201.5,97.3,974
3128121,203.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2114950,45,Not Available,Not Available,104,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,14701.0,Not Available,1963,Not Available,Not Available,102.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,226827776.7,Ok,Not Available,Not Available,92.8,Not Available,0.98868,Not Available,Not Available,Not Available,219911818.6,Not Available,No,2017-05-11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MORRIS I/MORRIS II/MORRISANIA CAMPUS,Not Available,No,Not Available,107.2,99,2091
3531878,211.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,560000,24,No,Not Available,323.1,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,100,284.0,0,2007,Not Available,Not Available,190.9,Not Available,Not Available,Not Available,60118484.6,Not Available,Not Available,237913722.8,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,180959150.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,60118499,424.8,145.2,Not Available
3226946,211.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,280000,2,No,Not Available,398.7,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,100,284.0,0,1974,Not Available,Not Available,303.6,Not Available,Not Available,Not Available,74608736.8,Not Available,Not Available,245194574.2,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,111631907.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,74608737.2,875.7,138.2,Not Available
2546474,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,128858,41,No,Not Available,149.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,16001.0,0,1990,Not Available,Not Available,69,Not Available,Not Available,Not Available,5472438.6,Not Available,Not Available,20772735.6,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,19321416.6,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,5472438.7,161.2,64.2,Not Available
5980333,203.0,Not Available,Not Available,Not Available,6,Not Available,Not Available,83424,67,No,Not Available,139.3,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,157.0,0,2015,Not Available,Not Available,71.4,Not Available,Not Available,Not Available,1971990,Not Available,Not Available,10374383.6,Ok,Not Available,Not Available,92.8,Not Available,1.0069,Not Available,Not Available,Not Available,11623202.4,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1971989.8,124.4,80,84
4474028,315.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,2104000,5,No,Not Available,145,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,572.0,0,1950,Not Available,Not Available,154.7,Not Available,Not Available,Not Available,52874945.1,Not Available,Not Available,452216865.8,Ok,Not Available,Not Available,92.8,Not Available,1.01996,Not Available,Not Available,Not Available,305022055.9,No,No,2017-04-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,SHEEPSHEAD BAY/NOSTRAND CAMPUS,Not Available,No,52874956.4,214.9,104.3,2146
6022240,313.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,107958,Not Available,No,Not Available,96.8,Not Available,28.47,Not Available,Not Available,Not Available,100,Not Available,Not Available,37402.0,0,2013,Not Available,Not Available,109,Not Available,Not Available,Not Available,4778618.6,Not Available,Not Available,22340573.5,Ok,Not Available,Not Available,88.7,Not Available,Not Available,Not Available,Not Available,Not Available,10452231.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3073.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,4778620,206.9,51,Not Available
5077287,306.0,Not Available,Not Available,No,Not Available,Not Available,Not Available,821392,83,Yes,Not Available,547.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,153.0,0,1881,Not Available,3765,216.2,2,100,0.25201,85303787.3,Not Available,Not Available,364737171.1,Ok,Not Available,Not Available,88.7,Not Available,Not Available,Not Available,Not Available,4.58368,450052164.3,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,0.00243,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York Presbyterian Brooklyn Methodist Hospital,Not Available,Not Available,85303798.1,444,266.8,Not Available
5984812,314.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87000,100,No,Not Available,119.3,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,79602.0,0,1990,Not Available,Not Available,7.1,Not Available,Not Available,Not Available,621584.5,Not Available,Not Available,1951775.3,Ok,Not Available,Not Available,92.8,Not Available,1.2,Not Available,Not Available,Not Available,10375845.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,621584.5,22.4,38,104.4
2831137,316.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,127100,8,No,Not Available,123.8,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,303.0,0,1986,Not Available,Not Available,119.5,Not Available,Not Available,Not Available,2895721.1,Not Available,Not Available,22001318.3,Ok,Not Available,Not Available,92.8,Not Available,0.98348,Not Available,Not Available,Not Available,15740385.8,Not Available,No,2017-06-02,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,No,2895721.2,173.1,85.5,125
5990147,301.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,104500,57,No,Not Available,79.3,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,449.0,0,1971,Not Available,Not Available,52.2,Not Available,Not Available,Not Available,790674,Not Available,Not Available,7374881.9,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,8285926.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,790674.2,70.6,58.6,Not Available
5871315,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30328,Not Available,Yes,Not Available,123.1,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,,0,2001,Not Available,Not Available,273.5,Not Available,Not Available,Not Available,1302401.3,Not Available,Not Available,11397014.7,Ok,Not Available,Not Available,92.8,Not Available,1.2,Not Available,Not Available,Not Available,3734014.8,Not Available,Yes,Not Available,Not Available,Not Available,15164,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,No,1302401.5,375.8,89.6,18.2
2686404,302.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,89013,64,No,Not Available,256.4,Not Available,59.52,Not Available,Not Available,Not Available,70,Not Available,100,37.0,0,1895,Not Available,Not Available,89.2,Not Available,Not Available,Not Available,5256035.9,Not Available,Not Available,19326221.5,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,22821846.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5297.9,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,5256034.6,217.1,105.4,Not Available
6075346,313.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,171942,66,No,Not Available,110.8,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,61002.0,0,2005,Not Available,Not Available,53.3,Not Available,Not Available,Not Available,3578089.3,Not Available,Not Available,17094410.1,Ok,Not Available,Not Available,88.7,Not Available,0.62812,Not Available,Not Available,Not Available,19059666.6,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,3578089.2,99.4,59.4,108
2831082,111.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,2758857,98,No,Not Available,152.4,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,182.0,0,1959,Not Available,Not Available,30.8,Not Available,Not Available,Not Available,72635031.3,Not Available,Not Available,241082286,Ok,Not Available,Not Available,92.8,Not Available,1.00948,Not Available,Not Available,Not Available,420479365.8,No,No,2017-04-19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,JOHNSON/JEFFERSON CAMPUS,Not Available,Not Available,72635048.3,87.4,53.8,2785
2788854,314.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,115374,31,Yes,Not Available,119.3,Not Available,108.88,Not Available,Not Available,Not Available,100,Not Available,Not Available,50801.0,0,1924,Not Available,Not Available,97.7,Not Available,Not Available,Not Available,1749493.4,Not Available,Not Available,15467481.9,Ok,Not Available,Not Available,88.7,Not Available,1.2,Not Available,Not Available,Not Available,13759802.1,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12561.7,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,No,1749493.4,134.1,86.9,138.45
2815138,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,67132,100,No,Not Available,170.6,Not Available,5.62,Not Available,Not Available,Not Available,100,3655.1,100,96.0,0,1890,Not Available,Not Available,7.7,Not Available,Not Available,Not Available,489287.3,Not Available,Not Available,1565797,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,11450072.7,Not Available,No,2017-07-31,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,489287.4,23.3,56.3,Not Available
2684923,317.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,412128,52,No,Not Available,142.3,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,830.0,0,1950,Not Available,Not Available,88.2,Not Available,Not Available,Not Available,9455610.8,Not Available,Not Available,57912715.6,Ok,Not Available,Not Available,92.8,Not Available,1.22292,Not Available,Not Available,Not Available,58661156.2,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,9455609.3,140.5,89.3,504
5951022,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,509747,Not Available,No,Not Available,123.1,Not Available,22.75,Not Available,136,Not Available,80,13032112.2,Not Available,109.0,0,1927,Not Available,Not Available,64.5,Not Available,Not Available,Not Available,19835883.8,Not Available,Not Available,77962842.3,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,62760579.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11594.9,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,19835884,152.9,51.9,Not Available
5985498,404.0,Not Available,Not Available,Not Available,15,Not Available,Not Available,174771,94,No,Not Available,129.5,Not Available,Not Available,Not Available,Not Available,Not Available,85,Not Available,Not Available,43702.0,0,1961,Not Available,Not Available,27.5,Not Available,Not Available,Not Available,4812428.1,Not Available,Not Available,15111022,Ok,Not Available,Not Available,92.8,Not Available,0.77816,Not Available,Not Available,Not Available,22639189.1,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,4812427.4,86.5,41.3,136
4339617,201.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,66000,Not Available,No,Not Available,123.1,Not Available,12.06,Not Available,Not Available,Not Available,80,Not Available,Not Available,39.0,0,1996,Not Available,Not Available,225.8,Not Available,Not Available,Not Available,3919613.5,Not Available,Not Available,23840198.8,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,8125988.4,Not Available,No,2017-04-27,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,796.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,3919612.5,361.2,77,Not Available
5934499,203.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87413,100,No,Not Available,119.2,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,167.0,0,1927,Not Available,Not Available,19.3,Not Available,Not Available,Not Available,932545.3,Not Available,Not Available,3717856.4,Ok,Not Available,Not Available,92.8,Not Available,1.20119,Not Available,Not Available,Not Available,10420524.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,932545.4,42.5,54,105
4910138,108.0,Not Available,Not Available,Not Available,4,Not Available,Not Available,52560,88,No,Not Available,145.2,Not Available,72.07,Not Available,Not Available,Not Available,100,3796211.1,Not Available,126.0,0,1960,Not Available,Not Available,78.6,Not Available,Not Available,Not Available,268801.4,Not Available,Not Available,5479538.3,Ok,Not Available,Not Available,92.8,Not Available,1.30797,Not Available,Not Available,Not Available,7630121.5,No,No,2017-06-14,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,268801.4,104.3,109.4,66
3239928,306.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60700,Not Available,No,Not Available,123.1,Not Available,0,Not Available,Not Available,Not Available,100,Not Available,Not Available,53.0,0,1953,Not Available,Not Available,10.5,Not Available,Not Available,Not Available,450031.2,Not Available,Not Available,1610131.9,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,84,Not Available,7473446.9,Not Available,No,2017-04-24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,450031.1,26.5,48.8,Not Available
6128948,406.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,300000,100,No,Not Available,120.8,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,71304.0,0,1951,Not Available,Not Available,5.7,Not Available,Not Available,Not Available,1713024.3,Not Available,Not Available,5378896.8,Ok,Not Available,Not Available,88.7,Not Available,1.2,Not Available,Not Available,Not Available,36229327.2,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Howard,Not Available,Not Available,1713024.4,17.9,38.5,360
