property_id,community_board,fuel_oil_5_6_use_kbtu,green_power_onsite_kwh,hospital_general_medical_12,multifamily_housing_number_2,performing_arts_gross_floor,electricity_use_generated_1,property_gfa_calculated_1,energy_star_score,estimated_data_flag,district_hot_water_use_kbtu,national_median_source_eui,library_gross_floor_area,water_use_intensity_all_water,data_center_it_energy,other_number_of_computers,data_center_it_equipment,occupancy,district_steam_use_kbtu,office_percent_that_can_be_1,census_tract,percent_of_electricity_that,year_built,food_sales_gross_floor_area,hospital_general_medical,site_eui_kbtu_ft,hospital_general_medical_8,hospital_general_medical_14,hospital_general_medical_5,electricity_use_grid_purchase_1,municipally_supplied_potable_2,difference_from_national_3,source_energy_use_kbtu,alert_gross_floor_area_is,percent_of_total_electricity,outdoor_water_use_all_water,egrid_output_emissions_rate,medical_office_weekly,multifamily_housing_total_1,fuel_oil_1_use_kbtu,financial_office_weekly,hospital_general_medical_1,national_median_source_energy,multifamily_housing_government,estimated_values_energy,data_quality_checker_date,hotel_worker_density_number,medical_office_gross_floor,senior_care_community_gross,hospital_general_medical_7,self_storage_facility_gross,pre_school_daycare_gross,convenience_store_with_gas_2,municipally_supplied_potable_1,diesel_2_use_kbtu,kerosene_use_kbtu,hotel_gross_floor_area_ft,parent_property_name,college_university_gross,estimated_data_flag_fuel,electricity_use_grid_purchase,source_eui_kbtu_ft,national_median_site_eui,multifamily_housing_total
1771506,106.0,Not Available,Not Available,No,Not Available,Not Available,Not Available,338424,64,No,Not Available,505.2,Not Available,107.04,Not Available,Not Available,Not Available,100,35948066.8,Not Available,48.0,0,1979,Not Available,1530,215.2,1,100,0.66485,36227524.2,Not Available,Not Available,157679843.2,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,4.52096,170984862.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,0.00295,Not Available,Not Available,Not Available,36224.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,36227516.6,465.9,233.3,Not Available
2831012,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1393098,88,No,Not Available,142.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,189.0,0,1965,Not Available,Not Available,33.1,Not Available,Not Available,Not Available,46158047.8,Not Available,Not Available,144936292.5,Ok,Not Available,Not Available,92.8,Not Available,0.93533,Not Available,Not Available,Not Available,199082548.8,Not Available,No,2017-05-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DOUGLASS I/DOUGLASS II CAMPUS,Not Available,Not Available,46158054.9,104,45.5,1303
5965807,103.0,Not Available,Not Available,Not Available,10,Not Available,Not Available,52461,42,No,Not Available,150,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,2201.0,0,2010,Not Available,Not Available,72.3,Not Available,Not Available,Not Available,2143195.6,Not Available,Not Available,8461348.1,Ok,Not Available,Not Available,92.8,Not Available,1.64018,Not Available,Not Available,Not Available,7870016,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,2143195.5,161.3,67.2,55
5896368,205.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,26750,Not Available,Not Available,Not Available,155.5,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,21502.0,Not Available,1994,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,4160761.5,Not Available,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"Bronxworks, Inc.",Not Available,Not Available,Not Available,Not Available,73.4,Not Available
5944257,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77736,6,No,Not Available,187.6,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,89.0,0,1931,Not Available,Not Available,180.8,Not Available,Not Available,Not Available,4731894.7,Not Available,Not Available,24646145.1,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,14586542.3,Not Available,No,Not Available,0.38592,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77736,Not Applicable: Standalone Property,Not Available,Not Available,4731893.8,317,107,Not Available
2702107,102.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,130000,72,No,Not Available,226.4,Not Available,20.84,Not Available,0,Not Available,100,Not Available,90.91,5502.0,0,1905,Not Available,Not Available,73.1,Not Available,Not Available,Not Available,5965503.3,Not Available,Not Available,22447000.4,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,29427255.3,Not Available,No,2017-07-07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2709.5,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,5965503.3,172.7,95.8,Not Available
5983679,101.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,86999,94,No,Not Available,97.7,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1502.0,0,1908,Not Available,Not Available,20.8,Not Available,Not Available,Not Available,1805357.4,Not Available,Not Available,5668822.8,Ok,Not Available,Not Available,92.8,Not Available,0.96553,Not Available,Not Available,Not Available,8498594.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1805357.6,65.2,31.1,84
2684696,317.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,412128,35,No,Not Available,142.3,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,830.0,0,1950,Not Available,Not Available,98.1,Not Available,Not Available,Not Available,10489498,Not Available,Not Available,64364186.7,Ok,Not Available,Not Available,92.8,Not Available,1.22292,Not Available,Not Available,Not Available,58661156.2,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,10489497.8,156.2,89.4,504
3274061,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,140847,Not Available,No,Not Available,148.1,Not Available,25.1,Not Available,Not Available,Not Available,100,Not Available,89.24,58.0,0,1912,Not Available,Not Available,75.9,Not Available,Not Available,Not Available,1436487.8,Not Available,Not Available,13929951,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,20852439.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3535.3,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1436487.7,98.9,113.6,Not Available
6198641,302.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,64959,Not Available,Yes,Not Available,70.7,Not Available,Not Available,Not Available,6,Not Available,100,Not Available,Not Available,197.0,0,1911,Not Available,Not Available,35.9,Not Available,Not Available,Not Available,240207.1,Not Available,Not Available,2901991,Ok,Not Available,Not Available,88.7,Not Available,Not Available,Not Available,Not Available,Not Available,4589820.9,Not Available,Yes,2018-01-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,No,240207.1,44.7,56.8,Not Available
