project_id,ceqr_number,certified_referred,current_envmilestone_date
P1985K0076,,1984-11-07T00:00:00.000,
P1977M0451,,1977-07-25T00:00:00.000,
P1977Q0310,,1979-03-19T00:00:00.000,
2021R0144,21DCP195R,2021-10-13T00:00:00.000,
2020K0368,21DCP105K,2021-02-24T00:00:00.000,
P1984Y1201,84-161,2011-01-31T00:00:00.000,
2021Q0106,21DCP180Q,2022-04-25T00:00:00.000,2022-08-10T00:00:00.000
P1977R0033,,1978-11-24T00:00:00.000,
2019M0460,,2019-07-29T00:00:00.000,
P1977Q0342,,1977-05-16T00:00:00.000,
2020M0404,,2021-06-23T00:00:00.000,
2019M0466,,2019-07-29T00:00:00.000,
P1985K1196,85-232K,2011-01-31T00:00:00.000,
P1985K1203,85-247K,2011-01-31T00:00:00.000,
P1985K0276,,1985-01-03T00:00:00.000,
P1984Y1235,84-018,2011-01-31T00:00:00.000,
2020R0110,20DCP006R,2019-08-07T00:00:00.000,
P1985M0010,,1984-07-30T00:00:00.000,
2020M0305,21DCP104M,2020-12-14T00:00:00.000,
P1977M0026,,1976-08-02T00:00:00.000,
2020R0372,20DCP104R,2020-08-12T00:00:00.000,
P1977K0214,,1977-01-24T00:00:00.000,
P1977M0379,,1977-06-20T00:00:00.000,
2020K0445,21DCP025K,2020-09-09T00:00:00.000,
P1985K1234,85-306K,2011-01-31T00:00:00.000,
2022R0376,22DCP161R,2022-04-20T00:00:00.000,
P1977X0339,,1977-05-16T00:00:00.000,
2020K0405,21DCP146K,2021-09-20T00:00:00.000,2021-09-17T00:00:00.000
2021R0146,24DCP009R,2023-09-27T00:00:00.000,
P1985K1114,85-077K,2011-01-31T00:00:00.000,
P1977M0108,,1977-01-18T00:00:00.000,
2019R0445,19DCP215R,2019-07-24T00:00:00.000,
2020K0269,21DCP031K,2020-08-17T00:00:00.000,
P1977X0335,,1977-05-31T00:00:00.000,
P1984Y1034,83-351,2011-01-31T00:00:00.000,
2020K0389,21DCP047K,2020-12-14T00:00:00.000,2020-10-09T00:00:00.000
2020M0429,22DCP100M,,
2020R0233,20DCP045R,2020-01-28T00:00:00.000,
2020M0328,,,
P1985M0111,,1988-03-28T00:00:00.000,
2020R0235,20DCP049R,2020-01-02T00:00:00.000,
2020R0252,20DCP136R,2020-07-29T00:00:00.000,
2019M0425,,,
P1984Y1197,84-155,2011-01-31T00:00:00.000,
2019R0431,19DCP209R,2019-07-24T00:00:00.000,
2020K0123,,,
P1984Y1189,84-144,2011-01-31T00:00:00.000,
2020M0406,21DCP064M,2020-11-10T00:00:00.000,
P1977K0318,,1977-04-25T00:00:00.000,
2020R0148,20DCP017R,2019-09-18T00:00:00.000,
P1977K0386,,1977-08-22T00:00:00.000,
2020M0178,,,
2020K0479,22DCP045K,2022-11-07T00:00:00.000,2022-11-03T00:00:00.000
P1977M0100,,1976-10-18T00:00:00.000,
P1977R0249,,1977-06-06T00:00:00.000,
2019Q0451,20DCP155Q,2020-11-16T00:00:00.000,2020-10-16T00:00:00.000
P1977K0143,,1976-11-15T00:00:00.000,
P1977M0198,,1977-01-24T00:00:00.000,
2020K0428,,2020-08-31T00:00:00.000,
P1977Y0023,,1976-08-02T00:00:00.000,
P1985K0132,,1984-11-07T00:00:00.000,
P1985K0134,,1984-11-07T00:00:00.000,
P1977X0160,,1977-02-07T00:00:00.000,
P1984Y1191,84-146,2011-01-31T00:00:00.000,
P1984Y1072,84-039Y,2011-01-31T00:00:00.000,
P1977K0034,,1976-11-15T00:00:00.000,
2019M0410,,,
2021R0233,21DCP086R,2022-02-23T00:00:00.000,
P1985K1108,85-068K,2011-01-31T00:00:00.000,
P1985K1209,85-266K,2011-01-31T00:00:00.000,
2024Q0191,24DCP051Q,2024-09-18T00:00:00.000,
2020Q0129,23DCP025Q,,2025-10-16T00:00:00.000
P1985K0659,,1985-06-03T00:00:00.000,
P1977R0068,,1976-11-08T00:00:00.000,
2020Q0495,22DCP117Q,2022-06-06T00:00:00.000,2022-06-02T00:00:00.000
2020M0220,21DCP178M,2021-07-26T00:00:00.000,2021-07-23T00:00:00.000
P1985M0160,,1984-11-07T00:00:00.000,
2021R0102,24DCP045R,2024-09-18T00:00:00.000,
2020R0243,21DCP156R,2021-08-25T00:00:00.000,
2022R0367,22DCP162R,2022-09-28T00:00:00.000,
P1984Y1057,84-015,2011-01-31T00:00:00.000,
P1977K0398,,1977-08-22T00:00:00.000,
2020R0137,23DCP016R,2022-09-28T00:00:00.000,
2020M0337,,2020-01-21T00:00:00.000,
P1985K0415,,1985-02-19T00:00:00.000,
2023M0294,24DCP081M,2024-07-17T00:00:00.000,
2020R0131,20DCP051R,2019-12-11T00:00:00.000,
P1977Q0416,,1977-08-22T00:00:00.000,
2020Q0240,20DCP154Q,,2020-07-16T00:00:00.000
P1977M0209,,1977-02-23T00:00:00.000,
P1984Y1245,84-062,2011-01-31T00:00:00.000,
P1977M0090,,1976-10-13T00:00:00.000,
P1977M0079,,1977-03-28T00:00:00.000,
2021M0125,,2020-08-31T00:00:00.000,
P1985M0242,85-070M,1984-10-15T00:00:00.000,
P1978K0105,,1977-10-24T00:00:00.000,
2023Q0242,78DCP183Q,,2025-09-02T00:00:00.000
2020R0464,22DCP010R,2021-09-14T00:00:00.000,
P1977R0164,,1976-12-20T00:00:00.000,
P1985K1078,85-019K,2011-01-31T00:00:00.000,
P1984Y1146,84-106,2011-01-31T00:00:00.000,
2020Q0446,22DCP092Q,2022-04-25T00:00:00.000,2022-04-18T00:00:00.000
2020R0402,20DCP122R,2020-05-27T00:00:00.000,
P1977M0478,,1977-02-15T00:00:00.000,
P1976Q0009,,1978-04-17T00:00:00.000,
P1977Y0319,,1977-04-20T00:00:00.000,
P1977R0329,,1977-08-22T00:00:00.000,
P1985K1159,85-155K,2011-01-31T00:00:00.000,
P1978K0118,,1977-10-24T00:00:00.000,
2020X0471,22DCP123X,2022-09-19T00:00:00.000,2022-09-16T00:00:00.000
P1980Q0932,80-047Q,1980-05-12T00:00:00.000,
P1984Y1151,84-115,2011-01-31T00:00:00.000,
P1974X0002,,1978-08-28T00:00:00.000,
P1985K0429,,1985-02-26T00:00:00.000,
P1985K0389,80-078K,1985-02-26T00:00:00.000,
P1977R0356,,1977-07-11T00:00:00.000,
P1977R0121,,1976-11-15T00:00:00.000,
2023R0164,23DCP043R,,
P1977Q0233,,1977-06-13T00:00:00.000,
P1977R0291,,1977-06-06T00:00:00.000,
P1985K1153,85-143K,2011-01-31T00:00:00.000,
P1985K1067,85-004K,2011-01-31T00:00:00.000,
P1985K0609,,1985-06-28T00:00:00.000,
P1977M0520,,1977-06-27T00:00:00.000,
2019Q0426,,,
P1985M0004,,1984-08-23T00:00:00.000,
P1977K0222,,1978-12-13T00:00:00.000,
2021R0344,21DCP148R,2021-05-26T00:00:00.000,
P1984Y1097,84-064,2011-01-31T00:00:00.000,
2020R0187,20DCP033R,2020-02-12T00:00:00.000,
2021M0357,26DCP033M,,
2020R0225,20DCP042R,2019-11-06T00:00:00.000,
P1984Y1101,84-066,2011-01-31T00:00:00.000,
2022Q0422,23DCP155Q,,
P1977K0151,,1978-04-24T00:00:00.000,
P1985K0944,,1985-08-05T00:00:00.000,
