applicationtrackingid,boroughname,permitlocationcomments,oftcode,permithousenumber,permitlinearfeet,permittypedesc,permitstatusid,equipmenttypedesc,tostreetname,permitseriesid
2021052500923256,BROOKLYN,,3.2573032633035744e+17,,300.0,"TEST PITS, CORES OR BORING - PROTECTED",030,,LOUISA STREET,1
2025071400773603,BROOKLYN,Actual work location 584 Dean Street,,,,COMMERCIAL REFUSE CONTAINER,030,,VANDERBILT AVENUE,16
2025071000363286,BROOKLYN,,,75,,COMMERCIAL REFUSE CONTAINER,030,,VAN BRUNT STREET,16
2025071200031913,QUEENS,,,107-19,,COMMERCIAL REFUSE CONTAINER,030,,BEND,16
2025071001009483,BROOKLYN,Near 287 Maspeth Ave.,,,,COMMERCIAL REFUSE CONTAINER,030,,VANDERVOORT AVENUE,16
2025071100389493,BROOKLYN,,,536,,COMMERCIAL REFUSE CONTAINER,030,,CORTELYOU ROAD,16
2025071001036003,BROOKLYN,1160 Bergen St,,1160,,COMMERCIAL REFUSE CONTAINER,030,,NEW YORK AVENUE,16
2025070900489706,MANHATTAN,,,115,,MISCELLANEOUS - BUILDER'S PAVEMENT,006,,HUDSON STREET,0
2025071100827773,MANHATTAN,installation,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2025071200097023,BROOKLYN,475 ARGYLE ROAD,,,,COMMERCIAL REFUSE CONTAINER,030,,DORCHESTER ROAD,16
2025071100871136,BROOKLYN,EAST NEW YORK AVENUE between ALBANY AVENUE and TROY AVENUE,,,,COMMERCIAL REFUSE CONTAINER,030,,TROY AVENUE,16
2025071600925616,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,INDIA STREET,15
2025071100234853,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2021012800398930,BROOKLYN,,3.2553035083037344e+17,527,300.0,REPAIR GAS - PROTECTED,030,,ROCKAWAY AVENUE,1
2025071000571690,BROOKLYN,,,1042,,OCCUPANCY OF ROADWAY AS STIPULATED,030,,GRAND AVENUE,2
2025071200082933,BROOKLYN,PLACE CONTAINER ON: TOMKINGS AVE B/W WILLOUGBY AVE &amp; HART ST,,131,,COMMERCIAL REFUSE CONTAINER,030,,TOMPKINS AVENUE,16
2025070900808483,BROOKLYN,,,1077,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE K,16
2025071500450600,BROOKLYN,,,9,,COMMERCIAL REFUSE CONTAINER,030,,BODY OF WATER,16
2025070900543410,BROOKLYN,,,134,,COMMERCIAL REFUSE CONTAINER,030,,FRANKLIN AVENUE,16
2025071100447536,MANHATTAN,166' EEC of Wadsworth Ave &amp; 5' SNC of W 180th St,,,,REPAIR GAS - PROTECTED,906,,WADSWORTH AVENUE,1
2025071300042153,BROOKLYN,IN STREET,,,,COMMERCIAL REFUSE CONTAINER,030,,10 AVENUE,16
2025070900221266,BROOKLYN,,,370-374,,COMMERCIAL REFUSE CONTAINER,030,,LAFAYETTE AVENUE,16
2025071100815566,BROOKLYN,1363 Sutter ave. Banu 347 996 8900,,,,COMMERCIAL REFUSE CONTAINER,030,,SUTTER AVENUE,16
2025070900822496,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071000764190,BROOKLYN,1402 east 70 street,,,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE T,16
2025071000662760,BROOKLYN,,,316,,COMMERCIAL REFUSE CONTAINER,030,,4 AVENUE,16
2025071500407846,BROOKLYN,,,545,,COMMERCIAL REFUSE CONTAINER,030,,PUTNAM AVENUE,16
2025071400828746,BROOKLYN,,,1714,28.0,REPAIR SIDEWALK,030,,QUENTIN ROAD,4
2025071500368023,BROOKLYN,,,232,,COMMERCIAL REFUSE CONTAINER,030,,NORMAN AVENUE,16
2025071100309886,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,NORMAN AVENUE,15
2025071100278230,BROOKLYN,FAIRSTEAD,,728,,COMMERCIAL REFUSE CONTAINER,030,,TROY AVENUE,16
2025061000599956,BROOKLYN,NW Corner AKA 463 Dekalb Avenue,,,50.0,PED RAMP REPLACE/MODIFY/INSTALL GENERAL CONTRACTOR,DQN,,,4
2025070700660043,BROOKLYN,,,,52.0,INSTALL TRAFFIC SIGNALS - PROTECTED,020,,,1
2025071400106283,BROOKLYN,,,1393,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE M,16
2.025071600164463E+15,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071200097023,BROOKLYN,62 HERBERT STREET,,,,COMMERCIAL REFUSE CONTAINER,030,,NORTH HENRY STREET,16
2025071200092370,BROOKLYN,,,1542-1546,,COMMERCIAL REFUSE CONTAINER,030,,RYDER AVENUE,16
2025071100214323,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,ORIENTAL BOULEVARD,15
