tds_,type,acres,electricity_paid_by_residents,percent_fixed_income_households,development_cost,avg_no_r_r_per_apartment,private_management,development_edp_,completion_date,location_street_b,bldg_coverage_sq_ft,number_of_stories
094,NEW CONST,5.52,,0.4798,"$7,728,534",4.57,,671,1957-02-25T00:00:00.000,W 32ND ST,"38,119",14
113,NEW CONST,12.78,,0.3836,"$29,633,000",4.89,,435,1964-12-31T00:00:00.000,E 171ST ST,"88,255",21
310,REHAB,,,,"$5,742,000",4.12,,578,1984-09-26T00:00:00.000,BARUCH PL,"12,882",6
198,NEW CONST (ELD),0.47,,0.9249,"$6,622,549",3.28,,383,1977-04-30T00:00:00.000,DELANCEY ST,"6,149",23
140,NEW CONST,5.63,,,"$14,543,000",4.5,,442,1965-10-31T00:00:00.000,WILSON ST,"44,685",21
129,NEW CONST,2.66,,0.3934,"$7,256,661",4.68,,251,1964-03-31T00:00:00.000,E 149TH ST,"21,826",20
018,NEW CONST,11.94,,0.4645,"$13,510,289",4.76,,210,1949-01-17T00:00:00.000,AVENUE D,"103,446",6–13–14
523,REHAB,0.59,YES,0.0036,"$6,178,887",4.44,,756,1987-11-30T00:00:00.000,W 164TH ST,"18,156",5
324,NEW CONST,6.75,YES,,"$20,078,888",4.39,,758,1986-12-10T00:00:00.000,WILSON AVE,"84,230",3
261,NEW CONST,5.71,,0.3829,"$16,798,483",4.65,,318,1973-09-30T00:00:00.000,SHEFFIELD AVE,"89,543",6
399,REHAB,0.12,YES,0.0,"$887,005",4.5,YES,483,1995-06-30T00:00:00.000,W 142ND ST,"1,599",5
279,REHAB (ELD),0.51,YES,0.9433,"$3,615,000",3.11,,505,1978-10-31T00:00:00.000,89TH AVE,"14,991",12
153,NEW CONST,1.08,,0.5155,"$5,442,401",4.35,,263,1965-01-31T00:00:00.000,E 28TH ST,"12,476",19–20
160,NEW CONST (ELD),1.49,,0.0089,"$3,785,397",3.52,,271,1967-03-31T00:00:00.000,SAINT NICHOLAS AVE,"7,751",22
271,NEW CONST,4.28,,0.4352,"$16,411,918",5.33,,390,1975-12-31T00:00:00.000,HUMBOLDT ST,"61,115",7
531,REHAB,0.43,YES,,"$3,401,250",4.37,YES,482,1994-08-31T00:00:00.000,FRANKLIN AVE,"8,080",5
"004, 079",NEW CONST,33.34,,0.0044,"$12,102,930",4.37,,202,1939-11-20T00:00:00.000,CLINTON ST,"326,157",2–6
155,NEW CONST,0.79,,0.4857,"$4,044,899",4.37,,265,1969-03-28T00:00:00.000,W 93RD ST,"10,319",22
222,REHAB,0.26,,,"$1,537,896",5.5,,339,1973-07-31T00:00:00.000,SAINT ANN'S AVE,"7,306",6
,NEW CONST,,,,,,YES,,,HOWARD AVE,,
280,REHAB,4.98,,0.3905,"$8,699,894",4.63,,506,1977-05-12T00:00:00.000,TAYLOR AVE,"63,056",6
389,REHAB,0.32,YES,0.0036,"$4,630,200",4.47,YES,847,1994-01-31T00:00:00.000,AC POWELL BLVD,"11,274",5
243,NEW CONST,6.0,,0.549,"$15,625,047",4.63,,353,1975-02-28T00:00:00.000,BOERUM ST,"96,902",7
132,NEW CONST,0.51,,0.487,"$1,957,000",4.89,,570,1962-01-31T00:00:00.000,E 135TH ST,"8,660",16
329,REHAB,0.09,YES,0.005,"$996,698",4.5,,382,1987-11-30T00:00:00.000,BROADWAY,"3,393",5
075,NEW CONST,14.15,,0.4024,"$9,618,901",4.65,,226,1955-04-20T00:00:00.000,HAMMELS BLVD,"107,706",7
262,NEW CONST,2.82,,0.6872,"$16,721,224",3.96,,377,1977-06-30T00:00:00.000,W 56TH ST,"22,666",14–15
205,NEW CONST,0.81,YES,0.0038,"$633,673",5.01,,322,1969-09-30T00:00:00.000,TROY AVE,"20,339",2
"082, 582",NEW CONST,19.89,,0.0046,"$37,441,000",4.48,,569,1958-09-25T00:00:00.000,MANHATTAN AVE,"138,552",5–9–12–17–18–20
099,NEW CONST,5.21,,0.5285,"$14,090,000",4.66,,439,1965-03-31T00:00:00.000,PIKE ST,"39,355",20
085,NEW CONST,4.94,,0.414,"$4,666,000",4.63,,524,1957-02-07T00:00:00.000,TROY AVE,"26,053",13–14
274,REHAB,0.33,YES,0.75,"$453,780",5.9,,396,1976-07-31T00:00:00.000,,,1–1.5–2–2.5
139,NEW CONST,3.65,,0.5148,"$13,251,410",4.16,,253,1965-07-31T00:00:00.000,FIRST AVE,"32,645",24
143,REHAB (ELD),0.36,,0.9167,"$5,909,934",2.5,,297,1964-01-31T00:00:00.000,22ND AVE,"9,320",1
120,NEW CONST,7.86,,0.4025,"$14,850,303",4.76,,243,1963-07-31T00:00:00.000,COURTLANDT AVE,"59,552",16
297,REHAB,0.34,YES,0.0035,"$3,652,758",4.32,,558,1983-09-30T00:00:00.000,W 133RD ST,"9,930",5-6
171,NEW CONST,4.28,,0.5025,"$10,600,000",3.87,,581,1968-04-30T00:00:00.000,GLENMORE AVE,"24,838",10–18–24
336,REHAB,1.26,YES,0.375,"$8,551,169",4.35,,752,1985-11-30T00:00:00.000,E 167TH ST,"28,605",5
559,NEW CONST,0.12,YES,0.2308,"$4,561,538",5.12,YES,841,2003-12-01T00:00:00.000,STANTON ST,"3,600",6
045,NEW CONST,7.27,,0.461,"$8,397,841",4.24,,368,1951-03-23T00:00:00.000,W 174TH ST,"59,598",14–15
124,NEW CONST (ELD),0.82,,0.9403,"$4,305,000",2.98,,572,1964-09-30T00:00:00.000,SECOND AVE,"23,400",20
355,NEW CONST (ELD),1.06,YES,0.9365,"$10,240,710",3.5,,760,1987-11-30T00:00:00.000,PARK AVE,"10,330",12
025,NEW CONST,11.48,,0.4523,"$11,928,000",4.78,,515,1949-06-24T00:00:00.000,DOUGLASS ST,"105,659",4–6–9–13–14
204,NEW CONST,0.88,,0.0036,"$2,101,938",4.67,,321,1970-03-31T00:00:00.000,PARK AVE,"14,614",6
142,NEW CONST (ELD),3.16,,0.9526,"$7,494,000",3.49,,589,1965-06-30T00:00:00.000,SURF AVE,"23,903",14
242,NEW CONST,0.23,,0.0022,"$839,110",4.36,,361,1972-10-31T00:00:00.000,UNION ST,"6,983",4
066,NEW CONST,13.54,,0.3717,"$8,541,145",4.7,,220,1954-10-25T00:00:00.000,160TH ST,"116,506",3–7
151,NEW CONST,0.53,,0.4412,,4.38,,259,1965-09-30T00:00:00.000,AMSTERDAM AVE,"6,811",9
525,REHAB,0.7,YES,,"$5,015,464",4.4,YES,479,1994-08-31T00:00:00.000,FRANKLIN AVE,"10,811",5
145,NEW CONST,15.59,,0.4114,"$33,012,851",4.36,,249,1966-02-28T00:00:00.000,E 138TH ST,"97,114",17–19–20
282,REHAB,0.52,,0.0057,"$1,594,181",3.63,,508,1977-05-17T00:00:00.000,E 91ST ST,"13,470",6
311,REHAB,0.62,YES,0.4444,"$5,219,763",4.54,,266,1983-05-31T00:00:00.000,VERNON AVE,"18,283",4–6
170,NEW CONST,7.59,,0.6393,"$13,577,964",4.29,,278,1969-06-30T00:00:00.000,NEPTUNE AVE,"36,810",14–15
218,NEW CONST (ELD),0.31,,0.9161,"$4,855,905",3.13,,329,1975-02-28T00:00:00.000,FIRST AVE,"6,773",20
154,NEW CONST,0.69,,0.55,"$1,880,013",3.94,,264,1965-03-31T00:00:00.000,W 116TH ST,"5,759",17
283,REHAB,0.63,YES,0.6429,"$920,558",4.69,,376,1983-01-31T00:00:00.000,10 BROOKLYN,,1–1.5–2–2.5–3
334,NEW CONST,3.18,YES,0.0068,"$12,645,913",3.92,,779,1986-12-16T00:00:00.000,FULTON AVE,"35,258",3-7
156,NEW CONST,2.59,,0.4306,"$4,703,702",4.71,,267,1967-05-31T00:00:00.000,MARCUS GARVEY BLVD,"11,311",24
368,REHAB,1.15,YES,0.003,"$12,235,716",4.75,,837,1991-05-11T00:00:00.000,STERLING PL,"36,119",4
521,REHAB,0.3,,,"$2,441,684",4.08,,366,1973-07-31T00:00:00.000,BROWN PL,"17,906",5
162,NEW CONST,2.68,,0.3529,"$4,875,929",4.53,,269,1968-03-31T00:00:00.000,MACDOUGAL ST,"16,412",14
097,NEW CONST,12.36,,0.4422,"$28,867,029",4.51,,261,1962-12-31T00:00:00.000,E 115TH ST,"105,527",19
081,NEW CONST,12.17,,0.4255,"$25,774,000",4.73,,429,1961-06-30T00:00:00.000,BROADWAY,"83,754",20
235,NEW CONST,0.53,,0.4648,"$2,132,334",3.94,YES,352,1972-08-31T00:00:00.000,BRYANT AVE,"9,879",6
