bronx_condominium_property_est_gross_income,comparable_rental_2_building_classification,bin,comparable_rental_2_year_built,community_board,bronx_condominium_property_address,comparable_rental_1_neighborhood,bronx_condominium_property_full_market_value,bronx_condominium_property_gross_sqft,bronx_condominium_property_building_classification
2605020,D5-ELEVATOR,2113740.0,1900.0,3.0,837 WASHINGTON AVENUE,MOTT HAVEN/PORT MORRIS,9739988,128643,R4-ELEVATOR
1526207,D1-ELEVATOR,2049876.0,1962.0,11.0,2385 BARKER AVENUE,BRONXDALE,4289996,127290,R4-ELEVATOR
2715620,D1-ELEVATOR,2114614.0,2005.0,3.0,871 ELTON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,11200000,111182,R9-CONDOPS
1425239,D7-ELEVATOR,2114693.0,1972.0,2.0,950 WESTCHESTER AVENUE,MELROSE/CONCOURSE,5478300,112935,R4-ELEVATOR
146340,C4-WALK-UP,2115231.0,1904.0,3.0,1308 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,530000,10816,R2-WALK-UP
4220090,D3-ELEVATOR,2114608.0,1974.0,8.0,640 WEST 237 STREET,RIVERDALE,17499999,163887,R4-ELEVATOR
270495,C1-WALK-UP,2113929.0,1927.0,12.0,720 EAST 217 STREET,WESTCHESTER,842002,19225,R2-WALK-UP
1197525,,2096762.0,,9.0,1722 PURDY STREET,PARKCHESTER,3100006,109764,R4-ELEVATOR
1111278,D1-ELEVATOR,2113257.0,1950.0,8.0,3536 CAMBRIDGE AVENUE,EAST TREMONT,4599992,52918,R4-ELEVATOR
663264,D7-ELEVATOR,2099271.0,1932.0,9.0,228 NEPTUNE COURT,SOUNDVIEW,2069996,47376,R2-WALK-UP
857312,D3-ELEVATOR,2087530.0,1974.0,8.0,2521 PALISADE AVENUE,KINGSBRIDGE HTS/UNIV HTS,2669999,62350,R4-ELEVATOR
812000,C9-WALK-UP,2087163.0,1950.0,11.0,1144 LYDIG AVENUE,PELHAM PARKWAY SOUTH,2750000,56000,R4-ELEVATOR
29798601,D1-ELEVATOR,2096672.0,1929.0,9.0,1925 MC GRAW AVENUE,PARKCHESTER,77200099,2723821,R4-ELEVATOR
