objectid,latitude,longitude,address,dsny_district,:@computed_region_efsh_h5xi,bbl,partnerstatus
117765,40.734914,-73.721306,Business has no physical store,QE13,24335.0,,
118719,40.59447,-74.078593,"155 Norway Avenue, Staten Island, NY, USA",SI02,10692.0,5032430100.0,
118152,40.878736,-73.864074,"726 E 213th St, Bronx, NY 10467, USA",BX12,11605.0,2046570107.0,
118949,40.808541,-73.917014,"295 Saint Ann's Avenue, The Bronx, NY, USA",BX01,10932.0,2022670044.0,
117862,40.625211,-74.138886,"1513 Forest Avenue, Staten Island, NY, USA",SI01,10370.0,5010530138.0,
118127,40.865275,-73.859067,"950 Allerton Avenue, The Bronx, NY, USA",BX11,11607.0,2044470062.0,
119186,40.672931,-73.94519,"976 Park Place, Brooklyn, NY, USA",BKN08,17615.0,3012420037.0,
118929,40.724709,-73.996391,"130 Crosby Street, New York, NY 10012, USA",MN02,12075.0,1005110012.0,Partner
117968,40.723492,-73.947933,"25 McGuinness Blvd, Brooklyn, NY, USA",BKN01,18182.0,3026820023.0,
118220,40.693255,-73.945604,"175 Tompkins Avenue, Brooklyn, NY 11206, USA",BKN03,17213.0,3017720007.0,
118331,40.648279,-74.018842,"150 52nd Street, Brooklyn, NY, USA",BKS07,13515.0,3008047501.0,Partner
119129,40.667178,-73.896805,"576 Blake Avenue, Brooklyn, NY, USA",BKN05,17214.0,3037850015.0,
118648,40.852108,-73.88949,"609 E 182nd St, Bronx, NY 10457, USA",BX06,10935.0,2030710001.0,
118263,40.680114,-73.946493,"1360 Fulton Street, Brooklyn, NY 11216, USA",BKN03,17618.0,3018620001.0,
118339,40.637406,-74.081209,"17 Brook Street, Staten Island, NY 10301, USA",SI01,10369.0,5000230038.0,
118589,40.713407,-73.784358,"178-36 Wexford Terrace, Jamaica, NY, USA",QE08,24340.0,4099377501.0,
118987,40.527919,-74.237856,"3139 Veterans Road West, Staten Island, NY 10309, USA",SI03,10696.0,5075270017.0,
118064,40.69108,-73.908517,"569 Wilson Avenue, Brooklyn, NY, USA",BKN04,17214.0,3034180001.0,
119130,40.736295,-73.959295,"5 Blue Slip, Brooklyn, NY, USA",BKN01,18182.0,3024727502.0,
117827,40.784856,-73.841859,"126-06 15th Avenue, College Point, NY, USA",QE07,14191.0,4040920025.0,
118695,40.638725,-73.923712,"5361 Preston Ct, Brooklyn, NY, USA",BKS18,13825.0,3079490214.0,
117893,40.687331,-73.955155,"181 Lexington Avenue, Brooklyn, NY, USA",BKN03,17618.0,3019680039.0,
117993,40.84864,-73.831132,"3055 Westchester Avenue, Bronx, NY, USA",BX10,11270.0,,
118173,40.856453,-73.868324,"626 Pelham Parkway South, The Bronx, NY, USA",BX11,11271.0,2043170105.0,
119052,40.709521,-73.720433,"2150 Hempstead Turnpike, Elmont, NY, USA",,16097.0,,
117767,40.763373,-73.910998,Business has no physical store,QW01,16860.0,,
117978,40.863083,-73.920252,"265 Nagle Avenue, New York, NY, USA",MN12,13092.0,1022160058.0,
118386,40.856464,-73.867403,"2196a White Plains Rd, The Bronx, NY 10462, USA",BX11,11271.0,2043180024.0,
118176,40.53073,-74.228363,"2720 Veterans Road West, Staten Island, NY 10309, USA",SI03,10696.0,5074460050.0,
118760,40.564494,-74.097642,"1 Cedar Grove Avenue, Staten Island, NY, USA",SI02,10693.0,,
118857,40.677737,-74.012765,"360 Van Brunt Street, Brooklyn, NY, USA",BKS06,13514.0,3005650021.0,
117708,40.704774,-73.94186,,BKN01,17213.0,,
