addlocationinfo1,dueday,percentagefeedate,augustminfee,origcontracexpdate,capitalworkreq,concessionstate,contractstatus,annualminimumfees1,annualminimumfees5,propertyid,grossreceiptdate
DEKECK DILWORTH-*,1.0,,102.0,11/21/10,N,,,550.00,,153.0,**/10
GRAND CENTRAL & CUN-,1.0,**/30,15698.5,06/30/2023,Y,,EXPIRED,,,164.0,**/30
P5MP,1.0,,233.0,12/31/2029,,,,,,224.0,**/30
FOREST PARK CAROUSEL,15.0,,0.0,05/15/99,N,,EXP,,,160.0,06/01/99
OLMSTED CENTER CAFE,1.0,**/10,1284.0,11/02/05,N,,EXPIRED 11/02/05,"20,400.00",,182.0,**/10
"WITHIN WASHINGTON,",1.0,,0.0,02/28/1999,N,,EXPIRED,,,43.0,**/10
DELPHIN H GREENE PLAYGROUND&,1.0,,185.0,12/31/2028,,,,,,196.0,**/30
BORDEN AVENUE &,1.0,,0.0,12/31/2000,N,,TERM.  07/24/98,"4,000.00",,187.0,**/10
FORT WASHINGTON PARK,1.0,,1860.0,11/19/2028,,,,,,100.0,**/30
OCEAN PARKWAY &,1.0,,0.0,12/31/03,N,,EXP,"3,000.00",,53.0,**/10
DYKER BEACH GOLF COURSE,1.0,**/30,55555.0,01/14/2044,"$6,086,300.00",NY,,,,18.0,**/30
LCTD B/W FULTON &,1.0,N,11700.0,05/31/17,N,,,"116,400.00","150,000.00",57.0,**/10
7 DIFFERENT LOCATION,1.0,,0.0,06-30-02,N,,EXPIRED,"52,000.00",,236.0,**/10
NORTHERN END OF WEST,1.0,,333.0,12/31/12,N,,EXPIRED,600,"2,000",118.0,**/10
SOCCER FIELD @165TH,19.0,,0.0,07/18/02,N,,EXP,,,233.0,**-10
NEXT TO MEADOW LAKE,1.0,,0.0,05/31/07,N,,EXP. 5/31/07,"40,000.00",,175.0,**/10
BROOKVILLE PARK,1.0,,102.0,11/19/2028,,,,,,153.0,**/30
VOLLEYBALL LOC. 9,30.0,,0.0,12/31/2000,N,,ASSIGNED,"4,000.00",,175.0,**/10
FT. WASHINGTON,9.0,,0.0,12/31/06,N,,TERM.05/20/05,"1,000.00",,128.0,**/10
"MCCARREN PARK AT LORIMER, BAYARD & UNION STS.",1.0,,2500.0,12/31/22,NO,,TERMINATED,,,25.0,**/30
CR FATHER CAPODANNO,22.0,,0.0,09/06/99,N,,EXPIRED,,,217.0,**-10
UNION SQ. WEST,1.0,,0.0,07/18/99,N,,EXPIRED,,,122.0,**/10
ARSENAL,15.0,,0.0,06/30/06,N,,EXPIRED 06/30/06,"6,600.00","7,144.00",96.0,**/10
CRESTON AVE. &,1.0,,666.65,12/31/09,N,,EXPIRED,$800.00,,235.0,**/10
IN FRONT OF LIGHT,1.0,,2050.0,12/31/05,N,,EXPIRED 12/31/05,"4,700.00",,175.0,**/10
BAYSIDE MARINA OFF,1.0,01/30/**,10000.0,12/31/08,Y,,EXPIRED,"30,000.00","30,000.00",188.0,**/30
12 LOCATIONS BATTERY,1.0,,67958.0,02/29/04,N,,EXP,"40,000.00",,72.0,**/10
FROM FORSYTH TO,1.0,,0.0,12/31/03,N,,REL,3.010.00,,34.0,**/10
EAST 23 ST. & ASSER,15.0,,0.0,12/31/05,N,,TERM 10/19/05,$600.00,,137.0,**/10
W. 95 ST. ENTRANCE,1.0,,0.0,12-31-02,N,,TERM,"1,200.00",,118.0,**-10
MADISON AVE & 26TH,27.0,,0.0,11/27/98,N,,EXPIRED,,,112.0,**/10
NEAR FIELD HOUSE,1.0,,298.0,12/31/17,N,,,"1,486.56","2,775.00",149.0,**/10
UTOPIA PKWY &,1.0,,260.0,12/31/17,N,,,"1,201.00","1,750.00",192.0,**/10
E. HOUSTON & PITT ST,1.0,,0.0,09/05/02,N,,EXP.,,,106.0,**-10
ASTORIA POOL,1.0,,2553.13,09/15/11,N,,TERMINATED,"8,025.00","9,765.00",150.0,**/10
LEMON CREEK PARK,1.0,,10700.0,12/31/30,Y,,,"123,389.00","128,399.00",223.0,**/30
SOUTH OF RUNNING,1.0,,110.0,12-31-02,N,,TERM,$600.00,,159.0,**-10
65 PLACE & 68 AVE.,26.0,,0.0,12/26/98,N,,EXP,,,195.0,**/10
WESTCHESTER AVE.,1.0,,0.0,10/31/03,N,,EXP,"121,008.00",,230.0,**/10
FMCP,1.0,20TH OF EACH MONTH,24812.5,04/30/2010,Y,NY,EXPIRED,"140,000.00","150,000.00",181.0,**/20
P.S. 149 PLAYGROUND,1.0,,635.0,12/31/2028,,,,,,202.0,**/30
NEAR  THE ENTR. AT,27.0,,0.0,11/27/98,N,,EXPIRED,,,112.0,**/10
PLYGD @ 56TH ST IN FRONT OF HOSPITAL,1.0,,962.0,12/31/20,NO,,TERMINATED,,,37.0,**/10
SW CORNER OF CPW,10.0,,0.0,12/31/09,N,,EXPIRED,"91,000.00",,113.0,**/10
E84TH STREET &,15.0,,0.0,12-31-02,N,,EXPIRED,"36,000.00",,120.0,**-10
NORTH CORNER OF #5,1.0,,139.0,12/31/06,N,,EXPIRED,"10,500.00",,175.0,**/10
BAY RIDGE PKWY &,1.0,,385.0,12/31/12,N,,EXPIRED,553,"2,450",26.0,**/10
The Battery,1.0,**/30,46462.0,07/29/2025,"$500,000",NY,,,,78.0,**/30
"HART BLVD, & REVERE ST",1.0,,220.0,11/19/2028,NO,,,,,213.0,**/30
2 NEWSSTANDS AT W.,8.0,,0.0,10/27/02,N,,EXP,,,127.0,**/10
INWOOD HILL,1.0,,566.0,12/31/2026,,,,,,108.0,**/30
