contractcode,addlocationinfo1,februaryminfee,januaryminfee,percentduedate,novemberminfee,letterofcreditinfo1,concessionzipcode,annualminimumfees4,letterofcreditinfo2
b1690052,SURF AVENUE & W.,0.0,0.0,,0.0,2569(ROLLED OVER),,,
q1310003,BORDEN AVE,0.0,0.0,,0.0,,,,
q0990142,ROOSEVELT AVE. @ NW,1200.0,497.94,,0.0,,,,
m0720005,WEST 96 STREET,0.0,579.0,,0.0,2128(MAILED 2/16/01),,,
q0990244,DESIGNATED VALLEYBALL AREA,781.75,781.72,,752.0,4638 TRANSFERRED TO Q0990265,,,
m2230005,SO. WEST CORNER W.,796.0,794.0,,0.0,2231(SEIZED10/11/99),,,
q0040057,SOUTH ENTRANCE,360.0,291.52,,181.0,2475 (TRANS FROM,,"1,200.00",Q0040048)-RET. 02/05/15
q0100009,WILLETS POINT BLVD,666.0,750.0,,0.0,2543(ROLLED OVER),,,
m0420050,ORTHERN SOCCER FIELD,220.0,216.0,,183.35,4252 (TRANSFERRED TO M0420060),,,
m0712003,W91ST ST & RIVERSIDE DR.,633.0,635.0,,750.0,4772-JE368 11/22/2024,,,
m1440005,"BALL FIELDS 1&2,",416.0,585.0,,0.0,,,,
m0420021,INWOOD HILL,430.0,535.0,,385.0,,,,
m0100364,COLUMBUS CIRCLE,4750.0,9500.0,,4500.0,3004-RET. 11/20/07,,,
b0070013,NEAR SHOPPING CENTER,3083.0,3085.0,,0.0,2483(RET12/20/04),,,
q3630008,NORTHER BLVD & 93RD ST,1275.2,1633.35,,570.0,4677,,,TRANSFERRED TO q3630009
b0820012,ANDREW LEHMAN FIELD,183.0,184.0,,0.0,2229(SEIZED 9/29/00),,,
r0260002,"MILL ROAD, ISERNIA &",170.0,171.0,,0.0,2326(SEIZED 9/4/00),,,
m0450003,EAST 77 STREET &,0.0,0.0,,0.0,3041(ROLL OVER),,,
q0990074,VOLLEYBALL AREA #6,0.0,0.0,,0.0,,,,
q0990193,"CORONA PARK, CLOSE",3166.0,1326.36,,1535.0,"2587($1,125.00)-RET.",,,"2937($2,875.00)-TRAN"
q0210013,"@73RD AVE., FRANCES",750.0,1016.0,,360.0,3357-RET. 4/3/09,,,
r0170003,ARTHUR KILL RD &,14400.0,15500.0,12/30/**,0.0,G50581(seiz03/10),,"140,000.00",
m0710419,W83RD & RIVERSIDE DR,6282.02,6280.0,,3115.64,3109-EXP. 04/28/08,,,
q0990214,OLMSTED CAFETERIA,64000.0,66000.0,12/18/**,1200.0,4016-RET. 12/01/16,,"48,000.00",
q3390004,221ST ST & 120TH AVE,131.96,183.35,,275.0,4652-JE357,,,
b0280020,SOUTH DIAMOND #2,3900.0,3900.99,,0.0,3618-JE221; 12/06/09,,"26,000.99",
m0470002,E 111 TO 114ST,0.0,0.0,,0.0,,,,
r0460006,FATHER CAPPODANO BLV,0.0,0.0,,0.0,,,,
m0420028,SEAMAN AVE,430.0,535.0,,385.0,"2482(1,750)-RET.",,,2972(125)-RET.
x0350005,CRESTON AVE. &,1356.66,1356.7,,583.33,,,,
q0990262,FLUSHING MEADOWS CORONA PARK,633.42,804.2,,921.0,4996 ($123.75),,,"4653 ($1,237.50) FROM Q0990"
b0570039,AVE. S PARKING LOT,850.0,1016.0,,0.0,3427-RET. 7/13/10,,,
r0870002,MASON & BUELL AVE,138.41,138.0,,164.0,2820(ROLLED OVER),,,
m0890013,NORTH END OF UNION,0.0,0.0,,0.0,,,,
q0990128,VOLLEYBALL AREA,0.0,0.0,,0.0,2560(APPL FOR YAURI),,,
q0040066,19TH ST AND 23RD DR,875.0,893.0,,120.0,4523-RET. 03/05/20,,,
q0990171,ADJACENT TO FMCP ZOO,6663.0,6667.0,,0.0,LOC#0107-651-reduced,,"70,000.00","JC3968 (20,000)-RET"
x0350004,CRESTON AVE &,1356.66,1356.7,,583.33,,,,
b0280022,@86TH ST B/W 13TH &,366.66,466.7,,1400.0,3989-RET. TO 5/9/14,,"5,700.00",
b1130029,"PROSPECT STR, OLD",33693.0,33687.0,03/30/**,0.0,G-53400,,,
b0580011,LORIMER & BAYARD ST.,2666.0,2390.9,,1085.0,3120-RET. 06/23/08,,,
m0200011,"BROADWAY, BETWEEN",1000.0,1170.0,,0.0,JC3524-RET. 5/3/13,,"6,000.00",
q0850006,84TH ST B/W 25TH AVE,1085.0,1085.4,,800.0,3870-RET. 02/05/15,,"5,500.00",
r0220003,HART BOULEVARD &,519.82,525.0,,122.0,,,,
m0050072,BATTERY PARK AT THE SIX,160714.0,156705.0,,101941.0,4476-JE325 02/06/19,,,
m0530024,N.E. CORNER COLUMBUS,1500.0,1500.0,,0.0,,,,
q0990189,NORTH CORNER OF,216.66,250.0,,147.0,3405-RET. 3/5/10,,,
q0990095,VOLLEYBALL AREA,0.0,0.0,,0.0,2140 (NOT PANAMA'S),,,(MARIA ORTEGA'S)
m2230004,S.W. CORNER W. 138,796.0,794.0,,0.0,2055(SEIZED 8/14/98),,,
m0100256,KERBS MEMORIAL BOAT-,29036.0,30487.0,,22750.0,G53390,,"156,279.00",
b0580018,DRIGGS AVE & N12TH,1000.0,1141.66,,367.0,2983 (TRANS FROM B0580013) -  RET. 03/23/15,,"4,700.00",SEC. DEP. RET. 03/23/15
b1920004,BETWEEN 83 & 84 ST.,2333.35,2333.33,,500.0,2204(SEIZED 9/29/00),,,
m0420054,ATPOT,233.0,170.0,,870.97,JC4607-JE330 10/07/19,,,
m0420048,SEAMAN AVENU E AND,430.0,535.0,,385.0,3985-RET. 02/29/16,,"2,300.00",
m0370009,AMSTERDAM & W. 173,0.0,0.0,,0.0,2163(SEIZED 01/01),,,
x0350006,CRESTON AVE. & 190 S,1356.66,1356.7,,583.33,"3809 ($1,250)-RET. 3/12/15",,"4,500.00",
m1040027,WESTERN END OF LOT,0.0,0.0,,0.0,2771(SEIZ 09/11/05),,,
r0050010,NEAR PLYGD & BLFLDS,144.75,144.74,,0.0,3585,,"5,500",
x0340007,165 ST. TO MCCLELLAN,0.0,0.0,,0.0,SAFE,,,
m0710420,NR W91ST PLGD,5500.0,6670.0,,5672.35,3108-RET. 04/28/08,,,
q0990204,DESIGNATED VOLLEYBAL,679.45,820.0,,607.0,2646 TRANSFERED,,"3,472.00",
r0220006,HART BLVD & REVERE ST.,519.82,525.0,,122.0,4213-trans to current permit,,,
m1040017,FRONT OF TBTA BLDG,0.0,0.0,,0.0,2154(APPL FOR CUR.),,,
m0420057,INWOOD HILL,430.0,535.0,,385.0,4482 ($800),,,
q0990157,IN FRONT OF LIGHT,143.01,244.35,,0.0,2315-$882.00;3148RET,,,2817-$700.00
m0710329,W72 ND ST DOG RUN,0.0,0.0,,0.0,STICKER DEPOSIT-,,,CASH-APPL TUA
m0420013,PERIMETER OF NO.,0.0,0.0,,0.0,,,,
q0990084,NEAR UNISPHERE,0.0,0.0,,0.0,2117,,,
m0940024,BROADWAY & W72ND,2800.0,3000.0,,0.0,2304(SEIZED 02/00),,,
b3930054,SHEEPSHEAD BAY,0.0,0.0,,0.0,,,,
