rate_population,expected_dirs_black,actual_dirs_white,expected_shootings_female,location_type,nyc_pop_male,actual_shootings_american,expected_dirs_asian_pi,actual_shootings_female
357471.0,,,,Police Precinct,,,,
157599.0,,,,Police Precinct,,,,
775416.0,,,,Police Precinct,,,,
150663.0,,,,Police Precinct,,,,
526713.0,,,,Police Precinct,,,,
434829.0,,,,Police Precinct,,,,
174057.0,,,,Police Precinct,,,,
1448013.0,,,,Borough,,,,
78.0,,,,Police Precinct,,,,
375474.0,,,,Police Precinct,,,,
392205.0,,,,Police Precinct,,,,
593904.0,,,,Police Precinct,,,,
365181.0,,,,Police Precinct,,,,
491205.0,,,,Police Precinct,,,,
73110.0,,,,Police Precinct,,,,
7869942.0,,,,Borough,,,,
152925.0,,,,Police Precinct,,,,
