actual_dir_female,shooting_rate,expected_shootings_asian,expected_dir_female,actual_dirs_other,nyc_pop_other
,0.17,,,,
,0.89,,,,
,0.31,,,,
,1.99,,,,
,6.31,,,,
,5.69,,,,
,0.17,,,,
,1.86,,,,
,0.98,,,,
,0.92,,,,
,1.43,,,,
,1.13,,,,
,4.02,,,,
,4.15,,,,
,5.07,,,,
,0.8,,,,
,3.49,,,,
,8.02,,,,
