qkey,cp9,ih3,ih5a_1,sc4d,sc4b,d1yob,bf1mns,st4,sc6,bc2,st5,es2,d2,ph1,d6,cp10_1,stratum,mh1,cp7,cp3,ih5,el13e,qcell,cp2,bf1_1,es3,lang,el3,el12mns,d7,el17f,pph1
202939,4.0,1,,1,1,1985.0,6.0,4,1,2,4,2,1,3,3.0,,1,5,2.0,1.0,2,,1,1.0,4,4,2,2.0,,3,,1
200459,2.0,1,,1,1,1993.0,,4,1,1,2,1,1,3,,2.0,2,2,1.0,1.0,2,,1,1.0,3,1,1,,,5,,1
203878,,1,,1,1,1985.0,,77,1,1,1,2,1,3,,,1,1,1.0,1.0,2,0.0,1,1.0,1,2,1,1.0,3.0,3,,1
201725,4.0,1,,1,1,1977.0,5.0,4,1,1,4,2,1,2,3.0,,1,3,1.0,1.0,2,,1,1.0,4,12,1,1.0,,6,1.0,1
203037,4.0,1,,1,1,1977.0,12.0,4,1,1,4,2,1,1,,,2,5,1.0,1.0,2,,1,1.0,4,77,1,,,6,,1
203367,1.0,1,,1,1,1974.0,6.0,4,1,2,4,2,1,1,,2.0,1,4,2.0,1.0,2,0.0,1,1.0,4,12,1,2.0,10.0,6,1.0,1
201044,2.0,1,,2,1,1991.0,,3,1,1,4,2,1,2,,2.0,1,5,1.0,1.0,2,0.0,0,1.0,3,77,1,2.0,3.0,4,2.0,1
203110,1.0,1,,1,1,,,4,1,1,4,2,1,3,,2.0,1,5,1.0,1.0,2,,1,1.0,2,12,1,2.0,,6,2.0,1
203619,2.0,1,,1,1,1978.0,,4,1,2,4,2,1,3,,1.0,1,5,2.0,1.0,2,0.0,1,1.0,1,11,1,1.0,3.0,5,1.0,1
203972,4.0,1,,2,1,1992.0,5.0,4,1,1,3,2,1,2,,,1,5,1.0,1.0,2,,1,1.0,4,77,1,,,5,,1
204438,1.0,1,,2,1,1982.0,,4,1,2,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,5,12,1,3.0,,6,2.0,1
204002,2.0,1,,1,1,1977.0,12.0,4,1,1,4,2,1,2,3.0,1.0,2,5,1.0,1.0,2,,1,1.0,4,5,2,4.0,12.0,4,,1
200413,4.0,1,,1,1,1978.0,4.0,4,1,1,4,2,1,1,,,1,1,1.0,2.0,2,0.0,1,1.0,4,12,1,2.0,4.0,6,1.0,1
202719,,1,,1,1,1989.0,,1,1,2,4,2,1,1,,,1,5,2.0,2.0,2,,0,1.0,1,1,1,77.0,,4,2.0,1
200138,,1,,1,1,1991.0,1.0,4,1,2,4,1,1,3,,,2,5,1.0,1.0,2,,1,1.0,4,1,1,,,5,,1
200774,4.0,1,,1,1,1968.0,7.0,2,1,2,4,1,1,3,3.0,,2,4,1.0,1.0,2,,1,1.0,4,77,2,4.0,,3,,1
203331,1.0,1,,1,1,1983.0,3.0,4,1,2,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,,6,2.0,1
203423,,1,,2,1,1985.0,,4,1,1,4,2,1,3,2.0,,1,3,1.0,1.0,2,,1,1.0,1,10,1,2.0,,5,2.0,1
204164,,1,,1,1,1983.0,6.0,4,1,2,4,2,1,5,3.0,,1,2,,,2,,1,,4,77,1,2.0,,4,,1
204283,1.0,1,,1,1,1985.0,6.0,4,1,2,4,2,1,1,,2.0,1,5,1.0,1.0,2,,1,1.0,4,2,1,2.0,12.0,5,,1
200437,4.0,1,,1,1,1977.0,,4,1,1,3,2,1,1,,,2,5,1.0,1.0,2,,0,1.0,5,7,1,,,4,,1
201415,4.0,1,,1,1,1991.0,2.0,4,1,2,4,2,1,4,,,2,4,1.0,1.0,2,,1,1.0,4,5,1,,,5,,1
204853,1.0,1,,1,1,1977.0,9.0,4,1,1,4,2,1,2,,1.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,,6,2.0,1
202584,4.0,1,,1,1,1984.0,10.0,4,1,1,4,2,1,3,2.0,,1,5,1.0,1.0,2,0.0,1,1.0,4,7,1,2.0,,5,,1
202182,1.0,1,,2,1,1984.0,3.0,4,1,2,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,3.0,,6,2.0,1
204840,,1,,1,1,1983.0,,2,1,1,3,2,1,1,,,2,5,,,2,,1,,1,1,1,,,5,,1
203126,,1,,1,1,1987.0,2.0,4,1,1,2,2,1,2,3.0,,1,5,2.0,2.0,2,0.0,1,1.0,4,6,1,1.0,4.0,5,2.0,1
200210,4.0,1,,1,1,1980.0,18.0,4,1,1,4,2,1,1,,,1,4,1.0,1.0,2,0.0,0,1.0,4,11,1,4.0,2.0,6,2.0,1
202900,4.0,1,,2,1,1980.0,12.0,4,1,1,4,2,1,2,3.0,,1,5,1.0,1.0,2,8.0,1,1.0,4,8,1,2.0,4.0,4,2.0,1
200467,1.0,1,,2,1,1979.0,5.0,4,1,1,4,2,1,2,3.0,2.0,2,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,3.0,6,2.0,1
204876,,1,,1,1,1992.0,3.0,2,1,2,3,1,1,4,,,1,5,2.0,2.0,2,,0,1.0,4,1,1,2.0,,4,,1
202393,4.0,1,,1,1,1986.0,1.0,1,1,2,4,2,1,2,,,1,5,2.0,1.0,2,0.0,1,1.0,4,8,1,3.0,3.0,6,1.0,1
