clientid,resp,qkey,el12_1,samp_weight,sc3,st1,ih2,cp10wks,sc7,sc2,cp6b,el17a,ih4_1,sd1_1,es1a,bc1,sc4d1,el8,odate,el10,de3,de2_1,sc4b1,d4_1,sd1mns,es1b,fulladra,d5,bf1a_1,d4_2,ih1,el17e,el9,cp1
1559,63,201559,2.0,0.7209580353731216,2.0,4,1,2.0,1,1.0,1.0,1.0,,,4,1,2,2.0,24-Feb-16,75.0,67.0,1.0,,1,,4,,1,3.0,,1,1.0,1.0,1
719,574,200719,,2.2628349783603703,2.0,4,1,,1,1.0,4.0,,,,4,1,1,,8-Mar-16,,40.0,77.0,,77,,4,1.0,40,3.0,,1,,,1
228,14,200228,3.0,0.5313322294183933,2.0,4,1,,1,1.0,2.0,1.0,,,3,2,1,6.0,24-Feb-16,30.0,17.0,1.0,,1,,4,1.0,1,1.0,,4,1.0,1.0,1
2059,1259,202059,,2.165801871202156,,4,1,,1,,2.0,,,,3,1,1,3.0,23-Mar-16,20.0,1.0,1.0,,1,,4,1.0,1,,,1,,1.0,1
2544,28,202544,2.0,0.7209580353731216,2.0,4,1,2.0,1,1.0,1.0,1.0,,2.0,4,1,2,9.0,24-Feb-16,50.0,1.0,1.0,,1,3.0,4,1.0,1,2.0,,1,1.0,1.0,1
1248,145,201248,3.0,0.4877558624896254,2.0,4,1,,1,1.0,,1.0,,2.0,2,1,1,6.0,25-Feb-16,60.0,,,,2,3.0,2,1.0,55,3.0,,2,2.0,1.0,2
4332,98,204332,,0.8538009027237266,2.0,3,1,,1,1.0,,,,,3,1,1,1.0,1-Mar-16,25.0,,,,2,,3,1.0,1,3.0,,1,,2.0,2
2289,843,202289,,1.8132205803719883,2.0,4,1,,1,1.0,6.0,,,,3,1,1,,16-Mar-16,,56.0,99.0,,99,,77,1.0,56,3.0,,3,,,1
611,134,200611,,0.4168740063722566,2.0,4,1,3.0,1,1.0,3.0,,,,4,1,1,77.0,25-Feb-16,40.0,26.0,77.0,,1,,4,1.0,26,3.0,,1,,1.0,1
295,991,200295,,1.0736236532485028,2.0,4,1,,1,1.0,,,,,4,1,2,,18-Mar-16,,,,,8,,4,1.0,26,3.0,,1,,,2
3028,159,203028,,1.7581890552032065,,4,1,,1,,5.0,,,,3,2,1,,25-Feb-16,,56.0,99.0,2.0,1,,3,1.0,56,3.0,,1,,,1
4948,599,204948,,1.376669903099634,2.0,4,1,1.0,1,1.0,1.0,,,,4,1,1,,8-Mar-16,,26.0,8.0,,8,,4,1.0,26,3.0,,1,,,1
4736,252,204736,3.0,0.7209580353731216,2.0,4,1,,1,1.0,1.0,2.0,,2.0,4,1,1,9.0,26-Feb-16,50.0,1.0,1.0,,1,3.0,4,1.0,1,1.0,,1,2.0,1.0,1
3047,229,203047,3.0,0.7934138949575522,2.0,4,1,5.0,1,1.0,5.0,2.0,,,4,1,2,9.0,26-Feb-16,45.0,1.0,1.0,,1,,4,2.0,1,3.0,,1,2.0,1.0,1
3853,648,203853,2.0,0.9473386428773504,2.0,4,1,1.0,1,1.0,6.0,1.0,,,4,1,1,7.0,9-Mar-16,40.0,1.0,1.0,,3,,4,,83,3.0,,1,2.0,1.0,1
1441,506,201441,,1.896657877834682,2.0,3,1,,1,1.0,,,,,3,1,2,,6-Mar-16,,,,,2,,3,1.0,1,3.0,,5,,,2
2458,1219,202458,2.0,0.5313322294183933,2.0,4,1,,1,1.0,3.0,2.0,,2.0,3,1,1,77.0,23-Mar-16,27.0,48.0,1.0,,1,9.0,4,,1,1.0,,1,1.0,1.0,1
3621,671,203621,2.0,0.5906219125218088,2.0,4,1,,1,1.0,3.0,1.0,,,4,1,2,7.0,9-Mar-16,42.0,32.0,1.0,,1,,4,1.0,32,3.0,,1,2.0,1.0,1
