clientid,d3,el16,pph2b,el14,de1,pph2c,cp5,el7,bf1awks,sc6a,bf2,sc4,qrep,d1,qc1,pop_weight,el13b,el11,el13d,de2_3,el15,mh3a,el17d,de2_2,el17b,mh2,sc4b2,pph2a,el4,es4,sd2,bf1wks,bc3,mh4,cp6c,el1
1718,2,,1.0,,2.0,2.0,1.0,,,1,1.0,1,12,1,2,171.20274350808012,,,,,,,,,,2,,1.0,,77,,,2,77,77.0,2
1013,2,,,1.0,2.0,,3.0,2.0,,1,,1,5,1,2,56.48869621342044,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,3,1,5.0,1
4907,2,10.0,,1.0,,,,1.0,,2,5.0,1,24,1,1,58.772880287203726,,2.0,,,2.0,,,,,2,,,1.0,2,,,2,1,,1
2064,2,3.0,,3.0,2.0,,2.0,2.0,,2,7.0,1,3,1,2,66.6488050886899,6.0,3.0,0.0,,2.0,,,,,2,,,1.0,3,,,2,2,3.0,1
767,2,,,1.0,2.0,,1.0,2.0,,1,3.0,1,6,1,2,66.8004390611387,,2.0,,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,,2,2,1.0,1
314,2,,,1.0,,,,1.0,,2,7.0,1,18,1,1,69.16097319235138,,2.0,,,1.0,,1.0,,2.0,2,,,1.0,2,1.0,,2,2,,1
2081,1,,,,1.0,,1.0,,,2,1.0,1,18,1,1,80.69981403898062,,,,,,,,,,2,,,,3,,,3,1,3.0,2
4975,2,,,,2.0,,1.0,1.0,,2,4.0,1,6,1,2,38.27061453820536,,77.0,,,1.0,,1.0,,2.0,2,,,1.0,4,1.0,,2,1,1.0,1
4122,2,,,2.0,2.0,,2.0,1.0,,2,4.0,1,11,1,1,79.19464455932737,6.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,3,4,3.0,1
1857,77,,,3.0,77.0,,1.0,1.0,,2,1.0,1,9,1,2,94.95795783165796,0.0,1.0,0.0,,1.0,,2.0,,1.0,2,,,1.0,5,1.0,,3,3,3.0,1
1608,2,,,1.0,2.0,,3.0,1.0,,2,7.0,1,11,1,2,96.56615803162576,3.0,3.0,4.0,,1.0,,1.0,,1.0,1,,,1.0,3,2.0,,3,3,3.0,1
3730,2,,,2.0,2.0,,2.0,1.0,,2,3.0,1,8,1,2,64.55195803648844,6.0,3.0,6.0,,1.0,,2.0,,2.0,2,,,1.0,6,1.0,,2,1,2.0,1
1407,2,,2.0,,2.0,2.0,2.0,2.0,,2,5.0,1,18,1,2,135.35228932746878,,4.0,,,1.0,,2.0,,1.0,2,,2.0,1.0,5,1.0,,2,1,5.0,1
4865,1,2.0,,1.0,1.0,,1.0,2.0,,2,5.0,1,18,1,1,81.25349724690446,0.0,1.0,0.0,,2.0,,,,,2,,,1.0,3,,,2,1,4.0,1
4135,2,,,1.0,1.0,,1.0,1.0,,2,1.0,1,2,1,2,51.61372056590408,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,3,1,4.0,1
4674,2,,,2.0,2.0,,1.0,1.0,,2,1.0,1,16,1,2,83.56540122646392,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,2,2,2.0,1
1638,2,,,,2.0,,3.0,,,2,1.0,1,20,1,1,237.74394377047324,,,,,,,,,,2,,,,2,,,3,1,1.0,2
2440,1,,,2.0,1.0,,1.0,1.0,,2,1.0,1,20,1,2,59.446329552649885,2.0,1.0,0.0,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,,3,1,2.0,1
933,2,,,2.0,2.0,,1.0,1.0,,2,3.0,1,21,1,2,49.36719226320475,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,4,1.0,,2,1,1.0,1
4833,2,,,1.0,,,,1.0,,2,5.0,1,13,1,2,36.383508494844456,6.0,3.0,52.0,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,,4,1,,1
