manhattan_condominium_property_boro_block_lot,comparable_rental_2_est_gross_income,comparable_rental_1_total_units,manhattan_condominium_property_full_market_value
1-00273-7501,604000.0,28,2109998
1-01487-7501,2830153.0,90,7449993
1-01543-7501,8916220.0,111,48900010
1-01320-7506,11384191.0,167,41499997
1-01253-7503,8282855.0,142,22399940
1-01213-7504,2110532.0,38,7740000
1-00507-7501,1045553.0,28,2349999
1-00766-7502,7242000.0,202,23099987
1-00822-7503,969154.0,16,5560000
1-00297-7502,663000.0,50,3300002
1-00031-7501,27027000.0,288,62900004
1-00079-7503,2198000.0,31,11600000
1-01038-7501,7333615.0,104,26600017
1-01010-7502,1584076.0,37,4580001
1-00097-7503,554000.0,13,4290000
1-00821-7503,4344159.0,87,20100007
1-01319-7501,11149460.0,116,9779999
1-01331-7502,13227963.0,210,44000000
1-00462-7501,1315000.0,45,5820000
1-01505-7501,955974.0,35,3939996
1-00717-7501,2357500.0,75,11700012
1-01179-7503,7031692.0,224,61900000
1-01322-7501,13163054.0,210,28400002
1-00078-7505,560000.0,31,3290000
1-01143-7502,2077237.0,54,6699985
1-00773-7502,1400000.0,65,8580000
1-00793-7501,817000.0,69,9180001
1-00016-7503,15723000.0,209,20600009
1-00569-7501,1838000.0,95,7260002
1-00425-7501,663000.0,22,4469998
1-00745-7503,2357500.0,49,13400000
1-00375-7501,307000.0,24,2920006
1-00928-7502,3242689.0,70,11000000
1-01138-7502,,325,69299975
1-01171-7504,16124529.0,459,58100023
1-01253-7502,9129020.0,146,34600000
1-00767-7502,707000.0,121,9340002
1-00284-7503,1148000.0,17,4890000
1-00795-7501,7242000.0,144,24999995
1-01381-7504,2079076.0,43,6990001
1-01412-7503,2812655.0,77,12599997
1-01137-7501,,325,99900023
1-00916-7501,1261000.0,54,4190000
1-00587-7501,686000.0,34,2020003
1-00612-7503,383000.0,50,2100000
1-00595-7504,5100000.0,67,14900002
1-00525-7501,7469866.0,88,13900000
1-00575-7501,668000.0,19,1050000
1-01071-7502,8282855.0,276,29100000
1-01382-7501,7605715.0,91,16100000
1-01219-7501,9129020.0,146,29900000
1-00029-7501,2260000.0,70,11100000
1-00235-7501,,17,4029999
1-00016-7517,17830000.0,399,107999966
1-00716-7501,2357500.0,75,10799994
1-01169-7501,415595.0,15,2049998
1-01446-7501,1702675.0,67,14700005
1-01373-7503,,145,33500000
1-00135-7501,615000.0,116,12100000
1-01402-7501,5682659.0,210,21900000
1-00228-7501,762000.0,35,4219998
016-7514,15036000.0,253,91199996
1-01365-7502,18486479.0,295,41499995
1-00531-7501,4766863.0,168,15099995
1-01165-7505,12932460.0,183,25300000
1-00793-7507,1259000.0,121,17800003
1-01341-7501,2830153.0,127,13200012
1-00879-7501,5886552.0,96,19299995
1-01230-7501,4756889.0,136,18000000
1-00438-7502,330000.0,25,2700003
1-00434-7501,485000.0,28,1630000
1-01320-7505,7763509.0,182,37200007
1-00803-7501,2355000.0,224,19900004
1-00274-7502,1299000.0,46,9740000
1-00180-7502,882000.0,18,2850003
1-00567-7501,4766863.0,168,14300004
1-00220-7502,1261000.0,89,14699999
1-00556-7501,1165000.0,17,3320001
1-00911-7501,1430000.0,82,6730006
1-00239-7501,3099000.0,17,9610003
1-01562-7501,12469436.0,257,34600017
1-01495-7501,2827503.0,69,16200000
1-00309-7501,2290000.0,31,5320000
1-00510-7501,4608905.0,62,14100000
1-00894-7502,5355003.0,146,21000000
1-00969-7501,29503690.0,511,97799978
1-00140-7501,5126000.0,443,17600004
1-00028-7501,4053000.0,124,19000009
1-01381-7502,2827503.0,39,12700000
1-00544-7501,5100000.0,100,16700000
1-00851-7501,2451879.0,306,78400071
1-00441-7503,6170000.0,67,20599999
1-01449- 7502,7477294.0,271,28200000
1-00928-7502,3242689.0,70,8240000
1-01166-7501,1749956.0,39,8190004
1-00619-7502,651000.0,15,2100000
1-00514-7505,2512074.0,163,7070000
1-01075-7502,793627.0,33,6619995
1-01216-7502,1723762.0,81,9580005
1-01534-7502,963233.0,24,1910000
1-00190-7506,7168000.0,123,11700002
1-0,253597.0,46,3260004
1-00459-7502,502000.0,45,2510002
1-00575-7502,951000.0,28,3529998
1-01292-7501,32029862.0,324,122999979
1-01008-7503,,453,106999986
1-01279-7501,2512284.0,145,7029999
1-01457-7501,1763333.0,15,10999984
1-00800-7501,2355000.0,266,16699998
1-01125-7501,6932910.0,233,24700001
1-00795-7502,2454000.0,49,4829999
1-01216-7501,2274807.0,21,4759997
1-01377-7503,618652.0,40,4310001
1-01349-7501,12205965.0,127,32400000
1-01290-7501,7763509.0,66,27000000
1-01312-7501,20907775.0,167,78800007
1-00529-7502,966000.0,30,3420002
1-00018-7501,17218000.0,398,62200021
1-01128-7502,301790.0,20,1370001
1-00095-7501,554000.0,24,5710003
1-00231-7501,1182870.0,13,5180000
1-01179-7501,9272595.0,320,48800000
1-01049-7501,27398465.0,64,65199999
1-00849-7507,23790344.0,325,114999959
1-01461-7501,6236286.0,234,40500002
1-01071-7501,,423,49299991
1-00525-7502,545000.0,19,742998
1-01309-7502,7495751.0,202,21599974
1-01058-7501,789979.0,20,906000
1-00217-7501,5126000.0,204,15299993
1-01151-7503,23383426.0,357,53500014
1-00766-7504,1824000.0,68,13100000
1-00413-7501,482000.0,22,1520001
1-01320-7501,13165445.0,324,75599981
1-00823-7503,3021349.0,63,12300001
1-00027-7501,5540000.0,124,30500006
1-01446-7502,,147,27699989
1-00794-7502,1259000.0,75,10599998
1-01246-7501,951385.0,48,3970004
1-01274-7503,3810990.0,82,19999998
1-00542-7501,574000.0,30,1980000
1-01580-7501,6236286.0,200,25599994
1-01150-7503,2480617.0,57,12100007
1-01496-7501,11139781.0,253,31899987
1-00881-7501,918830.0,12,3120000
1-00493-7501,1036032.0,41,5362866
1-01149-7501,604953.0,19,2299994
1-00140-7505,4053000.0,61,14600007
1-01347-7501,7763509.0,295,45200009
1-00903-7502,5470000.0,221,52300000
1-00850-7503,2451879.0,306,58299989
1-00106-7502,647000.0,32,5349996
1-01054-7502,1268818.0,34,4250001
1-01167-7501,5059608.0,64,15500000
1-01344-7501,2830153.0,90,9780002
1-01341-7505,2079076.0,68,9110003
1-01342-7501,9805152.0,228,25800003
1-01237-7501,4756889.0,136,17200013
1-0 0814-7501,,452,22100002
1-01349-7502,2138078.0,61,11300002
1-0,3345000.0,67,14200000
1-00389-7501,518000.0,30,2080000
1-01158-7502,9272595.0,320,57200000
1-01048-7504,12588334.0,182,25800000
1-00897-7501,2368000.0,46,8570000
1-00144-7502,882000.0,18,4159998
1-01446-7503,1702675.0,61,7490000
1-01674-7501,5509585.0,236,44300000
1-00558-7503,1792000.0,54,6820002
1-00720-7501,2079000.0,49,6629998
1-01519-7501,,257,41700002
1-00917-7501,5355003.0,119,20099989
1-01331-7503,7288133.0,145,23199997
1-00746-7504,2357500.0,40,4960002
1-01544-7501,12469436.0,257,42999991
1-00723-7501,2355000.0,68,18400006
1-01576-7501,3323455.0,83,13600001
1-01346-7501,1811077.0,91,9220004
1-00276-7501,338000.0,24,1120002
1-01425-7501,5667430.0,91,15100000
1-0,5126000.0,443,13100003
1-01411-7 501,2138078.0,15,15699998
1-01220-7502,2274807.0,21,4850002
1-01340-7501,26242220.0,460,252999996
1-0,6413037.0,212,51599981
1-00888-7501,1748849.0,100,15700000
1-00016-7508,15723000.0,209,114999983
1-01377-7501,1531302.0,48,11799999
1-00189-7501,6736000.0,209,5900000
1-00720-7502,293000.0,16,1650003
1-01241-7501,274927.0,14,2459998
1-01473-7504,,145,22800002
1-00529-7504,951000.0,30,4829999
1-00353-7501,636000.0,19,8010004
1-00890-7503,1827365.0,79,8610000
