latitude,longitude,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_year_built,borough,_comparable_rental_1_boro_block_lot,comparable_rental_1_full_market_value,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_2_gross_sqft
40.716745,-74.010862,0.0,1997.0,1,1-00151-0001,82000000,38.5,434418,130568.0
40.737368,-73.979782,0.0,2002.0,1,1-00939-0028,48500000,46.3,213549,150800.0
40.769705,-73.956399,0.2,1975.0,1,1-01425-0005,70000000,30.8,488474,156200.0
40.762673,-73.989553,0.2,1940.0,1,1-01058-0008,1130000,28.1,9719,21840.0
40.761262,-73.987572,0.25,1987.0,1,1-01041-0019,21900000,55.0,81050,190289.0
40.706146,-74.016873,0.0,2004.0,1,1-00016-0185,70800000,52.0,278141,356483.0
40.772899,-73.960033,0.65,1996.0,1,1-01424-0004,8360000,52.0,32500,50225.0
40.742628,-73.994197,0.55,1999.0,1,1-00640-0021,16300000,43.4,76549,68260.0
40.752654,-73.985707,,,1,1-00824-0011,134000000,46.5,588356,
40.768187,-73.955707,0.9,1940.0,1,1-01453-0035,4690000,37.1,27124,10200.0
40.70536,-74.008602,0.35,1920.0,1,1-00068-0016,25000000,45.7,111184,107243.0
40.715987,-74.010248,0.4,1920.0,1,1-00053-0033,11100000,39.0,57941,107243.0
40.722278,-73.994336,0.35,1910.0,1,1-00494-0015,10300000,45.8,45990,20670.0
40.718038,-74.008932,0.3,1900.0,1,1-00174-0007,3900000,36.3,23072,26712.0
40.761275,-73.969938,0.55,1982.0,1,1-01332-0029,64600000,40.6,324212,413233.0
40.734748,-73.996727,0.45,1926.0,1,1-00532-0025,1670000,31.8,11250,21679.0
40.753551,-73.971226,0.5,1997.0,1,1-01318-0019,35800000,43.1,168998,158063.0
40.737612,-73.980319,0.0,1968.0,1,1-00925-0060,9480000,36.1,56310,81500.0
40.712411,-73.992991,0.55,1920.0,1,1-00407-0047,7610000,50.0,30893,27247.0
40.734525,-73.985971,0.4,1925.0,1,1-00875-0003,8740000,36.7,51122,56670.0
40.780449,-73.981462,0.3,1900.0,1,1-01165-0056,4570000,27.5,40050,48606.0
40.708809,-74.016116,0.0,1998.0,1,1-00016-0015,27900000,28.2,239165,239185.0
40.713339,-73.990546,0.4,1910.0,1,1-00201-0014,2790000,31.2,19155,18865.0
40.765342,-73.977542,0.0,1927.0,1,1-01271-0012,5250000,29.9,37704,39720.0
40.740426,-73.988976,0.35,1984.0,1,1-00826-0001,61500000,42.3,296400,63255.0
40.769465,-73.967894,0.6,1969.0,1,1-01425-0017,13200000,34.0,83220,102053.0
40.719246,-74.006313,0.75,1998.0,1,1-00016-0020,26900000,28.1,230765,239165.0
40.777464,-73.986171,0.4,1901.0,1,1-01142-0064,32800000,29.9,235400,224803.0
40.746836,-74.002162,0.5,1989.0,1,1-00797-0074,5860000,30.4,41423,48680.0
40.776674,-73.98923,0.0,2002.0,1,1-01171-0132,115000000,44.6,524466,367786.0
40.753118,-73.972085,0.15,1981.0,1,1-01332-0029,64600000,40.6,324212,253256.0
40.751983,-73.967538,0.9,1979.0,1,1-01348-0049,157000000,55.0,580480,353412.0
40.726039,-74.009658,0.9,1929.0,1,1-00640-0021,16300000,43.4,76549,80895.0
40.758819,-73.964156,0.4,1996.0,1,1-01510-0020,26700000,69.0,78874,50225.0
40.734537,-73.996218,0.25,1930.0,1,1-00551-0016,3600000,26.8,32409,34708.0
40.788594,-73.971197,0.05,1986.0,1,1-01240-0052,32600000,52.0,129000,175436.0
40.75405,-73.968483,0.2,1974.0,1,1-01349-0014,53200000,48.1,225154,312416.0
40.773997,-73.982233,,,1,1-01118-9001,69700000,47.2,301000,
40.757083,-73.966013,1.0,1958.0,1,1-01425-0017,13200000,34.0,83220,60775.0
40.74696,-73.97705,0.3,1950.0,1,1-00892-0001,18800000,35.0,115221,153398.0
40.709639,-74.008325,0.05,1900.0,1,1-00078-0001,8700000,31.4,59488,58354.0
40.782381,-73.976522,0.25,1900.0,1,1-01128-0061,9430000,32.4,62434,52388.0
40.747086,-73.993457,0.55,1920.0,1,1-00753-0056,15800000,50.0,147888,62400.0
40.759926,-73.966737,1.05,1964.0,1,1-01488-0013,59900000,47.4,257244,530809.0
40.768406,-73.982076,0.3,2002.0,1,1-01126-0029,63500000,60.0,217280,460000.0
40.740855,-73.994277,0.25,1927.0,1,1-00850-0064,17200000,44.4,78646,99750.0
40.729377,-74.001606,0.4,1920.0,1,1-00543-0048,3090000,31.8,20874,16247.0
40.707047,-74.017439,0.0,2002.0,1,1-00016-0200,78000000,34.6,484000,356786.0
40.785114,-73.955114,0.55,1974.0,1,1-01513-0059,4200000,41.3,20736,28150.0
40.737327,-73.981326,0.25,1964.0,1,1-00896-0048,26000000,35.3,158505,175110.0
40.707333,-74.002532,0.04,1900.0,1,1-00092-0017,2850000,28.0,24610,14053.0
40.74413,-74.005135,0.2,1999.0,1,1-00717-0077,16400000,49.0,68260,58394.0
40.739518,-74.004074,0.55,1920.0,1,1-00632-0031,6980000,41.2,34504,56700.0
40.784293,-73.974968,0.3,1914.0,1,1-01253-0035,7200000,38.9,37674,38016.0
40.773438,-73.95739,0.75,1931.0,1,1-01562-0144,2660000,34.9,16380,164567.0
40.748175,-74.003829,0.25,1999.0,1,1-00720-0045,11600000,40.4,58394,68260.0
40.749988,-73.980395,0.2,1928.0,1,1-00916-0001,11200000,31.5,76024,90871.0
40.762309,-73.959985,0.35,1910.0,1,1-01456-0005,2160000,40.2,10925,21730.0
40.721085,-74.005754,0.45,1997.0,1,1-00220-0027,4110000,33.0,26712,130568.0
40.773595,-73.979594,0.0,1986.0,1,1-01118-9001,69700000,47.2,301000,65000.0
40.770201,-73.961652,0.5,1931.0,1,1-01406-0054,13800000,38.3,73396,164567.0
40.791213,-73.965024,0.4,2001.0,1,1-01196-0003,3700000,39.1,19303,69000.0
40.769476,-73.985122,0.15,1981.0,1,1-01118-9001,69700000,47.2,301000,408644.0
40.723859,-74.009452,0.8,1910.0,1,1-00205-0004,3120000,31.4,21320,19155.0
40.775114,-73.982193,1.55,1986.0,1,1-01210-0033,21100000,65.0,65814,53662.0
40.792508,-73.975204,0.4,1923.0,1,1-01249-0057,9640000,26.7,87129,100042.0
40.784134,-73.94894,0.15,1986.0,1,1-01513-0059,4200000,41.3,20736,17388.0
40.754621,-73.967891,1.05,1914.0,1,1-01349-0035,8610000,28.5,73000,73396.0
40.71983,-73.995141,0.15,1900.0,1,1-00570-0008,10100000,41.5,49408,45990.0
40.735431,-74.009017,0.8,1999.0,1,1-00586-0045,4080000,34.3,25542,58394.0
40.808093,-73.93837,,,1,1-01677-0009,1930000,18.42,28000,
40.716704,-74.007063,0.2,1915.0,1,1-00220-0027,4110000,33.0,26712,33500.0
40.751839,-73.970725,,,1,1-01453-0021,8210000,32.9,53662,
40.743865,-73.98581,0.3,1911.0,1,1-00818-0010,14800000,47.2,64049,78646.0
40.72451,-73.998358,0.15,1910.0,1,1-00488-0037,4330000,40.9,21598,20670.0
40.740391,-74.004056,1.25,1948.0,1,1-00909-0046,3450000,30.1,24600,56310.0
40.766348,-73.98795,0.1,1963.0,1,1-01241-0046,12000000,39.4,62280,63528.0
40.780152,-73.950077,0.4,1929.0,1,1-01505-0005,1530000,34.9,9431,22990.0
40.754434,-73.967454,0.2,1928.0,1,1-01320-0018,10800000,43.9,49914,15402.0
40.711401,-74.006204,0.3,2004.0,1,1-00092-0017,2850000,28.0,24610,40000.0
40.740506,-73.985031,0.1,1910.0,1,1-00872-0050,4170000,30.0,29796,41883.0
40.763012,-73.969739,0.5,1948.0,1,1-01311-0045,38100000,49.1,158063,180000.0
40.789553,-73.979466,0.35,1931.0,1,1-01199-0045,12100000,28.3,103112,83837.0
40.741171,-74.003764,0.35,1920.0,1,1-00722-0043,7190000,48.0,30500,62400.0
40.757864,-73.961883,0.85,1914.0,1,1-01335-0039,4400000,21.71,48892,73396.0
40.761868,-73.970551,0.5,1929.0,1,1-01309-0050,34900000,36.7,204269,297703.0
40.734593,-73.983311,0.5,1964.0,1,1-00896-0048,26000000,35.3,158505,175110.0
40.72064,-73.990198,0.4,2001.0,1,1-00391-0050,2660000,31.3,18260,13517.0
40.740242,-73.988539,0.05,1911.0,1,1-00850-0039,21300000,43.6,99750,78646.0
40.773867,-73.9584,0.85,1900.0,1,1-01388-0030,1740000,30.3,12321,13413.0
40.736952,-74.007513,0.45,1920.0,1,1-00632-0031,6980000,41.2,34504,56700.0
40.769998,-73.982739,0.25,1974.0,1,1-01113-0001,89100000,44.4,408644,301000.0
40.758698,-73.961781,,,1,1-01453-0021,8210000,32.9,53662,
40.74429,-73.978719,0.15,1981.0,1,1-00889-0039,40200000,44.8,182767,251848.0
40.704514,-74.010741,0.35,1929.0,1,1-00065-0006,6240000,35.4,37800,57941.0
40.777024,-73.951813,0.25,2002.0,1,1-01552-0023,45500000,44.2,209930,164384.0
40.72129,-73.993672,0.1,1900.0,1,1-00495-0033,13800000,41.7,67300,45990.0
40.713429,-73.989669,0.5,1915.0,1,1-00277-0022,1960000,21.53,22020,21320.0
40.719394,-74.008669,0.75,1998.0,1,1-00016-0020,26900000,28.1,230765,239165.0
40.757834,-73.99124,0.5,1998.0,1,1-01020-0005,110000000,47.2,475327,578099.0
40.743756,-73.992739,0.75,2002.0,1,1-00799-0003,55600000,54.0,209974,214594.0
40.76562,-73.962846,0.3,1950.0,1,1-01468-0021,67900000,35.6,409942,723578.0
40.778981,-73.985091,0.5,1927.0,1,1-01150-0041,15700000,29.3,114696,143791.0
40.760095,-73.961178,,,1,1-01311-0045,38100000,49.1,158063,
40.782635,-73.948284,0.1,1985.0,1,1-01523-0034,41500000,36.8,242157,329850.0
40.745313,-74.000617,1.0,1964.0,1,1-00882-0069,14000000,26.3,128570,184645.0
40.713314,-74.007759,0.15,1920.0,1,1-00126-0013,21000000,32.5,138600,29165.0
40.777583,-73.979228,0.0,1913.0,1,1-01143-0049,12000000,40.7,59848,36364.0
40.780383,-73.979761,0.25,1927.0,1,1-01150-0041,15700000,29.3,114696,143791.0
40.789315,-73.970954,0.35,2001.0,1,1-01196-0003,3700000,39.1,19303,69000.0
40.715348,-73.990798,0.1,1900.0,1,1-00238-0014,1640000,24.54,16093,18552.0
40.761849,-73.961483,1.2,1985.0,1,1-01453-0021,8210000,32.9,53662,20736.0
40.743519,-73.982634,0.2,1923.0,1,1-00893-0064,8960000,36.3,52936,60110.0
40.745601,-74.006853,0.15,1999.0,1,1-00720-0045,11600000,40.4,58394,68260.0
40.721735,-73.997633,0.25,1991.0,1,1-00494-0015,10300000,45.8,45990,92088.0
40.729365,-73.991846,0.1,1909.0,1,1-00521-0001,23400000,55.0,86746,147773.0
40.718131,-73.996014,0.0,1900.0,1,1-00239-0008,1060000,25.1,10200,16093.0
40.753025,-73.971862,1.2,1961.0,1,1-01347-0005,8460000,71.0,24192,83220.0
40.737084,-73.994075,0.15,1984.0,1,1-00826-0001,61500000,42.3,296400,63255.0
40.719879,-74.007929,0.2,1900.0,1,1-00174-0007,3900000,36.3,23072,26712.0
40.766554,-73.988437,0.5,1998.0,1,1-01075-0047,3700000,35.3,22500,28972.0
40.764571,-73.979893,0.2,1962.0,1,1-01037-0038,5540000,25.3,52860,112000.0
40.778598,-73.949428,0.15,1986.0,1,1-01541-0001,58100000,37.8,329850,256810.0
40.741388,-73.994991,0.55,1910.0,1,1-00791-0078,11000000,37.7,62400,21335.0
40.78883,-73.971713,0.4,1910.0,1,1-01253-0064,4430000,30.3,31360,40937.0
40.739965,-73.990722,0.2,1911.0,1,1-00850-0064,17200000,44.4,78646,64049.0
40.73211,-74.000112,0.3,1957.0,1,1-00557-0039,7190000,43.8,33450,34485.0
40.706606,-74.008404,0.35,1929.0,1,1-00065-0010,10200000,37.7,58354,57941.0
40.787121,-73.979709,0.2,1910.0,1,1-01244-0020,3450000,32.6,22740,22728.0
40.726165,-73.993127,0.25,1909.0,1,1-00521-0001,23400000,55.0,86746,147773.0
40.785126,-73.980883,0.05,1910.0,1,1-01244-0020,3450000,32.6,22740,22728.0
40.76372,-73.969197,0.7,1927.0,1,1-01412-0012,6900000,47.6,29500,40249.0
40.772009,-73.979757,1.65,1987.0,1,1-01471-0012,1250000,30.3,8820,10470.0
40.773193,-73.954693,0.15,1980.0,1,1-01533-0001,104000000,41.7,510305,205261.0
40.717088,-74.003827,0.3,1920.0,1,1-00170-0001,35200000,51.0,139697,41900.0
40.71932,-73.995469,1.05,1910.0,1,1-00391-0050,2660000,31.3,18260,24534.0
40.721321,-74.000267,0.35,1920.0,1,1-00504-0011,4870000,30.8,33930,38880.0
40.735102,-73.993592,0.1,1940.0,1,1-00573-0019,4620000,28.0,39782,43395.0
40.779284,-73.955097,,,1,1-01520-0034,6170000,54.0,23088,
40.726709,-74.002756,0.65,1920.0,1,1-00504-0011,4870000,30.8,33930,14221.0
40.772166,-73.952289,1.05,1974.0,1,1-01426-9035,15900000,47.9,156200,105734.0
40.769619,-73.954684,,,1,1-01426-0044,90800000,49.0,377297,
40.78058,-73.956035,0.35,1980.0,1,1-01532-0001,54700000,43.4,256810,205261.0
40.74811,-74.001223,0.65,1920.0,1,1-00753-0051,5800000,22.28,62824,62400.0
,,0.0,2004.0,1,1-00016-0185,70800000,52.0,278141,356483.0
40.738999,-73.992989,0.3,1911.0,1,1-00818-0010,14800000,47.2,64049,78646.0
40.72814,-73.98104,0.95,1910.0,1,1-00385-0005,6160000,38.9,32225,26306.0
40.733757,-74.001894,0.4,1940.0,1,1-00631-0001,23200000,36.2,137589,128350.0
40.776857,-73.961262,0.3,1980.0,1,1-01523-0034,41500000,36.8,242157,205261.0
40.731677,-73.994707,0.2,1959.0,1,1-00572-0038,25600000,39.3,132420,156465.0
40.75999,-73.966928,0.1,1997.0,1,1-01364-0034,45700000,31.4,312416,158063.0
40.773179,-73.954704,0.5,1980.0,1,1-01439-0023,10500000,42.6,50225,32500.0
40.714489,-74.008643,0.25,2005.0,1,1-00126-0013,21000000,32.5,138600,396000.0
40.779272,-73.947142,0.4,1927.0,1,1-01496-0021,28200000,51.0,113052,87192.0
40.724694,-73.99741,0.15,1999.0,1,1-00508-0025,22600000,50.0,92088,67300.0
40.740874,-73.995634,0.35,2001.0,1,1-00797-0007,26100000,41.5,128163,227896.0
40.743827,-73.987907,0.2,2003.0,1,1-00826-0001,61500000,42.3,296400,293978.0
40.749452,-74.006594,1.8,1991.0,1,1-00640-0021,16300000,43.4,76549,92088.0
40.721323,-73.998828,0.45,1920.0,1,1-00468-0046,7270000,54.0,27215,23000.0
40.733944,-74.005037,0.1,1910.0,1,1-00634-0032,2740000,34.0,17332,25955.0
40.726003,-73.994816,0.5,1907.0,1,1-00572-0049,6010000,39.7,30858,21492.0
40.78009,-73.983015,0.25,1905.0,1,1-01168-0010,24700000,31.1,170800,202586.0
40.738151,-74.008462,1.3,2002.0,1,1-00640-0021,16300000,43.4,76549,214594.0
40.722552,-73.982654,0.2,1915.0,1,1-00378-0035,2150000,25.1,20671,20382.0
40.74883,-73.982171,0.25,1984.0,1,1-00909-0028,21400000,40.1,108614,97414.0
40.709823,-74.008119,0.35,1929.0,1,1-00106-0004,2610000,34.1,16424,57941.0
40.767584,-73.959242,0.15,1957.0,1,1-01488-0013,59900000,47.4,257244,182345.0
40.742258,-73.99887,0.1,1940.0,1,1-00791-0078,11000000,37.7,62400,76450.0
40.744305,-73.974727,0.2,1930.0,1,1-00928-0040,33100000,43.8,153800,122247.0
