bin,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_1_year_built,postcode,council_district,manhattan_condominium_property_market_value_per_sqft,nta,comparable_rental_1_address,census_tract,manhattan_condominium_property_building_classification
1075706.0,0.2,1988,10013.0,1.0,197.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,101 DUANE STREET,21.0,R4-ELEVATOR
1020579.0,0.55,1998,10010.0,2.0,221.0,Gramercy                                                                   ,347 EAST 33 STREET,64.0,R4-ELEVATOR
,0.25,1975,10021.0,5.0,190.0,Lenox Hill-Roosevelt Island                                                ,211 EAST 70 STREET,134.0,R9-CONDOPS
1026606.0,0.0,1940,10019.0,3.0,116.0,Clinton                                                                    ,445 WEST 48 STREET,127.0,R9-CONDOPS
1087980.0,0.15,2001,10036.0,3.0,211.0,Clinton                                                                    ,311 WEST 50 STREET,127.0,R4-ELEVATOR
1087238.0,0.0,2004,10004.0,1.0,211.0,Battery Park City-Lower Manhattan                                          ,211 NORTH END AVENUE,31704.0,R4-ELEVATOR
1043173.0,0.35,1980,10021.0,4.0,228.0,Upper East Side-Carnegie Hill                                              ,203 EAST 69 STREET,128.0,R4-ELEVATOR
1087724.0,0.85,2003,10011.0,3.0,212.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,756 WASHINGTON STREET,91.0,R4-ELEVATOR
1015272.0,0.8,2000,10018.0,4.0,227.0,Midtown-Midtown South                                                      ,51 WEST 22 STREET,113.0,R4-ELEVATOR
1045862.0,0.35,1920,10021.0,5.0,165.0,Lenox Hill-Roosevelt Island                                                ,334 EAST 79 STREET,124.0,R4-ELEVATOR
1000835.0,0.2,1907,10005.0,1.0,196.0,Battery Park City-Lower Manhattan                                          ,84 WILLIAM STREET,7.0,R4-ELEVATOR
1001505.0,0.55,1929,10007.0,1.0,167.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,110 GREENWICH STREET,21.0,R4-ELEVATOR
1084914.0,0.05,1900,10012.0,1.0,190.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,40 PRINCE STREET,43.0,R4-ELEVATOR
1002045.0,0.25,1920,10013.0,1.0,137.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,75 LEONARD STREET,39.0,R4-ELEVATOR
1036926.0,0.2,1983,10022.0,4.0,216.0,Turtle Bay-East Midtown                                                    ,240 EAST 59 STREET,11203.0,R4-ELEVATOR
1076074.0,0.55,1920,10011.0,3.0,112.0,West Village                                                               ,643 BROADWAY,63.0,R9-CONDOPS
1037604.0,0.1,1986,10017.0,4.0,226.0,Turtle Bay-East Midtown                                                    ,245 EAST 44 STREET,90.0,R4-ELEVATOR
1084795.0,0.15,1948,10010.0,2.0,168.0,Gramercy                                                                   ,304 EAST 20 STREET,64.0,R9-CONDOPS
1084603.0,1.4,2002,10002.0,1.0,222.0,Chinatown                                                                  ,527 EAST 13 STREET,8.0,R4-ELEVATOR
1019536.0,0.25,1911,10003.0,2.0,168.0,Gramercy                                                                   ,239 PARK AVENUE SOUTH,48.0,R4-ELEVATOR
1030741.0,0.1,1922,10023.0,6.0,149.0,Upper West Side                                                            ,244 WEST 74 STREET,163.0,R4-ELEVATOR
1065475.0,0.0,1998,10280.0,1.0,196.0,Battery Park City-Lower Manhattan                                          ,50 BATTERY PLACE,31704.0,R4-ELEVATOR
1087057.0,0.4,1910,10002.0,1.0,108.0,Lower East Side                                                            ,174 CANAL STREET,6.0,R4-ELEVATOR
1084293.0,0.2,1916,10019.0,4.0,140.0,Midtown-Midtown South                                                      ,51 WEST 55 STREET,137.0,R4-ELEVATOR
1016304.0,0.25,1999,10010.0,2.0,206.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,736 AVENUE OF THE AMERICA,56.0,R4-ELEVATOR
1041237.0,0.45,1961,10065.0,4.0,167.0,Upper East Side-Carnegie Hill                                              ,225 EAST 70 STREET,122.0,R9-CONDOPS
1002154.0,0.75,1998,10013.0,1.0,112.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,70 BATTERY PLACE,33.0,R9-CONDOPS
1070696.0,0.2,1923,10023.0,6.0,116.0,Lincoln Square                                                             ,2054 BROADWAY,155.0,R9-CONDOPS
1012691.0,0.5,2000,10011.0,3.0,177.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,160 WEST 22 STREET,93.0,R4-ELEVATOR
1086247.0,0.0,1999,10069.0,6.0,221.0,Lincoln Square                                                             ,160 RIVERSIDE BOULEVARD,151.0,R4-ELEVATOR
1037599.0,0.6,1983,10017.0,4.0,200.0,Turtle Bay-East Midtown                                                    ,240 EAST 59 STREET,90.0,R4-ELEVATOR
1038909.0,0.4,1975,10017.0,4.0,306.0,Turtle Bay-East Midtown                                                    ,1044 2 AVENUE,90.0,R4-ELEVATOR
1087495.0,0.8,2003,10013.0,3.0,216.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,756 WASHINGTON STREET,37.0,R4-ELEVATOR
1087647.0,1.3,1987,10022.0,5.0,273.0,Turtle Bay-East Midtown                                                    ,1195 LEXINGTON AVENUE,108.0,R4-ELEVATOR
1087759.0,0.2,1900,10011.0,3.0,103.0,West Village                                                               ,27 WASHINGTON SQUARE NORT,63.0,R4-ELEVATOR
1032320.0,0.3,2005,10024.0,6.0,206.0,Upper West Side                                                            ,2495 BROADWAY,173.0,R4-ELEVATOR
1039489.0,0.35,1982,10017.0,4.0,216.0,Turtle Bay-East Midtown                                                    ,333 EAST 56 STREET,98.0,R4-ELEVATOR
1028839.0,0.2,1974,10023.0,6.0,216.0,Lincoln Square                                                             ,139 COLUMBUS AVENUE,153.0,R4-ELEVATOR
1039848.0,0.85,1961,10022.0,4.0,142.0,Turtle Bay-East Midtown                                                    ,225 EAST 70 STREET,98.0,R4-ELEVATOR
1020214.0,0.2,1950,10016.0,4.0,163.0,Murray Hill-Kips Bay                                                       ,41 PARK AVENUE,78.0,R4-ELEVATOR
