manhattan_condominium_property_address,comparable_rental_2_gross_income_per_sqft,manhattan_condominium_property_total_units,comparable_rental_1_market_value_per_sqft,comparable_rental_1_est_gross_income,bbl,comparable_rental_2_total_units,community_board
311 GREENWICH STREET,39.3,80,189.0,16704000,1001407502.0,123.0,1.0
340 EAST 23 STREET,42.5,207,227.0,9876844,1009287503.0,140.0,6.0
339 EAST 74 STREET,47.9,149,143.0,15033661,,147.0,8.0
715 9 AVENUE,36.2,16,116.0,272880,1010587501.0,52.0,4.0
306 WEST 48 STREET,38.5,122,270.0,4459308,1010387501.0,217.0,4.0
30 WEST STREET,42.2,234,255.0,14415000,1000167514.0,276.0,1.0
145 EAST 76 STREET,42.6,20,257.0,1702675,1014117501.0,61.0,8.0
125 WEST 22 STREET,49.0,33,213.0,3321000,1007987505.0,75.0,4.0
1031 6 AVENUE,,89,228.0,27355695,1008147501.0,,5.0
1356 1 AVENUE,24.86,28,173.0,1007468,1014677501.0,20.0,8.0
82 BEAVER STREET,37.8,126,225.0,5086000,1000287501.0,115.0,1.0
157 CHAMBERS STREET,37.8,38,192.0,2260000,1001407505.0,115.0,1.0
211 ELIZABETH STREET,50.0,15,224.0,2107819,1004937501.0,28.0,2.0
67 HUDSON STREET,33.0,20,169.0,837000,1001807502.0,13.0,1.0
117 EAST 57 STREET,51.0,236,199.0,13165445,1013127501.0,324.0,5.0
53 WEST 11 STREET,30.8,15,148.0,358000,1005757501.0,35.0,2.0
236 EAST 47 STREET,49.1,173,212.0,7288133,1013207505.0,145.0,6.0
312 EAST 23 STREET,39.8,36,168.0,2034409,1009287502.0,116.0,6.0
148 MADISON STREET,47.7,80,246.0,1551000,1002747502.0,22.0,3.0
203 EAST 16 STREET,41.8,32,171.0,1876000,1008977501.0,67.0,6.0
2120 BROADWAY,36.0,92,114.0,1102525,1011667501.0,64.0,7.0
200 RECTOR PLACE,66.0,546,117.0,6736000,1000167508.0,218.0,1.0
142 HENRY STREET,32.0,13,146.0,598000,1002737501.0,33.0,3.0
120 WEST 58 STREET,39.9,33,139.0,1127887,1010107502.0,59.0,5.0
