manhattan_condominium_property_condo_section,manhattan_condominium_property_address,manhattan_condominium_property_boro_block_lot,manhattan_condominium_property_est_gross_income,comparable_rental_1_neighborhood,comparable_rental_2_boro_block_lot,comparable_rental_2_address
484-R1,205 BLEECKER STREET,1-00542-7501,477273,GREENWICH VILLAGE-CENTRAL,1-00567-0005,29 5 AVENUE
1735-R1,40 WEST 116 STREET,1-01599-7502,12249000,HARLEM-EAST,1-01672-0017,327 EAST 100 STREET
583-R1,51 CANAL STREET,1-00298-7501,748055,LOWER EAST SIDE,1-00414-0050,77 DELANCEY STREET
966-R1,1965 BROADWAY,1-01138-7502,14113000,UPPER WEST SIDE (59-79),,
371-R1,380 RECTOR PLACE,1-00016-7505,10233800,TRIBECA,1-00016-0205,455 NORTH END AVENUE
1103-R1,468 GREENWICH STREET,1-00595-7502,981575,GREENWICH VILLAGE-WEST,1-00618-0042,205 WEST 13 STREET
228-R1,420 WEST 23 STREET,1-00720-7501,1422378,CHELSEA,1-00798-0066,142 WEST 23 STREET
1583-R1,321 5 AVENUE,1-00862-7503,17658450,MURRAY HILL,1-00914-0036,222 EAST 34 STREET
1559-R1,1031 6 AVENUE,1-00814-7501&,4500000,FLATIRON,,
227-R1,226 EAST 52 STREET,1-01325-7501,1780000,UPPER EAST SIDE (59-79),1-01453-0021,353 EAST 78 STREET
848-R1,144 WEST 27 STREET,1-00802-7501,2700000,CHELSEA,1-00722-0043,241 9 AVENUE
1590-R1,82 BEAVER STREET,1-00028-7501,3876080,FINANCIAL,1-00079-0010,17 JOHN STREET
1278-R1,230 WEST 56 STREET,1-01027-7504,9878319,MIDTOWN WEST,1-01041-0029,831 8 AVENUE
1623-R1,30 WEST STREET,1 -00016-7514,18568432,TRIBECA,1-00016-0195,325 NORTH END AVENUE
496-R1,106 CENTRAL PARK SOUTH,1-01011-7502,13600000,MIDTOWN WEST,1-01048-0020,315 WEST 57 STREET
150,99 WARREN STREET,1-00142-7501,32103600,TRIBECA,,
157-R1,131 WEST 16 STREET,1-00792-7501,1100000,CHELSEA,1-00792-0020,125 WEST 16 STREET
473-R1,366 WEST 11 STREET,1-00637-7502,2470000,JAVITS CENTER,1-00717-0077,460 WEST 20 STREET
714-R1,85 AVENUE A,1-00432-7501,895000,EAST VILLAGE,1-00379-0051,725 EAST 9 STREET
30-R1,141 EAST 55 STREET,1-01310-7501,2406282,MIDTOWN CBD,1-01307-0029,155 EAST 52 STREET
712-R1,170 EAST 78 STREET,1-01412-7501,1700000,UPPER EAST SIDE (59-79),1-01437-0029,1147 1 AVENUE
913-R1,22 WEST 66 STREET,1-01118-7502,2473716,UPPER WEST SIDE (59-79),1-01118-9001,139 COLUMBUS AVENUE
620- R1,236 EAST 47 STREET,1-01320-7505,7580000,MIDTOWN EAST,1-01311-0045,150 EAST 57 STREET
493-R1,105 3 AVENUE,1-00469-7502,4285440,MURRAY HILL,1-00559-0009,92 PARK AVENUE SOUTH
1140-R1,252 7 AVENUE,1-00774-7501,21001802,CHELSEA,1-00772-0056,208 WEST 23 STREET
203-R1,193 2 AVENUE,1-00468-7501,600000,EAST VILLAGE,1-00465-0055,145 2 AVENUE
687-R1,1356 1 AVENUE,1-01467-7501#,700000,UPPER EAST SIDE (59-79),1-01347-0033,344 EAST 55 STREET
1847-R1,157 CHAMBERS STREET,1-00140-7505,3144024,FINANCIAL,1-00079-0010,17 JOHN STREET
759-R2,2 AMSTERDAM AVENUE,1-01151-7501,3881724,UPPER WEST SIDE (59-79),1-01113-0001,45 WEST 60 STREET
394-R1,182 EAST 2 STREET,1-00398-7501,1025340,ALPHABET CITY,1-00402-0011,134 EAST 7 STREET
139-R1,220 EAST 60 STREET,1-01414-7501,3800000,UPPER EAST SIDE (59-79),1-01425-0017,225 EAST 70 STREET
1217-R1,25 BATTERY PLACE,1-00016-7513,11512089,TRIBECA,1-00016-0195,325 NORTH END AVENUE
