dbn,location_name,b39_intimidating_and_bullying,a54_engaging_physical_sexual,b19_inappropriate_use_of,a21_inappropriate_use_of,a39_possession_of_controlled_1,a58_using_weapon_category,a25_bringing_unauthorized,b58_weapon_possession_category,b44_taking_property_without_1,b31_scholastic_dishonesty,b39_intimidating_and_bullying_1,b40_intimidating_and_bullying,a29_gang_related_behavior,b49_using_controlled_1,a41_false_activation_of_fire,a34_coercion_threats_s,b24_minor_altercation_r,a40_taking_property_without_2,a33_altercation_and_or,b41_possession_of_controlled,a26_possession_of_property,b38_disruptive_behavior_on_1,a24_minor_altercation_r,a47_using_controlled_1,a35_disruptive_behavior_on_1,b32_posting_distributing_1,b07_disrupting_the_educational_1,b49_using_controlled_2,b61_using_weapon_other_than,a52_group_violence_r,a07_verbally_rude_or,b25_bringing_unauthorized_1,a44_reckless_behavior_that_2,a56_weapon_possession_category_1,b48_weapon_possession_category_1,b07_disrupting_the_educational,b27_tampering_altering_records,a52_group_violence_p,b62_possessing_or_using_a,b38_disruptive_behavior_on,a56_weapon_possession_category,a20_scholastic_dishonesty,a57_using_weapon_category,b43_bomb_threat_p,b21_insubordination_r,b42_false_activation_of_fire_2,b30_violating_doe_s_internet_2,a42_bomb_threat_p,b44_taking_property_without_2,a34_coercion_threats_r,b60_using_weapon_category,b28_vandalism_graffiti_s,b14_gambling_r,a28_inappropriate_or_unwanted,b36_altercation_and_or_1,a44_reckless_behavior_that_1,b33_engaging_in_sexual_conduct,b56_engaging_physical_sexual_1,b17_misusing_property,b55_threaten_dangerous_1,a38_sexually_suggestive_verbal,b54_group_violence_s,b40_intimidating_and_bullying_2,a42_bomb_threat_r,b26_gang_related_behavior,a36_intimidating_and_bullying,a31_posting_distributing,b48_weapon_possession_category,b33_engaging_in_sexual_conduct_2,b36_altercation_and_or,b59_using_weapon_category,a14_lying_to_giving_false,b42_false_activation_of_fire,b20_leaving_class_or_school_1
11X532,Baychester Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X351,Bronx Collaborative High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M033,P.S. 033 Chelsea Prep,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K051,M.S. 51 William Alexander,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X298,Academy of Public Relations,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X014,P.S. X014 Senator John Calandra,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K084,P.S. 084 Jose De Diego,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X311,Lucero Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X355,Bronx Alliance Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X080,J.H.S. 080 The Mosholu Parkway,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
