tcsubcode,tccode,no_years,abtyrcert,tenantrndt,commpct,remain_tax,eligiblepct,partpct
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
,CONDO,0,0,,0.0,0.0,0.0,0.0
CRP5,CERP,0,0,,0.0,0.0,0.0,0.0
