ind6rank,median_income,ind7outcome
9.0,18674,0.95
38.0,30437,0.2058
40.0,41029,0.068562649
37.0,29895,0.917
7.0,25708,0.1742
48.0,24561,0.2408
29.0,71933,0.080775361
38.0,65844,0.128269525
8.0,30858,0.2167
19.0,15628,0.1227
,32961,
28.0,37432,
7.0,24627,0.882
11.0,26140,0.08191096
49.0,79181,0.053514602
32.0,44313,0.3041
5.0,65844,
,65905,
,40637,
23.0,21889,0.065185301
2.0,65905,
47.0,30858,0.966
46.0,26136,
,19345,
27.0,26075,
28.0,30437,0.966
22.0,21103,0.151723835
44.0,19510,0.1686
11.0,15510,0.93
36.0,22264,0.182
,23329,
35.0,14213,
7.0,57393,0.0
,26075,
46.0,27248,
8.0,19510,
,35889,
12.0,19345,0.10524545
44.0,22796,
55.0,25920,
27.0,26140,0.972
51.0,19274,
6.0,25667,
55.0,25946,0.324914246
41.0,41029,0.917
30.0,20787,
,26140,
1.0,37432,0.182706492
2.0,40637,
,30437,
13.0,25517,0.832342831
19.0,20421,0.886
42.0,20300,0.1611
10.0,41029,0.0
,18674,
43.0,27016,
6.0,20787,0.2028
10.0,26136,0.955
21.0,24627,
,26140,
11.0,21103,
13.0,31347,0.964
17.0,65905,0.896
,31420,
