ticket_number,respondent_address_street_name,charge_1_code,charge_5_code,violation_location_city,violation_time,charge_10_code_section,decision_date,charge_5_code_section,violation_location_block_no,total_violation_amount,charge_9_infraction_amount,issuing_agency,charge_4_code_section,respondent_address_state_name,charge_6_code,charge_1_code_section,charge_1_code_description,violation_location_lot_no,charge_8_code
25N03028,PRESIDENT ST,,,BROOKLYN,,,,,,,,,,,,,,,
039171153K,GREENE AVENUE,B263,,BROOKLYN,11:30:00,,,,1799.0,1250.0,,DEPT. OF BUILDINGS,,NEW YORK,,AC,FAIL TO COMPLY W COMMISSIONER ORDER TO FILE CERT OF CORRECTION W DOB,40.0,
039171215R,WEST 57 STREET,B102,,BROOKLYN,15:20:00,,,,2341.0,6250.0,,DEPT. OF BUILDINGS,,NEW YORK,,28-301,FAILURE TO MAINTAIN BUILDING IN CODE-COMPLIANT MANNER,1.0,
039548246R,LEE AVENUE,B1P7,,BRONX,12:00:00,,,,3276.0,5000.0,,DEPT. OF BUILDINGS,,NEW YORK,,MISC,MISCELLANEOUS VIOLATIONS,46.0,
049557116X,COLLINS AVE,AFY6,,FLUSHING,17:34:00,,,,4972.0,25.0,,SANITATION VENDOR ENFORCEMENT,,NEW YORK,,ADMIN.,"VENDING ON SIDEWALK LESS THAN 12 FT., OR NOT AT CURB",7501.0,
039171171Y,CRESCENT STREET,B201,,BROOKLYN,00:45:00,,,,4165.0,1250.0,,DEPT. OF BUILDINGS,,NEW YORK,,AC,WORK WITHOUT A PERMIT,36.0,
1534325F0,WEST 110 STREET,,,New York,,,,,,,,,,,,,,,
74322848A,,80-1,,JAMAICA,,,,,,0.0,,TAXI_TLC,,,,80-13(a)(2),,,
250165HR,,,,BROOKLYN,,,,,,,,,,,,,,,
039171124L,111 STREET,B201,,QUEENS,11:32:00,,,,9549.0,1250.0,,DEPT. OF BUILDINGS,,NEW YORK,,AC,WORK WITHOUT A PERMIT,49.0,
0704086671,METROTECH CENTER,AD09,,BROOKLYN,11:05:00,,,,,750.0,,DEPT OF TRANSPORTATION,,NEW YORK,,AC,OBSTRUCTION OF STREET W CONSTRUCTION MATERIALS EQUIPMENT W O PERMIT,,
0704088258,IRVING PLACE,ADQ5,,QUEENS,21:35:00,,,,,1200.0,,DEPT OF TRANSPORTATION,,NEW YORK,,34RCNY,FAILURE TO PROPERLY FASTEN PLATING AND DECKING,,
25T03637,EDGECOMBE AVE,,,NEW YORK,,,,,,,,,,,,,,,
039548331L,10150 OLD COLUMBIA ROAD,B2P7,,NEW YORK,13:00:00,,,,859.0,2500.0,,DEPT. OF BUILDINGS,,MARYLAND,,MISC,MISCELLANEOUS VIOLATIONS,64.0,
039548261P,ATLANTIC AVENUE,B2P7,,BRONX,10:00:00,,,,5711.0,2500.0,,DEPT. OF BUILDINGS,,NEW YORK,,MISC,MISCELLANEOUS VIOLATIONS,45.0,
73922403A,,80-1,,ELMONT,,,,,,0.0,,TAXI_TLC,,,,80-13(a)(3)(viii),,,
25N03453,MYRTLE AVE,,,BROOKLYN,,,,,,,,,,,,,,,
1537325F0,3 AVENUE,,,New York,,,,,,,,,,,,,,,
0704088211,METROTECH CENTER,AD30,,BROOKLYN,13:36:00,,,,,1200.0,,DEPT OF TRANSPORTATION,,NEW YORK,,A.C.,FAILURE TO COMPLY WITH THE TERMS AND CONDITIONS OF DOT PERMITS,,
039548350R,35 CARROLL ST,B2N8,,QUEENS,16:00:00,,,,430.0,625.0,,DEPT. OF BUILDINGS,,NEW YORK,,BC3307,FAILED TO PROTECT PEDESTRIANS,16.0,
1525925F0,JEWETT AVENUE,,,STATEN ISLAND,,,,,,,,,,,,,,,
25Q03228,31 STREET,,,ASTORIA,,,,,,,,,,,,,,,
1537925F0,NOSTRAND AVENUE,,,Brooklyn,,,,,,,,,,,,,,,
25M04261,1ST AVE,,,NEW YORK,,,,,,,,,,,,,,,
25M04262,W 79TH ST,,,NEW YORK,,,,,,,,,,,,,,,
1533025F0,JAMAICA AVENUE,,,Jamaica,,,,,,,,,,,,,,,
250174HR,7TH AVE,,,BROOKLYN,,,,,,,,,,,,,,,
25Q03630,LINDEN BLVD,,,SAINT ALBANS,,,,,,,,,,,,,,,
039171182J,EAST 170 STREET,B203,,BRONX,11:15:00,,,,2937.0,1250.0,,DEPT. OF BUILDINGS,,NEW YORK,,AC,OCCUPANCY CONTRARY TO THAT ALLOWED BY CERT OF OCCUP OR BUILDING DEPT,72.0,
039548251L,ATLANTIC AVENUE,B112,,BRONX,00:00:00,,,,5711.0,10000.0,,DEPT. OF BUILDINGS,,NEW YORK,,28-207,UNLAWFULLY CONTINUED WORK WHILE ON NOTICE OF A STOP WORK ORDER,45.0,
039548269J,5314 16TH AVENUE,B112,,BRONX,07:30:00,,,,3009.0,10000.0,,DEPT. OF BUILDINGS,,NEW YORK,,28-207,UNLAWFULLY CONTINUED WORK WHILE ON NOTICE OF A STOP WORK ORDER,25.0,
039548299K,12 AVENUE,B2P8,,BRONX,00:00:00,,,,3335.0,1250.0,,DEPT. OF BUILDINGS,,NEW YORK,,BC 105,TEMP CONSTRUCTION EQUIP INSTALLATION ON SITE EXPIRED PERMIT SHED,118.0,
25T03644,LENOX AVE,,,NEW YORK,,,,,,,,,,,,,,,
73061565A,,80-1,,BROOKLYN,,,,,,0.0,,TAXI_TLC,,,,80-13(a)(2),,,
25X02476,WESTCHESTER AVE,,,BRONX,,,,,,,,,,,,,,,
73962959A,,80-1,,UNION,,,,,,0.0,,TAXI_TLC,,,,80-13(a)(3)(viii),,,
1532125F0,10 AVENUE,,,New York,,,,,,,,,,,,,,,
0219453640,BAISLEY BOULEVARD,ABE1,,QUEENS,13:20:00,,,,,10000.0,,NYC SHERIFF,,NEW YORK,,AC,CANNABIS VIOLATION BY A PLACE OF BUSINESS,,
1529325F0,30 AVENUE,,,Woodside,,,,,,,,,,,,,,,
0219450139,UNION TURNPIKE,ABE1,,QUEENS,11:44:00,,,,,10000.0,,NYC SHERIFF,,NEW YORK,,AC,CANNABIS VIOLATION BY A PLACE OF BUSINESS,,
0704087405,LEE AVENUE,AD3A,,BROOKLYN,15:21:00,,,,,250.0,,DEPT OF TRANSPORTATION,,NEW YORK,,34 RCN,FAILURE TO REMOVE SHANTIES TRAILERS FROM ROADWAY S W,,
25T03646,SMITH STREET,,,BROOKLYN,,,,,,,,,,,,,,,
039548164N,HUDSON BOULEVARD,B211,,QUEENS,08:00:00,,,,,1000.0,,DEPT. OF BUILDINGS,,NEW YORK,,BC3307,JOB SITE FENCE NOT CONSTRUCTED OR MAINTAINED PURSUANT TO SECTION,,
039548287N,DIKEMAN STREET,B223,,BROOKLYN,15:30:00,,,,438.0,2400.0,,DEPT. OF BUILDINGS,,NEW YORK,,BC3307,PEDESTRAIN PROTECTION DOES NOT MEET CODE SPECIFICATIONS,7.0,
039171116L,79 STREET,B284,,QUEENS,09:30:00,,,,2458.0,1250.0,,DEPT. OF BUILDINGS,,NEW YORK,,ZR,MISCELLANEOUS VIOLATIONS OF THE ZONING RESOLUTION,41.0,
