des_addres,date_combo,bbl,build_oth,mat_third,mat_sec,style_prim,borough,shape_area,own_devel,build_type,use_orig
315 Putnam Avenue,c. 1870,3018230085,0,0,Stone,,BK,755.763760087,Not determined,Row House,Residential
211 Sterling Place,1880,3011640073,0,0,0,Italianate,BK,746.678949859,John V. Porter,Row House,Residential
370 Pacific Street,1872 - 1873,3001890024,0,0,Rusticated Brownstone,Modified Italianate (late),BK,1006.12436422,Not determined,Row House,Residential
15 Cheever Place,1842 - 1855,3003220023,0,0,0,Italianate,BK,1002.42642278,Not determined,Row House,Residential
355A Clinton Street,1879,3003250004,0,0,0,Italianate,BK,803.112925697,Emory M. Van Tassel,Row House,Residential
570 Bergen Street,c. 1879,3011440013,0,0,Wood Cornice,neo-Grec,BK,706.466549778,William C. Spear,Row House,Residential
253 Henry Street (aka 116 Joralemon Street),Not determined,3002637501,0,0,0,Not determined,BK,295.276690054,Not determined,Garage,"Outbuilding, garage"
294 Carroll Street,1872 - 1873,3004500031,0,0,Rusticated Brownstone,Not determined,BK,918.193771013,William B. Sheldon & Edward P. Crane,Row House,Residential
164 Bond Street,c. 1880s,3003860041,0,0,Terra Cotta,Queen Anne,BK,1662.69302726,Not determined,Apartment Building,"Residential, multi-family"
618 6th Street,c. 1900,3010870032,0,0,0,Neoclassical,BK,1185.99084092,Not determined,Row House,Residential
820 Manhattan Avenue,1885,3025740037,0,Galvanized Iron Cornice,Stone,neo-Grec,BK,1595.27389589,Henry L. Bogel,Store and Flats,"Mixed-use, commercial & residential"
58 Strong Place,1851 - 1852,3003237503,0,0,0,Gothic Revival,BK,10370.0888352,Strong Place Baptist Church,Church,"Religious, church, Baptist"
291 Carroll Street,1874,3004430057,0,0,Rusticated Brownstone,Not determined,BK,825.973736441,William J. Bedell,Row House,Residential
1211 8th Avenue,1900,3010990003,0,0,Stone,Neoclassical,BK,1759.71514824,William Musgrave Calder,Apartment House,"Residential, multi-family"
1227 Dean Street,c. 1891,3012070057,0,0,Brownstone,Romanesque Revival,BK,1048.40707588,John A. Bliss,Row House,Residential
570 Vanderbilt Avenue,c. 1887,3011370056,0,Wood Cornice,Brownstone,neo-Grec,BK,2367.45084152,Henry H. Mahland,Store and Flats,"Mixed-use, commercial & residential"
168 Sterling Street,1910,3013190027,0,0,Limestone,neo-Renaissance,BK,1211.62751448,Not determined,Two-family Row House,"Residential, multi-family"
7 South Oxford Street,c. 1869,3021010032,0,0,0,Italianate,BK,1140.96229491,William A. Brush,Row House,Residential
109 Berkeley Place,1888,3009510072,0,Stone,Terra Cotta,Romanesque Revival,BK,1468.72089641,Messrs. Hill & Sharp,Apartment House,"Residential, multi-family"
1104 Park Place,c. 1906,3012440016,0,0,Stone,Colonial Revival,BK,1186.64659143,Peter Aronson,Row House,Residential
583 5th Street,1907 - 1908,3010830060,0,0,0,Neoclassical,BK,1154.55209197,Eli Bishop,Town House,Residential
128 MacDonough Street,1886,3018550034,0,0,0,French neo-Grec,BK,1000.2946582,Not determined,Row House,Residential
