des_addres,date_combo,bbl,build_oth,mat_third,mat_sec,style_prim,borough,shape_area,own_devel,build_type,use_orig
270 Clinton Avenue,c. 1910,3019150006,0,Wood Cornice,Stone,neo-Federal,BK,1477.86112326,Not determined,Row House,Residential
773 Carroll Street,1887,3010670063,0,0,0,neo-Grec,BK,1096.88806136,John Magilligan,Row House,Residential
414 Clermont Avenue,c. 1856,3019580039,0,0,Brownstone,Transitional Greek Revival / Italianate,BK,1094.43710418,Aquila B. England,Residential Structure,Residential
219 Congress Street,1852 - 1853,3002970035,0,0,Brownstone,Italianate,BK,1321.6396982,Henry Hungerford,Row House,Residential
531 11th Street,c. 1891 - 1893,3010940063,0,0,Brownstone,Romanesque Revival,BK,1006.96251281,Annie Benton,Flats Building,"Residential, multi-family"
899 Sterling Place,c. 1894,3012410060,0,0,Stone,Romanesque Revival,BK,800.111165379,Faustino Lozano,Row House,Residential
151 Decatur Street,c. 1888,3016740078,0,0,Pressed Metal Cornice,Queen Anne,BK,1065.93044997,Hannah E. Stoutenburg,Flats Building,"Residential, multi-family"
123 6th Avenue,c. 1880,3009420007,0,0,0,Italianate with alterations,BK,841.250205428,Not determined,Row House,Residential
241 Clermont Avenue,c. 1867 - 1868,3020920010,0,0,0,Italianate,BK,1057.6165999,Joseph H. Townsend,Row House,Residential
435 Washington Avenue,c. 1864,3019630016,0,0,Stone,Italianate,BK,824.188628134,Not determined,Row House,Residential
535 1st Street,1915,3010750062,0,0,0,Not determined,BK,1318.05967787,Louis Bonert,Row House,Residential
51 7th Avenue,1871 - 1872,3010590004,0,0,0,French Second Empire,BK,1111.54160565,Philip I. Cootey,Row House,Residential
1200 Dean Street (aka 1198-1200 Dean Street; 593-607 Nostrand Avenue),c. 1897,3012130005,0,0,Terra Cotta,Romanesque Revival,BK,11276.3783162,Bedford Presbyterian Church,Church,"Religious, church, Presbyterian"
98 Greene Avenue,c. 1862,3019600036,0,0,0,Italianate,BK,884.68322218,Jeremiah Paine,Row House,Residential
410 Vanderbilt Avenue,c. 1872,3019590058,0,0,0,Italianate,BK,772.424304359,Thomas B. Jackson,Row House,Residential
272 Vanderbilt Avenue,c. 1871,3021050035,0,Slate,Wood Cornice,French Second Empire,BK,875.142414534,Not determined,Row House,Residential
82 Henry Street,Not determined,3002260026,0,0,0,Not determined,BK,1789.58867683,Not determined,Commercial Building,Commercial
597 4th Street,1908,3010810048,0,0,0,Not determined,BK,1197.5978071,Otto Singer,Town House,Residential
471 East 16th Street,1901,3051800074,0,Synthetic Siding,Wood Siding,Colonial Revival,BK,1716.43636245,William Frederick Steinmetz,Free-standing House,"Residential, single-family"
305 Hicks Street,1880 - 1899,3002610006,0,0,0,Eclectic,BK,1264.81883434,Not determined,Row House,Residential
271 Clinton Street,1847,3003070005,0,0,0,Greek Revival,BK,697.969679498,Thomas Sullivan,Row House,Residential
234 Decatur Street,1894 - 1897,3016800011,0,0,0,Italian Renaissance,BK,1353.98404062,Not determined,Row House,Residential
852 Prospect Place,c. 1895,3012340026,0,0,Roman Brick,Romanesque Revival,BK,1113.94135808,J. G. Butler,Row House,Residential
471 9th Street,c. 1880,3010900058,0,0,Wood Cornice,neo-Grec,BK,728.443521772,Henry Lansdell,Row House,Residential
123 Berkeley Place,1874,3009510066,0,0,Rusticated Brownstone,neo-Grec,BK,999.102232749,Robert S. Bussing,Row House,Residential
78 MacDonough Street,1888,3018550009,0,0,0,French neo-Grec,BK,994.3632083,Augusta M. C. Young,Row House,Residential
484 Henry Street,c. 1868,3003220062,Commercial Building,0,0,Not determined,BK,871.814066064,Not determined,Garage,"Outbuilding, garage"
844 Union Street,1884 - 1885,3010650018,0,0,0,neo-Grec,BK,1020.26025925,Not determined,Row House,Residential
490 9th Street,c. 1891,3010920024,0,0,Brownstone,Queen Anne with alterations,BK,951.07884183,D. Doody,Row House,Residential
133 MacDonough Street,1903,3018520049,0,0,Rusticated Stone,French Beaux-Arts,BK,2064.10802508,Chauncey G. Cozine,Apartment House,"Residential, multi-family"
884 Sterling Place,c. 1889,3012480020,0,0,Pressed Metal,neo-Grec,BK,829.934695913,Joseph P. Puels,Row House,Residential
124 Hancock Street,c. 1883,3018370045,0,0,0,neo-Grec,BK,998.677076253,Susanna E. C. Russell,Row House,Residential
239 Jefferson Avenue,c. 1884,3018280066,0,0,Wood Cornice,neo-Grec,BK,1067.34048571,George Phillips,Row House,Residential
21 Maple Street,1922,3050280094,0,0,Wood,neo-Georgian,BK,934.766225054,Stephen Woris,Semi-detached House,Residential
510 Halsey Street,c. 1886,3016650025,0,0,Brownstone,neo-Grec,BK,927.283962914,Gilbert De Revere,Row House,Residential
127 Fort Greene Place,c. 1857,3021130011,0,0,0,Not determined,BK,1023.12534869,Not determined,Row House,Residential
130 State Street,1846,3002750036,0,0,0,Greek Revival,BK,1386.98611924,Alfred Hoyt,Row House,Residential
1201 Dean Street,c. 1892,3012070070,0,0,0,Queen Anne,BK,1063.67539907,John A. Bliss,Row House,Residential
941 President Street,1886,3010660051,0,0,0,neo-Grec,BK,1431.68215874,Not determined,Row House,Residential
1109 Prospect Place,c. 1889,3012300053,0,0,Stone,Italianate,BK,630.942290755,John Mattfeldt,Row House,Residential
11 Verona Place,c. 1881,3018500008,0,0,Wood Cornice,neo-Grec,BK,846.039788755,Thomas B. Jackson,Row House,Residential
928 President Street,1899,3010680025,0,0,0,Not determined,BK,1431.80406686,Patrick Sheridan,Row House,Residential
277 Clinton Street,1847,3003070002,0,0,0,Greek Revival,BK,706.846575818,Thomas Sullivan,Row House,Residential
217 Berkeley Place,1883,3010610056,0,0,0,neo-Grec,BK,1156.3323154,J. Dougherty & Son,Row House,Residential
219 Rutland Road,1910,3050350049,0,0,0,neo-Renaissance,BK,1960.85553439,Realty Associates,Row House,Residential
795 Carroll Street,1902,3010670052,0,0,Galvanized Iron Cornice,Neoclassical,BK,1396.93682121,William Flanagan,Row House,Residential
317 Stuyvesant Avenue,c. 1888,3016660006,0,0,Wood Cornice,neo-Grec,BK,823.566073173,Lambert & Mason,Row House,Residential
194 Prospect Place,c. 1868,3011580028,0,0,0,Italianate,BK,835.803530411,Thomas Connolly,Row House,Residential
535 East 18th Street,1904,3052040052,0,Shingles,Clapboard,Colonial Revival,BK,1560.67396474,Harry T. Shafter,Free-standing House,"Residential, single-family"
929 Lincoln Place,c. 1906,3012560048,0,0,0,Renaissance Revival,BK,1211.43507095,Charles G. Reynolds,Two-family Residence,"Residential, multi-family"
215 Hancock Street,c. 1890,3018337501,0,0,Metal Cornice,Renaissance Revival,BK,1531.73181287,Susanna E. C. Russell,Row House,Residential
568 Vanderbilt Avenue,c. 1887,3011370055,0,Wood Cornice,Brownstone,neo-Grec with alterations,BK,2552.07382333,Henry H. Mahland,Store and Flats,"Mixed-use, commercial & residential"
149 Maple Street,1909,3050290081,0,Galvanized Iron Cornice,Spanish Tiles,neo-Renaissance,BK,1251.27792513,Eli H. Bishop & Son,Row House,Residential
66 Hicks Street,1829,3002157501,0,0,Asphalt Shingles,Federal,BK,1069.93781434,Not determined,Row House,Residential
237 East 21st Street,Not determined,3051020111,0,0,0,Not determined,BK,237.39606305,Not determined,Garage,"Outbuilding, garage"
163 Bainbridge Street,1892,3016810077,0,0,Wood,Romanesque Revival,BK,897.921781261,David Beasley,Row House,Residential
535 Macon Street,c. 1882,3016660058,0,0,Wood Cornice,neo-Grec,BK,807.781812571,Henry A. Foster,Row House,Residential
8 St. James Place,1876,3019320028,0,0,0,Italianate,BK,913.246484374,J. McGregor,Row House,Residential
183 Wyckoff Street,c. 1854,3003860049,0,0,0,Not determined,BK,1010.95766616,Not determined,Row House,Residential
66 Montague Street,Pre-1900,3002470027,0,0,0,Not determined,BK,2121.2998465,Not determined,Row House,Residential
19 St. Marks Avenue,1889,3009330069,0,0,Stone,Romanesque Revival,BK,917.690364084,F. E. Lewis,Row House,Residential
122 Halsey Street,c. 1886,3018440022,0,0,Brownstone,Queen Anne,BK,662.141211179,William B. Moore & William O. Thompson,Row House,Residential
135 Bainbridge Street,1892,3016800048,0,0,Rough-faced Stone,Romanesque Revival,BK,1051.76763939,Walter F. Clayton,Row House,Residential
1704 Glenwood Road (aka 1702-1706 Glenwood Road; 739-749 East 17th Street),c. 1903,3066920045,0,Concrete Block,Asphalt Shingles,Colonial Revival with alterations,BK,2010.47756869,J. R. Corbin Company,Free-standing House,"Residential, single-family"
572 Carlton Avenue,c. 1896,3011430055,Commercial Building,0,0,Renaissance Revival,BK,830.238063499,E. R. Ridgeway,Row House,Residential
5 Revere Place,c. 1896 - 1897,3012160029,0,Metal Cornice,Roman Brick,Romanesque Revival,BK,1029.49075669,John A. Bliss,Row House,Residential
175 Warren Street,c. 1865,3003010034,0,0,0,Not determined,BK,870.991667578,Not determined,Row House,Residential
1221 Bergen Street,c. 1881,3012140053,0,0,0,neo-Grec,BK,901.483790785,Jordan L. Snedecor,Row House,Residential
9 Montague Terrace,1861 - 1879,3002470018,0,0,0,Anglo-Italianate,BK,1496.5123572,Not determined,Row House,Residential
12 Sidney Place,1845,3002630041,0,0,0,Greek Revival,BK,1051.47869397,D. C. Clark,Row House,Residential
490 13th Street,1896 - 1897,3011010028,0,0,0,Neoclassical,BK,954.422241452,William M. Calder,Town House,Residential
340 Putnam Avenue,c. 1878,3018280039,0,0,Wood Cornice,neo-Grec,BK,796.855259273,Theodore W. Swimm,Row House,Residential
583 Carlton Avenue,c. 1879,3011440006,0,0,Brick,neo-Grec with alterations,BK,747.984523219,John H. Doherty,Row House,Residential
75 Maple Street,Not determined,3050280067,0,0,0,Not determined,BK,310.462016334,Not determined,Not determined,"Outbuilding, other"
631 Throop Avenue,1886,3018580001,0,0,Brownstone,neo-Grec,BK,753.591568865,Henry Search,Row House,Residential
233 Baltic Street,1851 - 1852,3003070048,0,0,Brownstone,Italianate (early),BK,926.581995274,Not determined,Row House,Residential
1432 Pacific Street,c. 1906,3012090027,0,0,Terra Cotta,Renaissance Revival,BK,2263.73895844,Not determined,Flats Building,"Residential, multi-family"
124 MacDonough Street,1886,3018550032,0,0,0,French neo-Grec,BK,1002.97807553,Not determined,Row House,Residential
1121 Park Place,c. 1897,3012370071,0,0,0,Renaissance Revival,BK,1088.04109507,Charles Denison,Row House,Residential
68-70 St. James Place,Not determined,3019460013,0,0,0,Not determined,BK,530.85229837,Not determined,Not determined,"Outbuilding, other"
219 Dean Street,1852 - 1853,3001900052,0,0,0,Modified Italianate,BK,931.887565665,Not determined,Row House,Residential
238 Hancock Street,c. 1885,3018390006,0,0,Terra Cotta,Queen Anne,BK,1057.91580592,Montrose W. Morris,Row House,Residential
197 Berkeley Place,1883,3010610064,0,0,0,neo-Grec,BK,1231.1629874,J. Dougherty & Son,Row House,Residential
103 Midwood Street,1922 - 1924,3050310062,0,Galvanized Iron Cornice,Spanish Tiles,neo-Georgian,BK,821.870859951,Frederick B. Norris Company,Semi-detached House,Residential
13 South Oxford Street,c. 1869,3021010029,0,0,0,Italianate,BK,1130.51681923,William A. Brush,Row House,Residential
17 Warren Place,1878 - 1879,3003050064,0,0,0,Romanesque Revival,BK,345.025575934,Alfred Tredway White,Row House,Residential
544 1st Street,1909,3010770017,0,0,0,neo-Renaissance,BK,1326.45075139,Not determined,Row House,Residential
50 Maple Street,Not determined,3050310030,0,0,0,Not determined,BK,434.88316149,Not determined,Not determined,"Outbuilding, other"
264 Lefferts Avenue,1905,3013290017,0,0,Terra Cotta,Not determined,BK,1046.34981336,Kingston Realty Company,Row House,Residential
309-311 Washington Avenue (aka 312-320 Dekalb Avenue),1891,3019320022,0,0,Roman Brick,Romanesque Revival,BK,1523.28349425,Not determined,Apartment House,"Residential, multi-family"
30 Sterling Place,1874,3009440021,0,0,0,Italianate,BK,871.25261446,Not determined,Row House,Residential
106 Pierrepont Street,1861 - 1879,3002430036,0,0,0,Eclectic,BK,1750.87345088,Not determined,Row House,Residential
65 South Portland Avenue,c. 1875,3021000001,0,Slate,Stone,Transitional Second Empire / neo-Grec,BK,1131.76199256,Not determined,Residential Structure,Residential
121 Vanderbilt Avenue,c. 1854,3018870015,0,Wood,Stone,Gothic Revival,BK,651.370605802,Roswell Hovey,Row House,Residential
977 Lincoln Place,c. 1905,3012570057,0,0,Stone,Renaissance Revival,BK,1104.87074399,Kingston Realty Company,Two-family House,"Residential, multi-family"
939 Prospect Place,1920 - 1922,3012280057,0,0,0,Not determined,BK,211.842191009,Thomas H. Fraser,Garage,"Outbuilding, garage"
152 Stratford Road,1905,3051130011,0,Wrought Iron,Brick,Colonial Revival,BK,1523.92943382,Not determined,Free-standing House,"Residential, single-family"
563 9th Street,1902 - 1903,3010910046,0,0,0,neo-Italian Renaissance,BK,1058.19725282,William H. Reynolds,Row House,Residential
292 Jefferson Avenue,c. 1883,3018340011,0,Metal Cornice,Brownstone,Queen Anne,BK,1021.81630211,George H. Stone,Row House,Residential
159 Prospect Park West,1899,3010950048,0,0,Roman Brick,Romanesque Revival,BK,1457.27093122,Christian Doenecke,Apartment House,"Residential, multi-family"
159 Wyckoff Street,1869,3003860061,0,0,Stone,Modified Italianate,BK,811.017413712,Not determined,Row House,Residential
265-269 Carlton Avenue,c. 1873,3020900002,0,0,Wood Cornice,Italianate,BK,674.280287281,C. P. Piper,Residential Structure,Residential
857 St. John's Place,c. 1904,3012480062,0,0,0,Renaissance Revival,BK,1924.60276049,Julius Strauss & Samuel Charig,Flats Building,"Residential, multi-family"
182 Sterling Street,1910,3013190033,0,0,Limestone,neo-Renaissance,BK,1094.39094234,Not determined,Two-family Row House,"Residential, multi-family"
1459 Dean Street,c. 1901,3012100059,0,0,Galvanized Iron Cornice,Renaissance Revival,BK,1076.79149648,Patrick McDermott & Robert Faxton,Two-family House,"Residential, multi-family"
134 Joralemon Street,1858,3002640011,0,0,Brownstone,Anglo-Italianate,BK,1402.41858122,J. C. Herman,Row House,Residential
265 Hancock Street,c. 1891,3018340062,0,0,Wood Cornice,Romanesque Revival,BK,1328.43197918,William H. Reynolds,Row House,Residential
13 Revere Place,c. 1896 - 1897,3012160025,0,Metal Cornice,Roman Brick,Romanesque Revival,BK,1027.19947324,John A. Bliss,Row House,Residential
1369 Dean Street,c. 1892,3012090067,0,0,Brick,Renaissance Revival,BK,1382.8601655,Arthur Stone,Row House,Residential
32 Chester Court,c. 1911 - 1912,3050260168,0,Wood,Stucco,Tudor Revival,BK,756.892844946,Brighton Building Company,Row House,Residential
593 10th Street,c. 1892,3010920048,0,0,Brownstone,Renaissance Revival,BK,1131.1499038,James Jack,Row House,Residential
265-269 Carlton Avenue,c. 1873,3020900003,0,0,Wood Cornice,Italianate,BK,785.830203643,C. P. Piper,Residential Structure,Residential
487 9th Street,c. 1893,3010900050,0,0,Brownstone,Renaissance Revival with alterations,BK,1212.74250273,David Atkin,Flats Building,"Residential, multi-family"
332 President Street,1881,3004430032,0,0,Rusticated Brownstone,French neo-Grec,BK,778.737393368,"W. J. Bedell, Theodore Pearson & Edward Crane",Row House,Residential
76 St. Marks Avenue (aka 80-82 St. Marks Avenue; 244 Flatbush Avenue),1885,3009360008,0,Terra Cotta,Brownstone,Queen Anne,BK,1628.78028293,W. H. Scott,Apartment Building,"Residential, multi-family"
94 Rugby Road,1907,3050940027,0,Wrought Iron,Stucco,Spanish Mission Revival,BK,2406.33345791,Morris L. Holman,Free-standing House,"Residential, single-family"
10 Fillmore Place,1873,3023820004,0,Wood Cornice,Stone,Italianate,BK,615.80662181,Josiah Blackwell,Flats Building,"Residential, multi-family"
186 Underhill Avenue,c. 1915,3011710056,0,0,Terra Cotta,Renaissance Revival,BK,1019.48002283,Not determined,Store and Flats,"Mixed-use, commercial & residential"
374 7th Avenue,c. 1887,3010240042,0,Terra Cotta,Brownstone,Romanesque Revival,BK,1392.29159918,J. Brown,Store and Flats,"Mixed-use, commercial & residential"
294 Stuyvesant Avenue,c. 1884,3016550049,0,0,Wood Cornice,neo-Grec,BK,810.605496669,Benjamin Linikin,Row House,Residential
162 Bergen Street,1856 - 1861,3003860020,0,0,0,Italianate,BK,869.564257346,Not determined,Row House,Residential
161 Rutland Road,1908,3050350072,0,Galvanized Iron Cornice,Brownstone,neo-Renaissance,BK,1000.95662041,Charles G. Reynolds,Row House,Residential
851 Lincoln Place,c. 1899,3012550051,0,Stone,Brick,Romanesque Revival,BK,802.665359227,William R. Pearce (Anglo-American Savings & Loan Assoc.),Row House,Residential
159 Bainbridge Street,1892,3016810079,0,0,Wood,Romanesque Revival,BK,863.376130678,David Beasley,Row House,Residential
98 Greenpoint Avenue,1874 - 1876,3025630011,0,Wood Cornice,Cast Iron,Italianate,BK,1270.24030193,"James R. Sparrow, Jr.",Store and Flats,"Mixed-use, commercial & residential"
269 Sterling Street,1909,3013150059,0,0,Brownstone,neo-Renaissance,BK,861.489157261,Not determined,Row House,Residential
453 Henry Street,1875,3003230023,0,0,0,neo-Grec,BK,853.743363356,Not determined,Row House,Residential
273 Brooklyn Avenue,c. 1908,3012640008,0,0,Metal,French Renaissance,BK,1310.90912942,Fraser Construction Company,Row House,Residential
591 Eastern Parkway,c. 1904,3012620050,0,0,0,Renaissance Revival,BK,1084.67380321,Thomas F. Martin Realty Company,Two-family Residence,"Residential, multi-family"
