bin,the_geom,lm_orig,style_oth,hist_dist,mat_prim,shape_leng,lot,mat_other,mat_four,date_high,alt_arch_2,arch_build,circa,altered,notes,lm_new
3058494,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97214545744995, 40.69107951877106], [-73.97225629187905, 40.69106629269212], [-73.97228745991355, 40.69106257297794], [-73.97229818281974, 40.69111463242374], [-73.97226009707059, 40.6911191780452], [-73.97215618143085, 40.69113157913079], [-73.97214545744995, 40.69107951877106]]]]}",0,0,Fort Greene Historic District,Brick,118.11876305,25,0,Stone,1856,0,Henry Harteau (builder),1,0,0,0
3064894,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95572784063205, 40.72905989676456], [-73.95580776911635, 40.72905204891683], [-73.95581459035404, 40.729092251144635], [-73.95578458193829, 40.72909519779677], [-73.95578597212445, 40.7291033902584], [-73.95580339133693, 40.72920604773525], [-73.95575347232233, 40.729210949844415], [-73.95572861531309, 40.72906445994009], [-73.95572784063205, 40.72905989676456]]]]}",0,0,Greenpoint Historic District,Brick,155.652745235,24,0,0,1868,0,Thomas C. Smith,0,0,0,0
3415634,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.956682137682, 40.6607682858866], [-73.95676921873682, 40.660764323055005], [-73.95677224582222, 40.660802904121134], [-73.95668515533589, 40.66080674538176], [-73.956682137682, 40.6607682858866]]]]}",0,0,Prospect Lefferts Gardens Historic District,Brick,76.5245219979,1,0,0,0,0,Not determined,0,0,0,0
3025106,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97680590077252, 40.671627425428646], [-73.97684503997301, 40.67158070287277], [-73.97689415468778, 40.67152207119141], [-73.97695349201736, 40.671550887875945], [-73.97687384241557, 40.67164596990938], [-73.97686523697489, 40.671656242158114], [-73.97680590077252, 40.671627425428646]]]]}",0,0,Park Slope Historic District,Brownstone,130.099083581,70,0,0,1885,0,Martin & Lee,0,0,0,0
3005802,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9884518468926, 40.68578386051851], [-73.98845690653843, 40.68577641287732], [-73.98848591428455, 40.685733710721706], [-73.98860422871735, 40.68578028266032], [-73.98859040702771, 40.68580062929835], [-73.98857016139041, 40.685830433392304], [-73.9884518468926, 40.68578386051851]]]]}",0,0,Boerum Hill Historic District,Brick,115.020521483,38,0,0,1851,0,Thomas Maynard (builder),0,0,0,0
3026165,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98096278159629, 40.66518799062713], [-73.98098355281444, 40.665162948012174], [-73.98105898350721, 40.66507200564212], [-73.9810796087375, 40.6650819246177], [-73.98109800332227, 40.665080286001036], [-73.98110965623277, 40.66508588912454], [-73.98112080718893, 40.66510173913567], [-73.98108778486618, 40.66514155272665], [-73.98102460534263, 40.66521772417198], [-73.98096278159629, 40.66518799062713]]]]}",0,0,Park Slope Historic District Extension,Brick,142.524323946,60,0,0,1893,0,Not determined,1,0,0,0
3024583,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97292277631634, 40.67381345023905], [-73.97294327930783, 40.673784343211636], [-73.97296082606742, 40.67375943278647], [-73.97298550009282, 40.67376950814218], [-73.9731395860919, 40.67383242358346], [-73.97314337973829, 40.673833973354995], [-73.97314892593657, 40.67383623764384], [-73.97311578043131, 40.673883293521875], [-73.9731108762935, 40.67389025605861], [-73.97292277631634, 40.67381345023905]]]]}",0,0,Park Slope Historic District,Euclid Stone,163.077446631,43,0,0,1889,0,Parfitt Brothers,0,0,0,0
3029110,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96654164980303, 40.67610601705549], [-73.96658558567546, 40.67598120766068], [-73.96660745087495, 40.6759856733582], [-73.966611390442, 40.67597447840043], [-73.96662051682014, 40.67594855162395], [-73.96663891193687, 40.675940730584614], [-73.96664946489591, 40.67594288317298], [-73.96665516991493, 40.67595623225759], [-73.96665251314336, 40.67596377780204], [-73.96664296154765, 40.67599091565023], [-73.96665469008866, 40.67599330901635], [-73.96660945732887, 40.676121813773925], [-73.966586179972, 40.67611706400458], [-73.96657343119105, 40.6761230532276], [-73.96654969969019, 40.676118210565946], [-73.96654164980303, 40.67610601705549]]]]}",0,0,Prospect Heights Historic District,Limestone,168.893589099,46,0,0,1906,0,Benjamin Driesler,1,0,0,0
3003410,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99441575197847, 40.68685800580834], [-73.99445622890813, 40.68678730754328], [-73.99447415605144, 40.68675599664744], [-73.99451663001521, 40.686681813468496], [-73.99455748432254, 40.68669536723714], [-73.99453333504522, 40.686737546149395], [-73.99452135007866, 40.68673975453928], [-73.99451302187502, 40.686754299238046], [-73.99455404775371, 40.686767910648825], [-73.99449061893522, 40.686878696015036], [-73.99448659502566, 40.686885723430336], [-73.9944137240478, 40.686861547429785], [-73.99441575197847, 40.68685800580834]]]]}",0,0,Cobble Hill Historic District,Brick,191.033967013,23,0,0,1858,0,"John Greacen, Jr. (architect), Thomas Sullivan (builder)",0,0,0,0
3026434,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97927150958282, 40.662528187879104], [-73.97919512143146, 40.662619224385544], [-73.97917619944427, 40.66264177439093], [-73.97915716269385, 40.66266446125082], [-73.97910991974234, 40.66264147330785], [-73.97912895650227, 40.66261878645578], [-73.97911505415301, 40.66261202195599], [-73.97914569134275, 40.662575508879264], [-73.9792103643534, 40.662498435494435], [-73.97923094827637, 40.66250845115232], [-73.97924759657492, 40.66250357515994], [-73.97926720622958, 40.66251311696411], [-73.97927150958282, 40.662528187879104]]]]}",0,neo-Grec,Park Slope Historic District,Brownstone,161.76883555,50,0,0,1896,0,Robert Dixon,0,0,0,0
