id,last_updated_at,_fivetran_synced,agent_creationdate,agent_group_id,agent_is_paying,agent_name,agent_planlevel,first_visit,id_hash,last_visit,salesforce_status_c,agent_salesforceaccountid,salesforce_customer_health_engagement_score_c,salesforce_employee_range_c,salesforce_platform_level_c,salesforce_segment_c,salesforce_name,salesforce_account_owner_email_c,salesforce_pbf_account_c,salesforce_region_c
cabby_distinct,2021-07-28 04:49:01.997,2021-07-28 08:16:15.510,2021-07-27 18:27:12.070877,,f,sandwich,Legacy,2021-07-27 18:27:45.117,2663127974,2021-07-28 04:49:01.902,,,,,,,,,,
turtle_tortuous,2021-07-27 21:17:07.215,2021-07-28 08:16:15.440,2021-07-27 16:06:55.947839,,f,cheese,Legacy,2021-07-27 16:07:00.360,3852515384,2021-07-27 21:17:07.181,,,,,,,,,,
true_opossum,2021-07-28 07:09:18.820,2021-07-28 08:16:15.661,2021-07-28 06:59:51.503300,,f,test1_23,Legacy,2021-07-28 07:00:22.146,3291773115,2021-07-28 07:09:18.785,,,,,,,,,,
lemur_quicker,2021-07-28 06:59:01.349,2021-07-28 08:16:15.424,2021-07-28 06:49:43.846832,context_shortlist,t,facebook,Legacy,2020-05-29 13:35:08.959,3356453224,2021-04-02 20:54:26.826,,,,,,,,,,
no_jitterbug,2021-07-28 07:09:00.047,2021-07-28 08:16:15.653,2021-07-28 04:48:58.689502,,f,sandwich,Legacy,2021-07-28 04:49:27.833,2750985468,2021-07-28 07:08:59.867,,,,,,,,,,
RDV_00000001,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,cOntext_sHortlIst,f,sANdwiCh7,LegacY4,2021-05-24 00:00:00.000,3469877855,2021-05-15 00:00:00.000,val7854,val8414,val6678,val6227,val9982,val7149,val8524,val6869,val6612,val5294
RDV_00000002,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,conTexT_Shortlist,F3,cHeese5,legACy5,2020-09-12 00:00:00.000,2890835650,2021-05-14 00:00:00.000,val2072,val7527,val5286,val8450,val2903,val2705,val3397,val6264,val6629,val5743
RDV_00000003,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,context0_sHortlisT5,T,SaNdwich,LeGacy0,2021-05-11 00:00:00.000,3703087626,2021-04-06 00:00:00.000,val7791,val8478,val7542,val7059,val3007,val7704,val5595,val6814,val4758,val6254
RDV_00000004,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,context_sHortlist,F,sandwiCh1,legacy,2021-05-19 00:00:00.000,3746802998,2021-05-21 00:00:00.000,val1398,val8908,val6827,val8000,val4525,val1090,val3586,val5013,val2815,val9913
RDV_00000005,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,contexT_shortlist7,F8,cheeSe,legaCy7,2020-07-10 00:00:00.000,3568529863,2021-06-18 00:00:00.000,val5075,val1768,val6822,val7684,val3274,val9363,val5674,val6802,val8218,val9747
RDV_00000006,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,context8_sHortlist5,F,cheeSe5,LEgacy,2021-03-24 00:00:00.000,2664983780,2021-06-18 00:00:00.000,val9448,val5899,val5609,val4203,val8747,val1759,val8021,val9148,val4854,val6143
RDV_00000007,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,cOntext_shOrtlist4,T,test19_27,legacy,2020-12-29 00:00:00.000,3385305333,2021-06-08 00:00:00.000,val7799,val9816,val9463,val4390,val6544,val2750,val4414,val3467,val9625,val8089
RDV_00000008,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,context_shortliSt5,f1,teSt8_29,LeGACy4,2021-04-04 00:00:00.000,3394583489,2021-06-01 00:00:00.000,val4262,val6080,val8899,val7721,val2276,val1192,val4483,val2523,val2092,val1671
RDV_00000009,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,coNtext_shortLiSt,f0,faCebook,LegAcy2,2020-10-02 00:00:00.000,3441434954,2021-05-18 00:00:00.000,val3439,val7830,val1182,val2518,val3507,val4962,val2701,val4434,val3474,val4395
RDV_00000010,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,contExt_shortlist,f5,saNdWicH7,Legacy2,2021-04-26 00:00:00.000,3579931615,2021-05-06 00:00:00.000,val4867,val5830,val6076,val4622,val2508,val5462,val1261,val7247,val8324,val2452
RDV_00000011,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,context_shortlisT,T,faceBoOK,LegAcy7,2021-07-13 00:00:00.000,3480124225,2021-05-19 00:00:00.000,val5831,val2456,val6364,val5595,val9291,val7919,val8881,val9032,val1948,val9633
RDV_00000012,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,conteXt_shortlist,f3,tEsT17_23,Legacy8,2021-06-03 00:00:00.000,3063554986,2021-06-02 00:00:00.000,val3354,val1465,val3292,val3466,val4193,val7746,val5089,val5677,val2883,val9523
RDV_00000013,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,Context_shOrtlisT,F4,Sandwich,Legacy,2020-11-01 00:00:00.000,2975839209,2021-04-17 00:00:00.000,val6857,val6150,val7536,val3709,val3461,val7415,val6076,val9878,val2039,val2865
