latitude,longitude,location,borocode,bctcb2010,:@computed_region_92fq_4b7q,location_lat_long,zip,borough,location_t
40.6950769996,-73.8228169995,North West side of Park,4,148.0,46.0,"{'latitude': '40.6950769996', 'longitude': '-73.8228169995'}",11419,4,Outdoor TWC Aerial
40.5786309996,-74.0768009998,Along Boardwalk and Beach,5,11201.0,14.0,"{'latitude': '40.5786309996', 'longitude': '-74.0768009998'}",10305,5,Outdoor
40.7047004998,-74.0083008003,"90 Water Street, New York, NY 10005, USA",1,7.0,32.0,"{'latitude': '40.7047004998', 'longitude': '-74.0083008003'}",10005,1,Outdoor
40.810178,-73.9489240003,Pole 49: 126NS2E8av,1,224.0,36.0,"{'latitude': '40.810178', 'longitude': '-73.9489240003'}",10027,1,Outdoor
40.8075079996,-73.9644880005,2943 BROADWAY,1,205.0,23.0,"{'latitude': '40.8075079996', 'longitude': '-73.9644880005'}",10025,1,Outdoor Kiosk
40.7427700859,-74.0017175673,18th between 8th and 9th,1,89.0,10.0,"{'latitude': '40.7427700859', 'longitude': '-74.0017175673'}",10011,1,Outdoor
40.7438912097,-73.9833700403,101 EAST 29 STREET,1,72.0,50.0,"{'latitude': '40.7438912097', 'longitude': '-73.9833700403'}",10016,1,Outdoor Kiosk
40.7152266304,-73.9627406698,230 BERRY STREET,3,555.0,30.0,"{'latitude': '40.7152266304', 'longitude': '-73.9627406698'}",11249,3,Outdoor Kiosk
40.7622461604,-73.9862930105,825 8 AVENUE,1,127.0,10.0,"{'latitude': '40.7622461604', 'longitude': '-73.9862930105'}",10019,1,Outdoor Kiosk
40.8062866423,-73.9179551832,211 ST ANN'S AVENUE,2,25.0,35.0,"{'latitude': '40.8062866423', 'longitude': '-73.9179551832'}",10454,2,Outdoor Kiosk
40.6727060872,-73.8740334898,1197 SUTTER AVENUE,3,1196.0,25.0,"{'latitude': '40.6727060872', 'longitude': '-73.8740334898'}",11208,3,Library
40.8377000004,-73.9084800001,FRNT OF BASKET BALL COURT N/O E 170TH ST,2,171.0,42.0,"{'latitude': '40.8377000004', 'longitude': '-73.9084800001'}",10457,2,Outdoor
40.7669397902,-73.9831552895,301 WEST 57 STREET,1,139.0,10.0,"{'latitude': '40.7669397902', 'longitude': '-73.9831552895'}",10019,1,Outdoor Kiosk
40.8201024948,-73.9128382274,487 EAST 156 STREET,2,71.0,43.0,"{'latitude': '40.8201024948', 'longitude': '-73.9128382274'}",10451,2,Outdoor Kiosk
40.702147,-73.8011089995,IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER,4,246.0,6.0,"{'latitude': '40.702147', 'longitude': '-73.8011089995'}",11433,4,Subway Station
40.8048000002,-73.9443,Amphitheater,1,198.0,36.0,"{'latitude': '40.8048000002', 'longitude': '-73.9443'}",10027,1,Outdoor
40.6510267597,-73.9465128704,3301 CHURCH AVE,3,818.0,11.0,"{'latitude': '40.6510267597', 'longitude': '-73.9465128704'}",11203,3,Outdoor Kiosk
40.7395310003,-73.9828890001,172 EAST 24 STREET,1,68.0,50.0,"{'latitude': '40.7395310003', 'longitude': '-73.9828890001'}",10010,1,Outdoor Kiosk
40.6900723003,-73.9823248003,1 Dekalb Ave.,3,15.0,38.0,"{'latitude': '40.6900723003', 'longitude': '-73.9823248003'}",11201,3,Outdoor
40.8029842296,-73.9678553303,300 WEST 108 STREET,1,195.0,19.0,"{'latitude': '40.8029842296', 'longitude': '-73.9678553303'}",10025,1,Outdoor Kiosk
40.796138,-73.970931,2601 BROADWAY,1,187.0,19.0,"{'latitude': '40.796138', 'longitude': '-73.970931'}",10025,1,Outdoor Kiosk
40.7136065153,-74.0078616724,9 MURRAY STREET,1,21.0,32.0,"{'latitude': '40.7136065153', 'longitude': '-74.0078616724'}",10007,1,Library
40.8495049997,-73.9335959996,181 St (1),1,271.0,39.0,"{'latitude': '40.8495049997', 'longitude': '-73.9335959996'}",10033,1,Subway Station
40.6574519997,-73.9639909997,Skate Rental Area,3,177.0,27.0,"{'latitude': '40.6574519997', 'longitude': '-73.9639909997'}",11215,3,Outdoor
40.8092681002,-73.9517076806,2306 FREDERICK DOUGLASS BOULEVARD,1,222.0,36.0,"{'latitude': '40.8092681002', 'longitude': '-73.9517076806'}",10027,1,Outdoor Kiosk
40.7116663597,-73.9510261478,2 POWERS STREET,3,513.0,30.0,"{'latitude': '40.7116663597', 'longitude': '-73.9510261478'}",11211,3,Outdoor Kiosk
40.798102,-73.950349,pole 18: 111NS2ELe,1,186.0,36.0,"{'latitude': '40.798102', 'longitude': '-73.950349'}",10026,1,Outdoor
40.7509655202,-73.9741480605,675 3 AVENUE,1,88.0,51.0,"{'latitude': '40.7509655202', 'longitude': '-73.9741480605'}",10017,1,Outdoor Kiosk
40.7622099,-73.9818807495,159 WEST 52 STREET,1,131.0,51.0,"{'latitude': '40.7622099', 'longitude': '-73.9818807495'}",10019,1,Outdoor Kiosk
40.7404654556,-73.9933569112,40 WEST 20 STREET,1,54.0,10.0,"{'latitude': '40.7404654556', 'longitude': '-73.9933569112'}",10011,1,Library
40.5803519997,-73.8266210003,Beach 108 - Comfort Station and Beach,4,938.0,41.0,"{'latitude': '40.5803519997', 'longitude': '-73.8266210003'}",11694,4,Outdoor
40.80439875,-73.9663281704,2848 BROADWAY,1,199.0,23.0,"{'latitude': '40.80439875', 'longitude': '-73.9663281704'}",10025,1,Outdoor Kiosk
40.6735340004,-73.982789,304 5 AVENUE,3,135.0,27.0,"{'latitude': '40.6735340004', 'longitude': '-73.982789'}",11215,3,Outdoor Kiosk
40.7986462699,-73.9414215295,145 EAST 116 STREET,1,182.0,35.0,"{'latitude': '40.7986462699', 'longitude': '-73.9414215295'}",10035,1,Outdoor Kiosk
40.7809927904,-73.9815226701,2135 BROADWAY,1,163.0,19.0,"{'latitude': '40.7809927904', 'longitude': '-73.9815226701'}",10023,1,Outdoor Kiosk
40.7541882302,-73.9293986402,36-35 33 STREET,4,55.0,33.0,"{'latitude': '40.7541882302', 'longitude': '-73.9293986402'}",11106,4,Outdoor Kiosk
40.655745777,-74.0065489228,948 3 AVENUE,3,18.0,7.0,"{'latitude': '40.655745777', 'longitude': '-74.0065489228'}",11232,3,Outdoor Kiosk
40.7036540004,-73.9426819995,61 AVENUE OF PUERTO RICO,3,491.0,30.0,"{'latitude': '40.7036540004', 'longitude': '-73.9426819995'}",11206,3,Outdoor Kiosk
40.7559829997,-73.9862289995,Times Square - 42nd Street,1,119.0,51.0,"{'latitude': '40.7559829997', 'longitude': '-73.9862289995'}",10036,1,Subway Station
40.7724771003,-73.9587668404,1330 3 AVENUE,1,128.0,51.0,"{'latitude': '40.7724771003', 'longitude': '-73.9587668404'}",10021,1,Outdoor Kiosk
40.7660599997,-73.9635540005,1132 3 AVENUE,1,120.0,51.0,"{'latitude': '40.7660599997', 'longitude': '-73.9635540005'}",10065,1,Outdoor Kiosk
40.797148,-73.9696300005,219 WEST 100 STREET,1,187.0,23.0,"{'latitude': '40.797148', 'longitude': '-73.9696300005'}",10025,1,Outdoor Kiosk
40.8072958097,-73.9646455504,2939 BROADWAY,1,205.0,23.0,"{'latitude': '40.8072958097', 'longitude': '-73.9646455504'}",10025,1,Outdoor Kiosk
40.7720050003,-73.9823840006,Park Area at W63rd & Columbus,1,149.0,19.0,"{'latitude': '40.7720050003', 'longitude': '-73.9823840006'}",10023,1,Outdoor
40.7178279998,-74.0009619996,101 LAFAYETTE STREET,1,31.0,32.0,"{'latitude': '40.7178279998', 'longitude': '-74.0009619996'}",10013,1,Outdoor Kiosk
40.7407749998,-73.9815760003,359 3 AVENUE,1,66.0,50.0,"{'latitude': '40.7407749998', 'longitude': '-73.9815760003'}",10016,1,Outdoor Kiosk
40.7697493901,-73.9667634197,22 EAST 69 STREET,1,122.0,51.0,"{'latitude': '40.7697493901', 'longitude': '-73.9667634197'}",10065,1,Outdoor Kiosk
40.7611419703,-73.9830902797,777 7 AVENUE,1,131.0,51.0,"{'latitude': '40.7611419703', 'longitude': '-73.9830902797'}",10019,1,Outdoor Kiosk
40.7986290002,-73.9416169996,116 St (6),1,182.0,35.0,"{'latitude': '40.7986290002', 'longitude': '-73.9416169996'}",10035,1,Subway Station
40.6682166933,-73.9834274329,431 6 AVENUE,3,153.0,27.0,"{'latitude': '40.6682166933', 'longitude': '-73.9834274329'}",11215,3,Library
40.7754432796,-73.9823668697,1995 BROADWAY,1,153.0,19.0,"{'latitude': '40.7754432796', 'longitude': '-73.9823668697'}",10023,1,Outdoor Kiosk
40.7892631802,-73.9702839002,620 COLUMBUS AVE,1,177.0,19.0,"{'latitude': '40.7892631802', 'longitude': '-73.9702839002'}",10024,1,Outdoor Kiosk
40.6798153564,-73.9376270019,1591 FULTON STREET,3,273.0,49.0,"{'latitude': '40.6798153564', 'longitude': '-73.9376270019'}",11216,3,Outdoor Kiosk
40.8157995997,-73.9543637097,1421 AMSTERDAM AVENUE,1,213.0,36.0,"{'latitude': '40.8157995997', 'longitude': '-73.9543637097'}",10027,1,Outdoor Kiosk
40.716849745,-73.9608407636,185 BERRY STREET,3,553.0,30.0,"{'latitude': '40.716849745', 'longitude': '-73.9608407636'}",11249,3,Outdoor Kiosk
40.8126809996,-73.9393569996,3rd Floor Basketball Court,1,212.0,36.0,"{'latitude': '40.8126809996', 'longitude': '-73.9393569996'}",10037,1,Indoor
40.7586329403,-73.9753407498,488 Madison Ave,1,102.0,51.0,"{'latitude': '40.7586329403', 'longitude': '-73.9753407498'}",10022,1,Outdoor Kiosk
40.6608419997,-73.9651209997,BEHIND BOAT HOUSE  BTWN M-205 & M-206,3,177.0,27.0,"{'latitude': '40.6608419997', 'longitude': '-73.9651209997'}",11215,3,Outdoor
40.7208240001,-74.005229,"Canal St (A,C,E)",1,33.0,32.0,"{'latitude': '40.7208240001', 'longitude': '-74.005229'}",10013,1,Subway Station
40.8407189999,-73.9395609999,"168 St-Washington Heights (A,C,1)",1,251.0,39.0,"{'latitude': '40.8407189999', 'longitude': '-73.9395609999'}",10032,1,Subway Station
40.5828240003,-73.8175779995,Beach 97 - SW Concession and Beach,4,94201.0,41.0,"{'latitude': '40.5828240003', 'longitude': '-73.8175779995'}",11693,4,Outdoor
40.8290024803,-73.9372792304,2926 FREDERICK DOUGLASS BOULEVARD,1,236.0,36.0,"{'latitude': '40.8290024803', 'longitude': '-73.9372792304'}",10039,1,Outdoor Kiosk
40.7824098201,-73.9789998702,376 AMSTERDAM AVE,1,163.0,19.0,"{'latitude': '40.7824098201', 'longitude': '-73.9789998702'}",10024,1,Outdoor Kiosk
40.670847,-73.9883019997,"4 Av (F)/9 St (M,R)",3,137.0,27.0,"{'latitude': '40.670847', 'longitude': '-73.9883019997'}",11215,3,Subway Station
40.7344915302,-73.9861615804,165 3 AVENUE,1,48.0,50.0,"{'latitude': '40.7344915302', 'longitude': '-73.9861615804'}",10003,1,Outdoor Kiosk
40.7514981299,-73.9341573899,30-25 Northern Blvd,4,31.0,33.0,"{'latitude': '40.7514981299', 'longitude': '-73.9341573899'}",11101,4,Outdoor Kiosk
40.6945549998,-73.9816791995,62 Fleet Walk,3,15.0,48.0,"{'latitude': '40.6945549998', 'longitude': '-73.9816791995'}",11201,3,Outdoor
40.69071,-74.0195700005,Liggett C Clayton,1,5.0,32.0,"{'latitude': '40.69071', 'longitude': '-74.0195700005'}",10004,1,Outdoor
40.7415149301,-73.9939631,655 6 AVENUE,1,87.0,10.0,"{'latitude': '40.7415149301', 'longitude': '-73.9939631'}",10011,1,Outdoor Kiosk
40.7249248899,-74.0057953595,118 VARICK STREET,1,37.0,10.0,"{'latitude': '40.7249248899', 'longitude': '-74.0057953595'}",10013,1,Outdoor Kiosk
40.7639780797,-73.9826288296,1701 BROADWAY,1,131.0,10.0,"{'latitude': '40.7639780797', 'longitude': '-73.9826288296'}",10019,1,Outdoor Kiosk
40.7200789997,-73.9495109998,Track & Field,3,515.0,38.0,"{'latitude': '40.7200789997', 'longitude': '-73.9495109998'}",11222,3,Outdoor
