objectid,doitt_id,bbl,activated,bin,provider
11645,1201,0.0,9999-09-09T00:00:00.000,0.0,SPECTRUM
11502,206,5035250200.0,9999-09-09T00:00:00.000,0.0,SPECTRUM
10497,65,1000310034.0,9999-09-09T00:00:00.000,1000862.0,Manhattan Down Alliance
10913,746,0.0,9999-09-09T00:00:00.000,0.0,Harlem
12483,3568,1018960070.0,2016-09-06T00:00:00.000,1057379.0,LinkNYC - Citybridge
10514,85,1007420022.0,9999-09-09T00:00:00.000,0.0,Chelsea
11211,4336,1008850000.0,2018-04-24T00:00:00.000,1018238.0,LinkNYC - Citybridge
10248,4653,3023790020.0,2018-03-29T00:00:00.000,3398694.0,LinkNYC - Citybridge
12671,3248,1010400030.0,2016-04-27T00:00:00.000,1076203.0,LinkNYC - Citybridge
11157,4600,2022650050.0,2018-07-02T00:00:00.000,2000051.0,LinkNYC - Citybridge
9947,362,3042470033.0,9999-09-09T00:00:00.000,3252993.0,BPL
11679,1236,2027880001.0,9999-09-09T00:00:00.000,0.0,ALTICEUSA
12565,3216,1010487500.0,2016-07-21T00:00:00.000,1076205.0,LinkNYC - Citybridge
12002,4089,2023647500.0,2018-01-12T00:00:00.000,2114919.0,LinkNYC - Citybridge
11369,1569,0.0,9999-09-09T00:00:00.000,0.0,Transit Wireless
10978,11,1017190001.0,9999-09-09T00:00:00.000,0.0,AT&T
12286,3469,3048700040.0,2017-10-30T00:00:00.000,3108643.0,LinkNYC - Citybridge
12225,3108,1008790040.0,2016-05-17T00:00:00.000,1018053.0,LinkNYC - Citybridge
10417,273,3001497501.0,9999-09-09T00:00:00.000,3396776.0,Downtown Brooklyn
11464,3960,1018920050.0,2016-10-25T00:00:00.000,1057285.0,LinkNYC - Citybridge
12445,3530,1018707500.0,2017-06-29T00:00:00.000,1056414.0,LinkNYC - Citybridge
10085,510,1001347503.0,9999-09-09T00:00:00.000,1001446.0,NYPL
12437,1769,0.0,9999-09-09T00:00:00.000,0.0,Transit Wireless
9698,895,3011170001.0,9999-09-09T00:00:00.000,3391508.0,ALTICEUSA
11243,3873,1019297500.0,2016-10-14T00:00:00.000,1087917.0,LinkNYC - Citybridge
10253,4658,3027790000.0,2018-03-30T00:00:00.000,3323015.0,LinkNYC - Citybridge
10960,794,0.0,9999-09-09T00:00:00.000,0.0,Harlem
12473,3558,1013160000.0,2016-07-21T00:00:00.000,1037549.0,LinkNYC - Citybridge
12030,4117,1010050000.0,2018-04-04T00:00:00.000,1023159.0,LinkNYC - Citybridge
10080,504,1008217501.0,9999-09-09T00:00:00.000,1076145.0,NYPL
10236,1112,4161890050.0,9999-09-09T00:00:00.000,0.0,SPECTRUM
11755,3991,1018820060.0,2018-01-12T00:00:00.000,1056917.0,LinkNYC - Citybridge
12079,3034,3009690050.0,2017-08-15T00:00:00.000,3020782.0,LinkNYC - Citybridge
11169,4294,1016440120.0,2017-06-21T00:00:00.000,1052323.0,LinkNYC - Citybridge
10665,3423,1011660050.0,2016-05-12T00:00:00.000,1030728.0,LinkNYC - Citybridge
11903,4067,4006020010.0,2018-03-14T00:00:00.000,4007954.0,LinkNYC - Citybridge
11891,4055,3006910050.0,2018-05-02T00:00:00.000,3010251.0,LinkNYC - Citybridge
11727,3963,3031050020.0,2017-06-09T00:00:00.000,3071502.0,LinkNYC - Citybridge
11350,1550,0.0,9999-09-09T00:00:00.000,0.0,Transit Wireless
12843,3347,1014110030.0,2016-03-24T00:00:00.000,1043176.0,LinkNYC - Citybridge
12829,3333,1014010030.0,2017-10-16T00:00:00.000,1042464.0,LinkNYC - Citybridge
12449,3534,1018720020.0,2016-09-06T00:00:00.000,1056481.0,LinkNYC - Citybridge
12484,3569,1018967500.0,2017-03-13T00:00:00.000,1057388.0,LinkNYC - Citybridge
10443,820,0.0,9999-09-09T00:00:00.000,0.0,SPECTRUM
12646,3646,1001970010.0,2016-09-06T00:00:00.000,1002356.0,LinkNYC - Citybridge
12243,3126,1009070000.0,2016-01-26T00:00:00.000,1019845.0,LinkNYC - Citybridge
11455,3951,1013830050.0,2018-10-18T00:00:00.000,1041276.0,LinkNYC - Citybridge
12750,3677,1010037500.0,2017-04-14T00:00:00.000,1022710.0,LinkNYC - Citybridge
11388,1588,0.0,9999-09-09T00:00:00.000,0.0,Transit Wireless
10038,459,3010060001.0,9999-09-09T00:00:00.000,3022144.0,BPL
9627,4826,2028300070.0,2018-08-02T00:00:00.000,2000000.0,LinkNYC - Citybridge
11916,4464,4030860010.0,2017-04-10T00:00:00.000,4072159.0,LinkNYC - Citybridge
12890,3744,1020700000.0,2016-07-19T00:00:00.000,1061709.0,LinkNYC - Citybridge
12291,3474,4093280000.0,2017-09-25T00:00:00.000,4195911.0,LinkNYC - Citybridge
12942,3796,1013370050.0,2018-03-06T00:00:00.000,1038762.0,LinkNYC - Citybridge
9757,4874,1002127500.0,9999-09-09T00:00:00.000,1002734.0,LinkNYC - Citybridge
12730,3657,1004520010.0,2016-09-13T00:00:00.000,1006435.0,LinkNYC - Citybridge
11145,4588,4015800110.0,2017-09-07T00:00:00.000,4314501.0,LinkNYC - Citybridge
10812,1634,0.0,9999-09-09T00:00:00.000,0.0,Transit Wireless
12905,3759,1021180040.0,2016-07-21T00:00:00.000,1062798.0,LinkNYC - Citybridge
9884,1028,3001440001.0,9999-09-09T00:00:00.000,3000281.0,Downtown Brooklyn
11344,1544,0.0,9999-09-09T00:00:00.000,0.0,Transit Wireless
9823,4920,1000010010.0,9999-09-09T00:00:00.000,1086341.0,Fiberless
12668,3245,1010207500.0,2016-04-12T00:00:00.000,1024771.0,LinkNYC - Citybridge
12105,3060,1008330010.0,2017-04-10T00:00:00.000,1015805.0,LinkNYC - Citybridge
12011,4098,4091810040.0,2017-07-07T00:00:00.000,4191441.0,LinkNYC - Citybridge
11861,4025,1012250000.0,2018-05-31T00:00:00.000,1032551.0,LinkNYC - Citybridge
10736,3842,1007830030.0,2017-01-18T00:00:00.000,1014385.0,LinkNYC - Citybridge
12875,3729,5035750070.0,2017-05-25T00:00:00.000,5051504.0,LinkNYC - Citybridge
10529,100,0.0,9999-09-09T00:00:00.000,0.0,SPECTRUM
11822,4442,1014620000.0,2018-06-15T00:00:00.000,1045572.0,LinkNYC - Citybridge
11210,4335,1008870000.0,2017-08-03T00:00:00.000,1018457.0,LinkNYC - Citybridge
10442,818,4072900001.0,9999-09-09T00:00:00.000,0.0,SPECTRUM
10924,758,0.0,9999-09-09T00:00:00.000,0.0,Harlem
9974,391,4031030043.0,9999-09-09T00:00:00.000,4072812.0,QPL
11016,51,3007980034.0,9999-09-09T00:00:00.000,3013507.0,BPL
10487,865,0.0,9999-09-09T00:00:00.000,0.0,ALTICEUSA
12444,3529,1018690040.0,2017-10-10T00:00:00.000,1056383.0,LinkNYC - Citybridge
10252,4657,3027670010.0,2018-02-14T00:00:00.000,3068930.0,LinkNYC - Citybridge
11805,4425,1013870050.0,9999-09-09T00:00:00.000,1041472.0,LinkNYC - Citybridge
12170,4185,1008850090.0,2018-04-24T00:00:00.000,1082103.0,LinkNYC - Citybridge
12096,3051,2031730030.0,2017-07-20T00:00:00.000,2013908.0,LinkNYC - Citybridge
10483,861,0.0,9999-09-09T00:00:00.000,0.0,ALTICEUSA
12772,3699,1018740030.0,2018-04-11T00:00:00.000,1079429.0,LinkNYC - Citybridge
11303,557,0.0,9999-09-09T00:00:00.000,0.0,Harlem
11825,4445,1018520000.0,2016-11-23T00:00:00.000,1055899.0,LinkNYC - Citybridge
10860,1326,0.0,9999-09-09T00:00:00.000,0.0,SPECTRUM
11912,4072,4007140080.0,2017-06-26T00:00:00.000,4012674.0,LinkNYC - Citybridge
11567,1121,0.0,9999-09-09T00:00:00.000,0.0,SPECTRUM
12000,4087,3012620000.0,2017-02-23T00:00:00.000,3032652.0,LinkNYC - Citybridge
