objectid,address,:@computed_region_sbqj_enih,sidw_raise,sidw_crack,nta,horz_blck,trunk_dmg,cen_year,vert_other,inf_wires,spc_common,inf_other,inf_guard,zip_city
592919,2100 1 AVENUE,14.0,No,No,MN33,No,,2005,No,No,GINKGO,No,No,New York
593021,107 WEST   86 STREET,15.0,Yes,No,MN12,No,,2005,No,No,"OAK, NORTHERN RED",No,No,New York
592612,1930 1 AVENUE,14.0,No,No,MN33,Yes,,2005,No,No,HONEYLOCUST,No,No,New York
592940,420 EAST  111 STREET,14.0,No,No,MN33,No,Cavity,2005,No,No,LONDON PLANETREE,No,No,New York
592586,321 EAST   96 STREET,14.0,Yes,Yes,MN33,No,,2005,No,No,HONEYLOCUST,No,No,New York
592433,800 RIVERSIDE DRIVE,21.0,No,No,MN36,Yes,,2005,No,No,HONEYLOCUST,No,No,New York
592748,101 BARCLAY STREET,1.0,No,No,MN24,Yes,,2006,No,No,GINKGO,No,No,New York
592551,192 1 AVENUE,5.0,No,No,MN22,No,,2006,No,No,"PEAR, CALLERY",No,No,New York
593331,133 WEST   90 STREET,15.0,No,No,MN12,Yes,Cavity,2005,No,No,"PEAR, CALLERY",No,No,New York
593283,600 west 59th street,10.0,No,Yes,MN14,Yes,Trunk Wound,2005,No,No,GINKGO,No,No,New York
641410,none WEST HOUSTON STREET,,No,No, ,No,,2005,No,No,BLACK LOCUST,No,No,
641264,420 AVENUE C,5.0,No,No, ,Yes,,2006,No,No,HONEYLOCUST,No,No,New York
593062,175 AMSTERDAM AVENUE,12.0,No,No,MN14,No,Trunk Wound,2006,No,No,"OAK, NORTHERN RED",Yes,No,New York
593332,117 WEST   90 STREET,15.0,No,No,MN12,No,Trunk Wound,2005,No,No,MULBERRY,No,No,New York
592523,2289-91 BROADWAY,12.0,No,No,MN12,No,,2005,No,No,"OAK, NORTHERN RED",No,No,New York
592924,2100 1 AVENUE,14.0,Yes,Yes,MN33,No,,2005,No,No,LONDON PLANETREE,No,No,New York
593309,521 WEST   57 STREET,10.0,No,Yes,MN15,Yes,,2005,No,No,"OAK, PIN",No,No,New York
592434,800 RIVERSIDE DRIVE,21.0,No,No,MN36,Yes,,2005,No,No,"PLUM, PURPLELEAF",No,No,New York
592597,1930 1 AVENUE,14.0,No,Yes,MN33,Yes,,2005,Yes,No,HONEYLOCUST,No,No,New York
592851,8 WEST   90 STREET,15.0,No,No,MN12,No,,2005,No,No,BLACK LOCUST,No,No,New York
593153,1198 1 AVENUE,11.0,No,No,MN31,No,,2005,No,No,"PEAR, CALLERY",No,No,New York
593243,439 EAST  116 STREET,16.0,No,No,MN34,No,Trunk Wound,2005,No,No,"LINDEN, LITTLE LEAF",No,No,New York
593194,135 CHRISTOPHER STREET,3.0,No,No,MN23,No,,2006,No,No,"OAK, WILLOW",Yes,No,New York
592742,125 BARCLAY STREET,1.0,No,No,MN24,Yes,,2006,No,No,"OAK, PIN",No,No,New York
592721,75 WEST STREET,1.0,No,No,MN25,No,,2006,No,No,JAPANESE PAGODA TREE,No,No,New York
641280,1412 WEST  118 STREET,18.0,No,No, ,No,,2005,No,No,"MAPLE, RED",No,No,New York
592626,1918 1 AVENUE,14.0,Yes,No,MN33,No,Cavity,2005,No,No,LONDON PLANETREE,No,No,New York
592994,300 CENTRAL PARK WEST,15.0,No,No,MN12,No,,2005,No,No,BLACK LOCUST,No,No,New York
592451,6 GROVE STREET,3.0,No,No,MN23,No,,2006,No,No,GINKGO,No,No,New York
593053,151 WEST   86 STREET,15.0,No,No,MN12,No, ,2005,No,No,Unknown Dead,No,No,New York
593140,401 EAST  106 STREET,14.0,No,No,MN33,Yes,,2005,Yes,No,LONDON PLANETREE,No,No,New York
592558,201 EAST    4 STREET,5.0,No,No,MN22,No,Torn Bark,2006,No,No,"OAK, WHITE",No,No,New York
593136,2130 1 AVENUE,14.0,No,No,MN33,Yes,,2005,No,No,"LINDEN, AMERICAN",No,No,New York
592692,1966 1 AVENUE,14.0,Yes,Yes,MN33,No,Cavity,2005,No,No,JAPANESE PAGODA TREE,No,No,New York
592981,500 EAST  117 STREET,16.0,No,No,MN34,Yes, ,2005,No,No,Unknown Dead,No,No,New York
592469,3755 BROADWAY,21.0,No,No,MN36,Yes,,2005,No,No,"MAPLE, RED",No,No,New York
592454,322 BLEECKER STREET,3.0,Yes,No,MN23,Yes,Trunk Wound,2006,No,No,"LINDEN, LITTLE LEAF",No,No,New York
592817,370 MANHATTAN AVENUE,18.0,No,No,MN11,No,,2005,No,No,HONEYLOCUST,No,No,New York
592823,350 MANHATTAN AVENUE,18.0,Yes,No,MN11,No,Trunk Wound,2005,No,No,LONDON PLANETREE,No,No,New York
592427,800 RIVERSIDE DRIVE,21.0,No,No,MN36,Yes,,2005,No,No,HONEYLOCUST,No,No,New York
593231,428 EAST  117 STREET,16.0,No,No,MN34,Yes,Cavity,2005,No,No,HONEYLOCUST,No,No,New York
592744,101 BARCLAY STREET,1.0,No,No,MN24,No,,2006,No,No,GINKGO,No,No,New York
593268,434 EAST  115 STREET,14.0,No,Yes,MN34,No,Trunk Wound,2005,No,No,"PEAR, CALLERY",No,No,New York
592906,400 EAST   96 STREET,11.0,No,No,MN32,No,,2005,No,No,"PEAR, CALLERY",No,No,New York
593068,175 AMSTERDAM AVENUE,12.0,No,No,MN14,No,Torn Bark,2006,No,No,"OAK, NORTHERN RED",Yes,No,New York
593031,401 EAST   96 STREET,14.0,No,Yes,MN33,No,,2005,No,No,LONDON PLANETREE,No,No,New York
592827,370 WEST  120 STREET,18.0,No,No,MN11,Yes,,2005,No,No,"ASH, GREEN",No,No,New York
593081,280 PLEASANT AVENUE,16.0,No,No,MN34,No,Cavity,2005,No,No,HONEYLOCUST,No,No,New York
593042,1999 1 AVENUE,14.0,No,No,MN33,No,,2005,No,No,"PEAR, CALLERY",No,No,New York
593055,165 WEST   86 STREET,15.0,No,Yes,MN12,No,,2005,No,No,"PEAR, CALLERY",Yes,No,New York
593164,67 WEST   92 STREET,15.0,No,No,MN12,No,,2005,No,No,LONDON PLANETREE,No,No,New York
592752,75 PARK PLACE,1.0,No,No,MN24,Yes,,2006,No,No,HONEYLOCUST,No,No,New York
592807,2079 FRED DOUGLASS BOULEVARD,18.0,No,No,MN11,Yes,,2005,No,No,HONEYLOCUST,No,No,New York
592892,421 EAST  106 STREET,14.0,No,No,MN33,No,,2005,No,No,"OAK, WILLOW",No,No,New York
592903,400 EAST   96 STREET,11.0,No,No,MN32,No,,2005,No,No,"LINDEN, LITTLE LEAF",No,No,New York
592462,3755 BROADWAY,21.0,No,No,MN36,Yes,,2005,No,No,"MAPLE, RED",No,No,New York
592496,110 BEDFORD STREET,3.0,No,No,MN23,No,,2006,No,No,"PEAR, CALLERY",No,No,New York
592954,328 PLEASANT AVENUE,16.0,No,No,MN34,Yes,Trunk Wound,2005,No,No,"PEAR, CALLERY",No,No,New York
592541,463 AMSTERDAM AVENUE,12.0,No,Yes,MN12,No,,2005,No,No,HONEYLOCUST,No,No,New York
592450,2 GROVE STREET,3.0,No,No,MN23,Yes,,2006,No,No,"LINDEN, LITTLE LEAF",No,No,New York
592934,2130 1 AVENUE,14.0,No,No,MN33,Yes,,2005,No,No,"OAK, PIN",No,No,New York
592754,275 GREENWICH STREET,1.0,No,No,MN24,No,,2006,No,No,HONEYLOCUST,No,No,New York
593212,300 CENTRAL PARK WEST,15.0,No,No,MN12,No,,2005,No,No,BLACK LOCUST,No,No,New York
593154,1198 1 AVENUE,11.0,No,No,MN31,No,,2005,No,No,"PEAR, CALLERY",No,No,New York
592397,26 WASHINGTON STREET,1.0,No,No,MN25,Yes,,2006,Yes,No,HONEYLOCUST,No,No,New York
593090,280 PLEASANT AVENUE,16.0,No,No,MN34,Yes,Trunk Wound,2005,No,No,HONEYLOCUST,No,No,New York
592797,295 GREENWICH STREET,1.0,No,No,MN24,No,,2006,No,No,HONEYLOCUST,No,No,New York
593084,280 PLEASANT AVENUE,16.0,No,No,MN34,Yes,Cavity,2005,No,No,HONEYLOCUST,No,No,New York
592604,1930 1 AVENUE,14.0,No,No,MN33,Yes,,2005,No,No,"PEAR, CALLERY",Yes,No,New York
593155,320 CENTRAL PARK WEST,15.0,No,No,MN12,No,,2005,No,No,HONEYLOCUST,No,No,New York
592479,780 RIVERSIDE DRIVE,21.0,No,No,MN36,No,,2005,No,No,KATSURA TREE,No,No,New York
592465,3755 BROADWAY,21.0,No,No,MN36,Yes, ,2005,No,No,"MAPLE, RED",No,No,New York
592532,484 AMSTERDAM AVENUE,12.0,No,No,MN12,No,,2005,No,No,"PEAR, CALLERY",No,No,New York
592653,521 WEST   48 STREET,10.0,No,Yes,MN15,No,,2005,No,No,HONEYLOCUST,No,No,New York
592619,1930 1 AVENUE,14.0,No,No,MN33,Yes,Trunk Wound,2005,No,No,HONEYLOCUST,No,No,New York
592897,440 EAST  102 STREET,14.0,No,No,MN33,Yes,Cavity,2005,No,No,"OAK, PIN",No,Yes,New York
592631,1930 1 AVENUE,14.0,No,No,MN33,Yes,,2005,No,No,TREE OF HEAVEN,No,No,New York
593303,521 WEST   57 STREET,10.0,No,Yes,MN15,Yes,,2005,No,No,"OAK, PIN",No,No,New York
592964,324 PLEASANT AVENUE,16.0,No,No,MN34,Yes,Cavity,2005,No,No,"ZELKOVA, JAPANESE",No,No,New York
593014,111 SUFFOLK STREET,4.0,No,No,MN28,Yes,Trunk Wound,2005,No,No,"PEAR, CALLERY",No,No,New York
593051,129 WEST   86 STREET,15.0,No,Yes,MN12,No,,2005,No,No,"LINDEN, LITTLE LEAF",No,No,New York
592767,121 READE STREET,1.0,No,No,MN24,Yes,Trunk Wound,2006,No,No,"PEAR, CALLERY",No,No,New York
593152,1198 1 AVENUE,11.0,Yes,No,MN31,No,,2005,No,No,HONEYLOCUST,No,No,New York
593032,401 EAST   96 STREET,14.0,No,No,MN33,Yes,,2005,No,No,LONDON PLANETREE,No,No,New York
592885,2065 1 AVENUE,14.0,No,No,MN33,No,,2005,No,No,"HORNBEAM, AMERICAN",No,No,New York
592379,2409 EAST   70 STREET,38.0,No,No,BK45,No,Trunk Wound,2005,No,Yes,LONDON PLANETREE,Yes,No,Brooklyn
593172,55 WEST   92 STREET,15.0,No,No,MN12,No,,2005,No,No,LONDON PLANETREE,No,No,New York
592502,227 1 AVENUE,5.0,No,No,MN22,Yes,Trunk Wound,2005,No,No,HONEYLOCUST,Yes,No,New York
