grade_2,students_with_disabilities,female_1,poverty_1,male
0,99,0.397,0.89,242
0,78,0.553,0.842,198
0,39,1.0,0.807,0
0,104,0.606,0.682,170
64,56,0.509,0.075,157
0,109,0.469,0.181,451
0,100,0.487,0.708,221
0,13,0.479,0.931,150
67,109,0.455,0.932,263
40,69,0.474,0.405,161
0,129,0.5,0.873,263
0,221,0.703,0.646,505
0,215,0.475,0.336,712
29,61,0.481,0.281,168
41,48,0.527,0.101,131
0,70,0.461,0.852,164
0,52,0.612,0.112,145
0,88,0.463,0.828,234
0,30,0.631,0.44,217
0,25,0.523,0.11,74
0,106,0.579,0.81,225
0,12,0.507,0.749,261
38,82,0.463,0.933,137
47,121,0.455,0.98,194
0,64,0.583,0.827,135
0,94,0.522,0.261,225
0,83,0.47,0.759,227
0,56,0.532,0.842,124
0,114,0.436,0.794,449
0,42,0.515,0.137,117
41,67,0.457,0.306,204
0,67,0.541,0.841,188
46,90,0.497,0.808,160
61,94,0.49,0.135,275
0,66,0.473,0.502,149
0,26,0.485,0.115,183
94,224,0.459,0.736,303
25,75,0.443,0.937,123
27,134,0.521,0.763,182
0,15,0.428,0.464,1906
0,21,0.625,0.594,60
124,107,0.496,0.253,879
48,179,0.476,0.806,311
49,101,0.49,0.697,261
0,94,0.545,0.81,194
103,104,0.533,0.473,264
0,77,0.525,0.285,190
0,68,0.595,0.432,178
13,39,0.5,0.91,50
0,18,0.427,0.431,1908
0,64,0.555,0.766,179
0,68,0.797,0.556,97
15,39,0.5,0.22,157
0,75,0.541,0.341,214
0,25,0.327,0.769,134
0,14,0.496,0.598,173
0,43,0.544,0.769,83
20,44,0.459,0.917,72
0,115,0.44,0.955,235
0,142,0.574,0.758,298
0,6,0.521,0.444,68
76,105,0.476,0.115,300
32,137,0.488,0.834,197
0,34,0.548,0.851,109
0,78,0.631,0.66,114
0,93,0.556,0.176,192
50,42,0.49,0.17,150
0,219,0.509,0.821,586
72,149,0.483,0.926,330
0,110,0.47,0.953,215
64,106,0.497,0.677,341
16,114,0.475,0.987,160
112,102,0.51,0.094,301
0,105,0.52,0.814,214
83,225,0.501,0.833,416
0,29,0.519,0.774,115
79,97,0.458,0.881,241
0,95,0.436,0.732,232
0,100,0.434,0.828,145
48,82,0.433,0.872,160
46,131,0.475,0.855,253
0,95,0.537,0.829,219
0,84,0.62,0.493,259
161,167,0.497,0.061,445
116,139,0.472,0.449,453
0,79,0.498,0.808,123
89,158,0.471,0.087,450
55,89,0.5,0.573,178
99,83,0.46,0.454,437
0,211,0.317,0.541,439
29,21,0.476,0.175,99
0,82,0.209,0.738,272
107,86,0.525,0.1,298
0,117,0.711,0.757,95
32,138,0.445,0.936,226
36,67,0.493,0.818,103
0,64,0.368,0.881,117
47,50,0.515,0.871,117
0,13,0.462,0.486,178
86,108,0.544,0.374,302
0,26,0.508,0.82,30
114,127,0.479,0.122,413
0,87,0.468,0.859,230
0,119,0.191,0.698,372
0,217,0.513,0.795,598
104,114,0.483,0.064,353
0,3,0.567,0.633,65
61,81,0.46,0.669,251
70,141,0.478,0.801,396
0,184,0.475,0.665,357
119,161,0.475,0.235,921
0,74,0.647,0.282,454
98,96,0.483,0.697,297
0,38,0.595,0.932,60
0,80,0.413,0.774,257
0,40,0.399,0.833,83
139,118,0.461,0.67,418
0,57,0.576,0.867,86
76,94,0.487,0.433,264
0,35,0.465,0.872,46
0,124,0.575,0.466,262
33,74,0.519,0.4,161
25,124,0.476,0.751,200
0,80,0.756,0.29,133
0,251,0.472,0.442,709
37,85,0.407,0.93,153
39,143,0.52,0.773,235
0,89,0.433,0.887,115
98,101,0.526,0.482,308
45,137,0.508,0.606,229
0,116,0.546,0.582,278
0,43,0.592,0.218,226
53,63,0.483,0.097,165
57,148,0.475,0.764,374
93,120,0.469,0.096,316
0,19,0.583,0.748,96
47,98,0.475,0.928,138
89,100,0.474,0.497,298
0,116,0.196,0.673,369
34,61,0.51,0.467,125
36,65,0.425,0.836,123
71,57,0.493,0.126,210
0,66,0.479,0.821,151
0,174,0.463,0.894,244
49,59,0.492,0.225,160
114,139,0.474,0.09,451
0,144,0.409,0.813,436
114,66,0.515,0.282,841
95,112,0.512,0.071,339
17,107,0.497,0.641,98
0,36,0.594,0.753,181
0,77,0.438,0.757,132
0,82,0.669,0.821,142
0,103,0.475,0.598,192
0,77,0.581,0.237,168
0,90,0.526,0.693,176
0,92,0.266,0.801,287
55,75,0.466,0.481,171
118,60,0.508,0.149,314
0,53,0.513,0.738,130
33,111,0.491,0.842,196
76,85,0.448,0.623,218
25,44,0.435,0.804,78
0,111,0.433,0.936,247
0,62,0.636,0.436,240
83,103,0.488,0.479,282
0,47,0.675,0.759,135
97,108,0.477,0.388,299
0,14,0.422,0.751,244
71,64,0.508,0.111,196
0,44,0.515,0.831,164
71,222,0.497,0.876,405
91,166,0.49,0.734,395
0,5,0.54,0.553,69
0,11,0.602,0.854,158
0,73,0.318,0.912,178
0,47,0.548,0.975,89
40,109,0.475,0.837,197
62,93,0.476,0.476,194
0,7,0.496,0.56,71
122,150,0.486,0.163,416
0,32,0.595,0.246,219
28,28,0.484,0.086,96
0,10,0.448,0.855,186
0,110,0.527,0.592,182
66,27,0.484,0.409,303
0,29,0.447,0.351,312
0,65,0.637,0.762,157
0,46,0.727,0.784,87
0,111,0.586,0.757,269
0,70,0.684,0.796,99
0,101,0.364,0.793,255
0,133,0.559,0.539,202
0,106,0.539,0.755,224
0,29,0.526,0.064,111
60,40,0.507,0.043,170
93,88,0.486,0.119,285
60,154,0.482,0.913,321
0,60,0.557,0.621,200
35,116,0.448,0.922,155
0,182,0.464,0.654,366
0,86,0.545,0.836,172
0,266,0.939,0.832,102
96,144,0.479,0.071,454
96,117,0.514,0.1,327
76,225,0.493,0.895,415
0,13,0.422,0.85,208
0,94,0.642,0.25,467
