english_language_learners_1,hispanic_1,students_with_disabilities_1,grade_9,economic_need_index,asian_1,grade_3,dbn,grade_pk_half_day_full_day,multiple_race_categories,male_1,grade_k
0.252,0.112,0.247,0,0.831,0.798,0,02M131,0,3,0.603,0
0.102,0.436,0.176,104,0.715,0.312,0,02M399,0,9,0.447,0
0.033,0.335,0.142,104,0.705,0.025,0,02M316,0,16,0.0,0
0.06,0.555,0.241,135,0.755,0.067,0,02M543,0,13,0.394,0
0.022,0.063,0.175,0,0.049,0.091,52,02M267,36,8,0.491,74
0.016,0.116,0.128,0,0.19,0.087,0,03M054,0,61,0.531,0
0.165,0.689,0.232,166,0.788,0.016,0,02M303,0,9,0.513,0
0.747,0.913,0.045,95,0.944,0.024,0,02M427,0,0,0.521,0
0.317,0.147,0.226,0,0.891,0.76,78,02M002,20,0,0.545,63
0.013,0.376,0.225,0,0.45,0.069,48,01M363,36,14,0.526,39
0.053,0.711,0.245,1,0.702,0.015,0,03M505,0,3,0.5,0
0.063,0.53,0.13,511,0.674,0.206,0,02M420,0,14,0.297,0
0.038,0.173,0.158,0,0.267,0.233,0,02M167,0,58,0.525,0
0.015,0.306,0.188,0,0.345,0.059,38,02M225,38,30,0.519,47
0.011,0.13,0.173,0,0.138,0.072,35,02M340,71,33,0.473,67
0.151,0.592,0.23,80,0.83,0.02,0,03M402,0,8,0.539,0
0.0,0.094,0.139,0,0.114,0.187,0,02M255,0,23,0.388,0
0.154,0.67,0.202,119,0.866,0.023,0,03M403,0,9,0.537,0
0.002,0.17,0.051,168,0.414,0.284,0,01M696,0,11,0.369,0
0.0,0.142,0.161,0,0.092,0.097,0,02M340,70,12,0.477,48
0.024,0.507,0.197,155,0.749,0.08,0,02M298,0,24,0.419,0
0.531,1.0,0.023,145,0.89,0.0,0,02M542,0,0,0.493,0
0.129,0.522,0.322,0,0.816,0.255,49,01M134,15,0,0.537,28
0.09,0.801,0.34,0,0.857,0.048,51,01M142,34,8,0.545,56
0.04,0.565,0.198,125,0.845,0.059,0,02M305,0,3,0.417,0
0.006,0.123,0.2,110,0.292,0.187,0,02M412,0,42,0.478,0
0.161,0.68,0.194,106,0.743,0.019,0,03M403,0,5,0.53,0
0.034,0.6,0.211,78,0.805,0.057,0,02M135,0,7,0.468,0
0.06,0.48,0.143,250,0.671,0.217,0,02M489,0,7,0.564,0
0.0,0.183,0.174,0,0.206,0.05,0,03M243,0,23,0.485,0
0.045,0.16,0.178,0,0.284,0.13,47,03M452,54,11,0.543,89
0.029,0.524,0.163,117,0.7,0.046,0,02M288,0,2,0.459,0
0.201,0.258,0.283,0,0.843,0.535,47,02M001,24,4,0.503,44
0.03,0.139,0.174,0,0.137,0.158,54,02M397,18,64,0.51,68
0.018,0.113,0.233,0,0.461,0.442,0,02M289,0,6,0.527,0
0.0,0.163,0.073,0,0.151,0.186,0,02M391,355,30,0.515,0
0.154,0.582,0.4,0,0.688,0.021,107,03M075,0,22,0.541,79
0.095,0.262,0.339,0,0.886,0.009,31,03M242,14,5,0.557,35
0.171,0.795,0.353,0,0.834,0.055,35,01M140,18,2,0.479,26
0.0,0.028,0.004,823,0.417,0.735,0,02M475,0,174,0.571,0
0.0,0.375,0.131,11,0.547,0.044,0,02M565,0,2,0.375,0
0.004,0.111,0.061,161,0.23,0.332,118,01M539,0,113,0.504,100
0.13,0.636,0.301,0,0.867,0.054,54,04M108,17,7,0.524,46
0.076,0.281,0.197,0,0.689,0.029,49,03M180,82,25,0.51,48
0.124,0.587,0.221,153,0.767,0.007,0,03M299,0,7,0.455,0
0.085,0.407,0.184,0,0.429,0.035,89,03M084,36,27,0.467,102
0.02,0.275,0.192,0,0.321,0.08,0,03M245,0,19,0.475,0
0.005,0.143,0.155,103,0.35,0.45,0,02M411,0,10,0.405,0
0.14,0.46,0.39,0,0.832,0.02,20,03M241,0,0,0.5,16
0.0,0.026,0.005,841,0.32,0.734,0,02M475,0,142,0.573,0
0.04,0.087,0.187,0,0.03,0.105,66,02M267,20,6,0.491,82
0.0,0.118,0.166,0,0.128,0.14,0,02M114,0,33,0.426,0
0.031,0.132,0.192,0,0.149,0.196,90,02M276,0,75,0.522,95
0.021,0.529,0.243,112,0.509,0.069,0,02M534,0,6,0.429,0
0.096,0.21,0.197,0,0.284,0.209,75,02M116,46,37,0.513,87
0.004,0.072,0.149,0,0.303,0.446,0,02M312,0,44,0.509,0
0.022,0.503,0.231,117,0.6,0.095,0,02M546,0,20,0.787,0
0.195,0.677,0.251,153,0.818,0.017,0,02M303,0,5,0.53,0
0.0,0.5,0.234,3,0.737,0.0,0,02M586,0,1,0.453,0
0.197,0.44,0.508,0,0.704,0.036,20,02M347,56,10,0.482,18
0.003,0.114,0.167,122,0.204,0.126,0,02M260,0,44,0.318,0
0.057,0.53,0.243,105,0.791,0.076,0,02M432,0,10,0.492,0
0.473,0.394,0.055,0,0.779,0.198,0,02M575,0,4,0.483,0
0.059,0.234,0.234,0,0.362,0.208,57,02M198,51,14,0.523,71
0.036,0.286,0.286,0,0.253,0.125,0,02M177,0,4,0.554,0
0.068,0.604,0.241,100,0.861,0.083,0,02M500,0,4,0.683,0
0.044,0.395,0.185,128,0.738,0.035,0,02M316,0,9,0.0,0
0.236,0.055,0.019,99,0.767,0.889,0,02M545,0,3,0.469,0
0.082,0.641,0.17,356,0.696,0.133,0,02M400,0,16,0.502,0
0.204,0.68,0.325,0,0.973,0.023,34,04M096,14,5,0.549,30
0.035,0.409,0.256,93,0.717,0.062,0,02M294,0,30,0.447,0
0.088,0.613,0.418,0,0.901,0.111,52,01M134,20,7,0.559,36
0.047,0.296,0.197,0,0.664,0.012,63,03M180,69,23,0.521,53
0.102,0.491,0.294,0,0.819,0.094,42,04M102,25,15,0.581,28
0.006,0.333,0.056,19,0.433,0.08,0,02M565,0,3,0.414,0
0.144,0.658,0.3,88,0.793,0.021,0,03M402,0,5,0.601,0
0.794,0.189,0.0,104,0.975,0.64,0,02M394,0,3,0.531,0
0.0,0.229,0.052,0,0.426,0.307,59,04M012,0,28,0.498,52
0.417,0.084,0.18,0,0.838,0.857,120,02M002,33,0,0.533,96
0.034,0.524,0.197,118,0.624,0.1,0,02M507,0,18,0.771,0
0.048,0.612,0.237,131,0.689,0.052,0,02M449,0,18,0.49,0
0.0,0.195,0.025,753,0.256,0.191,0,03M485,0,158,0.263,0
0.092,0.183,0.183,0,0.833,0.004,51,03M076,56,3,0.49,60
0.054,0.08,0.147,0,0.108,0.129,120,02M158,72,52,0.524,135
0.048,0.088,0.163,0,0.059,0.167,84,02M183,40,24,0.514,102
0.274,0.041,0.166,0,0.729,0.931,132,02M042,46,4,0.537,102
0.041,0.235,0.183,0,0.368,0.066,70,02M151,58,30,0.484,67
0.012,0.524,0.163,63,0.579,0.02,0,02M531,0,8,0.167,0
0.067,0.599,0.224,168,0.748,0.049,0,02M655,0,15,0.518,0
0.093,0.602,0.404,0,0.828,0.155,61,01M134,22,5,0.517,29
0.033,0.553,0.164,481,0.762,0.06,0,02M600,0,17,0.079,0
0.894,0.499,0.032,117,0.966,0.113,0,02M550,0,4,0.619,0
0.095,0.575,0.206,125,0.733,0.022,0,03M307,0,9,0.464,0
0.799,0.333,0.0,121,0.966,0.482,0,02M394,0,7,0.55,0
0.147,0.048,0.153,0,0.586,0.883,177,02M130,36,25,0.508,112
0.0,0.063,0.129,0,0.079,0.226,60,02M077,0,28,0.474,52
0.105,0.443,0.172,160,0.829,0.303,0,01M448,0,3,0.574,0
0.059,0.105,0.193,0,0.062,0.169,92,02M183,0,14,0.553,117
0.033,0.349,0.227,0,0.478,0.063,51,01M363,18,11,0.51,56
0.104,0.685,0.245,98,0.806,0.039,0,02M419,0,9,0.468,0
0.144,0.625,0.31,0,0.927,0.022,48,01M188,29,1,0.562,35
0.026,0.526,0.159,496,0.674,0.051,0,02M600,0,24,0.066,0
0.004,0.121,0.117,45,0.26,0.173,15,03M859,0,28,0.481,14
0.067,0.369,0.297,0,0.754,0.021,0,03M421,0,3,0.6,0
0.017,0.513,0.159,160,0.676,0.098,0,02M298,0,27,0.402,0
0.002,0.398,0.129,115,0.42,0.084,0,02M376,0,13,0.423,0
0.045,0.548,0.153,0,0.694,0.048,0,02M544,0,5,0.516,0
0.0,0.169,0.12,0,0.078,0.096,0,02M340,51,11,0.41,32
0.002,0.154,0.165,117,0.27,0.243,0,02M412,0,30,0.44,0
0.086,0.386,0.238,119,0.707,0.088,0,02M520,0,8,0.501,0
0.007,0.242,0.212,117,0.41,0.2,0,02M413,0,74,0.513,0
0.133,0.665,0.238,128,0.771,0.024,0,03M403,0,4,0.514,0
0.0,0.379,0.093,114,0.494,0.259,0,03M541,0,30,0.419,0
0.174,0.087,0.128,0,0.532,0.75,73,01M184,36,29,0.492,76
0.0,0.185,0.011,129,0.309,0.171,0,01M696,0,9,0.402,0
0.035,0.254,0.138,0,0.296,0.144,186,02M011,18,39,0.529,146
0.081,0.522,0.279,81,0.789,0.033,0,01M509,0,1,0.39,0
0.052,0.599,0.212,11,0.649,0.005,0,01M458,0,1,0.42,0
0.043,0.423,0.29,89,0.651,0.051,0,02M294,0,23,0.506,0
0.305,0.021,0.131,0,0.658,0.943,103,02M124,56,14,0.51,100
0.018,0.496,0.248,120,0.499,0.072,0,02M534,0,10,0.432,0
0.862,0.539,0.028,80,0.983,0.157,0,02M438,0,2,0.612,0
0.033,0.147,0.174,0,0.183,0.125,30,02M150,18,20,0.522,28
0.064,0.365,0.335,0,0.818,0.005,0,03M421,0,1,0.498,0
0.023,0.159,0.204,0,0.161,0.164,62,02M397,18,59,0.511,68
0.067,0.588,0.239,91,0.771,0.06,0,02M500,0,8,0.648,0
0.009,0.132,0.128,174,0.48,0.45,0,02M418,0,33,0.375,0
0.012,0.486,0.249,109,0.552,0.024,0,02M551,0,20,0.637,0
0.86,0.509,0.035,127,0.959,0.105,0,02M550,0,2,0.626,0
0.085,0.782,0.373,0,0.85,0.065,42,01M142,22,6,0.548,56
0.003,0.047,0.114,0,0.071,0.301,63,02M077,0,38,0.501,50
0.069,0.623,0.198,164,0.761,0.037,0,02M655,0,12,0.498,0
0.048,0.244,0.177,0,0.346,0.063,91,02M151,19,31,0.495,84
0.004,0.191,0.165,67,0.351,0.07,0,02M407,0,20,0.502,0
0.0,0.122,0.142,133,0.232,0.168,0,02M416,0,19,0.396,0
0.061,0.323,0.193,0,0.646,0.02,51,03M180,82,19,0.494,72
0.014,0.158,0.168,0,0.306,0.353,0,02M289,0,8,0.459,0
0.13,0.598,0.256,0,0.851,0.023,59,03M145,46,8,0.476,62
0.032,0.531,0.2,128,0.773,0.056,0,02M288,0,15,0.424,0
