hispanic,school_name,grade_10,asian,total_enrollment,black_1,grade_6,poverty,grade_8
45,M.S. 131,0,320,401,0.065,101,357,166
193,The High School For Language And Diplomacy,127,138,443,0.185,0,373,0
92,"Urban Assembly School of Business for Young Women,",67,7,275,0.567,0,222,0
239,New Design High School,119,29,431,0.32,0,294,0
20,"East Side Elementary School, PS 267",0,29,320,0.016,0,24,0
99,J.H.S. 054 Booker T. Washington,0,74,850,0.081,308,154,282
297,"Facing History School, The",115,7,431,0.258,0,305,0
263,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,98,7,288,0.038,0,268,0
71,P.S. 002 Meyer London,0,367,483,0.081,0,450,0
115,Neighborhood School,0,21,306,0.088,0,124,0
374,Edward A. Reynolds West Side High School,169,8,526,0.257,0,459,0
901,High School for Health Professions and Human Servi,483,351,1700,0.181,0,1098,0
235,J.H.S. 167 Robert F. Wagner,0,316,1357,0.081,487,456,436
99,Ella Baker School,0,19,324,0.151,30,91,25
36,Sixth Avenue Elementary School,0,20,277,0.036,0,28,0
180,The Urban Assembly School for Green Careers,85,6,304,0.28,0,259,0
35,M.S. 255 Salk School of Science,0,70,374,0.032,129,42,124
292,The Global Learning Collaborative,90,10,436,0.245,0,361,0
100,Bard High School Early College,136,167,588,0.136,0,259,0
22,Sixth Avenue Elementary School,0,15,155,0.045,0,17,0
272,Pace High School,165,43,537,0.33,0,435,0
529,Manhattan Bridges High School,195,0,529,0.0,0,396,0
133,P.S. 134 Henrietta Szold,0,65,255,0.192,0,238,0
285,P.S. 142 Amalia Castro,0,17,356,0.118,0,349,0
183,"Urban Assembly Academy of Government and Law, The",77,19,324,0.336,0,268,0
58,N.Y.C. Lab School for Collaborative Studies,118,88,471,0.036,0,123,0
291,The Global Learning Collaborative,113,8,428,0.245,0,325,0
159,The Urban Assembly School for Emergency Management,75,15,265,0.287,0,223,0
382,High School of Economics and Finance,199,173,796,0.222,0,632,0
44,M.S. 243 Center School,0,12,241,0.104,64,33,55
60,P.S. 452,0,49,376,0.128,0,115,0
215,Food and Finance High School,104,19,410,0.407,0,345,0
82,P.S. 001 Alfred E. Smith,0,170,318,0.176,0,257,0
75,Spruce Street School,0,85,539,0.033,62,73,55
32,I.S. 289,0,125,283,0.039,99,142,91
58,District 2 Pre-K Center,0,66,355,0.059,0,41,0
326,P.S. 075 Emily Dickinson,0,12,560,0.214,0,412,0
58,P.S. 242 - The Young Diplomats Magnet Academy,0,2,221,0.674,0,207,0
302,P.S. 140 Nathan Straus,0,21,380,0.105,53,290,61
92,Stuyvesant High School,857,2451,3336,0.007,0,1547,0
60,Urban Academy Laboratory High School,29,7,160,0.306,0,95,0
193,"New Explorations into Science, Technology and Math",149,579,1745,0.08,154,441,121
378,P.S. 108 Assemblyman Angelo Del Toro Educational C,0,32,594,0.285,100,479,95
144,P.S. 180 Hugo Newman,0,15,512,0.51,45,357,59
250,The Maxine Greene HS for Imaginative Inquiry,105,3,426,0.376,0,345,0
230,P.S. 084 Lillian Weber,0,20,565,0.11,0,267,0
110,M.S. M245 The Computer School,0,32,400,0.12,134,114,132
63,Baruch College Campus High School,109,198,440,0.045,0,190,0
46,STEM Institute of Manhattan,0,2,100,0.48,0,91,0
88,Stuyvesant High School,842,2443,3327,0.006,0,1434,0
145,P.S. 116 Mary Lindley Murray,0,131,696,0.095,0,251,0
190,P.S. 033 Chelsea Prep,0,161,639,0.119,0,298,0
144,Humanities Preparatory Academy,61,17,235,0.221,0,195,0
266,High School M560 - City As School,66,25,602,0.349,0,398,0
159,P.S. 126 Jacob August Riis,0,471,791,0.099,118,630,110
172,Satellite Academy High School,1,1,298,0.383,0,232,0
63,P.S. 059 Beekman Hill International,0,119,598,0.013,0,68,0
267,Pace High School,152,43,508,0.319,0,379,0
279,"High School for Law, Advocacy and Community Justic",147,11,501,0.399,0,442,0
92,P.S./I.S. 217 Roosevelt Island,0,185,616,0.114,32,211,21
105,Frederick Douglass Academy II Secondary School,96,8,390,0.682,9,268,34
42,I.S. 289,0,138,284,0.042,98,150,93
206,The Urban Assembly School for Green Careers,102,5,319,0.27,0,272,0
215,J.H.S. 104 Simon Baruch,0,412,1145,0.075,373,529,403
82,Institute for Collaborative Education,70,34,492,0.191,64,129,75
173,"Urban Assembly Academy of Government and Law, The",90,16,316,0.367,0,265,0
221,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,60,2,233,0.021,0,228,0
145,Essex Street Academy,98,22,339,0.345,0,229,0
214,Urban Assembly New York Harbor School,149,40,533,0.176,0,291,0
227,Union Square Academy for Health Sciences,113,53,406,0.229,0,316,0
105,Neighborhood School,0,15,304,0.109,0,121,0
128,P.S. 333 Manhattan School for Children,0,42,756,0.118,67,117,51
113,Innovation Diploma Plus,45,2,188,0.372,0,155,0
245,The Riverside School for Makers and Artists,0,42,565,0.303,60,384,58
53,Yorkville East Middle School,0,15,230,0.087,78,69,76
100,City Knoll Middle School,0,14,175,0.251,34,144,84
280,Beacon High School,391,128,1423,0.142,0,513,0
817,Art and Design High School,417,100,1447,0.167,0,928,0
317,Richard R. Green High School of Teaching,133,37,534,0.272,0,451,0
148,Mott Hall II,0,15,342,0.266,105,213,121
55,P.S. 242 - The Young Diplomats Magnet Academy,0,2,187,0.626,0,164,0
128,Community Action School - MS 258,0,6,239,0.351,83,198,83
197,P.S. 033 Chelsea Prep,0,158,634,0.118,0,314,0
287,Manhattan Village Academy,121,40,452,0.142,0,347,0
109,Tag Young Scholars,0,193,561,0.248,57,264,52
224,New Design High School,107,24,407,0.349,0,287,0
220,"Urban Assembly School for Media Studies, The",119,12,403,0.375,0,291,0
247,"Urban Assembly School of Design and Construction,",121,25,414,0.295,0,335,0
149,Tompkins Square Middle School,0,81,368,0.144,123,255,122
159,Manhattan International High School,89,45,313,0.15,0,221,0
180,P.S. 019 Asher Levy,0,24,271,0.188,0,207,0
804,Art and Design High School,431,115,1442,0.215,0,947,0
313,P.S. 096 Joseph Lanzetta,0,7,458,0.26,56,368,58
26,The River School,0,54,187,0.102,0,42,0
53,Spruce Street School,0,61,430,0.026,0,39,0
74,City Knoll Middle School,0,15,157,0.197,75,107,0
109,47 The American Sign Language and English Secondar,50,2,169,0.284,0,141,0
59,Eleanor Roosevelt High School,125,111,543,0.041,0,117,0
181,The Maxine Greene HS for Imaginative Inquiry,100,11,341,0.367,0,271,0
227,Union Square Academy for Health Sciences,124,62,415,0.239,0,335,0
346,High School of Arts and Technology,173,11,576,0.339,0,520,0
169,P.S. 019 Asher Levy,0,27,270,0.204,0,217,0
222,Food and Finance High School,118,20,427,0.398,0,339,0
107,P.S. 015 Roberto Clemente,0,8,183,0.355,0,169,0
