dbn,q157_how_many_adults_at_this,q78_in_planning_my_last,q173_adults_at_this_school_1,q103_in_planning_my_last,q58_overall_my_professional,q27_i_feel_respected_by_other,q64_the_principal_school_1,q64_the_principal_school,q22_i_would_recommend_this,q128_in_planning_my_last_1,q36_the_principal_school_1,q118_in_planning_my_last,q84_in_planning_my_last,q107_in_planning_my_last_1,q99_in_planning_my_last,q95_in_planning_my_last,q85_in_planning_my_last,q119_in_planning_my_last,q29_i_would_recommend_this,q155_how_many_adults_at_this,q140_discipline_is_applied_1,q108_in_planning_my_last_1,q18_central_doe_employees_1,q144_how_many_students_in_1,q62_the_principal_school_1,q51_at_this_school_curriculum_1,q12_i_am_able_to_apply_my_1,q151_how_many_adults_at_this_1,q91_in_planning_my_last_1,q112_in_planning_my_last,q26_teachers_respect_other_1,q72_how_much_influence_do,q50_at_this_school_teachers_1,q172_adults_at_this_school_1,q19_the_chancellor_is_an_1,q28_teachers_at_this_school_1,q68_the_principal_assistant,q59_overall_my_professional_1,q53_at_this_school_teachers,q5_i_am_able_to_receive_1,q139_how_many_students_in_1,q59_overall_my_professional,q95_in_planning_my_last_1,q87_in_planning_my_last,q54_at_this_school_school,q141_behavioral_supports,q146_how_many_students_in_1,q115_in_planning_my_last_1,q147_how_many_students_in,q96_in_planning_my_last,q92_in_planning_my_last,q66_the_principal_assistant,q113_in_planning_my_last,q32_the_principal_school,q174_adults_at_this_school_1,q111_in_planning_my_last_1,q137_how_many_students_in,q75_the_performance_of_the,q2_how_many_teachers_at_this,q116_in_planning_my_last_1,q156_how_many_adults_at_this_1,q89_in_planning_my_last_1,q153_how_many_adults_at_this,q148_how_many_students_in,q76_the_performance_of_the,q68_the_principal_assistant_1,q120_in_planning_my_last,q167_my_students_are_safe,q137_how_many_students_in_1,q63_the_principal_school,q24_it_s_ok_in_this_school,q122_in_planning_my_last_1,q161_it_s_a_priority_at_this,q5_i_am_able_to_receive,q67_the_principal_assistant,q133_in_planning_my_last_1,q44_this_school_has_well,q82_in_planning_my_last,q30_i_feel_respected_by_the,q94_in_planning_my_last_1,q141_behavioral_supports_1,q19_the_chancellor_is_an,q37_the_principal_school,q41_at_this_school_students,q20_i_trust_the_chancellor_1,q151_how_many_adults_at_this,q133_in_planning_my_last,q174_adults_at_this_school,q144_how_many_students_in,q157_how_many_adults_at_this_1,q113_in_planning_my_last_1,q90_in_planning_my_last_1,q31_the_principal_school,q166_my_students_are_safe_1,q39_in_this_school_the_staff_1,q155_how_many_adults_at_this_1,q37_the_principal_school_1,q35_the_principal_school_1,q55_at_this_school_the,q58_overall_my_professional_1,q163_at_this_program_teachers_1,q168_my_students_are_safe_1,q66_the_principal_assistant_1,q13_i_am_able_to_develop_1,q15_i_am_able_to_distinguish_1,q41_at_this_school_students_1,q16_i_feel_respected_by_the,q176_adults_at_this_school,q156_how_many_adults_at_this,q124_in_planning_my_last_1,q93_in_planning_my_last,q149_how_many_students_in_1,q104_in_planning_my_last,q119_in_planning_my_last_1,q53_at_this_school_teachers_1,q102_in_planning_my_last_1,q145_how_many_students_in,q152_how_many_adults_at_this_1,q160_it_s_a_priority_at_this_1,q71_the_principal_assistant_1,q6_i_am_able_to_use_my_1,q138_how_many_students_in,q49_at_this_school_teachers_1,q83_in_planning_my_last_1,q20_i_trust_the_chancellor,q9_i_am_able_to_affirm_racial,q73_how_much_influence_do,q3_how_many_teachers_at_this_1,q73_how_much_influence_do_1,q35_the_principal_school,q127_in_planning_my_last,q97_in_planning_my_last_1
05M371,,0.0,0.0,,0.6,0.6,0.4,0.6,1.0,,0.0,,,,,,,,1.0,,0.0,,,0.2,0.2,,0.0,0.2,,,0.2,1.0,,0.0,,0.4,0.6,0.4,1.0,0.2,0.2,0.6,,,1.0,0.0,0.4,,0.6,,,0.8,,1.0,0.0,,0.8,,0.8,,0.2,,0.8,0.4,,0.4,,0.0,0.2,1.0,0.8,,0.0,0.8,1.0,,0.8,,1.0,,0.0,,1.0,1.0,,0.8,,0.0,0.8,,,,0.6,0.0,0.0,,0.0,0.0,0.8,0.4,0.0,0.0,0.2,,0.0,0.0,,0.0,0.8,,,0.8,,,0.0,,0.8,0.2,0.0,0.2,0.0,0.6,0.2,,,1.0,1.0,0.2,0.0,1.0,,
08X583,1.0,,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,1.0,1.0,0.17,,,0.25,0.0,0.0,0.0,0.0,,,0.0,0.94,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.07,1.0,,,1.0,,0.33,,0.87,,,1.0,,1.0,0.0,,1.0,0.91,0.94,,0.0,,1.0,0.73,0.83,0.0,,1.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,0.0,0.75,0.0,,,1.0,0.11,0.06,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,0.08,,,0.0,,1.0,0.0,,0.0,0.0,0.67,0.0,,,1.0,1.0,0.0,0.0,1.0,1.0,
11X508,0.97,0.0,0.0,1.0,0.95,0.98,0.0,1.0,1.0,0.0,0.0,0.89,1.0,0.0,1.0,1.0,1.0,0.89,0.95,0.95,0.08,0.0,,0.19,0.05,0.03,0.0,0.03,0.0,1.0,0.02,1.0,0.03,0.03,,0.0,1.0,0.05,0.95,0.05,0.21,0.95,0.0,1.0,0.97,0.0,0.3,0.11,0.84,0.88,1.0,0.95,1.0,1.0,0.0,0.0,0.89,0.95,0.85,0.11,0.05,0.0,0.95,0.66,0.89,0.0,1.0,0.0,0.11,1.0,1.0,0.0,0.0,0.95,0.97,0.0,0.95,1.0,1.0,0.0,0.0,,1.0,0.97,,0.97,1.0,1.0,0.81,0.03,0.0,0.0,1.0,0.0,0.03,0.05,0.0,0.02,1.0,0.05,0.0,0.0,0.05,0.02,0.0,0.03,,0.94,0.95,0.0,1.0,0.3,1.0,0.11,0.05,0.0,0.95,0.05,0.0,0.0,0.0,0.66,0.0,0.0,,1.0,1.0,0.12,0.0,0.98,1.0,0.0
13K483,1.0,0.0,0.0,1.0,0.94,0.94,0.0,1.0,0.97,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.94,0.94,0.06,0.0,,0.29,0.0,0.0,0.13,0.0,0.11,1.0,0.03,0.97,0.0,0.0,,0.06,0.97,0.03,1.0,0.03,0.32,0.97,0.0,1.0,0.97,0.0,0.32,0.17,0.52,1.0,1.0,1.0,1.0,0.97,0.0,0.0,0.87,0.39,0.9,0.17,0.0,0.0,1.0,0.48,0.38,0.03,1.0,0.0,0.13,1.0,1.0,0.0,0.0,0.97,0.97,0.0,0.97,0.89,1.0,0.0,0.0,,1.0,0.97,,1.0,1.0,1.0,0.71,0.0,0.0,0.11,1.0,0.0,0.03,0.06,0.0,0.0,1.0,0.06,0.0,0.0,0.0,0.06,0.0,0.03,,1.0,1.0,0.0,1.0,0.48,1.0,0.0,0.0,0.0,0.9,0.03,0.0,0.0,0.0,0.52,0.0,0.0,,1.0,1.0,0.13,0.0,1.0,1.0,0.0
02M124,0.91,,0.0,,0.75,0.92,0.05,0.95,0.92,0.13,0.14,,,,,,,,0.95,0.89,0.09,,,0.26,0.13,0.11,0.1,0.03,,,0.21,0.74,0.08,0.0,,0.15,0.95,0.25,1.0,0.05,0.21,0.75,,,0.97,,0.21,,0.87,,,0.92,,0.89,0.0,,0.87,0.7,0.8,,0.03,,0.83,0.67,0.52,0.05,,1.0,0.13,0.89,0.82,,,0.95,0.84,0.07,1.0,,0.86,,,,0.89,1.0,,0.97,0.93,0.0,0.74,0.09,,,0.89,0.13,0.0,0.11,0.11,0.11,1.0,0.25,,0.0,0.08,0.03,0.05,0.0,,0.0,0.97,0.03,,0.12,,,0.0,,1.0,0.08,,0.08,0.02,0.59,0.05,,,0.98,0.79,0.36,0.21,0.89,0.9,
13K527,0.91,0.0,0.0,1.0,0.83,0.92,0.06,0.94,0.81,0.0,0.11,0.67,0.89,0.0,1.0,1.0,1.0,0.67,0.84,0.74,0.15,0.0,,0.15,0.06,0.38,0.06,0.11,0.0,1.0,0.05,0.97,0.31,0.0,,0.11,0.97,0.17,0.92,0.03,0.34,0.83,0.0,1.0,0.97,0.0,0.33,0.0,0.51,1.0,1.0,0.94,1.0,0.95,0.0,0.0,0.77,0.5,0.84,0.33,0.18,0.11,0.88,0.51,0.73,0.03,1.0,0.0,0.23,0.97,0.86,0.33,0.0,0.97,0.83,0.0,0.83,1.0,0.92,0.12,0.0,,0.95,1.0,,0.89,1.0,1.0,0.85,0.09,0.0,0.22,0.97,0.0,0.06,0.26,0.05,0.0,0.94,0.17,0.0,0.0,0.06,0.14,0.08,0.0,,0.95,0.82,0.0,0.88,0.42,1.0,0.33,0.08,0.0,0.86,0.15,0.0,0.17,0.03,0.46,0.03,0.0,,1.0,0.97,0.28,0.03,1.0,1.0,0.25
14K477,0.79,0.0,0.0,,0.75,0.9,0.24,0.76,0.81,0.0,0.19,1.0,,,,,,0.8,0.86,0.78,0.2,,,0.6,0.1,0.15,0.05,0.0,,,0.1,0.81,0.1,0.0,,0.1,0.95,0.1,0.95,0.0,0.3,0.9,,,0.95,0.0,0.65,0.0,0.55,,,0.86,,0.86,0.0,,0.8,0.68,0.9,0.0,0.05,,0.89,0.35,0.74,0.05,0.8,0.0,0.2,0.81,0.95,0.0,0.0,1.0,0.81,0.29,0.95,,0.81,,0.0,,0.85,0.95,,1.0,0.71,1.0,0.4,0.21,,,0.81,0.0,0.0,0.22,0.15,0.19,0.95,0.25,0.0,0.0,0.14,0.05,0.05,0.05,,1.0,0.95,0.14,,0.5,,0.2,0.05,,0.8,0.06,0.0,0.24,0.0,0.6,0.14,,,1.0,0.81,0.15,0.19,0.81,1.0,
04M680,0.88,0.0,0.0,1.0,0.83,0.95,0.06,0.94,0.95,,0.0,,,0.0,,,,,1.0,0.76,0.18,0.0,,0.18,0.0,0.0,0.06,0.06,,1.0,0.0,1.0,0.0,0.0,,0.0,0.94,0.22,0.94,0.11,0.31,0.78,,,0.94,0.0,0.18,,0.71,,,1.0,1.0,0.95,0.0,0.0,0.88,0.92,1.0,,0.12,,0.88,0.65,0.91,0.06,,0.0,0.12,0.94,0.95,,0.0,0.89,0.94,,1.0,,1.0,,0.0,,1.0,1.0,,0.94,,1.0,0.82,0.12,0.0,,1.0,0.0,0.0,0.24,0.0,0.11,0.94,0.17,0.0,0.0,0.0,0.06,0.06,0.0,,1.0,0.88,,,0.24,1.0,,0.06,,0.88,0.06,0.0,0.0,0.05,0.82,0.0,,,0.95,1.0,0.0,0.0,0.89,,
08X282,0.92,0.0,0.0,,0.92,1.0,0.08,0.92,1.0,,0.08,,1.0,,,,,,1.0,0.91,0.18,,,0.0,0.08,0.1,0.0,0.0,0.0,,0.0,0.83,0.0,0.0,,0.0,0.92,0.08,1.0,0.0,0.0,0.92,,1.0,1.0,0.0,0.08,,0.83,,,0.92,,0.92,0.0,,1.0,1.0,0.85,,0.0,0.0,1.0,0.83,1.0,0.08,,0.0,0.0,0.92,0.92,,0.0,1.0,0.92,,1.0,0.8,0.92,,0.0,,0.92,0.92,,1.0,,1.0,1.0,0.08,,0.0,0.92,0.0,0.0,0.09,0.08,0.08,1.0,0.08,0.0,0.0,0.08,0.0,0.0,0.08,,1.0,1.0,0.0,,0.25,,,0.0,,1.0,0.0,0.0,0.08,0.0,0.92,0.0,0.0,,1.0,0.83,0.08,0.17,0.92,,
06M132,0.88,0.0,0.0,,0.88,0.94,0.06,0.94,0.88,0.08,0.19,,,,,,,,0.69,0.81,0.12,,,0.5,0.06,0.06,0.06,0.06,,,0.12,0.81,0.06,0.0,,0.12,0.94,0.06,1.0,0.12,0.38,0.94,,,1.0,0.0,0.62,,0.44,,,1.0,,0.81,0.0,,0.81,0.85,0.82,,0.19,,0.87,0.38,0.77,0.06,,1.0,0.19,0.94,0.81,,,0.88,0.88,0.15,0.94,,0.81,,0.0,,0.81,1.0,,0.94,0.85,0.0,0.5,0.12,,,0.88,0.27,0.06,0.19,0.19,0.06,1.0,0.12,,0.0,0.0,0.0,0.06,0.0,,0.0,0.81,0.17,,0.56,,,0.0,,0.81,0.13,,0.12,0.0,0.56,0.06,,,1.0,0.81,0.24,0.19,0.94,1.0,
