dbn,school_name,q80_in_planning_my_last,q79_in_planning_my_last_1,q164_at_this_program_teachers,q24_it_s_ok_in_this_school_1,q162_at_the_beginning_of,q17_central_doe_employees_1,q163_at_this_program_teachers,q132_in_planning_my_last,q109_in_planning_my_last_1,q82_in_planning_my_last_1,q162_at_the_beginning_of_1,q7_i_am_able_to_modify_1,q60_overall_my_professional_1,q159_positive_behavior_1,q123_in_planning_my_last,q13_i_am_able_to_develop,q33_i_trust_the_principal,q47_at_this_school_once_we_1,q98_in_planning_my_last,q134_in_planning_my_last,q96_in_planning_my_last_1,q98_in_planning_my_last_1,q161_it_s_a_priority_at_this_1,q42_this_school_educates,q71_the_principal_assistant,q50_at_this_school_teachers,q99_in_planning_my_last_1,q83_in_planning_my_last,q92_in_planning_my_last_1,q54_at_this_school_school_1,q28_teachers_at_this_school,q74_how_much_influence_do,q159_positive_behavior,q94_in_planning_my_last,q65_the_principal_assistant_1,q160_it_s_a_priority_at_this,q109_in_planning_my_last,q166_my_students_are_safe,q102_in_planning_my_last,q10_i_am_able_to_empower,q148_how_many_students_in_1,q93_in_planning_my_last_1,q67_the_principal_assistant_1,q168_my_students_are_safe,q76_the_performance_of_the_1,q126_in_planning_my_last_1,q152_how_many_adults_at_this,q170_it_s_a_priority_at_this,q25_i_have_conversations_1,q18_central_doe_employees,q39_in_this_school_the_staff,q69_the_principal_assistant,q26_teachers_respect_other,q70_the_principal_school,q52_at_this_school_teachers,q97_in_planning_my_last,q120_in_planning_my_last_1,q74_how_much_influence_do_1,q170_it_s_a_priority_at_this_1,q22_i_would_recommend_this_1,q171_adults_at_this_school,q107_in_planning_my_last,q136_how_many_students_in,q55_at_this_school_the_1,q1_how_many_teachers_at_this_1,q25_i_have_conversations,q142_how_many_students_in,q176_adults_at_this_school_1,q42_this_school_educates_1,q121_in_planning_my_last,q175_adults_at_this_school,q81_in_planning_my_last,q105_in_planning_my_last_1,q149_how_many_students_in,q164_at_this_program_teachers_1,q84_in_planning_my_last_1,q56_at_this_school_school,q51_at_this_school_curriculum,q89_in_planning_my_last,q9_i_am_able_to_affirm_racial_1,q139_how_many_students_in,q143_how_many_students_in_1,q21_i_usually_look_forward_1,q124_in_planning_my_last,q138_how_many_students_in_1,q16_i_feel_respected_by_the_1,q116_in_planning_my_last,q4_how_many_teachers_at_this_1,q150_how_many_adults_at_this_1,q118_in_planning_my_last_1,q153_how_many_adults_at_this_1,q6_i_am_able_to_use_my,q172_adults_at_this_school
14K685,El Puente Academy For Peace And Justice,0.0,0.0,0.0,0.05,0.0,,0.0,0.91,0.0,,0.0,0.05,0.14,0.0,,0.9,0.9,0.19,,0.91,,,0.0,0.95,0.9,0.86,,,,0.1,0.9,0.86,0.0,,0.14,0.0,1.0,0.0,,1.0,0.25,,0.14,0.0,0.15,0.09,0.85,0.0,0.0,,0.9,0.9,0.9,0.86,0.95,,,0.14,0.0,0.14,1.0,1.0,0.71,0.1,0.26,1.0,0.81,0.0,0.05,,0.95,,0.0,0.67,0.0,,1.0,0.86,,0.0,0.81,0.29,0.1,0.91,0.29,,,0.14,0.14,,0.14,0.95,1.0
04M497,Central Park East I,,,,0.17,,,,0.78,,,,0.08,0.33,,,0.75,0.67,0.58,0.0,1.0,0.0,0.0,,0.92,0.75,0.7,0.0,,0.0,0.0,0.58,1.0,,0.0,0.25,,,0.71,0.0,1.0,0.33,0.0,0.0,1.0,0.67,0.0,1.0,1.0,0.08,,0.92,0.67,0.67,0.75,1.0,0.0,,0.0,0.0,0.17,0.0,,0.33,0.0,0.18,0.92,0.92,0.0,0.08,,0.0,,,0.82,,,1.0,0.64,,0.0,0.92,0.08,0.25,0.89,0.17,,,0.0,0.0,,0.0,1.0,0.0
07X296,South Bronx Academy For Applied Media,0.0,0.0,0.0,0.19,0.0,,0.0,1.0,0.0,,0.0,0.04,0.08,0.0,1.0,0.96,0.96,0.08,1.0,1.0,0.0,0.0,0.0,0.96,0.85,0.92,0.0,,0.0,0.0,0.96,0.92,0.0,1.0,0.04,0.0,1.0,0.0,1.0,1.0,0.58,0.0,0.15,0.0,0.22,0.0,0.92,0.96,0.26,,1.0,0.88,0.96,0.81,0.96,1.0,0.0,0.08,0.04,0.04,0.0,1.0,0.38,0.0,0.04,0.74,0.81,0.0,0.04,1.0,0.0,,0.0,0.58,0.0,,1.0,0.88,,0.0,0.65,0.46,0.04,1.0,0.5,,1.0,0.08,0.08,0.0,0.16,1.0,0.0
07X001,P.S. 001 Courtlandt School,,,,0.29,,,,0.86,0.0,,,0.04,0.24,,1.0,0.96,0.75,0.36,,0.86,,,,0.96,0.72,0.75,,,,0.0,0.89,0.64,,,0.24,,1.0,0.38,,0.93,0.38,,0.28,1.0,0.35,0.07,0.82,1.0,0.29,,0.88,0.84,0.81,0.8,0.96,,0.0,0.36,0.0,0.25,0.0,0.8,0.58,0.16,0.18,0.71,0.67,0.0,0.04,1.0,0.0,,0.2,0.64,,,0.92,0.74,,0.04,0.75,0.29,0.18,0.86,0.29,,1.0,0.11,0.26,0.0,0.27,1.0,0.0
08X069,P.S. 069 Journey Prep School,,,,0.18,,,,0.77,,,,0.1,0.31,,,0.92,0.58,0.46,,0.77,,,,0.92,0.69,0.69,,,,0.11,0.87,0.58,,,0.31,,,0.73,,0.92,0.53,,0.31,0.96,0.44,0.26,0.76,0.95,0.34,,0.89,0.67,0.74,0.78,0.95,,,0.42,0.05,0.37,0.0,,0.58,0.3,0.24,0.66,0.75,0.0,0.08,,0.0,,,0.69,,,0.92,0.58,,0.0,0.72,0.39,0.26,0.71,0.44,,,0.1,0.18,,0.3,1.0,0.0
07X522,Bronx Design And Construction Academy,0.0,0.0,0.0,0.31,0.0,,0.0,1.0,0.14,,0.0,0.08,0.19,0.0,,0.81,0.81,0.23,,0.92,,,0.0,0.92,0.73,0.84,,,,0.12,0.73,0.81,0.0,,0.23,0.0,0.86,0.0,,0.96,0.68,,0.16,0.0,0.25,0.08,0.88,0.0,0.15,,0.92,0.88,0.88,0.81,0.85,,,0.19,0.0,0.15,1.0,1.0,0.32,0.12,0.32,0.85,0.8,0.0,0.08,,0.92,,0.0,0.38,0.0,,0.96,0.77,,0.04,0.52,0.36,0.19,1.0,0.68,,,0.15,0.09,,0.23,0.92,0.95
02M313,"James Baldwin School, The: A School For Expeditionary Learning",0.0,0.0,0.0,0.08,0.0,,0.0,,,0.0,0.0,0.0,0.08,0.0,,1.0,1.0,0.0,,,,,0.0,1.0,1.0,1.0,,1.0,,0.0,0.92,1.0,0.0,,0.0,0.0,,0.0,,1.0,0.31,,0.0,0.0,,,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,,0.75,0.0,0.0,1.0,0.92,0.0,0.0,,1.0,1.0,,0.46,0.0,0.0,1.0,1.0,1.0,0.0,0.92,0.38,0.08,,0.25,,,0.0,0.0,,0.08,1.0,1.0
13K594,Gotham Professional Arts Academy,0.0,0.0,0.0,0.2,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,1.0,0.9,0.0,,,,,0.0,1.0,1.0,0.86,,,,0.1,0.8,1.0,0.0,,0.1,0.0,,0.0,,1.0,0.2,,0.1,0.0,0.25,,0.8,0.0,0.0,,1.0,0.9,0.8,1.0,0.9,,,0.0,0.0,0.1,0.9,,0.9,0.0,0.2,1.0,0.9,0.0,0.0,,0.9,,,0.8,0.0,,1.0,0.86,,0.0,0.9,0.2,0.0,,0.0,,,0.2,0.2,,0.1,1.0,0.9
15K172,P.S. 172 Beacon School Of Excellence,1.0,0.14,,0.04,,,,1.0,0.11,,,0.0,0.06,,1.0,1.0,1.0,0.1,,1.0,,,,1.0,0.98,0.98,,,,0.0,0.94,1.0,,,0.0,,0.89,0.91,,0.96,0.22,,0.06,1.0,0.32,0.0,0.92,1.0,0.12,,0.98,0.92,0.94,0.98,0.96,,0.0,0.0,0.0,0.06,0.0,1.0,0.84,0.0,0.1,0.88,0.86,0.0,0.0,1.0,0.0,,0.0,0.8,,,0.96,0.96,,0.0,0.92,0.14,0.04,1.0,0.16,,1.0,0.02,0.04,0.0,0.1,0.98,0.0
19K190,P.S. 190 Sheffield,,,,0.06,,,,1.0,,,,0.06,0.0,,,0.87,1.0,0.0,,1.0,,,,1.0,0.88,1.0,,,,0.0,0.94,0.8,,,0.0,,,0.78,,0.94,0.5,,0.12,1.0,0.22,0.08,1.0,1.0,0.07,,1.0,0.94,1.0,0.94,1.0,,,0.2,0.0,0.0,0.0,,0.69,0.06,0.0,0.93,0.62,0.0,0.0,,0.0,,,0.5,,,1.0,1.0,,0.06,1.0,0.25,0.0,1.0,0.25,,,0.0,0.06,,0.07,0.94,0.0
