grade_1,grade_4,students_with_disabilities_1,english_language_learners,grade_3k_pk_half_day_full,grade_2
0,0,0.205,3,0,0
0,0,0.182,58,0,0
123,107,0.16,38,72,114
0,0,0.175,47,0,0
0,0,0.228,2,0,0
83,54,0.147,19,0,71
0,0,0.199,11,0,0
28,29,0.128,7,17,23
24,43,0.264,4,18,43
0,0,0.157,0,0,0
24,17,0.392,17,12,27
112,90,0.171,11,53,95
0,0,0.167,69,0,0
0,0,0.21,14,0,0
74,62,0.19,8,35,75
0,0,0.211,9,0,0
0,0,0.318,59,0,0
0,0,0.153,6,0,0
29,23,0.33,2,26,36
0,0,0.076,214,0,0
96,96,0.155,17,40,105
0,0,0.237,19,0,0
99,100,0.176,46,97,86
0,0,0.281,19,0,0
25,43,0.241,39,11,26
0,0,0.057,79,0,0
0,0,0.203,69,0,0
0,0,0.327,28,0,0
0,0,0.188,22,0,0
60,64,0.081,0,0,64
0,0,0.247,20,0,0
42,39,0.217,4,35,40
23,21,0.271,26,7,15
0,0,0.192,7,0,0
0,0,0.227,9,0,0
0,0,0.201,40,0,0
0,0,0.162,54,0,0
0,0,0.073,247,0,0
0,0,0.0,225,0,0
0,0,0.466,23,0,0
65,54,0.22,14,18,64
0,0,0.197,16,0,0
103,96,0.183,25,35,94
0,0,0.355,17,0,0
0,0,0.272,31,0,0
0,0,0.355,8,0,0
61,83,0.183,140,45,72
0,0,0.252,11,0,0
0,0,0.184,17,0,0
0,0,0.405,3,0,0
89,88,0.172,30,18,83
0,0,0.128,6,0,0
0,0,0.168,13,0,0
48,56,0.25,39,90,43
56,44,0.34,32,34,47
0,0,0.152,7,0,0
27,34,0.316,74,35,32
74,81,0.204,29,52,68
111,96,0.154,28,20,102
0,0,0.166,3,0,0
0,0,0.263,23,0,0
0,37,0.05,2,0,0
51,43,0.227,10,18,56
51,55,0.283,64,24,46
0,0,0.114,399,0,0
0,0,0.282,3,0,0
0,0,0.136,2,0,0
42,62,0.238,28,31,43
0,0,0.154,28,0,0
0,0,0.234,14,0,0
0,0,0.143,2,0,0
0,0,0.233,5,0,0
0,0,0.194,0,0,0
101,90,0.189,40,21,93
0,0,0.213,12,0,0
0,0,0.148,8,0,0
0,0,0.219,14,0,0
0,0,0.114,0,0,0
0,0,0.247,56,0,0
0,0,0.15,7,0,0
24,40,0.275,37,29,25
37,53,0.431,24,14,35
0,0,0.237,7,0,0
0,0,0.159,50,0,0
35,47,0.325,81,14,32
0,0,0.243,18,0,0
0,0,0.273,9,0,0
0,0,0.219,44,0,0
0,0,0.213,29,0,0
0,0,0.006,1,0,0
0,0,0.287,24,0,0
31,26,0.279,3,17,33
0,0,0.169,6,0,0
0,0,0.26,17,0,0
84,94,0.183,20,40,76
0,0,0.199,20,0,0
0,0,0.264,55,0,0
0,0,0.255,23,0,0
65,43,0.163,9,52,59
137,134,0.159,29,18,155
63,54,0.121,10,35,74
95,101,0.144,40,19,108
68,42,0.165,0,72,55
0,0,0.259,19,0,0
67,61,0.234,27,51,87
121,148,0.194,17,0,101
0,0,0.25,2,0,0
118,111,0.188,32,50,103
0,0,0.283,23,0,0
0,0,0.132,120,0,0
33,24,0.287,12,17,27
61,54,0.28,32,44,58
0,0,0.392,45,0,0
0,0,0.188,36,0,0
0,0,0.246,40,0,0
0,0,0.285,15,0,0
0,0,0.146,92,0,0
57,80,0.22,83,31,74
0,0,0.241,6,0,0
0,0,0.138,4,0,0
0,0,0.213,0,0,0
0,0,0.073,0,355,0
0,0,0.281,21,0,0
73,83,0.212,49,18,77
77,94,0.437,68,0,73
41,25,0.335,4,23,28
0,0,0.241,156,0,0
0,0,0.286,4,0,0
52,54,0.27,51,44,53
0,0,0.246,36,0,0
0,0,0.253,37,0,0
0,0,0.196,1,0,0
120,84,0.089,15,0,118
0,0,0.133,0,527,0
0,0,0.24,6,0,0
0,0,0.388,25,0,0
76,129,0.201,191,36,81
51,37,0.231,19,64,56
115,144,0.097,23,0,120
0,0,0.299,14,0,0
0,0,0.21,37,0,0
0,0,0.033,372,0,0
0,0,0.168,2,0,0
0,0,0.235,16,0,0
0,0,0.19,15,0,0
55,0,0.183,8,67,70
0,0,0.187,0,0,0
0,0,0.146,16,0,0
0,0,0.166,10,0,0
116,116,0.086,28,0,119
0,0,0.043,273,0,0
0,0,0.207,13,0,0
0,0,0.214,34,0,0
0,0,0.257,24,0,0
74,50,0.143,7,0,50
0,0,0.215,2,0,0
0,0,0.189,100,0,0
0,0,0.2,25,0,0
0,0,0.347,18,0,0
0,0,0.212,20,0,0
0,0,0.03,58,0,0
0,0,0.134,1,0,0
56,53,0.124,12,36,56
0,0,0.259,19,0,0
0,0,0.155,22,0,0
0,0,0.147,6,0,0
0,0,0.166,0,0,0
0,0,0.425,35,0,0
0,0,0.271,12,0,0
0,0,0.163,23,0,0
67,57,0.234,29,56,75
92,61,0.162,28,35,63
59,68,0.195,47,31,59
71,88,0.177,26,19,73
0,0,0.215,54,0,0
138,156,0.167,137,35,116
0,0,0.181,2,0,0
90,87,0.192,26,0,87
0,0,0.215,20,0,0
0,0,0.24,45,0,0
70,49,0.16,18,0,69
26,30,0.153,5,18,31
0,0,0.345,7,0,0
69,65,0.165,103,35,54
0,0,0.45,7,0,0
0,0,0.164,5,0,0
