lta,attendance_08,admissions,attendance_03
,0,65.0,391
,0,104.0,117
,0,18.0,256
,0,15.0,368
,0,19.0,452
29.0,0,12.0,388
,0,120.0,588
,0,83.0,278
,0,,483
,0,229.0,952
15.0,0,,166
,0,142.0,967
,0,46.0,603
,0,,466
,0,132.0,599
24.0,0,,391
,0,35.0,264
12.0,0,12.0,283
,0,16.0,121
,0,97.0,355
,0,,233
,0,190.0,966
,0,,107
,0,34.0,305
12.0,0,,291
,0,46.0,265
,0,,437
,0,47.0,424
,0,163.0,717
,0,,428
,0,32.0,0
,0,249.0,939
,0,124.0,461
,0,173.0,1013
,0,90.0,408
,0,110.0,430
,0,138.0,382
,0,34.0,267
25.0,0,173.0,797
,0,192.0,677
,0,,199
26.0,0,15.0,412
,0,130.0,441
,0,16.0,598
,0,73.0,415
,0,231.0,1218
,0,219.0,845
60.0,0,16.0,888
13.0,0,,341
,0,23.0,230
,0,,140
,0,52.0,270
,0,108.0,850
13.0,0,14.0,387
,0,35.0,1084
,0,45.0,699
,0,103.0,664
,0,72.0,110
,0,72.0,414
,0,138.0,612
,0,167.0,647
,0,59.0,298
,0,60.0,449
13.0,0,58.0,441
,0,41.0,129
,0,,394
11.0,0,51.0,102
15.0,0,67.0,139
12.0,0,,332
,0,121.0,340
11.0,0,,427
,0,136.0,535
,0,15.0,148
,0,,548
,0,,3259
,0,,183
42.0,0,16.0,462
,0,203.0,823
,0,131.0,500
,0,114.0,983
,0,36.0,228
,0,,61
,0,19.0,465
,0,73.0,247
,0,118.0,497
,0,24.0,345
,0,,299
,0,,349
14.0,0,34.0,105
,0,80.0,529
,0,,2608
,0,126.0,462
14.0,0,,446
,0,87.0,410
,0,,496
,0,,72
,0,,108
,0,111.0,638
15.0,0,,451
,0,12.0,197
62.0,0,62.0,1285
,0,183.0,659
,0,85.0,425
,0,112.0,513
,0,91.0,572
,0,103.0,369
,0,51.0,57
,0,72.0,68
,0,,321
,0,42.0,318
,0,77.0,266
,0,176.0,780
,0,84.0,561
,0,148.0,537
,0,11.0,548
,0,80.0,294
,0,15.0,494
15.0,0,,361
,0,71.0,381
,0,,579
,0,132.0,894
,0,50.0,271
,0,14.0,472
,0,,147
,0,,303
,0,15.0,297
21.0,0,49.0,349
,0,31.0,461
,0,96.0,143
12.0,0,57.0,677
,0,12.0,436
,0,12.0,299
,0,15.0,124
,0,223.0,745
26.0,0,24.0,467
,0,34.0,182
,0,127.0,572
,0,,401
,0,103.0,260
,0,88.0,571
,0,14.0,343
,0,133.0,452
,0,14.0,188
,0,181.0,744
17.0,0,,226
,0,,462
14.0,0,,387
,0,64.0,202
,0,39.0,299
,0,27.0,535
,0,107.0,916
,0,93.0,118
,0,40.0,758
,0,27.0,159
,0,13.0,346
,0,115.0,767
,0,70.0,410
13.0,0,181.0,1231
,0,155.0,711
,0,,425
,0,71.0,411
,0,34.0,276
32.0,0,16.0,1149
18.0,0,24.0,338
13.0,0,,398
,0,26.0,181
,0,35.0,180
21.0,0,11.0,439
12.0,0,,407
,0,17.0,232
,0,142.0,586
,0,40.0,171
,0,15.0,191
,0,,323
14.0,0,24.0,850
,0,,508
,0,82.0,564
,0,35.0,340
,0,20.0,231
27.0,0,13.0,568
,0,,326
,0,93.0,1445
,0,14.0,376
,0,,285
,0,88.0,428
